Reaction	Metabolites	Stoichiometry
I	nh4_c	1.0
ac4C	accoa_c	-1.0
ac4C	coa_c	1.0
ac4C	atp_c	-1.0
ac4C	h2o_c	-1.0
ac4C	adp_c	1.0
ac4C	pi_c	1.0
mnm5U	h2o_c	-2.0
mnm5U	gly_c	-1.0
mnm5U	5fthf_c	-1.0
mnm5U	gtp_c	-1.0
mnm5U	thf_c	1.0
mnm5U	pi_c	1.0
mnm5U	gdp_c	1.0
mnm5U	glx_c	1.0
mnm5U	amet_c	-1.0
mnm5U	ahcys_c	1.0
mnm5s2U	h2o_c	-2.0
mnm5s2U	gly_c	-1.0
mnm5s2U	5fthf_c	-1.0
mnm5s2U	gtp_c	-1.0
mnm5s2U	thf_c	1.0
mnm5s2U	pi_c	1.0
mnm5s2U	gdp_c	1.0
mnm5s2U	glx_c	1.0
mnm5s2U	amet_c	-1.0
mnm5s2U	ahcys_c	1.0
mnm5s2U	atp_c	-1.0
mnm5s2U	amp_c	1.0
mnm5s2U	ppi_c	1.0
mnm5s2U	IscS_dim_mod_pydx5p(2)_mod_SH(1)	-1.0
mnm5s2U	IscS_dim_mod_pydx5p(2)	1.0
mnm5s2U	generic_thioredoxin	-1.0
mnm5s2U	generic_thioredoxin_mod_Oxidized(1)	1.0
ms2i6A	dmpp_c	-1.0
ms2i6A	ppi_c	1.0
ms2i6A	amet_c	-1.0
ms2i6A	ahcys_c	1.0
ms2i6A	amet_c	-1.0
ms2i6A	met__L_c	1.0
ms2i6A	dad__5_c	1.0
ms2i6A	IscS_dim_mod_pydx5p(2)_mod_SH(1)	-1.0
ms2i6A	IscS_dim_mod_pydx5p(2)	1.0
ms2i6A	generic_thioredoxin	-1.0
ms2i6A	generic_thioredoxin_mod_Oxidized(1)	1.0
s4U,s2C	atp_c	-1.0
s4U,s2C	amp_c	1.0
s4U,s2C	ppi_c	1.0
s4U,s2C	IscS_dim_mod_pydx5p(2)_mod_SH(1)	-1.0
s4U,s2C	IscS_dim_mod_pydx5p(2)	1.0

CAA_cap	ctp_c	-2.0
CAA_cap	atp_c	-1.0
CAA_cap	ppi_c	3.0

cmnm5s2	gtp_c	-1.0
cmnm5s2	h2o_c	-1.0
cmnm5s2	10fthf_c	-1.0
cmnm5s2	gly_c	-1.0
cmnm5s2	amet_c	-1.0
cmnm5s2	ahcys_c	1.0
cmnm5s2	h_c	3.0
cmnm5s2	gdp_c	1.0
cmnm5s2	glx_c	1.0
cmnm5s2	pi_c	1.0
cmnm5s2	thf_c	1.0

cmnm5	gtp_c	-1.0
cmnm5	h2o_c	-1.0
cmnm5	10fthf_c	-1.0
cmnm5	gly_c	-1.0
cmnm5	amet_c	-1.0
cmnm5	ahcys_c	1.0
cmnm5	h_c	3.0
cmnm5	gdp_c	1.0
cmnm5	glx_c	1.0
cmnm5	pi_c	1.0
cmnm5	thf_c	1.0

ms2t6A	hco3_c	-1.0
ms2t6A	thr__L_c	-1.0
ms2t6A	atp_c	-1.0
ms2t6A	mg2_c	-1.0
ms2t6A	amet_c	-2.0
ms2t6A	h2o_c	1.0
ms2t6A	ppi_c	1.0
ms2t6A	h_c	3.0
ms2t6A	amp_c	1.0
ms2t6A	ahcys_c	1.0
ms2t6A	met__L_c	1.0
ms2t6A	dad__5_c	5.0

#TODO: Change IscS to generic_IscS
s2U	atp_c	-1.0
s2U	amp_c	1.0
s2U	ppi_c	1.0
s2U	h_c	1.0
s2U	IscS_dim_mod_pydx5p(2)_mod_SH(1)	-1.0
s2U	IscS_dim_mod_pydx5p(2)	1.0
s2U	generic_thioredoxin	-1.0
s2U	generic_thioredoxin_mod_Oxidized(1)	1.0

# To add enzyme to mod, we need to redefine it here so it appears in builder.df_subs
mod_ni2_c	ni2_c	-1.0

# Ribosome
Ribosome_30S_acetylation_1	accoa_c	-1.0
Ribosome_30S_acetylation_1	coa_c	1.0
Ribosome_30S_acetylation_1	h_c	1.0

Ribosome_30S_acetylation_2	accoa_c	-1.0
Ribosome_30S_acetylation_2	coa_c	1.0
Ribosome_30S_acetylation_2	h_c	1.0

# For prfA prfB methylation
mod_methyl_c	amet_c	-1.0
mod_methyl_c	ahcys_c	1.0
mod_methyl_c	h_c	1.0

# For dpm
mod_dpm_c	ppbng_c	-2.0
mod_dpm_c	h2o_c	-1.0
mod_dpm_c	h_c	-1.0
mod_dpm_c	nh4_c	2.0


