reaction	keff
NT5C	5.2
NTD1	18.0
NTD10	2.5
NTD11	2.5
NTD2	18.0
NTD3	18.0
NTD4	18.0
NTD5	18.0
NTD6	2.5
NTD7	2.5
NTD8	2.5
NTD9	2.5
NTPP1	2.5
NTPP2	2.5
NTPP3	18.0
NTPP4	18.0
NTPP5	2.5
NTPP6	2.5
NTPP7	18.0
NTPP8	18.0
OAADC	79.0
OCBT	65.0
OCTDPS	5.2
OMPDC	18.0
OOR2r	79.0
ORNDC	5.2
ORNTA	18.0
ORNTAC	65.0
ORPT	18.0
OXADC	65.0
P5CR	18.0
PANTS	5.2
PAPPT2	5.2
PBUTT	5.2
PDIPS	5.2
PFK	79.0
PFK_ppi	79.0
PGAMT	5.2
PGCD	18.0
PGI	79.0
PGK	79.0
PGL	5.2
PGM	79.0
PGSA160	5.2
PHETA1	18.0
PHETRS	18.0
PIabc	5.2
PIt2r	5.2
PLPS	5.2
PMPK	18.0
PNP	5.2
PNTK	5.2
POR	79.0
PPA	79.0
PPA2	65.0
PPANA	5.2
PPA_1	65.0
PPCDC	5.2
PPCOAC	18.0
PPDK	79.0
PPM	79.0
PPM2	79.0
PPNCL2	5.2
PPND	18.0
PPNDHr	65.0
PRAGSr	2.5
PRAIS	2.5
PRAIi	18.0
PRAMPC	18.0
PRASCSi	2.5
PRATPP	18.0
PRFGS	2.5
PRMICI	18.0
PROTRS	18.0
PRPPS	2.5
PSCVT	5.2
PTAr	79.0
PTHPS	5.2
PTPATi	5.2
PTRCabc	5.2
PULLe	5.2
PUNP1	2.5
PUNP2	2.5
PUNP3	2.5
PUNP4	2.5
PUNP5	2.5
PYK	79.0
PYNP1	18.0
P_DIPS	65.0
QULNS	5.2
RAFFabc	5.2
RAFH	5.2
RBFK	5.2
RBFSa	5.2
RBFSb	5.2
RBK	5.2
RBK_L1	5.2
RBP4E	79.0
RIBabc	5.2
RMI	5.2
RMK	5.2
RMNabc	5.2
RMPA	5.2
RNDR1	2.5
RNDR2	2.5
RNDR3	2.5
RNDR4	2.5
RNTR1	2.5
RNTR2	2.5
RNTR3	18.0
RNTR4	18.0
RPE	5.2
RPI	5.2
SERAT	18.0
SERD_L	18.0
SERTRS	18.0
SHK3Dr	5.2
SHKK	5.2
SHSL1	18.0
SHSL2r	18.0
SHSL4r	18.0
SPMDabc	5.2
SPMS	5.2
SPTc	18.0
SUCD1	79.0
SUCD3	79.0
SUCR	5.2
TALA	5.2
THPAT	18.0
THRA	18.0
THRA2	18.0
THRD_L	18.0
THRS	18.0
THRTRS	18.0
THRabc	5.2
THZPSN	18.0
TKT1	5.2
TKT2	5.2
TMDK1	18.0
TMDPP	18.0
TMDS3	18.0
TPI	79.0
TRDR	79.0
TREabc	5.2
TRPS1	18.0
TRPS2	18.0
TRPS3	18.0
TRPTRS	18.0
TYRTA	18.0
TYRTRS	18.0
UAAGLS2	5.2
UAGCVT	5.2
UAGDP	5.2
UAGPT2	5.2
UAMAGS	5.2
UAMAS	5.2
UAPGR	5.2
UDCPDPS	5.2
UDPG4E	5.2
UDPGD	5.2
UGLDDS2	5.2
UMPK	18.0
UPPRT	18.0
URAt	5.2
URIDK2r	18.0
URIK1	18.0
URIK2	18.0
VALTA	18.0
VALTRS	18.0
VALabc	5.2
XPPT	2.5
XYL2e	5.2
XYL3abc	5.2
XYLANabc	5.2
XYLBabc	5.2
XYLI1	5.2
XYLI2	79.0
XYLK	2.5
XYLOS1	5.2
XYLOS2	5.2
XYLOS3	5.2
XYLabc	5.2
XYLe	5.2
ZNabc	5.2
