reaction_id,name,gene_reaction_rule,reaction,notes
GRXR,glutaredoxin reductase,,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,
GTHOr,glutathione oxidoreductase,,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c,

# PreQ1 synthesis
CPH4S,"6-carboxy-5,6,7,8-tetrahydropterin synthase",TM0038,ahdt_c + h2o_c --> acald_c + cph4_c + h_c + pppi_c,
CDGS,7-deaza-7-carboxyguanine synthase,,cph4_c + h_c --> cdg_c + nh4_c,
CCGS,7-cyano-7-carbaguanine synthase,,atp_c + cdg_c + nh4_c --> adp_c + h2o_c + h_c + pi_c + preq0_c,
CDGR,7-cyano-7-deazaguanine reductase,,3.0 h_c + 2.0 nadph_c + preq0_c --> 2.0 nadp_c + preq1_c,

# pppi assimilation
PPA2,inorganic triphosphatase,TM1662,h2o_c + pppi_c --> h_c + pi_c + ppi_c,
