generic_component	enzymes
generic_folK	FY484_RS02800-MONOMER,FY484_RS03150-MONOMER
generic_gln_ligase	VC_0997-MONOMER,FY484_RS05095-MONOMER
generic_glu_ligase	FY484_RS11080-MONOMER,VC_2214-MONOMER
generic_gspK	FY484_RS13535-MONOMER,FY484_RS03245-MONOMER
generic_his_ligase	FY484_RS03960-MONOMER,VC_0760-MONOMER
generic_hutC	FY484_RS06115-MONOMER,FY484_RS18510-MONOMER
generic_ile_ligase	FY484_RS03590-MONOMER,VC_0682-MONOMER
generic_leu_ligase	FY484_RS04895-MONOMER,VC_0956-MONOMER
generic_lipA	FY484_RS14870-MONOMER,FY484_RS04840-MONOMER
generic_maf	FY484_RS02220-MONOMER,FY484_RS10115-MONOMER
generic_met_ligase	FY484_RS05280-MONOMER,VC_1036-MONOMER
generic_mgtE	FY484_RS12620-MONOMER,FY484_RS08315-MONOMER
generic_msrB	FY484_RS17085-MONOMER,FY484_RS06265-MONOMER,FY484_RS09970-MONOMER
generic_nqrM	FY484_RS11425-MONOMER,FY484_RS06690-MONOMER
generic_nspC	FY484_RS08165-MONOMER,FY484_RS08160-MONOMER
generic_parC	FY484_RS10300-MONOMER,FY484_RS12085-MONOMER
generic_pyk	FY484_RS10015-MONOMER,FY484_RS17520-MONOMER
generic_radC	FY484_RS02715-MONOMER,FY484_RS08950-MONOMER,FY484_RS01155-MONOMER
generic_rpmJ	FY484_RS04525-MONOMER,FY484_RS12815-MONOMER
generic_rrf	FY484_RS01630-RNA,FY484_RS13665-RNA,FY484_RS13700-RNA,FY484_RS12400-RNA,FY484_RS03740-RNA,FY484_RS00825-RNA,FY484_RS02065-RNA,FY484_RS00315-RNA,FY484_RS12410-RNA
generic_ser_ligase	VC_1110-MONOMER,FY484_RS05650-MONOMER
generic_thr_ligase	VC_A0287-MONOMER,FY484_RS15175-MONOMER
generic_tkt	FY484_RS17130-MONOMER,FY484_RS02535-MONOMER
generic_tnpA	FY484_RS14780-MONOMER,FY484_RS16505-MONOMER,FY484_RS04490-MONOMER,FY484_RS15110-MONOMER
generic_trp_ligase	FY484_RS13055-MONOMER,VC_2623-MONOMER
generic_tuf	FY484_RS01930-MONOMER,FY484_RS01685-MONOMER
generic_tyr_ligase	FY484_RS03330-MONOMER,FY484_RS02495-MONOMER,VC_0465-MONOMER
generic_varA	FY484_RS06150-MONOMER,FY484_RS07855-MONOMER
