Reaction	Metabolites	Stoichiometry
CPLX0-250_FORMATEDEHYDROGH-MONOMER_Ni_loading	hypAB	1

#23bpg_generation	23bpg_c	1

2Fe2S_to_ErpA_by_IscA	CPLX0-7617	-1
2Fe2S_to_ErpA_by_IscA	IscA_tetra_mod_2fe2s(1)	-1
2Fe2S_to_ErpA_by_IscA	CPLX0-7617_mod_2fe2s(1)	1
2Fe2S_to_ErpA_by_IscA	IscA_tetra	1
2Fe2S_to_ErpA_by_IscU	CPLX0-7617	-1
2Fe2S_to_ErpA_by_IscU	IscU_mod_2fe2s(1)	-1
2Fe2S_to_ErpA_by_IscU	atp_c	-1
2Fe2S_to_ErpA_by_IscU	CPLX0-7617_mod_2fe2s(1)	1
2Fe2S_to_ErpA_by_IscU	IscU	1
2Fe2S_to_ErpA_by_IscU	adp_c	1
2Fe2S_to_ErpA_by_IscU	pi_c	1
2Fe2S_to_ErpA_by_IscU	h2o_c	-1
2Fe2S_to_ErpA_by_IscU	h_c	1

2Fe2S_to_ErpA_by_SufA	CPLX0-7617	-1
2Fe2S_to_ErpA_by_SufA	CPLX0-7824_mod_2fe2s(1)	-1
2Fe2S_to_ErpA_by_SufA	CPLX0-7617_mod_2fe2s(1)	1
2Fe2S_to_ErpA_by_SufA	CPLX0-7824	1
2Fe2S_to_IscA_by_IscU	IscA_tetra	-1
2Fe2S_to_IscA_by_IscU	IscU_mod_2fe2s(1)	-1
2Fe2S_to_IscA_by_IscU	atp_c	-1
2Fe2S_to_IscA_by_IscU	IscA_tetra_mod_2fe2s(1)	1
2Fe2S_to_IscA_by_IscU	IscU	1
2Fe2S_to_IscA_by_IscU	adp_c	1
2Fe2S_to_IscA_by_IscU	pi_c	1
2Fe2S_to_IscA_by_IscU	h2o_c	-1
2Fe2S_to_IscA_by_IscU	h_c	1

2Fe2S_to_IscA_by_SufBCD	CPLX0-1341_mod_2fe2s(1)	-1
2Fe2S_to_IscA_by_SufBCD	IscA_tetra	-1
2Fe2S_to_IscA_by_SufBCD	CPLX0-1341	1
2Fe2S_to_IscA_by_SufBCD	IscA_tetra_mod_2fe2s(1)	1
2Fe2S_to_SufA_by_IscU	CPLX0-7824	-1
2Fe2S_to_SufA_by_IscU	IscU_mod_2fe2s(1)	-1
2Fe2S_to_SufA_by_IscU	atp_c	-1
2Fe2S_to_SufA_by_IscU	CPLX0-7824_mod_2fe2s(1)	1
2Fe2S_to_SufA_by_IscU	IscU	1
2Fe2S_to_SufA_by_IscU	adp_c	1
2Fe2S_to_SufA_by_IscU	pi_c	1
2Fe2S_to_SufA_by_IscU	h2o_c	-1
2Fe2S_to_SufA_by_IscU	h_c	1

3HAD1001	EG50003-MONOMER_mod_pan4p(1)_mod_3hdec(1)	-1
3HAD1001	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	1
3HAD1001	h2o_c	1
3HAD1201	EG50003-MONOMER_mod_pan4p(1)_mod_3hddec(1)	-1
3HAD1201	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	1
3HAD1201	h2o_c	1
3HAD1211	EG50003-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)	-1
3HAD1211	EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)	1
3HAD1211	h2o_c	1
3HAD1401	EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)	-1
3HAD1401	EG50003-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)	1
3HAD1401	h2o_c	1
3HAD1411	EG50003-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)	-1
3HAD1411	EG50003-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)	1
3HAD1411	h2o_c	1
3HAD1601	EG50003-MONOMER_mod_pan4p(1)_mod_3hpalm(1)	-1
3HAD1601	EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)	1
3HAD1601	h2o_c	1
3HAD1611	EG50003-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1)	-1
3HAD1611	EG50003-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)	1
3HAD1611	h2o_c	1
3HAD1801	EG50003-MONOMER_mod_pan4p(1)_mod_3hocta(1)	-1
3HAD1801	EG50003-MONOMER_mod_pan4p(1)_mod_toctd2e(1)	1
3HAD1801	h2o_c	1
3HAD1811	EG50003-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)	-1
3HAD1811	EG50003-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)	1
3HAD1811	h2o_c	1
3HAD401	EG50003-MONOMER_mod_pan4p(1)_mod_3ha(1)	-1
3HAD401	EG50003-MONOMER_mod_pan4p(1)_mod_but2e(1)	1
3HAD401	h2o_c	1
3HAD601	EG50003-MONOMER_mod_pan4p(1)_mod_3hhex(1)	-1
3HAD601	EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)	1
3HAD601	h2o_c	1
3HAD801	EG50003-MONOMER_mod_pan4p(1)_mod_3hoct(1)	-1
3HAD801	EG50003-MONOMER_mod_pan4p(1)_mod_toct2e(1)	1
3HAD801	h2o_c	1
3OAR1001	EG50003-MONOMER_mod_pan4p(1)_mod_3odec(1)	-1
3OAR1001	h_c	-1
3OAR1001	nadph_c	-1
3OAR1001	EG50003-MONOMER_mod_pan4p(1)_mod_3hdec(1)	1
3OAR1001	nadp_c	1
3OAR1201	EG50003-MONOMER_mod_pan4p(1)_mod_3oddec(1)	-1
3OAR1201	h_c	-1
3OAR1201	nadph_c	-1
3OAR1201	EG50003-MONOMER_mod_pan4p(1)_mod_3hddec(1)	1
3OAR1201	nadp_c	1
3OAR1211	EG50003-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)	-1
3OAR1211	h_c	-1
3OAR1211	nadph_c	-1
3OAR1211	EG50003-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)	1
3OAR1211	nadp_c	1
3OAR1401	EG50003-MONOMER_mod_pan4p(1)_mod_3omrs(1)	-1
3OAR1401	h_c	-1
3OAR1401	nadph_c	-1
3OAR1401	EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)	1
3OAR1401	nadp_c	1
3OAR1411	EG50003-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)	-1
3OAR1411	h_c	-1
3OAR1411	nadph_c	-1
3OAR1411	EG50003-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)	1
3OAR1411	nadp_c	1
3OAR1601	EG50003-MONOMER_mod_pan4p(1)_mod_3opalm(1)	-1
3OAR1601	h_c	-1
3OAR1601	nadph_c	-1
3OAR1601	EG50003-MONOMER_mod_pan4p(1)_mod_3hpalm(1)	1
3OAR1601	nadp_c	1
3OAR1611	EG50003-MONOMER_mod_pan4p(1)_mod_3ocpalm9e(1)	-1
3OAR1611	h_c	-1
3OAR1611	nadph_c	-1
3OAR1611	EG50003-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1)	1
3OAR1611	nadp_c	1
3OAR1801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooctd(1)	-1
3OAR1801	h_c	-1
3OAR1801	nadph_c	-1
3OAR1801	EG50003-MONOMER_mod_pan4p(1)_mod_3hocta(1)	1
3OAR1801	nadp_c	1
3OAR1811	EG50003-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)	-1
3OAR1811	h_c	-1
3OAR1811	nadph_c	-1
3OAR1811	EG50003-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)	1
3OAR1811	nadp_c	1
3OAR401	EG50003-MONOMER_mod_pan4p(1)_mod_act(1)	-1
3OAR401	h_c	-1
3OAR401	nadph_c	-1
3OAR401	EG50003-MONOMER_mod_pan4p(1)_mod_3ha(1)	1
3OAR401	nadp_c	1
3OAR601	EG50003-MONOMER_mod_pan4p(1)_mod_3ohex(1)	-1
3OAR601	h_c	-1
3OAR601	nadph_c	-1
3OAR601	EG50003-MONOMER_mod_pan4p(1)_mod_3hhex(1)	1
3OAR601	nadp_c	1
3OAR801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooct(1)	-1
3OAR801	h_c	-1
3OAR801	nadph_c	-1
3OAR801	EG50003-MONOMER_mod_pan4p(1)_mod_3hoct(1)	1
3OAR801	nadp_c	1
3OAS1001	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1001	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	-1
3OAS1001	h_c	-1
3OAS1001	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1001	EG50003-MONOMER_mod_pan4p(1)_mod_3odec(1)	1
3OAS1001	co2_c	1
3OAS1201	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	-1
3OAS1201	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1201	h_c	-1
3OAS1201	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1201	EG50003-MONOMER_mod_pan4p(1)_mod_3oddec(1)	1
3OAS1201	co2_c	1
3OAS1211	EG50003-MONOMER_mod_pan4p(1)_mod_cdec3e(1)	-1
3OAS1211	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1211	h_c	-1
3OAS1211	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1211	EG50003-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)	1
3OAS1211	co2_c	1
3OAS1401	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1
3OAS1401	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1401	h_c	-1
3OAS1401	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1401	EG50003-MONOMER_mod_pan4p(1)_mod_3omrs(1)	1
3OAS1401	co2_c	1
3OAS1411	EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)	-1
3OAS1411	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1411	h_c	-1
3OAS1411	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1411	EG50003-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)	1
3OAS1411	co2_c	1
3OAS1601	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1601	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1
3OAS1601	h_c	-1
3OAS1601	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1601	EG50003-MONOMER_mod_pan4p(1)_mod_3opalm(1)	1
3OAS1601	co2_c	1
3OAS1611	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1611	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1
3OAS1611	h_c	-1
3OAS1611	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1611	EG50003-MONOMER_mod_pan4p(1)_mod_3ocpalm9e(1)	1
3OAS1611	co2_c	1
3OAS1801	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1801	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1
3OAS1801	h_c	-1
3OAS1801	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooctd(1)	1
3OAS1801	co2_c	1
3OAS1811	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1
3OAS1811	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS1811	h_c	-1
3OAS1811	EG50003-MONOMER_mod_pan4p(1)	1
3OAS1811	EG50003-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)	1
3OAS1811	co2_c	1
3OAS601	EG50003-MONOMER_mod_pan4p(1)_mod_but(1)	-1
3OAS601	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS601	h_c	-1
3OAS601	EG50003-MONOMER_mod_pan4p(1)	1
3OAS601	EG50003-MONOMER_mod_pan4p(1)_mod_3ohex(1)	1
3OAS601	co2_c	1
3OAS801	EG50003-MONOMER_mod_pan4p(1)_mod_hex(1)	-1
3OAS801	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1
3OAS801	h_c	-1
3OAS801	EG50003-MONOMER_mod_pan4p(1)	1
3OAS801	EG50003-MONOMER_mod_pan4p(1)_mod_3ooct(1)	1
3OAS801	co2_c	1
4Fe4S_to_ErpA_by_IscA	CPLX0-7617	-1
4Fe4S_to_ErpA_by_IscA	IscA_tetra_mod_4fe4s(1)	-1
4Fe4S_to_ErpA_by_IscA	CPLX0-7617_mod_4fe4s(1)	1
4Fe4S_to_ErpA_by_IscA	IscA_tetra	1
4Fe4S_to_ErpA_by_IscU	CPLX0-7617	-1
4Fe4S_to_ErpA_by_IscU	IscU_mod_4fe4s(1)	-1
4Fe4S_to_ErpA_by_IscU	atp_c	-1
4Fe4S_to_ErpA_by_IscU	CPLX0-7617_mod_4fe4s(1)	1
4Fe4S_to_ErpA_by_IscU	IscU	1
4Fe4S_to_ErpA_by_IscU	adp_c	1
4Fe4S_to_ErpA_by_IscU	pi_c	1
4Fe4S_to_ErpA_by_IscU	h2o_c	-1
4Fe4S_to_ErpA_by_IscU	h_c	1

4Fe4S_to_ErpA_by_SufA	CPLX0-7617	-1
4Fe4S_to_ErpA_by_SufA	CPLX0-7824_mod_4fe4s(1)	-1
4Fe4S_to_ErpA_by_SufA	CPLX0-7617_mod_4fe4s(1)	1
4Fe4S_to_ErpA_by_SufA	CPLX0-7824	1
4Fe4S_to_IscA_by_IscU	IscA_tetra	-1
4Fe4S_to_IscA_by_IscU	IscU_mod_4fe4s(1)	-1
4Fe4S_to_IscA_by_IscU	atp_c	-1
4Fe4S_to_IscA_by_IscU	IscA_tetra_mod_4fe4s(1)	1
4Fe4S_to_IscA_by_IscU	IscU	1
4Fe4S_to_IscA_by_IscU	adp_c	1
4Fe4S_to_IscA_by_IscU	pi_c	1
4Fe4S_to_IscA_by_IscU	h2o_c	-1
4Fe4S_to_IscA_by_IscU	h_c	1

4Fe4S_to_IscA_by_SufBCD	CPLX0-1341_mod_4fe4s(1)	-1
4Fe4S_to_IscA_by_SufBCD	IscA_tetra	-1
4Fe4S_to_IscA_by_SufBCD	CPLX0-1341	1
4Fe4S_to_IscA_by_SufBCD	IscA_tetra_mod_4fe4s(1)	1
4Fe4S_to_SufA_by_IscU	CPLX0-7824	-1
4Fe4S_to_SufA_by_IscU	IscU_mod_4fe4s(1)	-1
4Fe4S_to_SufA_by_IscU	atp_c	-1
4Fe4S_to_SufA_by_IscU	CPLX0-7824_mod_4fe4s(1)	1
4Fe4S_to_SufA_by_IscU	IscU	1
4Fe4S_to_SufA_by_IscU	adp_c	1
4Fe4S_to_SufA_by_IscU	pi_c	1
4Fe4S_to_SufA_by_IscU	h2o_c	-1
4Fe4S_to_SufA_by_IscU	h_c	1

AACPS11	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS11	atp_c	-1
AACPS11	ttdca_c	-1
AACPS11	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	1
AACPS11	amp_c	1
AACPS11	ppi_c	1
AACPS21	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS21	atp_c	-1
AACPS21	ttdcea_c	-1
AACPS21	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	1
AACPS21	amp_c	1
AACPS21	ppi_c	1
AACPS31	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS31	atp_c	-1
AACPS31	hdca_c	-1
AACPS31	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	1
AACPS31	amp_c	1
AACPS31	ppi_c	1
AACPS41	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS41	atp_c	-1
AACPS41	hdcea_c	-1
AACPS41	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	1
AACPS41	amp_c	1
AACPS41	ppi_c	1
AACPS51	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS51	atp_c	-1
AACPS51	ocdcea_c	-1
AACPS51	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	1
AACPS51	amp_c	1
AACPS51	ppi_c	1
AACPS61	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS61	atp_c	-1
AACPS61	ocdca_c	-1
AACPS61	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	1
AACPS61	amp_c	1
AACPS61	ppi_c	1
AACPS71	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS71	atp_c	-1
AACPS71	ddca_c	-1
AACPS71	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	1
AACPS71	amp_c	1
AACPS71	ppi_c	1
AACPS81	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS81	atp_c	-1
AACPS81	dca_c	-1
AACPS81	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	1
AACPS81	amp_c	1
AACPS81	ppi_c	1
AACPS91	EG50003-MONOMER_mod_pan4p(1)	-1
AACPS91	atp_c	-1
AACPS91	octa_c	-1
AACPS91	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	1
AACPS91	amp_c	1
AACPS91	ppi_c	1
ACOATA1	EG50003-MONOMER_mod_pan4p(1)	-1
ACOATA1	accoa_c	-1
ACOATA1	EG50003-MONOMER_mod_pan4p(1)_mod_ac(1)	1
ACOATA1	coa_c	1
ACPPAT1201	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1
ACPPAT1201	h_c	-1
ACPPAT1201	pi_c	-1
ACPPAT1201	EG50003-MONOMER_mod_pan4p(1)	1
ACPPAT1201	ddcap_c	1
ACPPAT1401	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1
ACPPAT1401	h_c	-1
ACPPAT1401	pi_c	-1
ACPPAT1401	EG50003-MONOMER_mod_pan4p(1)	1
ACPPAT1401	ttdcap_c	1
ACPPAT1411	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1
ACPPAT1411	h_c	-1
ACPPAT1411	pi_c	-1
ACPPAT1411	EG50003-MONOMER_mod_pan4p(1)	1
ACPPAT1411	ttdceap_c	1
ACPPAT1601	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1
ACPPAT1601	h_c	-1
ACPPAT1601	pi_c	-1
ACPPAT1601	EG50003-MONOMER_mod_pan4p(1)	1
ACPPAT1601	hdcap_c	1
ACPPAT1611	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1
ACPPAT1611	h_c	-1
ACPPAT1611	pi_c	-1
ACPPAT1611	EG50003-MONOMER_mod_pan4p(1)	1
ACPPAT1611	hdceap_c	1
ACPPAT1801	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	-1
ACPPAT1801	h_c	-1
ACPPAT1801	pi_c	-1
ACPPAT1801	EG50003-MONOMER_mod_pan4p(1)	1
ACPPAT1801	ocdcap_c	1
ACPPAT1811	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	-1
ACPPAT1811	h_c	-1
ACPPAT1811	pi_c	-1
ACPPAT1811	EG50003-MONOMER_mod_pan4p(1)	1
ACPPAT1811	ocdceap_c	1
#ACPS11	EG50003-MONOMER	-1
#ACPS11	coa_c	-1
#ACPS11	EG50003-MONOMER_mod_pan4p(1)	1
#ACPS11	h_c	1
#ACPS11	pap_c	1
AGPAT1201	1ddecg3p_c	-1
AGPAT1201	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1
AGPAT1201	EG50003-MONOMER_mod_pan4p(1)	1
AGPAT1201	pa120_c	1
AGPAT1401	1tdecg3p_c	-1
AGPAT1401	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1
AGPAT1401	EG50003-MONOMER_mod_pan4p(1)	1
AGPAT1401	pa140_c	1
AGPAT1411	1tdec7eg3p_c	-1
AGPAT1411	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1
AGPAT1411	EG50003-MONOMER_mod_pan4p(1)	1
AGPAT1411	pa141_c	1
AGPAT1601	1hdecg3p_c	-1
AGPAT1601	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1
AGPAT1601	EG50003-MONOMER_mod_pan4p(1)	1
AGPAT1601	pa160_c	1
AGPAT1611	1hdec9eg3p_c	-1
AGPAT1611	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1
AGPAT1611	EG50003-MONOMER_mod_pan4p(1)	1
AGPAT1611	pa161_c	1
AGPAT1801	1odecg3p_c	-1
AGPAT1801	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	-1
AGPAT1801	EG50003-MONOMER_mod_pan4p(1)	1
AGPAT1801	pa180_c	1
AGPAT1811	1odec11eg3p_c	-1
AGPAT1811	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	-1
AGPAT1811	EG50003-MONOMER_mod_pan4p(1)	1
AGPAT1811	pa181_c	1
AOXSr21	EG50003-MONOMER_mod_pan4p(1)_mod_pim(1)	-1
AOXSr21	ala__L_c	-1
AOXSr21	8aonn_c	1
AOXSr21	EG50003-MONOMER_mod_pan4p(1)	1
AOXSr21	co2_c	1
BTS6	amet_c	-1
BTS6	dtbt_c	-1
BTS6	IscS_mod_pydx5p(2)_mod_SH(1)	-1
BTS6	btn_c	1
BTS6	dad__5_c	1
BTS6	h_c	1
BTS6	IscS_mod_pydx5p(2)	1
BTS6	met__L_c	1

#CPLX0-782_mod_4fe4s(2)_regeneration	2fe2s_c	-1
#CPLX0-782_mod_4fe4s(2)_regeneration	CPLX0-782_mod_2fe2s(1)_mod_4fe4s(1)	-1
#CPLX0-782_mod_4fe4s(2)_regeneration	CPLX0-782_mod_4fe4s(2)	1
#CPLX0-782_mod_4fe4s(2)_regeneration	CPLX0-782_mod_4fe4s(1)	-1

CPLX0-782_mod_4fe4s(2)_regeneration	NfuA_dim_mod_4fe4s(1)	-1
CPLX0-782_mod_4fe4s(2)_regeneration	CPLX0-782_mod_4fe4s(2)	1
CPLX0-782_mod_4fe4s(2)_regeneration	protein_b3414	2
CPLX0-782_mod_4fe4s(2)_regeneration	protein_b0628	-2
CPLX0-782_mod_4fe4s(2)_regeneration	4fe4s_c	-1

#Cs_cyto_import	cs_p	-1
#Cs_cyto_import	h_p	-1
#Cs_cyto_import	cs_c	1
#Cs_cyto_import	h_c	1
#Cs_peri_import	cs_e	-1
#Cs_peri_import	cs_p	1

CyaY_Fe_loading	EG11653-MONOMER	-1
CyaY_Fe_loading	fe2_c	-1
CyaY_Fe_loading	EG11653-MONOMER_mod_fe2(1)	1
DSBAO11	DISULFOXRED-MONOMER	-1
DSBAO11	q8_c	-1
DSBAO11	DISULFOXRED-MONOMER_mod_Oxidized(1)	1
DSBAO11	q8h2_c	1
DSBAO21	DISULFOXRED-MONOMER	-1
DSBAO21	mqn8_c	-1
DSBAO21	DISULFOXRED-MONOMER_mod_Oxidized(1)	1
DSBAO21	mql8_c	1
DSBCGT1	gthrd_p	-2
DSBCGT1	DSBC-CPLX_mod_Oxidized(1)	-1
DSBCGT1	DSBC-CPLX	1
DSBCGT1	gthox_p	1
DSBDR1	DSBD-MONOMER_mod_Oxidized(1)	-1
DSBDR1	RED-THIOREDOXIN-MONOMER	-1
DSBDR1	DSBD-MONOMER	1
DSBDR1	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1
DSBDR2	DSBD-MONOMER_mod_Oxidized(1)	-1
DSBDR2	RED-THIOREDOXIN2-MONOMER	-1
DSBDR2	DSBD-MONOMER	1
DSBDR2	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1
DSBGGT1	gthrd_p	-2
DSBGGT1	DSBG-CPLX_mod_Oxidized(1)	-1
DSBGGT1	DSBG-CPLX	1
DSBGGT1	gthox_p	1
EAR100x1	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	-1
EAR100x1	h_c	-1
EAR100x1	nadh_c	-1
EAR100x1	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	1
EAR100x1	nad_c	1
EAR100y1	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	-1
EAR100y1	h_c	-1
EAR100y1	nadph_c	-1
EAR100y1	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	1
EAR100y1	nadp_c	1
EAR120x1	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	-1
EAR120x1	h_c	-1
EAR120x1	nadh_c	-1
EAR120x1	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	1
EAR120x1	nad_c	1
EAR120y1	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	-1
EAR120y1	h_c	-1
EAR120y1	nadph_c	-1
EAR120y1	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	1
EAR120y1	nadp_c	1
EAR121x1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)	-1
EAR121x1	h_c	-1
EAR121x1	nadh_c	-1
EAR121x1	EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)	1
EAR121x1	nad_c	1
EAR121y1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)	-1
EAR121y1	h_c	-1
EAR121y1	nadph_c	-1
EAR121y1	EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)	1
EAR121y1	nadp_c	1
