Transcription-Units	Genes of transcription unit	Direction
TU1OEB-1267	USA300HOU_RS12190	-
TU1OEB-1529	USA300HOU_RS14445	-
TU1OEB-1270	USA300HOU_RS12210	+
TU1OEB-1224	USA300HOU_RS11675	+
TU1OEB-1772	USA300HOU_RS06805	-
TU1OEB-232	USA300HOU_RS02040	-
TU1OEB-429	USA300HOU_RS03725 // USA300HOU_RS03720	+
TU1OEB-1071	USA300HOU_RS10135	-
TU1OEB-317	USA300HOU_RS02840	+
TU1OEB-48	USA300HOU_RS00290 // USA300HOU_RS00285 // USA300HOU_RS00280	-
TU1OEB-397	USA300HOU_RS03465 // USA300HOU_RS03460	+
TU1OEB-1888	USA300HOU_RS01700	+
TU1OEB-1864	USA300HOU_RS15070	-
TU1OEB-338	USA300HOU_RS02955	+
TU1OEB-1451	USA300HOU_RS13815	-
TU1OEB-1119	USA300HOU_RS15435	-
TU1OEB-1648	USA300HOU_RS12265	-
TU1OEB-1672	USA300HOU_RS10935	+
TU1OEB-1177	USA300HOU_RS11200 // USA300HOU_RS11195 // USA300HOU_RS11190 // USA300HOU_RS11185	-
TU1OEB-946	USA300HOU_RS08935 // USA300HOU_RS08930 // USA300HOU_RS08925	-
TU1OEB-1216	USA300HOU_RS11605	-
TU1OEB-1117	USA300HOU_RS10545	+
TU1OEB-1725	USA300HOU_RS15345	+
TU1OEB-867	USA300HOU_RS08030 // USA300HOU_RS08025	-
TU1OEB-1498	USA300HOU_RS14190	-
TU1OEB-9	USA300HOU_RS14855	-
TU1OEB-1011	USA300HOU_RS09490	-
TU1OEB-1926	USA300HOU_RS00035	-
TU1OEB-199	USA300HOU_RS01715	+
TU1OEB-586	USA300HOU_RS05020	+
TU1OEB-207	USA300HOU_RS01800 // USA300HOU_RS01795 // USA300HOU_RS01790	+
TU1OEB-1865	USA300HOU_RS02740	-
TU1OEB-249	USA300HOU_RS02160	+
TU1OEB-532	USA300HOU_RS04515	+
TU1OEB-1897	USA300HOU_RS01395	+
TU1OEB-431	USA300HOU_RS03735	+
TU1OEB-571	USA300HOU_RS04860 // USA300HOU_RS04855 // USA300HOU_RS04850 // USA300HOU_RS04845	+
TU1OEB-1857	USA300HOU_RS03445	+
TU1OEB-1084	USA300HOU_RS10240	-
TU1OEB-425	USA300HOU_RS03690 // USA300HOU_RS03685 // USA300HOU_RS03680	-
TU1OEB-713	USA300HOU_RS06345 // USA300HOU_RS06340	+
TU1OEB-1425	USA300HOU_RS13625 // USA300HOU_RS13620 // USA300HOU_RS13615	-
TU1OEB-84	USA300HOU_RS00560	-
TU1OEB-363	USA300HOU_RS03140	+
TU1OEB-1563	USA300HOU_RS14725	-
TU1OEB-1778	USA300HOU_RS06690	-
TU1OEB-881	USA300HOU_RS08205 // USA300HOU_RS08200 // USA300HOU_RS08195	-
TU1OEB-909	USA300HOU_RS08535	-
TU1OEB-217	USA300HOU_RS01910	+
TU1OEB-1155	USA300HOU_RS10965 // USA300HOU_RS10960	+
TU1OEB-1891	USA300HOU_RS01685	-
TU1OEB-1460	USA300HOU_RS13895 // USA300HOU_RS13890	-
TU1OEB-1755	USA300HOU_RS07145	+
TU1OEB-423	USA300HOU_RS03670	+
TU1OEB-937	USA300HOU_RS08860	-
TU1OEB-693	USA300HOU_RS06145 // USA300HOU_RS06140 // USA300HOU_RS06135	+
TU1OEB-701	USA300HOU_RS06235 // USA300HOU_RS06230	+
TU1OEB-1239	USA300HOU_RS15505	+
TU1OEB-1874	USA300HOU_RS15045	-
TU1OEB-1542	USA300HOU_RS14580 // USA300HOU_RS14575	-
TU1OEB-938	USA300HOU_RS08865	-
TU1OEB-284	USA300HOU_RS02480 // USA300HOU_RS02475 // USA300HOU_RS02470	+
TU1OEB-1659	USA300HOU_RS11535	+
TU1OEB-1026	USA300HOU_RS09600	-
TU1OEB-617	USA300HOU_RS05385	+
TU1OEB-652	USA300HOU_RS05740	+
TU1OEB-827	USA300HOU_RS07500 // USA300HOU_RS07495 // USA300HOU_RS07490	-
TU1OEB-294	USA300HOU_RS02605	+
TU1OEB-85	USA300HOU_RS00565	+
TU1OEB-1456	USA300HOU_RS13870	-
TU1OEB-1908	USA300HOU_RS00900	-
TU1OEB-1065	USA300HOU_RS10095	-
TU1OEB-1101	USA300HOU_RS10400 // USA300HOU_RS10395	+
TU1OEB-283	USA300HOU_RS02460 // USA300HOU_RS02455 // USA300HOU_RS02450	+
TU1OEB-855	USA300HOU_RS07805	-
TU1OEB-949	USA300HOU_RS08960	-
TU1OEB-1067	USA300HOU_RS10110	+
TU1OEB-1512	USA300HOU_RS14300	-
TU1OEB-455	USA300HOU_RS15125	-
TU1OEB-613	USA300HOU_RS05255	-
TU1OEB-1447	USA300HOU_RS13795	+
TU1OEB-406	USA300HOU_RS03530	+
TU1OEB-40	USA300HOU_RS00235	+
TU1OEB-1910	USA300HOU_RS00710	-
TU1OEB-1000	USA300HOU_RS09400 // USA300HOU_RS09395 // USA300HOU_RS09390 // USA300HOU_RS09385	-
TU1OEB-120	USA300HOU_RS00925 // USA300HOU_RS00920 // USA300HOU_RS00915 // USA300HOU_RS00910	+
TU1OEB-803	USA300HOU_RS07255	-
TU1OEB-493	USA300HOU_RS04185	+
TU1OEB-132	USA300HOU_RS01045 // USA300HOU_RS01040 // USA300HOU_RS01035	+
TU1OEB-1514	USA300HOU_RS14320 // USA300HOU_RS14315	-
TU1OEB-1074	USA300HOU_RS10160 // USA300HOU_RS10155 // USA300HOU_RS10150	-
TU1OEB-675	USA300HOU_RS05900	+
TU1OEB-1091	USA300HOU_RS10300	-
TU1OEB-391	USA300HOU_RS03360 // USA300HOU_RS03355	-
TU1OEB-259	USA300HOU_RS02280 // USA300HOU_RS02275	+
TU1OEB-1603	USA300HOU_RS13405	+
TU1OEB-1357	USA300HOU_RS12990	-
TU1OEB-1475	USA300HOU_RS14015 // USA300HOU_RS14010	-
TU1OEB-1462	USA300HOU_RS13925	-
TU1OEB-1164	USA300HOU_RS11050 // USA300HOU_RS11045 // USA300HOU_RS11040 // USA300HOU_RS11035	-
TU1OEB-985	USA300HOU_RS09260 // USA300HOU_RS09255 // USA300HOU_RS09250 // USA300HOU_RS09245	-
TU1OEB-1808	USA300HOU_RS05380	+
TU1OEB-656	USA300HOU_RS05775	+
TU1OEB-272	USA300HOU_RS02390	+
TU1OEB-623	USA300HOU_RS05445	-
TU1OEB-1245	USA300HOU_RS11860	-
TU1OEB-1578	USA300HOU_RS14225	+
TU1OEB-1494	USA300HOU_RS14165	+
TU1OEB-1699	USA300HOU_RS15385	+
TU1OEB-1132	USA300HOU_RS10790 // USA300HOU_RS10785 // USA300HOU_RS15460 // USA300HOU_RS10780 // USA300HOU_RS10775	-
TU1OEB-1504	USA300HOU_RS14235 // USA300HOU_RS14230	-
TU1OEB-68	USA300HOU_RS00460	+
TU1OEB-1895	USA300HOU_RS01480	-
TU1OEB-1765	USA300HOU_RS06885	-
TU1OEB-1683	USA300HOU_RS10455	+
TU1OEB-225	USA300HOU_RS01970	+
TU1OEB-1166	USA300HOU_RS11100 // USA300HOU_RS11095 // USA300HOU_RS11090 // USA300HOU_RS11085 // USA300HOU_RS11080 // USA300HOU_RS11075 // USA300HOU_RS11070 // USA300HOU_RS11065 // USA300HOU_RS11060	+
TU1OEB-1811	USA300HOU_RS05295	-
TU1OEB-842	USA300HOU_RS07630 // USA300HOU_RS07625 // USA300HOU_RS07620	-
TU1OEB-1769	USA300HOU_RS06860	-
TU1OEB-648	USA300HOU_RS05710 // USA300HOU_RS05705	+
TU1OEB-1709	USA300HOU_RS09275	+
TU1OEB-762	USA300HOU_RS06800	+
TU1OEB-322	USA300HOU_RS02865	+
TU1OEB-1925	USA300HOU_RS00040	+
TU1OEB-1407	USA300HOU_RS13485	-
TU1OEB-67	USA300HOU_RS00455	-
TU1OEB-1869	USA300HOU_RS15055	-
TU1OEB-261	USA300HOU_RS02300 // USA300HOU_RS02295	+
TU1OEB-576	USA300HOU_RS04935 // USA300HOU_RS04930 // USA300HOU_RS04925 // USA300HOU_RS04920	+
TU1OEB-724	USA300HOU_RS06465 // USA300HOU_RS06460 // USA300HOU_RS06455	+
TU1OEB-1287	USA300HOU_RS12410 // USA300HOU_RS12405 // USA300HOU_RS12400 // USA300HOU_RS12395 // USA300HOU_RS12390 // USA300HOU_RS12385 // USA300HOU_RS12380	+
TU1OEB-1421	USA300HOU_RS13590	-
TU1OEB-1533	USA300HOU_RS14495 // USA300HOU_RS14490 // USA300HOU_RS14485 // USA300HOU_RS14480	+
TU1OEB-1419	USA300HOU_RS13580 // USA300HOU_RS13575	-
TU1OEB-779	USA300HOU_RS07000 // USA300HOU_RS06995	+
TU1OEB-1651	USA300HOU_RS12185	+
TU1OEB-1004	USA300HOU_RS09430	-
TU1OEB-1582	USA300HOU_RS14115	-
TU1OEB-605	USA300HOU_RS05210 // USA300HOU_RS05205	-
TU1OEB-1412	USA300HOU_RS13520 // USA300HOU_RS13515	-
TU1OEB-516	USA300HOU_RS04350	-
TU1OEB-1437	USA300HOU_RS13740	+
TU1OEB-728	USA300HOU_RS06490	+
TU1OEB-1249	USA300HOU_RS11915	-
TU1OEB-549	USA300HOU_RS04690	-
TU1OEB-1438	USA300HOU_RS13745	+
TU1OEB-393	USA300HOU_RS03410 // USA300HOU_RS03405 // USA300HOU_RS03400 // USA300HOU_RS03395 // USA300HOU_RS03390 // USA300HOU_RS03385 // USA300HOU_RS03380 // USA300HOU_RS03375	+
TU1OEB-1115	USA300HOU_RS10530	+
TU1OEB-248	USA300HOU_RS02155	+
TU1OEB-1190	USA300HOU_RS11340 // USA300HOU_RS11335	-
TU1OEB-1208	USA300HOU_RS11555	-
TU1OEB-1878	USA300HOU_RS02030	-
TU1OEB-220	USA300HOU_RS01940 // USA300HOU_RS01935	+
TU1OEB-885	USA300HOU_RS08240 // USA300HOU_RS08235	-
TU1OEB-1608	USA300HOU_RS15560	-
TU1OEB-833	USA300HOU_RS07550	-
TU1OEB-1455	USA300HOU_RS13865	-
TU1OEB-1226	USA300HOU_RS11715 // USA300HOU_RS11710 // USA300HOU_RS11705 // USA300HOU_RS11700 // USA300HOU_RS11695 // USA300HOU_RS11690 // USA300HOU_RS11685 // USA300HOU_RS11680	-
TU1OEB-476	USA300HOU_RS04065	+
TU1OEB-70	USA300HOU_RS00475 // USA300HOU_RS00470	-
TU1OEB-490	USA300HOU_RS04175	+
TU1OEB-1877	USA300HOU_RS02035	+
TU1OEB-176	USA300HOU_RS01465	-
TU1OEB-531	USA300HOU_RS04495	+
TU1OEB-1110	USA300HOU_RS10470	-
TU1OEB-647	USA300HOU_RS15250	+
TU1OEB-399	USA300HOU_RS03480	+
TU1OEB-1211	USA300HOU_RS11575	-
TU1OEB-1055	USA300HOU_RS09870	-
TU1OEB-1283	USA300HOU_RS12360	-
TU1OEB-1516	USA300HOU_RS14335	-
TU1OEB-365	USA300HOU_RS03155	+
TU1OEB-1656	USA300HOU_RS11610	+
TU1OEB-1473	USA300HOU_RS14000 // USA300HOU_RS13995	+
TU1OEB-31	USA300HOU_RS00155	+
TU1OEB-1495	USA300HOU_RS14170	+
TU1OEB-1266	USA300HOU_RS12180 // USA300HOU_RS12175 // USA300HOU_RS12170 // USA300HOU_RS12165 // USA300HOU_RS12160	-
TU1OEB-58	USA300HOU_RS00385 // USA300HOU_RS00380 // USA300HOU_RS00375 // USA300HOU_RS00370 // USA300HOU_RS00365 // USA300HOU_RS00360	+
TU1OEB-306	USA300HOU_RS02760 // USA300HOU_RS02755 // USA300HOU_RS02750	+
TU1OEB-1205	USA300HOU_RS11515 // USA300HOU_RS11510	-
TU1OEB-1469	USA300HOU_RS15595	+
TU1OEB-111	USA300HOU_RS14985 // USA300HOU_RS14980 // USA300HOU_RS14975	+
TU1OEB-2	USA300HOU_RS14750 // USA300HOU_RS14745	+
TU1OEB-496	USA300HOU_RS04215	+
TU1OEB-1639	USA300HOU_RS12525	-
TU1OEB-218	USA300HOU_RS01925 // USA300HOU_RS01920 // USA300HOU_RS01915	+
TU1OEB-691	USA300HOU_RS06095	+
TU1OEB-1260	USA300HOU_RS12000 // USA300HOU_RS11995	-
TU1OEB-1400	USA300HOU_RS13410	-
TU1OEB-305	USA300HOU_RS02745	+
TU1OEB-644	USA300HOU_RS05680 // USA300HOU_RS05675 // USA300HOU_RS05670	+
TU1OEB-1359	USA300HOU_RS13000	-
TU1OEB-101	USA300HOU_RS00700	+
TU1OEB-696	USA300HOU_RS06185 // USA300HOU_RS06180 // USA300HOU_RS06175 // USA300HOU_RS06170	+
TU1OEB-782	USA300HOU_RS07030 // USA300HOU_RS07025 // USA300HOU_RS07020 // USA300HOU_RS07015	-
TU1OEB-301	USA300HOU_RS02650	+
TU1OEB-1923	USA300HOU_RS14910	-
TU1OEB-999	USA300HOU_RS15365 // USA300HOU_RS09375 // USA300HOU_RS09370	-
TU1OEB-773	USA300HOU_RS06905	+
TU1OEB-1726	USA300HOU_RS08660	+
TU1OEB-535	USA300HOU_RS04535	+
TU1OEB-1384	USA300HOU_RS13220 // USA300HOU_RS13215	-
TU1OEB-1818	USA300HOU_RS05160	+
TU1OEB-1202	USA300HOU_RS11485	-
TU1OEB-226	USA300HOU_RS01975	+
TU1OEB-736	USA300HOU_RS06565 // USA300HOU_RS06560 // USA300HOU_RS06555	+
TU1OEB-24	USA300HOU_RS00120	+
TU1OEB-1420	USA300HOU_RS13585	-
TU1OEB-1637	USA300HOU_RS12570	+
TU1OEB-361	USA300HOU_RS03130	+
TU1OEB-1320	USA300HOU_RS12675	-
TU1OEB-1702	USA300HOU_RS09520	+
TU1OEB-35	USA300HOU_RS00190	-
TU1OEB-1114	USA300HOU_RS10525 // USA300HOU_RS10520	-
TU1OEB-1031	USA300HOU_RS09640	-
TU1OEB-428	USA300HOU_RS03715	+
TU1OEB-114	USA300HOU_RS00870	+
TU1OEB-705	USA300HOU_RS06280 // USA300HOU_RS06275	+
TU1OEB-823	USA300HOU_RS07460 // USA300HOU_RS07455 // USA300HOU_RS07450 // USA300HOU_RS07445	-
TU1OEB-468	USA300HOU_RS04000	-
TU1OEB-1238	USA300HOU_RS11810	+
TU1OEB-580	USA300HOU_RS04955	+
TU1OEB-973	USA300HOU_RS09165	-
TU1OEB-23	USA300HOU_RS00115 // USA300HOU_RS00110 // USA300HOU_RS00105 // USA300HOU_RS00100	+
TU1OEB-1486	USA300HOU_RS14105	-
TU1OEB-1570	USA300HOU_RS14645	-
TU1OEB-667	USA300HOU_RS05840	-
TU1OEB-655	USA300HOU_RS05770	+
TU1OEB-921	USA300HOU_RS08680 // USA300HOU_RS08675	-
TU1OEB-379	USA300HOU_RS03255 // USA300HOU_RS03250	+
TU1OEB-155	USA300HOU_RS01280 // USA300HOU_RS01275 // USA300HOU_RS01270	+
TU1OEB-1493	USA300HOU_RS14160	-
TU1OEB-421	USA300HOU_RS03660	+
TU1OEB-1092	USA300HOU_RS10305	-
TU1OEB-632	USA300HOU_RS05520	-
TU1OEB-1661	USA300HOU_RS11500	+
TU1OEB-465	USA300HOU_RS03985	+
TU1OEB-1325	USA300HOU_RS12725 // USA300HOU_RS12720	-
TU1OEB-536	USA300HOU_RS04555 // USA300HOU_RS04550	+
TU1OEB-1657	USA300HOU_RS11545	+
TU1OEB-1594	USA300HOU_RS13690	-
TU1OEB-427	USA300HOU_RS03705 // USA300HOU_RS03700	+
TU1OEB-262	USA300HOU_RS02305	+
TU1OEB-370	USA300HOU_RS03195	+
TU1OEB-279	USA300HOU_RS02430	+
TU1OEB-1814	USA300HOU_RS05285	+
TU1OEB-1308	USA300HOU_RS12560 // USA300HOU_RS12555	-
TU1OEB-494	USA300HOU_RS04205 // USA300HOU_RS04200 // USA300HOU_RS04195 // USA300HOU_RS04190	+
TU1OEB-1628	USA300HOU_RS12730	+
TU1OEB-1510	USA300HOU_RS14290	-
TU1OEB-811	USA300HOU_RS07345	-
TU1OEB-871	USA300HOU_RS08075	-
TU1OEB-1522	USA300HOU_RS14380	-
TU1OEB-1381	USA300HOU_RS13185	+
TU1OEB-738	USA300HOU_RS06590 // USA300HOU_RS06585	+
TU1OEB-1063	USA300HOU_RS09935	-
TU1OEB-319	USA300HOU_RS02850	+
TU1OEB-688	USA300HOU_RS06065	+
TU1OEB-481	USA300HOU_RS04090	+
TU1OEB-1209	USA300HOU_RS11560	-
TU1OEB-459	USA300HOU_RS15135	+
TU1OEB-286	USA300HOU_RS02520 // USA300HOU_RS02515	+
TU1OEB-1694	USA300HOU_RS09940	+
TU1OEB-910	USA300HOU_RS08540	-
TU1OEB-552	USA300HOU_RS04730	+
TU1OEB-1822	USA300HOU_RS05095	+
TU1OEB-296	USA300HOU_RS02620	+
TU1OEB-257	USA300HOU_RS02265	+
TU1OEB-186	USA300HOU_RS01610	+
TU1OEB-1592	USA300HOU_RS13710	+
TU1OEB-1692	USA300HOU_RS10275	+
TU1OEB-1922	USA300HOU_RS00140	-
TU1OEB-815	USA300HOU_RS07385	-
TU1OEB-1418	USA300HOU_RS13570 // USA300HOU_RS13565	-
TU1OEB-374	USA300HOU_RS03230 // USA300HOU_RS03225	+
TU1OEB-469	USA300HOU_RS04005	+
TU1OEB-271	USA300HOU_RS02385	+
TU1OEB-1167	USA300HOU_RS11115 // USA300HOU_RS11110	-
TU1OEB-1804	USA300HOU_RS05530	-
TU1OEB-1116	USA300HOU_RS15430 // USA300HOU_RS10535	+
TU1OEB-1798	USA300HOU_RS05620	-
TU1OEB-689	USA300HOU_RS06080 // USA300HOU_RS06075	+
TU1OEB-1686	USA300HOU_RS10435	+
TU1OEB-875	USA300HOU_RS08125 // USA300HOU_RS08120	-
TU1OEB-838	USA300HOU_RS07590	-
TU1OEB-594	USA300HOU_RS05085 // USA300HOU_RS05080	-
TU1OEB-502	USA300HOU_RS04260 // USA300HOU_RS04255	+
TU1OEB-959	USA300HOU_RS09065	-
TU1OEB-1701	USA300HOU_RS09595	+
TU1OEB-95	USA300HOU_RS00655	+
TU1OEB-163	USA300HOU_RS01365 // USA300HOU_RS01360	+
TU1OEB-270	USA300HOU_RS02380 // USA300HOU_RS02375	+
TU1OEB-1018	USA300HOU_RS09545	+
TU1OEB-945	USA300HOU_RS08920	-
TU1OEB-1124	USA300HOU_RS10590	-
TU1OEB-1783	USA300HOU_RS06250	-
TU1OEB-1519	USA300HOU_RS14350	+
TU1OEB-1225	USA300HOU_RS15500	+
TU1OEB-1302	USA300HOU_RS12510	-
TU1OEB-878	USA300HOU_RS08160 // USA300HOU_RS08155 // USA300HOU_RS08150	-
TU1OEB-1789	USA300HOU_RS05910	-
TU1OEB-228	USA300HOU_RS02005	-
TU1OEB-1471	USA300HOU_RS13980 // USA300HOU_RS13975 // USA300HOU_RS13970	-
TU1OEB-640	USA300HOU_RS05615 // USA300HOU_RS05610	+
TU1OEB-1398	USA300HOU_RS13395	-
TU1OEB-1610	USA300HOU_RS13240	+
TU1OEB-287	USA300HOU_RS02525	+
TU1OEB-666	USA300HOU_RS05835 // USA300HOU_RS05830	+
TU1OEB-472	USA300HOU_RS04030 // USA300HOU_RS04025 // USA300HOU_RS04020	-
TU1OEB-1534	USA300HOU_RS15615	+
TU1OEB-1310	USA300HOU_RS12585	-
TU1OEB-739	USA300HOU_RS06595	+
TU1OEB-1750	USA300HOU_RS07560	+
TU1OEB-1268	USA300HOU_RS12200 // USA300HOU_RS12195	-
TU1OEB-1274	USA300HOU_RS12230	+
TU1OEB-711	USA300HOU_RS06320	+
TU1OEB-1794	USA300HOU_RS05700	-
TU1OEB-197	USA300HOU_RS01705	-
TU1OEB-1787	USA300HOU_RS06070	-
TU1OEB-1403	USA300HOU_RS13435	-
TU1OEB-582	USA300HOU_RS04970 // USA300HOU_RS04965	-
TU1OEB-346	USA300HOU_RS03015 // USA300HOU_RS03010 // USA300HOU_RS15090	+
TU1OEB-1457	USA300HOU_RS13875	+
TU1OEB-1281	USA300HOU_RS12350	-
TU1OEB-1561	USA300HOU_RS14715	-
TU1OEB-1382	USA300HOU_RS13205	+
TU1OEB-1706	USA300HOU_RS09445	-
TU1OEB-103	USA300HOU_RS00735 // USA300HOU_RS00730 // USA300HOU_RS00725 // USA300HOU_RS00720	+
TU1OEB-1343	USA300HOU_RS12880	+
TU1OEB-148	USA300HOU_RS01225	-
TU1OEB-716	USA300HOU_RS06370	+
TU1OEB-122	USA300HOU_RS00935	+
TU1OEB-742	USA300HOU_RS06610	+
TU1OEB-585	USA300HOU_RS05010	+
TU1OEB-622	USA300HOU_RS05440 // USA300HOU_RS05435 // USA300HOU_RS05430	-
TU1OEB-519	USA300HOU_RS04370	+
TU1OEB-1790	USA300HOU_RS05890	-
TU1OEB-1716	USA300HOU_RS09070	+
TU1OEB-351	USA300HOU_RS03050	+
TU1OEB-1720	USA300HOU_RS08990	+
TU1OEB-702	USA300HOU_RS06240	+
TU1OEB-25	USA300HOU_RS00125	+
TU1OEB-810	USA300HOU_RS07340	-
TU1OEB-1918	USA300HOU_RS00275	+
