,name,genes,source
JCVISYN3A_0039-MONOMER,Membrane anchored AAA+ protease,JCVISYN3A_0039(),GenBank
JCVISYN3A_0040-MONOMER,tRNA lysidine(34) synthetase,JCVISYN3A_0040(1),GenBank
JCVISYN3A_0042-MONOMER,Uncharacterized transcriptional regulator,JCVISYN3A_0042(),GenBank
JCVISYN3A_0043-MONOMER,Uncharacterized methyltransferase,JCVISYN3A_0043(),GenBank
JCVISYN3A_0044-MONOMER,DNA polymerase III subunit delta,JCVISYN3A_0044(),GenBank
JCVISYN3A_0045-MONOMER,dTMP kinase,JCVISYN3A_0045(1),GenBank
JCVISYN3A_0046-MONOMER,Recombination protein,JCVISYN3A_0046(),GenBank
JCVISYN3A_0047-MONOMER,DNA polymerase III subunit gamma and tau,JCVISYN3A_0047(),GenBank
JCVISYN3A_0051-MONOMER,JCVISYN3A_0051,JCVISYN3A_0051(),GenBank
JCVISYN3A_0054-MONOMER,Uncharacterized peroxiredoxin,JCVISYN3A_0054(1),GenBank
JCVISYN3A_0060-MONOMER,Uncharacterized protein,JCVISYN3A_0060(),GenBank
JCVISYN3A_0061-MONOMER,Serine--tRNA ligase,JCVISYN3A_0061(2),GenBank
JCVISYN3A_0063-MONOMER,Uncharacterized tRNA dihydrouridine synthase,JCVISYN3A_0063(1),GenBank
JCVISYN3A_0064-MONOMER,Lysine--tRNA ligase,JCVISYN3A_0064(2),GenBank
JCVISYN3A_0065-MONOMER,Thioredoxin,JCVISYN3A_0065(1),GenBank
JCVISYN3A_0066-MONOMER,Low specificity hydrolase,JCVISYN3A_0066(),GenBank
JCVISYN3A_0076-MONOMER,Asparagine--tRNA ligase,JCVISYN3A_0076(2),GenBank
JCVISYN3A_0077-MONOMER,Uncharacterized hydrolase,JCVISYN3A_0077(),GenBank
JCVISYN3A_0079-MONOMER,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D,JCVISYN3A_0079(),GenBank
JCVISYN3A_0080-MONOMER,Uncharacterized protein,JCVISYN3A_0080(),GenBank
JCVISYN3A_0081-MONOMER,tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase,JCVISYN3A_0081(2),GenBank
JCVISYN3A_0082-MONOMER,30S ribosomal protein S20,JCVISYN3A_0082(),GenBank
JCVISYN3A_0094-MONOMER,Uncharacterized protein,JCVISYN3A_0094(),GenBank
JCVISYN3A_0095-MONOMER,Preprotein translocase subunit A,JCVISYN3A_0095(1),GenBank
JCVISYN3A_0097-MONOMER,Uncharacterized 5'-3' exonuclease,JCVISYN3A_0097(),GenBank
JCVISYN3A_0105-MONOMER,Exodeoxyribonuclease VII small subunit,JCVISYN3A_0105(),GenBank
JCVISYN3A_0106-MONOMER,Exodeoxyribonuclease VII large subunit,JCVISYN3A_0106(),GenBank
JCVISYN3A_0107-MONOMER,Transcription antitermination factor,JCVISYN3A_0107(),GenBank
JCVISYN3A_0108-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0108(),GenBank
JCVISYN3A_0109-MONOMER,Deoxyribonuclease IV,JCVISYN3A_0109(),GenBank
JCVISYN3A_0113-MONOMER,Glycolipid synthase A,JCVISYN3A_0113(),GenBank
JCVISYN3A_0114-MONOMER,Glycolipid synthase B,JCVISYN3A_0114(),GenBank
JCVISYN3A_0115-MONOMER,UTP--glucose-1-phosphate uridylyltransferase,JCVISYN3A_0115(1),GenBank
JCVISYN3A_0116-MONOMER,Uncharacterized protein,JCVISYN3A_0116(),GenBank
JCVISYN3A_0117-MONOMER,Acyl-phosphate glycerol 3-phosphate acyltransferase,JCVISYN3A_0117(1),GenBank
JCVISYN3A_0126-MONOMER,Glutamate--tRNA ligase,JCVISYN3A_0126(1),GenBank
JCVISYN3A_0127-MONOMER,Uncharacterized phosphohydrolase,JCVISYN3A_0127(),GenBank
JCVISYN3A_0128-MONOMER,DNA-directed RNA polymerase subunit delta,JCVISYN3A_0128(),GenBank
JCVISYN3A_0129-MONOMER,CTP synthase,JCVISYN3A_0129(4),GenBank
JCVISYN3A_0131-MONOMER,"Fructose-1,6-bisphosphate aldolase",JCVISYN3A_0131(),GenBank
JCVISYN3A_0132-MONOMER,Toxin-antitoxin AAA ATPase,JCVISYN3A_0132(),GenBank
JCVISYN3A_0133-MONOMER,Toxin-antitoxin serine protease,JCVISYN3A_0133(),GenBank
JCVISYN3A_0137-MONOMER,50S ribosomal protein L31,JCVISYN3A_0137(),GenBank
JCVISYN3A_0138-MONOMER,Uncharacterized protein,JCVISYN3A_0138(),GenBank
JCVISYN3A_0139-MONOMER,NanoRNAse,JCVISYN3A_0139(),GenBank
JCVISYN3A_0140-MONOMER,Thymidine kinase,JCVISYN3A_0140(1),GenBank
JCVISYN3A_0141-MONOMER,Peptide chain release factor 1,JCVISYN3A_0141(1),GenBank
JCVISYN3A_0142-MONOMER,"Protein-(glutamine-N5) methyltransferase, release factor-specific",JCVISYN3A_0142(),GenBank
JCVISYN3A_0143-MONOMER,Uncharacterized protein,JCVISYN3A_0143(),GenBank
JCVISYN3A_0144-MONOMER,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit,JCVISYN3A_0144(),GenBank
JCVISYN3A_0145-MONOMER,Uncharacterized acetyltransferase,JCVISYN3A_0145(),GenBank
JCVISYN3A_0146-MONOMER,Uncharacterized protein,JCVISYN3A_0146(),GenBank
JCVISYN3A_0147-MONOMER,Cardiolipin synthase,JCVISYN3A_0147(1),GenBank
JCVISYN3A_0148-MONOMER,30S ribosomal protein S12,JCVISYN3A_0148(1),GenBank
JCVISYN3A_0149-MONOMER,30S ribosomal protein S7,JCVISYN3A_0149(1),GenBank
JCVISYN3A_0150-MONOMER,Translation elongation factor G,JCVISYN3A_0150(1),GenBank
JCVISYN3A_0151-MONOMER,Translation elongation factor Tu,JCVISYN3A_0151(1),GenBank
JCVISYN3A_0163-MONOMER,Alanine--tRNA ligase,JCVISYN3A_0163(4),GenBank
JCVISYN3A_0164-MONOMER,Uncharacterized protein,JCVISYN3A_0164(),GenBank
JCVISYN3A_0165-MONOMER,Oligopeptide ABC transporter permease,JCVISYN3A_0165(),GenBank
JCVISYN3A_0166-MONOMER,Oligopeptide ABC transporter permease,JCVISYN3A_0166(),GenBank
JCVISYN3A_0167-MONOMER,Oligopeptide ABC transporter ATP-binding protein,JCVISYN3A_0167(),GenBank
JCVISYN3A_0168-MONOMER,Oligopeptide ABC transporter ATP-binding protein,JCVISYN3A_0168(),GenBank
JCVISYN3A_0169-MONOMER,Oligopeptide ABC transporter substrate-binding protein,JCVISYN3A_0169(),GenBank
JCVISYN3A_0195-MONOMER,Spermidine/putrescine ABC transporter permease,JCVISYN3A_0195(),GenBank
JCVISYN3A_0196-MONOMER,Spermidine/putrescine ABC transporter permease,JCVISYN3A_0196(),GenBank
JCVISYN3A_0197-MONOMER,Spermidine/putrescine ABC transporter ATP-binding protein,JCVISYN3A_0197(),GenBank
JCVISYN3A_0198-MONOMER,50S ribosomal protein L20,JCVISYN3A_0198(1),GenBank
JCVISYN3A_0199-MONOMER,50S ribosomal protein L35,JCVISYN3A_0199(),GenBank
JCVISYN3A_0200-MONOMER,Translation initiation factor IF-3,JCVISYN3A_0200(1),GenBank
JCVISYN3A_0201-MONOMER,Peptide deformylase,JCVISYN3A_0201(1),GenBank
JCVISYN3A_0202-MONOMER,16S rRNA (guanine(966)-N(2))-methyltransferase,JCVISYN3A_0202(),GenBank
JCVISYN3A_0203-MONOMER,Guanylate kinase,JCVISYN3A_0203(2),GenBank
JCVISYN3A_0213-MONOMER,Phosphopyruvate hydratase,JCVISYN3A_0213(2),GenBank
JCVISYN3A_0214-MONOMER,Phosphatidylglycerophosphatase,JCVISYN3A_0214(),GenBank
JCVISYN3A_0215-MONOMER,Putative pre-16S rRNA nuclease,JCVISYN3A_0215(),GenBank
JCVISYN3A_0216-MONOMER,Hypoxanthine phosphoribosyltransferase,JCVISYN3A_0216(4),GenBank
JCVISYN3A_0218-MONOMER,Glycerol kinase,JCVISYN3A_0218(4),GenBank
JCVISYN3A_0220-MONOMER,6-Phosphofructokinase,JCVISYN3A_0220(4),GenBank
JCVISYN3A_0221-MONOMER,Pyruvate kinase,JCVISYN3A_0221(4),GenBank
JCVISYN3A_0222-MONOMER,Threonine--tRNA ligase,JCVISYN3A_0222(2),GenBank
JCVISYN3A_0227-MONOMER,Branched-chain alpha-keto acid dehydrogenase subunit E2,JCVISYN3A_0227(),GenBank
JCVISYN3A_0228-MONOMER,Dihydrolipoyl dehydrogenase,JCVISYN3A_0228(),GenBank
JCVISYN3A_0229-MONOMER,Phosphate acetyltransferase,JCVISYN3A_0229(6),GenBank
JCVISYN3A_0230-MONOMER,Acetate kinase,JCVISYN3A_0230(1),GenBank
JCVISYN3A_0233-MONOMER,Phosphoenolpyruvate--protein phosphotransferase,JCVISYN3A_0233(1),GenBank
JCVISYN3A_0234-MONOMER,PTS glucose transporter subunit IIA,JCVISYN3A_0234(),GenBank
JCVISYN3A_0235-MONOMER,Uncharacterized protein,JCVISYN3A_0235(),GenBank
JCVISYN3A_0238-MONOMER,30S ribosomal protein S4,JCVISYN3A_0238(1),GenBank
JCVISYN3A_0239-MONOMER,Uncharacterized protein,JCVISYN3A_0239(),GenBank
JCVISYN3A_0240-MONOMER,tRNA 4-thiouridine(8) synthase,JCVISYN3A_0240(1),GenBank
JCVISYN3A_0247-MONOMER,Ribosome biogenesis GTP-binding protein,JCVISYN3A_0247(),GenBank
JCVISYN3A_0248-MONOMER,Uncharacterized protein,JCVISYN3A_0248(),GenBank
JCVISYN3A_0249-MONOMER,Uncharacterized protein,JCVISYN3A_0249(),GenBank
JCVISYN3A_0250-MONOMER,Uncharacterized protein,JCVISYN3A_0250(),GenBank
JCVISYN3A_0253-MONOMER,Transcription elongation factor,JCVISYN3A_0253(1),GenBank
JCVISYN3A_0254-MONOMER,Excinuclease ABC subunit C,JCVISYN3A_0254(),GenBank
JCVISYN3A_0257-MONOMER,RNase J family beta-CASP ribonuclease,JCVISYN3A_0257(),GenBank
JCVISYN3A_0259-MONOMER,NAD(+) kinase,JCVISYN3A_0259(),GenBank
JCVISYN3A_0260-MONOMER,Valine--tRNA ligase,JCVISYN3A_0260(1),GenBank
JCVISYN3A_0262-MONOMER,Ribulose-phosphate 3-epimerase,JCVISYN3A_0262(1),GenBank
JCVISYN3A_0263-MONOMER,Ribosome small subunit-dependent GTPase A,JCVISYN3A_0263(1),GenBank
JCVISYN3A_0264-MONOMER,Uncharacterized serine/threonine protein kinase,JCVISYN3A_0264(),GenBank
JCVISYN3A_0270-MONOMER,tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase,JCVISYN3A_0270(),GenBank
JCVISYN3A_0271-MONOMER,tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit,JCVISYN3A_0271(),GenBank
JCVISYN3A_0281-MONOMER,Uncharacterized protein,JCVISYN3A_0281(),GenBank
JCVISYN3A_0282-MONOMER,Proline--tRNA ligase,JCVISYN3A_0282(),GenBank
JCVISYN3A_0283-MONOMER,Double-stranded RNA binding RNase HI,JCVISYN3A_0283(),GenBank
JCVISYN3A_0285-MONOMER,Elongation factor 4,JCVISYN3A_0285(),GenBank
JCVISYN3A_0286-MONOMER,Uncharacterized protein,JCVISYN3A_0286(),GenBank
JCVISYN3A_0287-MONOMER,Aspartate--tRNA ligase,JCVISYN3A_0287(2),GenBank
JCVISYN3A_0288-MONOMER,Histidine--tRNA ligase,JCVISYN3A_0288(2),GenBank
JCVISYN3A_0289-MONOMER,Ribosome-binding factor A,JCVISYN3A_0289(),GenBank
JCVISYN3A_0290-MONOMER,tRNA pseudouridine(55) synthase,JCVISYN3A_0290(1),GenBank
JCVISYN3A_0291-MONOMER,FAD synthetase,JCVISYN3A_0291(1),GenBank
JCVISYN3A_0294-MONOMER,30S ribosomal protein S15,JCVISYN3A_0294(1),GenBank
JCVISYN3A_0296-MONOMER,Uncharacterized protein,JCVISYN3A_0296(),GenBank
JCVISYN3A_0297-MONOMER,Translation initiation factor IF-2,JCVISYN3A_0297(1),GenBank
JCVISYN3A_0298-MONOMER,Uncharacterized L7Ae family protein,JCVISYN3A_0298(),GenBank
JCVISYN3A_0299-MONOMER,Uncharacterized protein,JCVISYN3A_0299(),GenBank
JCVISYN3A_0300-MONOMER,Transcription termination/antitermination protein NusA,JCVISYN3A_0300(1),GenBank
JCVISYN3A_0301-MONOMER,Ribosome assembly cofactor,JCVISYN3A_0301(),GenBank
JCVISYN3A_0302-MONOMER,Flavin reductase,JCVISYN3A_0302(),GenBank
JCVISYN3A_0303-MONOMER,PolC-type DNA polymerase III,JCVISYN3A_0303(),GenBank
JCVISYN3A_0304-MONOMER,Phosphatidate cytidylyltransferase,JCVISYN3A_0304(1),GenBank
JCVISYN3A_0305-MONOMER,Uncharacterized metallopeptidase,JCVISYN3A_0305(),GenBank
JCVISYN3A_0308-MONOMER,Tryptophan--tRNA ligase,JCVISYN3A_0308(2),GenBank
JCVISYN3A_0314-MONOMER,Uncharacterized ECF transporter S component,JCVISYN3A_0314(),GenBank
JCVISYN3A_0315-MONOMER,Uncharacterized protein,JCVISYN3A_0315(),GenBank
JCVISYN3A_0316-MONOMER,Transketolase,JCVISYN3A_0316(2),GenBank
JCVISYN3A_0317-MONOMER,Uncharacterized protein,JCVISYN3A_0317(),GenBank
JCVISYN3A_0325-MONOMER,Uncharacterized protein,JCVISYN3A_0325(),GenBank
JCVISYN3A_0326-MONOMER,Uncharacterized protein,JCVISYN3A_0326(),GenBank
JCVISYN3A_0327-MONOMER,Chromosome segregation protein A,JCVISYN3A_0327(),GenBank
JCVISYN3A_0328-MONOMER,Chromosome segregation protein B,JCVISYN3A_0328(),GenBank
JCVISYN3A_0329-MONOMER,Uncharacterized pseudouridine synthase,JCVISYN3A_0329(1),GenBank
JCVISYN3A_0330-MONOMER,Deoxyguanosine kinase,JCVISYN3A_0330(),GenBank
JCVISYN3A_0332-MONOMER,Uncharacterized protein,JCVISYN3A_0332(),GenBank
JCVISYN3A_0338-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0338(),GenBank
JCVISYN3A_0344-MONOMER,Inorganic diphosphatase,JCVISYN3A_0344(6),GenBank
JCVISYN3A_0345-MONOMER,Uncharacterized ECF transporter S component,JCVISYN3A_0345(),GenBank
JCVISYN3A_0346-MONOMER,Uncharacterized protein,JCVISYN3A_0346(),GenBank
JCVISYN3A_0347-MONOMER,Cytidylate kinase,JCVISYN3A_0347(1),GenBank
JCVISYN3A_0348-MONOMER,Ribosome biogenesis GTPase,JCVISYN3A_0348(),GenBank
JCVISYN3A_0350-MONOMER,DNA-binding protein,JCVISYN3A_0350(),GenBank
JCVISYN3A_0352-MONOMER,Uncharacterized protein,JCVISYN3A_0352(),GenBank
JCVISYN3A_0353-MONOMER,Uncharacterized protein,JCVISYN3A_0353(),GenBank
JCVISYN3A_0359-MONOMER,Ribonuclease Y,JCVISYN3A_0359(),GenBank
JCVISYN3A_0360-MONOMER,Signal recognition particle protein,JCVISYN3A_0360(),GenBank
JCVISYN3A_0361-MONOMER,23S rRNA (pseudouridine(1915)-N3)-methyltransferase,JCVISYN3A_0361(2),GenBank
JCVISYN3A_0362-MONOMER,30S ribosomal protein S16,JCVISYN3A_0362(1),GenBank
JCVISYN3A_0363-MONOMER,16S rRNA processing protein,JCVISYN3A_0363(),GenBank
JCVISYN3A_0364-MONOMER,tRNA (guanosine(37)-N1)-methyltransferase,JCVISYN3A_0364(2),GenBank
JCVISYN3A_0365-MONOMER,50S ribosomal protein L19,JCVISYN3A_0365(1),GenBank
JCVISYN3A_0366-MONOMER,L16-binding dependent 50S subunit-maturation GTPase,JCVISYN3A_0366(),GenBank
JCVISYN3A_0371-MONOMER,Flippase A,JCVISYN3A_0371(2),GenBank
JCVISYN3A_0372-MONOMER,Flippase B,JCVISYN3A_0372(),GenBank
JCVISYN3A_0373-MONOMER,Uncharacterized protein,JCVISYN3A_0373(),GenBank
JCVISYN3A_0375-MONOMER,Uncharacterized protein,JCVISYN3A_0375(),GenBank
JCVISYN3A_0376-MONOMER,Uncharacterized protein,JCVISYN3A_0376(),GenBank
JCVISYN3A_0377-MONOMER,Ribosome GTPase,JCVISYN3A_0377(),GenBank
JCVISYN3A_0378-MONOMER,NAD(+) synthase,JCVISYN3A_0378(2),GenBank
JCVISYN3A_0379-MONOMER,Uncharacterized protein,JCVISYN3A_0379(),GenBank
JCVISYN3A_0380-MONOMER,Nicotinate (nicotinamide) nucleotide adenylyltransferase,JCVISYN3A_0380(1),GenBank
JCVISYN3A_0381-MONOMER,5'-Methylthioadenosine nucleosidase,JCVISYN3A_0381(2),GenBank
JCVISYN3A_0382-MONOMER,Deoxynucleoside kinase,JCVISYN3A_0382(),GenBank
JCVISYN3A_0387-MONOMER,tRNA 2-thiouridine(34) synthase,JCVISYN3A_0387(1),GenBank
JCVISYN3A_0388-MONOMER,Uncharacterized protein,JCVISYN3A_0388(),GenBank
JCVISYN3A_0389-MONOMER,Uncharacterized protein,JCVISYN3A_0389(),GenBank
JCVISYN3A_0390-MONOMER,Methionyl-tRNA formyltransferase,JCVISYN3A_0390(1),GenBank
JCVISYN3A_0391-MONOMER,Elongation factor P,JCVISYN3A_0391(),GenBank
JCVISYN3A_0392-MONOMER,Uncharacterized protein,JCVISYN3A_0392(),GenBank
JCVISYN3A_0394-MONOMER,Endopeptidase La,JCVISYN3A_0394(),GenBank
JCVISYN3A_0398-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0398(),GenBank
JCVISYN3A_0399-MONOMER,Uncharacterized efflux ABC transporter permease,JCVISYN3A_0399(),GenBank
JCVISYN3A_0400-MONOMER,Uncharacterized protease,JCVISYN3A_0400(),GenBank
JCVISYN3A_0401-MONOMER,Uncharacterized peptidase,JCVISYN3A_0401(),GenBank
JCVISYN3A_0402-MONOMER,rRNA maturation RNase,JCVISYN3A_0402(),GenBank
JCVISYN3A_0403-MONOMER,Ribosome GTPase,JCVISYN3A_0403(2),GenBank
JCVISYN3A_0404-MONOMER,DNA repair protein,JCVISYN3A_0404(),GenBank
JCVISYN3A_0405-MONOMER,Glycine--tRNA ligase,JCVISYN3A_0405(),GenBank
JCVISYN3A_0406-MONOMER,DNA primase,JCVISYN3A_0406(),GenBank
JCVISYN3A_0407-MONOMER,RNA polymerase subunit sigma,JCVISYN3A_0407(1),GenBank
JCVISYN3A_0408-MONOMER,Uncharacterized methyltransferase,JCVISYN3A_0408(),GenBank
JCVISYN3A_0409-MONOMER,Uncharacterized protein,JCVISYN3A_0409(),GenBank
JCVISYN3A_0410-MONOMER,Uncharacterized helicase,JCVISYN3A_0410(),GenBank
JCVISYN3A_0411-MONOMER,Uncharacterized protein,JCVISYN3A_0411(),GenBank
JCVISYN3A_0412-MONOMER,Uncharacterized protein,JCVISYN3A_0412(),GenBank
JCVISYN3A_0413-MONOMER,Adenine phosphoribosyltransferase,JCVISYN3A_0413(2),GenBank
JCVISYN3A_0414-MONOMER,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",JCVISYN3A_0414(1),GenBank
JCVISYN3A_0415-MONOMER,Chromosome segregation protein,JCVISYN3A_0415(),GenBank
JCVISYN3A_0416-MONOMER,Uncharacterized protein,JCVISYN3A_0416(),GenBank
JCVISYN3A_0418-MONOMER,Ribonuclease III,JCVISYN3A_0418(2),GenBank
JCVISYN3A_0419-MONOMER,Phosphate acyltransferase,JCVISYN3A_0419(1),GenBank
JCVISYN3A_0420-MONOMER,Fatty acid kinase subunit A,JCVISYN3A_0420(),GenBank
JCVISYN3A_0421-MONOMER,Uncharacterized protein,JCVISYN3A_0421(),GenBank
JCVISYN3A_0422-MONOMER,50S ribosomal protein L28,JCVISYN3A_0422(),GenBank
JCVISYN3A_0424-MONOMER,Uncharacterized protein,JCVISYN3A_0424(),GenBank
JCVISYN3A_0425-MONOMER,Phosphate ABC transporter substrate-binding protein,JCVISYN3A_0425(),GenBank
JCVISYN3A_0426-MONOMER,Phosphate ABC transporter permease,JCVISYN3A_0426(),GenBank
JCVISYN3A_0427-MONOMER,Phosphate ABC transporter ATP-binding protein,JCVISYN3A_0427(),GenBank
JCVISYN3A_0428-MONOMER,Phosphate transport system regulatory protein,JCVISYN3A_0428(),GenBank
JCVISYN3A_0429-MONOMER,Signal recognition particle-docking protein,JCVISYN3A_0429(1),GenBank
JCVISYN3A_0430-MONOMER,Uncharacterized DNA-binding protein,JCVISYN3A_0430(),GenBank
JCVISYN3A_0431-MONOMER,Uncharacterized metallophosphoesterase,JCVISYN3A_0431(),GenBank
JCVISYN3A_0432-MONOMER,Methionine adenosyltransferase,JCVISYN3A_0432(4),GenBank
JCVISYN3A_0433-MONOMER,Uncharacterized protein,JCVISYN3A_0433(),GenBank
JCVISYN3A_0434-MONOMER,23S rRNA (uridine(1939)-m5)-methyltransferase,JCVISYN3A_0434(),GenBank
JCVISYN3A_0435-MONOMER,Mannose-6-phosphate isomerase,JCVISYN3A_0435(),GenBank
JCVISYN3A_0437-MONOMER,Putative 3'-5' exoribonuclease,JCVISYN3A_0437(),GenBank
JCVISYN3A_0438-MONOMER,Uncharacterized protein,JCVISYN3A_0438(),GenBank
JCVISYN3A_0439-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0439(),GenBank
JCVISYN3A_0440-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0440(),GenBank
JCVISYN3A_0441-MONOMER,Cysteine desulfurase,JCVISYN3A_0441(),GenBank
JCVISYN3A_0442-MONOMER,Iron-sulfur cluster assembly scaffold protein,JCVISYN3A_0442(),GenBank
JCVISYN3A_0443-MONOMER,5-Formyltetrahydrofolate cyclo-ligase,JCVISYN3A_0443(1),GenBank
JCVISYN3A_0444-MONOMER,Uncharacterized peptidase,JCVISYN3A_0444(),GenBank
JCVISYN3A_0445-MONOMER,Glucose-6-phosphate isomerase,JCVISYN3A_0445(),GenBank
JCVISYN3A_0447-MONOMER,dUTP diphosphatase,JCVISYN3A_0447(),GenBank
JCVISYN3A_0448-MONOMER,Uncharacterized rRNA methyltransferase,JCVISYN3A_0448(),GenBank
JCVISYN3A_0451-MONOMER,Glyceraldehyde-3-phosphate dehydrogenase,JCVISYN3A_0451(4),GenBank
JCVISYN3A_0452-MONOMER,DNA topoisomerase IV subunit B,JCVISYN3A_0452(),GenBank
JCVISYN3A_0453-MONOMER,DNA topoisomerase IV subunit A,JCVISYN3A_0453(),GenBank
JCVISYN3A_0475-MONOMER,L-lactate dehydrogenase,JCVISYN3A_0475(2),GenBank
JCVISYN3A_0478-MONOMER,Uncharacterized protein,JCVISYN3A_0478(),GenBank
JCVISYN3A_0479-MONOMER,Uncharacterized peptidase,JCVISYN3A_0479(),GenBank
JCVISYN3A_0481-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0481(),GenBank
JCVISYN3A_0482-MONOMER,30S ribosomal protein S21,JCVISYN3A_0482(),GenBank
JCVISYN3A_0154-MONOMER,Uncharacterized peptidase,JCVISYN3A_0154(6),GenBank
JCVISYN3A_0493-MONOMER,Uncharacterized peptidase,JCVISYN3A_0493(4),GenBank
JCVISYN3A_0494-MONOMER,N-acetylmannosamine-6-phosphate 2-epimerase,JCVISYN3A_0494(1),GenBank
JCVISYN3A_0495-MONOMER,Uncharacterized kinase,JCVISYN3A_0495(1),GenBank
JCVISYN3A_0499-MONOMER,50S ribosomal protein L27,JCVISYN3A_0499(1),GenBank
JCVISYN3A_0500-MONOMER,Maturation protease for ribosomal protein L27,JCVISYN3A_0500(),GenBank
JCVISYN3A_0501-MONOMER,50S ribosomal protein L21,JCVISYN3A_0501(1),GenBank
JCVISYN3A_0503-MONOMER,Uncharacterized protein,JCVISYN3A_0503(),GenBank
JCVISYN3A_0504-MONOMER,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,JCVISYN3A_0504(),GenBank
JCVISYN3A_0930-MONOMER,50S ribosomal protein L33,JCVISYN3A_0930(),GenBank
JCVISYN3A_0505-MONOMER,Uncharacterized lipoprotein,JCVISYN3A_0505(),GenBank
JCVISYN3A_0511-MONOMER,Uncharacterized protein,JCVISYN3A_0511(),GenBank
JCVISYN3A_0512-MONOMER,Acyl-phosphate glycerol 3-phosphate acyltransferase,JCVISYN3A_0512(),GenBank
JCVISYN3A_0513-MONOMER,ACP synthase,JCVISYN3A_0513(),GenBank
JCVISYN3A_0515-MONOMER,Cytidine deaminase,JCVISYN3A_0515(),GenBank
JCVISYN3A_0516-MONOMER,Uncharacterized protein,JCVISYN3A_0516(),GenBank
JCVISYN3A_0517-MONOMER,Uncharacterized RNA pseudouridine synthase,JCVISYN3A_0517(1),GenBank
JCVISYN3A_0518-MONOMER,Lipoprotein signal peptidase,JCVISYN3A_0518(),GenBank
JCVISYN3A_0519-MONOMER,Isoleucine--tRNA ligase,JCVISYN3A_0519(1),GenBank
JCVISYN3A_0520-MONOMER,Uncharacterized hydrolase,JCVISYN3A_0520(),GenBank
JCVISYN3A_0521-MONOMER,Cell division protein,JCVISYN3A_0521(),GenBank
JCVISYN3A_0522-MONOMER,Cell division protein,JCVISYN3A_0522(),GenBank
JCVISYN3A_0523-MONOMER,Cell division protein,JCVISYN3A_0523(),GenBank
JCVISYN3A_0524-MONOMER,16S rRNA (cytosine(1402)-N(4))-methyltransferase,JCVISYN3A_0524(),GenBank
JCVISYN3A_0525-MONOMER,Cell division/cell wall cluster transcriptional repressor,JCVISYN3A_0525(),GenBank
