Transcription-Units,Genes of transcription unit,Direction
TU271D-1395,CLJU_RS11895 // CLJU_RS11890 // CLJU_RS11885 // CLJU_RS11880,-
TU271D-472,CLJU_RS03960 // CLJU_RS03955,+
TU271D-267,CLJU_RS02145 // CLJU_RS02140 // CLJU_RS02135 // CLJU_RS02130,-
TU271D-1802,CLJU_RS15215,+
TU271D-2657,CLJU_RS13420,+
TU271D-305,CLJU_RS02440 // CLJU_RS02435,+
TU271D-1735,CLJU_RS14660,-
TU271D-1296,CLJU_RS22245,-
TU271D-390,CLJU_RS03260 // CLJU_RS03255,+
TU271D-2039,CLJU_RS17275 // CLJU_RS17270,+
TU271D-954,CLJU_RS08230 // CLJU_RS08225,+
TU271D-862,CLJU_RS07390 // CLJU_RS07385,-
TU271D-2436,CLJU_RS20640,-
TU271D-369,CLJU_RS03060,+
TU271D-416,CLJU_RS03490,+
TU271D-80,CLJU_RS00635,+
TU271D-1762,CLJU_RS14925,-
TU271D-1592,CLJU_RS13570,-
TU271D-201,CLJU_RS01585 // CLJU_RS01580 // CLJU_RS01575 // CLJU_RS01570 // CLJU_RS01565,+
TU271D-1045,CLJU_RS08940,-
TU271D-975,CLJU_RS08375,-
TU271D-1174,CLJU_RS09945,+
TU271D-2193,CLJU_RS18575 // CLJU_RS18570 // CLJU_RS18565,-
TU271D-641,CLJU_RS05440,+
TU271D-2045,CLJU_RS17320,-
TU271D-168,CLJU_RS01295,+
TU271D-2838,CLJU_RS04355,+
TU271D-2774,CLJU_RS08710,+
TU271D-2656,CLJU_RS13425,-
TU271D-2325,CLJU_RS19710,-
TU271D-1091,CLJU_RS09325,+
TU271D-2266,CLJU_RS19100,+
TU271D-1312,CLJU_RS11075,-
TU271D-1468,CLJU_RS12520 // CLJU_RS12515 // CLJU_RS12510 // CLJU_RS12505,-
TU271D-517,CLJU_RS04310 // CLJU_RS04305,+
TU271D-1043,CLJU_RS08930,+
TU271D-979,CLJU_RS08415 // CLJU_RS08410 // CLJU_RS08405,+
TU271D-1344,CLJU_RS11420,-
TU271D-1240,CLJU_RS10485,-
TU271D-861,CLJU_RS07380,-
TU271D-2435,CLJU_RS20635,-
TU271D-1290,CLJU_RS10960 // CLJU_RS10955 // CLJU_RS10950 // CLJU_RS10945 // CLJU_RS21300 // CLJU_RS10930 // CLJU_RS10925,-
TU271D-1207,CLJU_RS10245,+
TU271D-1188,CLJU_RS10090,+
TU271D-938,CLJU_RS08060,-
TU271D-1323,CLJU_RS11190,-
TU271D-48,CLJU_RS00400 // CLJU_RS00395 // CLJU_RS00390,-
TU271D-2123,CLJU_RS21495,-
TU271D-1719,CLJU_RS14540,-
TU271D-225,CLJU_RS01810,+
TU271D-640,CLJU_RS05435 // CLJU_RS05430 // CLJU_RS05425 // CLJU_RS05420 // CLJU_RS05415,+
TU271D-530,CLJU_RS21215 // CLJU_RS04410,+
TU271D-1661,CLJU_RS14065 // CLJU_RS14060,-
TU271D-471,CLJU_RS03950,+
TU271D-1400,CLJU_RS11925,-
TU271D-1801,CLJU_RS15210,+
TU271D-1631,CLJU_RS13845,-
TU271D-1905,CLJU_RS16175,-
TU271D-2655,CLJU_RS13430,+
TU271D-1039,CLJU_RS08895 // CLJU_RS08890 // CLJU_RS08885,+
TU271D-2076,CLJU_RS17595 // CLJU_RS17590 // CLJU_RS17585 // CLJU_RS17580 // CLJU_RS17575 // CLJU_RS17570,-
TU271D-187,CLJU_RS01460,+
TU271D-1167,CLJU_RS09900 // CLJU_RS09895,+
TU271D-1308,CLJU_RS11055,-
TU271D-398,CLJU_RS03325,+
TU271D-860,CLJU_RS07375,+
TU271D-2434,CLJU_RS20630,+
TU271D-1946,CLJU_RS16490 // CLJU_RS16485,-
TU271D-2772,CLJU_RS08745,+
TU271D-343,CLJU_RS02830,+
TU271D-2870,CLJU_RS02385,+
TU271D-1655,CLJU_RS14015,-
TU271D-1158,CLJU_RS09840 // CLJU_RS09835,+
TU271D-2065,CLJU_RS17465,+
TU271D-639,CLJU_RS05410 // CLJU_RS05405,+
TU271D-115,CLJU_RS00900,+
TU271D-1991,CLJU_RS16880 // CLJU_RS16875,+
TU271D-2163,CLJU_RS18325,-
TU271D-2210,CLJU_RS18710,-
TU271D-1647,CLJU_RS13945,-
TU271D-2654,CLJU_RS13445,+
TU271D-918,CLJU_RS07870 // CLJU_RS07865 // CLJU_RS07860,+
TU271D-2324,CLJU_RS19705 // CLJU_RS19700,-
TU271D-1281,CLJU_RS10840 // CLJU_RS10835 // CLJU_RS10830 // CLJU_RS10825,-
TU271D-2265,CLJU_RS19095,+
TU271D-977,CLJU_RS08395,+
TU271D-859,CLJU_RS21580 // CLJU_RS07370 // CLJU_RS07365,+
TU271D-2433,CLJU_RS20625,+
TU271D-1591,CLJU_RS13565,-
TU271D-1961,CLJU_RS16595 // CLJU_RS16590,-
TU271D-250,CLJU_RS02005,+
TU271D-47,CLJU_RS00385 // CLJU_RS00380 // CLJU_RS00375,-
TU271D-638,CLJU_RS05400 // CLJU_RS05395,+
TU271D-2609,CLJU_RS15190,+
TU271D-529,CLJU_RS04405,+
TU271D-1859,CLJU_RS15830,+
TU271D-470,CLJU_RS03945,+
TU271D-2771,CLJU_RS08760,+
TU271D-2653,CLJU_RS13510,+
TU271D-1369,CLJU_RS11595 // CLJU_RS11590,-
TU271D-134,CLJU_RS01040,+
TU271D-1488,CLJU_RS12665 // CLJU_RS12660 // CLJU_RS12655 // CLJU_RS12650 // CLJU_RS12645,-
TU271D-304,CLJU_RS02430 // CLJU_RS02425 // CLJU_RS02420 // CLJU_RS02415 // CLJU_RS02410 // CLJU_RS02405,+
TU271D-976,CLJU_RS08380,-
TU271D-1613,CLJU_RS13695,-
TU271D-858,CLJU_RS07360,+
TU271D-2432,CLJU_RS20620 // CLJU_RS20615,-
TU271D-368,CLJU_RS03055,+
TU271D-415,CLJU_RS03485 // CLJU_RS03480,+
TU271D-2637,CLJU_RS14475,+
TU271D-1372,CLJU_RS11645 // CLJU_RS11640 // CLJU_RS11635 // CLJU_RS11630,-
TU271D-2107,CLJU_RS17820,+
TU271D-1190,CLJU_RS10105,+
TU271D-842,CLJU_RS07260,+
TU271D-328,CLJU_RS02645,-
TU271D-1013,CLJU_RS08675,+
TU271D-2192,CLJU_RS18560,-
TU271D-1982,CLJU_RS16775,-
TU271D-637,CLJU_RS05390,+
TU271D-2770,CLJU_RS08765,-
TU271D-2017,CLJU_RS17100,-
TU271D-2836,CLJU_RS04595,-
TU271D-1110,CLJU_RS09455 // CLJU_RS09450,+
TU271D-2636,CLJU_RS21405,-
TU271D-2851,CLJU_RS03735,-
TU271D-2652,CLJU_RS21695,+
TU271D-1942,CLJU_RS16460,-
TU271D-2323,CLJU_RS19695 // CLJU_RS19690,-
TU271D-1090,CLJU_RS09320 // CLJU_RS09315,+
TU271D-841,CLJU_RS07255 // CLJU_RS07250,+
TU271D-2264,CLJU_RS19090,-
TU271D-1466,CLJU_RS12470,-
TU271D-1886,CLJU_RS16050 // CLJU_RS16045,+
TU271D-857,CLJU_RS07355 // CLJU_RS07350,-
TU271D-1239,CLJU_RS10480,-
TU271D-1010,CLJU_RS08645,+
TU271D-2431,CLJU_RS20610,+
TU271D-1289,CLJU_RS10920 // CLJU_RS10915,-
TU271D-1206,CLJU_RS10240,+
TU271D-2635,CLJU_RS14480,+
TU271D-103,CLJU_RS00820 // CLJU_RS00815,-
TU271D-1769,CLJU_RS14970,-
TU271D-2081,CLJU_RS17625,-
TU271D-2466,CLJU_RS20930,-
TU271D-275,CLJU_RS02210 // CLJU_RS02205,-
TU271D-46,CLJU_RS00370 // CLJU_RS00365,+
TU271D-840,CLJU_RS07245,-
TU271D-1718,CLJU_RS14535,-
TU271D-224,CLJU_RS01805 // CLJU_RS01800,+
TU271D-636,CLJU_RS05385,+
TU271D-528,CLJU_RS04400 // CLJU_RS04395,+
TU271D-1858,CLJU_RS15825,+
TU271D-2059,CLJU_RS17440 // CLJU_RS17435,-
TU271D-469,CLJU_RS03940 // CLJU_RS03935,+
TU271D-2769,CLJU_RS08770,+
TU271D-927,CLJU_RS07975,-
TU271D-1630,CLJU_RS13840 // CLJU_RS21385,-
TU271D-2634,CLJU_RS14495,+
TU271D-2651,CLJU_RS13615,+
TU271D-839,CLJU_RS07240,-
TU271D-1929,CLJU_RS16375 // CLJU_RS16370,-
TU271D-397,CLJU_RS03320,+
TU271D-1481,CLJU_RS21655,-
TU271D-93,CLJU_RS00735,+
TU271D-856,CLJU_RS07345 // CLJU_RS07340 // CLJU_RS07335,+
TU271D-2430,CLJU_RS20605,+
TU271D-1945,CLJU_RS16480,-
TU271D-2633,CLJU_RS14500,-
TU271D-1219,CLJU_RS10360,+
TU271D-1199,CLJU_RS10185,+
TU271D-838,CLJU_RS07235,+
TU271D-635,CLJU_RS05380,+
TU271D-175,CLJU_RS01370 // CLJU_RS01365 // CLJU_RS01360 // CLJU_RS01355,-
TU271D-2766,CLJU_RS08830,-
TU271D-2162,CLJU_RS18320,-
TU271D-2835,CLJU_RS04615,-
TU271D-2209,CLJU_RS18705,-
TU271D-2632,CLJU_RS22350,+
TU271D-2650,CLJU_RS21725,+
TU271D-2585,CLJU_RS16260,+
TU271D-1505,CLJU_RS21370,-
TU271D-2322,CLJU_RS19685,-
TU271D-2263,CLJU_RS19085 // CLJU_RS21930,-
TU271D-1465,CLJU_RS12465 // CLJU_RS12460,-
TU271D-1212,CLJU_RS10295,+
TU271D-148,CLJU_RS01125,+
TU271D-1894,CLJU_RS16110 // CLJU_RS16105 // CLJU_RS16100 // CLJU_RS16095,-
TU271D-973,CLJU_RS08350,+
TU271D-2009,CLJU_RS17020 // CLJU_RS17015 // CLJU_RS17010 // CLJU_RS17005,+
TU271D-855,CLJU_RS07330,+
TU271D-1049,CLJU_RS08980,+
TU271D-2429,CLJU_RS20600,+
TU271D-1205,CLJU_RS10235,+
TU271D-2631,CLJU_RS14525,-
TU271D-2137,CLJU_RS18130 // CLJU_RS18125 // CLJU_RS18120 // CLJU_RS18115 // CLJU_RS18110 // CLJU_RS18105 // CLJU_RS18100 // CLJU_RS18095 // CLJU_RS18090 // CLJU_RS18085 // CLJU_RS18080 // CLJU_RS18075 // CLJU_RS18070 // CLJU_RS18065 // CLJU_RS18060,-
TU271D-1775,CLJU_RS15015,-
TU271D-1588,CLJU_RS22640 // CLJU_RS21685 // CLJU_RS21375,-
TU271D-1064,CLJU_RS09120,+
TU271D-1677,CLJU_RS14170,-
TU271D-45,CLJU_RS00360,+
TU271D-836,CLJU_RS07225 // CLJU_RS07220,+
TU271D-634,CLJU_RS05375 // CLJU_RS05370,+
TU271D-527,CLJU_RS04390,-
TU271D-1857,CLJU_RS15820,-
TU271D-1394,CLJU_RS11875,-
TU271D-468,CLJU_RS03930 // CLJU_RS03925,+
TU271D-1027,CLJU_RS08795,+
TU271D-266,CLJU_RS02125 // CLJU_RS02120 // CLJU_RS02115,-
TU271D-1798,CLJU_RS15185,-
TU271D-2630,CLJU_RS21410,+
TU271D-2649,CLJU_RS13940,+
TU271D-1582,CLJU_RS13520,-
TU271D-1734,CLJU_RS14655,-
TU271D-835,CLJU_RS07215 // CLJU_RS07210 // CLJU_RS07205,-
TU271D-1756,CLJU_RS14875 // CLJU_RS14870 // CLJU_RS14865 // CLJU_RS14860,-
TU271D-2885,CLJU_RS01090,-
TU271D-972,CLJU_RS08345,+
TU271D-854,CLJU_RS07325,+
TU271D-1446,CLJU_RS12295 // CLJU_RS12290,-
TU271D-2428,CLJU_RS20595,-
TU271D-367,CLJU_RS03050,+
TU271D-78,CLJU_RS00625 // CLJU_RS00620,+
TU271D-2629,CLJU_RS14615,-
TU271D-200,CLJU_RS01560,+
TU271D-2863,CLJU_RS02920,-
TU271D-834,CLJU_RS07190,+
TU271D-2834,CLJU_RS04955,-
TU271D-122,CLJU_RS00940,+
TU271D-2191,CLJU_RS18555,-
TU271D-633,CLJU_RS05365 // CLJU_RS05360,+
TU271D-2088,CLJU_RS17670 // CLJU_RS17665 // CLJU_RS17660,-
TU271D-2628,CLJU_RS21760,+
TU271D-1329,CLJU_RS11235,-
TU271D-2902,CLJU_RS00285,-
TU271D-2648,CLJU_RS13960,+
TU271D-1887,CLJU_RS16055,+
TU271D-2321,CLJU_RS19680,-
TU271D-1089,CLJU_RS22025,+
TU271D-1786,CLJU_RS21415 // CLJU_RS21785,+
TU271D-2262,CLJU_RS21925,-
TU271D-833,CLJU_RS07185,+
TU271D-2876,CLJU_RS01970,-
TU271D-1058,CLJU_RS09070,-
TU271D-1343,CLJU_RS11400 // CLJU_RS11395,-
TU271D-1056,CLJU_RS09050,+
TU271D-1238,CLJU_RS10475,-
TU271D-853,CLJU_RS07320,+
TU271D-2427,CLJU_RS20590,-
TU271D-1288,CLJU_RS10910 // CLJU_RS10905,-
TU271D-1204,CLJU_RS10225,+
TU271D-2627,CLJU_RS14635,+
TU271D-1438,CLJU_RS12240,+
TU271D-44,CLJU_RS00355 // CLJU_RS00350,-
TU271D-832,CLJU_RS07180,+
TU271D-2122,CLJU_RS17900,-
TU271D-1717,CLJU_RS14520 // CLJU_RS14515,+
TU271D-223,CLJU_RS01795,+
TU271D-526,CLJU_RS04385,-
TU271D-1856,CLJU_RS15815,-
TU271D-467,CLJU_RS03920,+
TU271D-943,CLJU_RS08115 // CLJU_RS08110,+
TU271D-2765,CLJU_RS08845,-
TU271D-1797,CLJU_RS15180,-
TU271D-1629,CLJU_RS13835 // CLJU_RS13830,-
TU271D-2626,CLJU_RS14685,+
TU271D-2647,CLJU_RS13990,+
TU271D-2075,CLJU_RS17565,-
TU271D-302,CLJU_RS02395,-
TU271D-1272,CLJU_RS10765,+
TU271D-831,CLJU_RS07170,+
TU271D-396,CLJU_RS03315,+
TU271D-1581,CLJU_RS13515,-
TU271D-970,CLJU_RS08335,+
TU271D-852,CLJU_RS07315,+
TU271D-2426,CLJU_RS20585 // CLJU_RS20580,-
TU271D-1944,CLJU_RS16475 // CLJU_RS16470,+
TU271D-1689,CLJU_RS14270,+
TU271D-2625,CLJU_RS21765,+
TU271D-1672,CLJU_RS14145 // CLJU_RS14140 // CLJU_RS14135 // CLJU_RS14130 // CLJU_RS14125,-
TU271D-830,CLJU_RS07165,+
TU271D-1157,CLJU_RS09825 // CLJU_RS09820,-
TU271D-1383,CLJU_RS11765,-
TU271D-631,CLJU_RS05350 // CLJU_RS05345,+
TU271D-1513,CLJU_RS12910,-
TU271D-968,CLJU_RS08325,+
TU271D-2646,CLJU_RS14005,+
TU271D-2624,CLJU_RS14715,+
TU271D-2108,CLJU_RS17825,+
TU271D-2161,CLJU_RS18315,-
TU271D-432,CLJU_RS03650 // CLJU_RS03645 // CLJU_RS03640,+
TU271D-227,CLJU_RS22535 // CLJU_RS21530 // CLJU_RS01825 // CLJU_RS01820,+
TU271D-2833,CLJU_RS05135,-
TU271D-2762,CLJU_RS08870,-
TU271D-2208,CLJU_RS18700,-
TU271D-1028,CLJU_RS08800,+
TU271D-1646,CLJU_RS13935 // CLJU_RS13930,-
TU271D-2465,CLJU_RS20925,-
TU271D-2320,CLJU_RS19675 // CLJU_RS19670,+
TU271D-1426,CLJU_RS12135,-
TU271D-160,CLJU_RS01220,+
TU271D-1900,CLJU_RS16145,-
TU271D-829,CLJU_RS07160,+
TU271D-2261,CLJU_RS19075,-
TU271D-1463,CLJU_RS12445,-
TU271D-1256,CLJU_RS10645,-
TU271D-969,CLJU_RS21600 // CLJU_RS08330,-
TU271D-2008,CLJU_RS17000,-
TU271D-851,CLJU_RS07310,+
TU271D-1950,CLJU_RS16525 // CLJU_RS16520,-
TU271D-2425,CLJU_RS20575 // CLJU_RS20570,-
TU271D-2623,CLJU_RS14720,-
TU271D-1413,CLJU_RS12055 // CLJU_RS12050,+
TU271D-2561,CLJU_RS17290,+
TU271D-1587,CLJU_RS13545,-
TU271D-43,CLJU_RS00340,-
TU271D-828,CLJU_RS07155 // CLJU_RS07150 // CLJU_RS07145 // CLJU_RS07140 // CLJU_RS07135,-
TU271D-1461,CLJU_RS12435,-
TU271D-630,CLJU_RS05340,+
TU271D-525,CLJU_RS04380,+
TU271D-1322,CLJU_RS11185,-
TU271D-1269,CLJU_RS10745,-
TU271D-1855,CLJU_RS15810,+
TU271D-466,CLJU_RS03915,+
TU271D-2763,CLJU_RS08855,-
TU271D-1796,CLJU_RS15170 // CLJU_RS15165 // CLJU_RS15160,-
TU271D-2622,CLJU_RS14725,+
TU271D-2034,CLJU_RS21855,-
TU271D-2645,CLJU_RS14070,+
TU271D-1903,CLJU_RS16165,-
TU271D-1053,CLJU_RS09025,+
TU271D-2167,CLJU_RS18355 // CLJU_RS18350,-
TU271D-2327,CLJU_RS22495,-
TU271D-827,CLJU_RS07130 // CLJU_RS07125,+
TU271D-413,CLJU_RS03455 // CLJU_RS03450,+
TU271D-1471,CLJU_RS12545 // CLJU_RS12540 // CLJU_RS12535,+
TU271D-1580,CLJU_RS22635,-
TU271D-850,CLJU_RS07305,+
TU271D-1021,CLJU_RS08730,+
TU271D-366,CLJU_RS03045 // CLJU_RS03040,-
TU271D-2424,CLJU_RS20565,-
TU271D-77,CLJU_RS00615,+
TU271D-1965,CLJU_RS16625,-
TU271D-2037,CLJU_RS17260,+
TU271D-2106,CLJU_RS21880 // CLJU_RS17815,-
TU271D-182,CLJU_RS01430,+
TU271D-826,CLJU_RS07120 // CLJU_RS07115 // CLJU_RS07110,+
TU271D-327,CLJU_RS02630 // CLJU_RS02625 // CLJU_RS02620 // CLJU_RS02615,+
TU271D-1026,CLJU_RS08785,+
TU271D-1746,CLJU_RS14760 // CLJU_RS14755 // CLJU_RS14750,-
TU271D-2190,CLJU_RS18550,-
TU271D-629,CLJU_RS05335 // CLJU_RS22545,-
TU271D-1382,CLJU_RS11760 // CLJU_RS11755 // CLJU_RS11750 // CLJU_RS11745,-
TU271D-1771,CLJU_RS14990 // CLJU_RS21780,+
TU271D-1109,CLJU_RS09445,+
TU271D-2644,CLJU_RS21750,+
TU271D-2319,CLJU_RS19665 // CLJU_RS19660,-
TU271D-825,CLJU_RS07105 // CLJU_RS07100,+
TU271D-1532,CLJU_RS13115,-
TU271D-2260,CLJU_RS19070,-
TU271D-1452,CLJU_RS12355,-
TU271D-1462,CLJU_RS12440,-
TU271D-1179,CLJU_RS09990,+
TU271D-1011,CLJU_RS08655 // CLJU_RS08650,+
TU271D-1885,CLJU_RS21830 // CLJU_RS16035,+
TU271D-967,CLJU_RS08320 // CLJU_RS22565,+
TU271D-1522,CLJU_RS13005,-
TU271D-1237,CLJU_RS10470 // CLJU_RS10465,-
TU271D-849,CLJU_RS07300,+
TU271D-2423,CLJU_RS20560,-
TU271D-1287,CLJU_RS10900,+
TU271D-1203,CLJU_RS10220,+
TU271D-2619,CLJU_RS14810,-
TU271D-102,CLJU_RS00800,+
TU271D-1749,CLJU_RS14795 // CLJU_RS14790 // CLJU_RS14785,-
TU271D-1407,CLJU_RS12005,-
TU271D-1301,CLJU_RS11020,-
TU271D-274,CLJU_RS02200,-
TU271D-824,CLJU_RS07095,+
TU271D-234,CLJU_RS01890,+
TU271D-1716,CLJU_RS14510,-
TU271D-222,CLJU_RS01790 // CLJU_RS01785,+
TU271D-628,CLJU_RS05330,+
TU271D-524,CLJU_RS04375,+
TU271D-2761,CLJU_RS09085,+
TU271D-1854,CLJU_RS15805,+
TU271D-465,CLJU_RS03910,+
TU271D-1795,CLJU_RS15145,+
TU271D-1628,CLJU_RS13825,-
TU271D-2618,CLJU_RS14815,+
TU271D-1549,CLJU_RS13250,-
TU271D-2643,CLJU_RS14195,+
TU271D-2373,CLJU_RS20070 // CLJU_RS20065 // CLJU_RS20060 // CLJU_RS20055,-
TU271D-2054,CLJU_RS22660,-
TU271D-1722,CLJU_RS14555,-
TU271D-823,CLJU_RS07090,+
TU271D-1030,CLJU_RS08810 // CLJU_RS08805,-
TU271D-2797,CLJU_RS07405,+
TU271D-848,CLJU_RS07290,+
TU271D-2090,CLJU_RS17685,-
TU271D-1943,CLJU_RS16465,+
TU271D-1140,CLJU_RS09730,+
TU271D-2617,CLJU_RS22365,+
TU271D-1555,CLJU_RS13320,+
TU271D-129,CLJU_RS01005,+
TU271D-1788,CLJU_RS21790,+
TU271D-1122,CLJU_RS09550,-
TU271D-822,CLJU_RS07085,+
TU271D-2207,CLJU_RS18695,-
TU271D-1156,CLJU_RS09815,-
TU271D-627,CLJU_RS21560,+
TU271D-2160,CLJU_RS18310,-
TU271D-2831,CLJU_RS05145,-
TU271D-2760,CLJU_RS21290,-
TU271D-2616,CLJU_RS15005,+
TU271D-2642,CLJU_RS21390,+
TU271D-1425,CLJU_RS12125,-
TU271D-2318,CLJU_RS19655 // CLJU_RS19650,-
TU271D-2593,CLJU_RS15870,-
TU271D-2259,CLJU_RS19065,-
TU271D-821,CLJU_RS07080 // CLJU_RS07075 // CLJU_RS07070,+
TU271D-147,CLJU_RS01120,+
TU271D-965,CLJU_RS08310,+
TU271D-1059,CLJU_RS09080 // CLJU_RS09075,-
TU271D-1752,CLJU_RS14830 // CLJU_RS14825,-
TU271D-1351,CLJU_RS11475,-
TU271D-847,CLJU_RS07285,+
TU271D-2421,CLJU_RS20550,-
TU271D-2615,CLJU_RS15085,-
TU271D-2136,CLJU_RS21900 // CLJU_RS21500,+
TU271D-1365,CLJU_RS11560,-
TU271D-1964,CLJU_RS16620,-
TU271D-1585,CLJU_RS13535,+
TU271D-41,CLJU_RS00330 // CLJU_RS00325 // CLJU_RS00320 // CLJU_RS00315,-
TU271D-820,CLJU_RS07065 // CLJU_RS07060,+
TU271D-980,CLJU_RS08420,+
TU271D-1084,CLJU_RS09260,+
TU271D-626,CLJU_RS05320,+
TU271D-523,CLJU_RS04370,+
TU271D-2641,CLJU_RS14325,+
TU271D-1393,CLJU_RS11870,-
TU271D-1853,CLJU_RS15800 // CLJU_RS15795,-
TU271D-464,CLJU_RS03905,+
TU271D-2759,CLJU_RS09195,-
TU271D-265,CLJU_RS02110,+
TU271D-1151,CLJU_RS09785,+
TU271D-2614,CLJU_RS15095,-
TU271D-846,CLJU_RS07280,-
TU271D-1918,CLJU_RS16310 // CLJU_RS16305,-
TU271D-301,CLJU_RS02390,-
TU271D-1285,CLJU_RS10890 // CLJU_RS10885,-
TU271D-1733,CLJU_RS22360,-
TU271D-819,CLJU_RS07055 // CLJU_RS07050,-
TU271D-412,CLJU_RS03445,+
TU271D-1515,CLJU_RS22615,+
TU271D-964,CLJU_RS08305 // CLJU_RS08300,+
TU271D-2640,CLJU_RS14400,+
TU271D-365,CLJU_RS03035,+
TU271D-2420,CLJU_RS20545,-
TU271D-1457,CLJU_RS12400 // CLJU_RS12395,+
TU271D-76,CLJU_RS00610 // CLJU_RS00605,+
TU271D-2613,CLJU_RS15135,-
TU271D-845,CLJU_RS07275,-
TU271D-1216,CLJU_RS10335,-
TU271D-199,CLJU_RS01555 // CLJU_RS01550,+
TU271D-818,CLJU_RS07045 // CLJU_RS07040,-
TU271D-2189,CLJU_RS18545 // CLJU_RS18540 // CLJU_RS18535,-
TU271D-625,CLJU_RS05315,+
