Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G12WB-1882	CD630_17380	2012365	2014359	G12WB-1882-MONOMER
G12WB-501	CD630_03950	467033	468232	G12WB-501-MONOMER
G12WB-502	CD630_03960	468271	469071	G12WB-502-MONOMER
G12WB-1840	CD630_16980	1970072	1971265	G12WB-1840-MONOMER
G12WB-750	CD630_06410	763670	764077	G12WB-750-MONOMER
G12WB-696	CD630_05840	700056	701234	G12WB-696-MONOMER
G12WB-2114	CD630_19720	2273148	2274494	G12WB-2114-MONOMER
G12WB-2079	CD630_19370	2234613	2235467	G12WB-2079-MONOMER
G12WB-2553	CD630_24020	2769828	2771018	G12WB-2553-MONOMER
G12WB-216	CD630_01120	156254	157156	G12WB-216-MONOMER
G12WB-2517	CD630_23670	2733803	2734888	G12WB-2517-MONOMER
G12WB-2948	CD630_27890	3245004	3246836	G12WB-2948-MONOMER
G12WB-1177	CD630_10570	1249945	1250742	G12WB-1177-MONOMER
G12WB-217	CD630_01130	157178	158257	G12WB-217-MONOMER
G12WB-2920	CD630_27610	3209674	3210579	G12WB-2920-MONOMER
G12WB-1419	CD630_12850	1494089	1494514	G12WB-1419-MONOMER
G12WB-1178	CD630_10580	1250840	1251685	G12WB-1178-MONOMER
G12WB-3660	CD630_34800	4068184	4068636	G12WB-3660-MONOMER
G12WB-1388	CD630_12540	1457836	1458063	G12WB-1388-MONOMER
G12WB-3373	CD630_32070	3753581	3754960	G12WB-3373-MONOMER
G12WB-1179	CD630_10590	1251772	1252947	G12WB-1179-MONOMER
G12WB-3343	CD630_31770	3713531	3716092	G12WB-3343-MONOMER
G12WB-3784	CD630_35970	4205094	4205819	G12WB-3784-MONOMER
G12WB-3745	CD630_35590	4159743	4161737	G12WB-3745-MONOMER
G12WB-1856	CD630_17130	1987405	1988364	G12WB-1856-MONOMER
G12WB-1821	CD630_16790	1954557	1955036	G12WB-1821-MONOMER
G12WB-726	CD630_06170	741229	742122	G12WB-726-MONOMER
G12WB-675	CD630_05630	670855	671769	G12WB-675-MONOMER
G12WB-2097	CD630_19550	2255115	2255801	G12WB-2097-MONOMER
G12WB-2060	CD630_19160	2217308	2218009	G12WB-2060-MONOMER
G12WB-2534	CD630_23840	2751695	2753593	G12WB-2534-MONOMER
G12WB-2499	CD630_23470	2715912	2716991	G12WB-2499-MONOMER
G12WB-2933	CD630_27740	3225022	3225771	G12WB-2933-MONOMER
G12WB-2904	CD630_27460	3186373	3188823	G12WB-2904-MONOMER
G12WB-1401	CD630_12670	1472204	1473301	G12WB-1401-MONOMER
G12WB-1361	CD630_12310	1429719	1431236	G12WB-1361-MONOMER
G12WB-3358	CD630_31920	3734513	3736165	G12WB-3358-MONOMER
G12WB-3326	CD630_31610	3692139	3693428	G12WB-3326-MONOMER
G12WB-3764	CD630_35770	4177117	4178271	G12WB-3764-MONOMER
G12WB-3725	CD630_35440	4139421	4139849	G12WB-3725-MONOMER
G12WB-1838	CD630_16960	1967847	1969298	G12WB-1838-MONOMER
G12WB-1802	CD630_16610	1930875	1931993	G12WB-1802-MONOMER
G12WB-693	CD630_05820	695640	698207	G12WB-693-MONOMER
G12WB-656	CD630_05440	649018	650007	G12WB-656-MONOMER
G12WB-2077	CD630_19350	2233199	2233459	G12WB-2077-MONOMER
G12WB-2482	CD630_23300	2693929	2694501	G12WB-2482-MONOMER
G12WB-2512	CD630_23610	2729905	2730657	G12WB-2512-MONOMER
G12WB-289	CD630_01840	242556	243476	G12WB-289-MONOMER
G12WB-2919	CD630_27600	3207812	3209359	G12WB-2919-MONOMER
G12WB-1345	CD630_12140	1412597	1413421	G12WB-1345-MONOMER
G12WB-1386	CD630_12520	1456109	1457461	G12WB-1386-MONOMER
G12WB-3128	CD630_29630	3440028	3441437	G12WB-3128-MONOMER
G12WB-3304	CD630_31410	3661265	3661678	G12WB-3304-MONOMER
G12WB-3341	CD630_31750	3710213	3711235	G12WB-3341-MONOMER
G12WB-3710	CD630_35290	4123908	4125596	G12WB-3710-MONOMER
G12WB-3743	CD630_35570	4157490	4158458	G12WB-3743-MONOMER
G12WB-1785	CD630_16460	1908323	1909303	G12WB-1785-MONOMER
G12WB-1819	CD630_16770	1952368	1953300	G12WB-1819-MONOMER
G12WB-639	CD630_05270	631971	632717	G12WB-639-MONOMER
G12WB-673	CD630_05610	668172	669167	G12WB-673-MONOMER
G12WB-2465	CD630_23130	2674802	2675497	G12WB-2465-MONOMER
G12WB-2058	CD630_19140	2215743	2216624	G12WB-2058-MONOMER
G12WB-1329	CD630_11980	1398365	1398919	G12WB-1329-MONOMER
G12WB-2497	CD630_23450	2714141	2715013	G12WB-2497-MONOMER
G12WB-2877	CD630_27200	3155757	3157130	G12WB-2877-MONOMER
G12WB-2902	CD630_27440	3183567	3185774	G12WB-2902-MONOMER
G12WB-3288	CD630_31250	3638538	3640466	G12WB-3288-MONOMER
G12WB-136	CD630_00810	107533	107787	G12WB-136-MONOMER
G12WB-3691	CD630_35100	4100368	4102080	G12WB-3691-MONOMER
G12WB-3324	CD630_31590	3690834	3691298	G12WB-3324-MONOMER
G12WB-1760	CD630_16210	1876973	1877857	G12WB-1760-MONOMER
G12WB-3723	CD630_35420	4137238	4137822	G12WB-3723-MONOMER
G12WB-619	CD630_05081	602049	602243	G12WB-619-MONOMER
G12WB-18	CD630_00140	17952	19223	G12WB-18-MONOMER
G12WB-2441	CD630_22880	2654801	2656870	G12WB-2441-MONOMER
G12WB-653	CD630_05410	646543	647346	G12WB-653-MONOMER
G12WB-1313	CD630_11820	1382288	1383037	G12WB-1313-MONOMER
G12WB-2480	CD630_23280	2690139	2693078	G12WB-2480-MONOMER
G12WB-2854	CD630_27010	3121663	3122850	G12WB-2854-MONOMER
G12WB-2888	CD630_27310	3166452	3166853	G12WB-2888-MONOMER
G12WB-3270	CD630_31080	3616735	3617361	G12WB-3270-MONOMER
G12WB-1343	CD630_12120	1410796	1411236	G12WB-1343-MONOMER
G12WB-1740	CD630_16010	1856405	1857037	G12WB-1740-MONOMER
G12WB-3302	CD630_31390	3660566	3660766	G12WB-3302-MONOMER
G12WB-3679	CD630_34980	4086659	4088272	G12WB-3679-MONOMER
G12WB-3709	CD630_35280	4122829	4123896	G12WB-3709-MONOMER
G12WB-603	CD630_04910	581655	582062	G12WB-603-MONOMER
G12WB-1783	CD630_16440	1906296	1906859	G12WB-1783-MONOMER
G12WB-2425	CD630_22720	2634371	2635111	G12WB-2425-MONOMER
G12WB-637	CD630_05230	627357	628643	G12WB-637-MONOMER
G12WB-1296	CD630_11660	1364274	1365479	G12WB-1296-MONOMER
G12WB-2463	CD630_23110	2673187	2673999	G12WB-2463-MONOMER
G12WB-2836	CD630_26840	3103383	3103997	G12WB-2836-MONOMER
G12WB-1327	CD630_11960	1396465	1397676	G12WB-1327-MONOMER
G12WB-3255	CD630_30940	3596426	3598435	G12WB-3255-MONOMER
G12WB-2872	CD630_27180	3148377	3149054	G12WB-2872-MONOMER
G12WB-1722	CD630_15840	1836770	1837864	G12WB-1722-MONOMER
G12WB-3286	CD630_31230	3635863	3636645	G12WB-3286-MONOMER
G12WB-3664	CD630_34840	4070997	4072061	G12WB-3664-MONOMER
G12WB-369	CD630_02650	326789	327667	G12WB-369-MONOMER
G12WB-585	CD630_04730	563536	563961	G12WB-585-MONOMER
G12WB-1758	CD630_16190	1874544	1875308	G12WB-1758-MONOMER
G12WB-2405	CD630_22490	2605782	2606603	G12WB-2405-MONOMER
G12WB-617	CD630_05070	598817	599749	G12WB-617-MONOMER
G12WB-358	CD630_02550	317397	318380	G12WB-358-MONOMER
G12WB-348	CD630_02450	309272	309589	G12WB-348-MONOMER
G12WB-1279	CD630_11490	1348678	1349361	G12WB-1279-MONOMER
G12WB-244	CD630_01400	186311	187363	G12WB-244-MONOMER
G12WB-2820	CD630_26691	3082790	3084832	G12WB-2820-MONOMER
G12WB-1311	CD630_11800	1380393	1381322	G12WB-1311-MONOMER
G12WB-3240	CD630_30790	3575870	3577315	G12WB-3240-MONOMER
G12WB-2852	CD630_26990	3118351	3119019	G12WB-2852-MONOMER
G12WB-1694	CD630_15550	1802619	1803947	G12WB-1694-MONOMER
G12WB-3269	CD630_31070	3614991	3616535	G12WB-3269-MONOMER
G12WB-3648	CD630_34680	4058907	4060301	G12WB-3648-MONOMER
G12WB-1738	CD630_15990	1854776	1855570	G12WB-1738-MONOMER
G12WB-569	CD630_04570	544648	545364	G12WB-569-MONOMER
G12WB-3677	CD630_34960	4084737	4085015	G12WB-3677-MONOMER
G12WB-999	CD630_08910	1072917	1073795	G12WB-999-MONOMER
G12WB-601	CD630_04890	579471	580151	G12WB-601-MONOMER
G12WB-2386	CD630_22310	2582616	2583587	G12WB-2386-MONOMER
G12WB-2423	CD630_22700	2631497	2632414	G12WB-2423-MONOMER
G12WB-1262	CD630_11320	1332168	1332380	G12WB-1262-MONOMER
G12WB-1294	CD630_11640	1362276	1363553	G12WB-1294-MONOMER
G12WB-2805	CD630_26540	3062132	3063100	G12WB-2805-MONOMER
G12WB-2834	CD630_26820	3098685	3102224	G12WB-2834-MONOMER
G12WB-3225	CD630_30640	3558609	3559946	G12WB-3225-MONOMER
G12WB-3253	CD630_30920	3594076	3595395	G12WB-3253-MONOMER
G12WB-1674	CD630_15360	1781688	1782581	G12WB-1674-MONOMER
G12WB-1717	CD630_15800	1831561	1832778	G12WB-1717-MONOMER
G12WB-363	CD630_02590	320569	320943	G12WB-363-MONOMER
G12WB-3662	CD630_34820	4069119	4070159	G12WB-3662-MONOMER
G12WB-552	CD630_04410	524357	525757	G12WB-552-MONOMER
G12WB-583	CD630_04710	562228	562614	G12WB-583-MONOMER
G12WB-984	CD630_08760	1052858	1053895	G12WB-984-MONOMER
G12WB-2402	CD630_22460	2599316	2600989	G12WB-2402-MONOMER
G12WB-2363	CD630_22080	2557851	2558348	G12WB-2363-MONOMER
G12WB-1277	CD630_11470	1345102	1345590	G12WB-1277-MONOMER
G12WB-1245	CD630_11180	1313507	1314481	G12WB-1245-MONOMER
G12WB-2819	CD630_26680	3081687	3082529	G12WB-2819-MONOMER
G12WB-2787	CD630_26360	3045172	3046104	G12WB-2787-MONOMER
G12WB-3239	CD630_30780	3575154	3575771	G12WB-3239-MONOMER
G12WB-3210	CD630_30480	3541901	3543247	G12WB-3210-MONOMER
G12WB-1692	CD630_15530	1800363	1801121	G12WB-1692-MONOMER
G12WB-1658	CD630_15200	1761756	1762724	G12WB-1658-MONOMER
G12WB-3646	CD630_34660	4057802	4058182	G12WB-3646-MONOMER
G12WB-3613	CD630_34360	4027622	4028236	G12WB-3613-MONOMER
G12WB-567	CD630_04550	539697	541811	G12WB-567-MONOMER
G12WB-533	CD630_04250	505616	506947	G12WB-533-MONOMER
G12WB-997	CD630_08890	1071633	1072046	G12WB-997-MONOMER
G12WB-964	CD630_08540	1029438	1030349	G12WB-964-MONOMER
G12WB-2384	CD630_22290	2579494	2581515	G12WB-2384-MONOMER
G12WB-2349	CD630_21950	2542337	2542852	G12WB-2349-MONOMER
G12WB-1260	CD630_11300	1329826	1330380	G12WB-1260-MONOMER
G12WB-1230	CD630_11042	1296066	1296272	G12WB-1230-MONOMER
G12WB-2803	CD630_26520	3059576	3060706	G12WB-2803-MONOMER
G12WB-2761	CD630_26100	3016016	3017017	G12WB-2761-MONOMER
G12WB-3223	CD630_30620	3555936	3556721	G12WB-3223-MONOMER
G12WB-3192	CD630_30300	3518297	3519874	G12WB-3192-MONOMER
G12WB-1672	CD630_15340	1778465	1780078	G12WB-1672-MONOMER
G12WB-1637	CD630_15020	1739817	1740476	G12WB-1637-MONOMER
G12WB-3628	CD630_34490	4041102	4042265	G12WB-3628-MONOMER
G12WB-3599	CD630_34220	4013526	4015004	G12WB-3599-MONOMER
G12WB-547	CD630_04360	518036	519802	G12WB-547-MONOMER
G12WB-517	CD630_04110	482590	483075	G12WB-517-MONOMER
G12WB-982	CD630_08740	1050405	1051160	G12WB-982-MONOMER
G12WB-945	CD630_08350	1012613	1013062	G12WB-945-MONOMER
G12WB-2361	CD630_22060	2555601	2556965	G12WB-2361-MONOMER
G12WB-2332	CD630_21750	2516146	2516808	G12WB-2332-MONOMER
G12WB-1243	CD630_11160	1312709	1313185	G12WB-1243-MONOMER
G12WB-1216	CD630_10921	1286405	1286662	G12WB-1216-MONOMER
G12WB-2781	CD630_26300	3039375	3040406	G12WB-2781-MONOMER
G12WB-2745	CD630_25880	2994173	2994790	G12WB-2745-MONOMER
G12WB-3208	CD630_30460	3539577	3540491	G12WB-3208-MONOMER
G12WB-3174	CD630_30100	3496354	3497631	G12WB-3174-MONOMER
G12WB-1656	CD630_15180	1760589	1760816	G12WB-1656-MONOMER
G12WB-1619	CD630_14820	1718131	1718901	G12WB-1619-MONOMER
G12WB-3611	CD630_34340	4024332	4025708	G12WB-3611-MONOMER
G12WB-3581	CD630_34070	3986410	3988191	G12WB-3581-MONOMER
G12WB-531	CD630_04230	496122	504845	G12WB-531-MONOMER
G12WB-494	CD630_03890	459275	460741	G12WB-494-MONOMER
G12WB-962	CD630_08520	1027707	1028141	G12WB-962-MONOMER
G12WB-490	CD630_03850	453006	453332	G12WB-490-MONOMER
G12WB-2347	CD630_21920	2538521	2538874	G12WB-2347-MONOMER
G12WB-928	CD630_08180	992746	994152	G12WB-928-MONOMER
G12WB-1229	CD630_11041	1295704	1296069	G12WB-1229-MONOMER
G12WB-2311	CD630_21540	2492241	2493449	G12WB-2311-MONOMER
G12WB-2759	CD630_26020	3010077	3011279	G12WB-2759-MONOMER
G12WB-2727	CD630_25710	2976024	2976740	G12WB-2727-MONOMER
G12WB-3190	CD630_30280	3516503	3517102	G12WB-3190-MONOMER
G12WB-3152	CD630_29870	3470471	3471475	G12WB-3152-MONOMER
G12WB-1635	CD630_14980	1734991	1735881	G12WB-1635-MONOMER
G12WB-120	CD630_00660	90160	93876	G12WB-120-MONOMER
G12WB-3597	CD630_34200	4011102	4012601	G12WB-3597-MONOMER
G12WB-160	CD630_01020	120122	120925	G12WB-160-MONOMER
G12WB-514	CD630_04081	480597	480878	G12WB-514-MONOMER
G12WB-3562	CD630_33880	3960451	3961641	G12WB-3562-MONOMER
G12WB-943	CD630_08330	1009321	1011246	G12WB-943-MONOMER
G12WB-474	CD630_03680	439346	440038	G12WB-474-MONOMER
G12WB-2330	CD630_21730	2513981	2515156	G12WB-2330-MONOMER
G12WB-911	CD630_08000	972321	973103	G12WB-911-MONOMER
G12WB-1214	CD630_10910	1284507	1285700	G12WB-1214-MONOMER
G12WB-2294	CD630_21370	2473758	2474315	G12WB-2294-MONOMER
G12WB-2743	CD630_25870	2992700	2993899	G12WB-2743-MONOMER
G12WB-2709	CD630_25540	2954592	2954699	G12WB-2709-MONOMER
G12WB-3171	CD630_30060	3491474	3492619	G12WB-3171-MONOMER
G12WB-3137	CD630_29710	3452891	3453436	G12WB-3137-MONOMER
G12WB-1616	CD630_14790	1714822	1716978	G12WB-1616-MONOMER
G12WB-1170	CD630_10510	1244385	1245071	G12WB-1170-MONOMER
G12WB-3579	CD630_34050	3983987	3984484	G12WB-3579-MONOMER
G12WB-1583	CD630_14460	1676723	1678081	G12WB-1583-MONOMER
G12WB-3576	CD630_34020	3979913	3980827	G12WB-3576-MONOMER
G12WB-3548	CD630_33741	3945832	3946062	G12WB-3548-MONOMER
G12WB-488	CD630_03820	450811	451209	G12WB-488-MONOMER
G12WB-457	CD630_03500	425143	425703	G12WB-457-MONOMER
G12WB-926	CD630_08160	988673	990472	G12WB-926-MONOMER
G12WB-2031	CD630_18850	2190783	2191631	G12WB-2031-MONOMER
G12WB-2309	CD630_21520	2490554	2491594	G12WB-2309-MONOMER
G12WB-893	CD630_07820	954571	955269	G12WB-893-MONOMER
G12WB-2725	CD630_25690	2970721	2973399	G12WB-2725-MONOMER
G12WB-700	CD630_05880	705087	705374	G12WB-700-MONOMER
G12WB-2274	CD630_21190	2453144	2454037	G12WB-2274-MONOMER
G12WB-3150	CD630_29850	3468522	3469268	G12WB-3150-MONOMER
G12WB-729	CD630_06200	743235	743465	G12WB-729-MONOMER
G12WB-2684	CD630_25290	2922574	2922885	G12WB-2684-MONOMER
G12WB-269	CD630_01640	217381	217674	G12WB-269-MONOMER
G12WB-1197	CD630_10740	1267974	1268384	G12WB-1197-MONOMER
G12WB-902	CD630_07910	963449	964093	G12WB-902-MONOMER
G12WB-2608	CD630_24540	2830132	2831607	G12WB-2608-MONOMER
G12WB-3119	CD630_29550	3431094	3432467	G12WB-3119-MONOMER
G12WB-1599	CD630_14620	1691065	1691454	G12WB-1599-MONOMER
G12WB-8	CD630_00080	8857	9117	G12WB-8-MONOMER
G12WB-2516	CD630_23660	2733352	2733810	G12WB-2516-MONOMER
G12WB-1154	CD630_10350	1214568	1216586	G12WB-1154-MONOMER
G12WB-3560	CD630_33870	3959235	3960044	G12WB-3560-MONOMER
G12WB-733	CD630_06250	745811	747049	G12WB-733-MONOMER
G12WB-2446	CD630_22930	2659603	2659899	G12WB-2446-MONOMER
G12WB-1565	CD630_14280	1655797	1656162	G12WB-1565-MONOMER
G12WB-472	CD630_03660	437439	438365	G12WB-472-MONOMER
G12WB-704	CD630_05920	715862	716257	G12WB-704-MONOMER
G12WB-2380	CD630_22240	2575127	2575357	G12WB-2380-MONOMER
G12WB-353	CD630_02500	312979	313710	G12WB-353-MONOMER
G12WB-91	CD630_00390	61659	63389	G12WB-91-MONOMER
G12WB-1083	CD630_09670	1135395	1137101	G12WB-1083-MONOMER
G12WB-2303	CD630_21460	2483562	2484629	G12WB-2303-MONOMER
G12WB-4402	CD630_13750	1593068	1593187	G12WB-4402-MONOMER
G12WB-2291	CD630_21350	2471997	2472776	G12WB-2291-MONOMER
G12WB-2227	CD630_20751	2393926	2394003	G12WB-2227-MONOMER
G12WB-635	CD630_05211	623250	623408	G12WB-635-MONOMER
G12WB-2013	CD630_18670	2168793	2169254	G12WB-2013-MONOMER
G12WB-2705	CD630_25500	2949671	2950948	G12WB-2705-MONOMER
G12WB-4595	CD630_34531	4047224	4047418	G12WB-4595-MONOMER
G12WB-1054	CD630_09420	1112324	1112551	G12WB-1054-MONOMER
G12WB-875	CD630_07630	936612	937046	G12WB-875-MONOMER
G12WB-3135	CD630_29690	3450328	3451719	G12WB-3135-MONOMER
G12WB-1034	CD630_09241	1101880	1102005	G12WB-1034-MONOMER
G12WB-2187	CD630_20390	2352113	2352736	G12WB-2187-MONOMER
G12WB-2256	CD630_21030	2429593	2430675	G12WB-2256-MONOMER
G12WB-1169	CD630_10500	1243525	1244385	G12WB-1169-MONOMER
G12WB-2136	CD630_19921	2300318	2300482	G12WB-2136-MONOMER
G12WB-4441	CD630_16781	1954118	1954381	G12WB-4441-MONOMER
G12WB-2670	CD630_25160	2905443	2906438	G12WB-2670-MONOMER
G12WB-1581	CD630_14440	1675403	1676122	G12WB-1581-MONOMER
G12WB-4305	CD630_03150	383016	383228	G12WB-4305-MONOMER
G12WB-1006	CD630_08980	1080111	1081616	G12WB-1006-MONOMER
G12WB-3089	CD630_29270	3412606	3413754	G12WB-3089-MONOMER
G12WB-3546	CD630_33730	3942574	3945339	G12WB-3546-MONOMER
G12WB-3879	CDP06	2903	3358	G12WB-3879-MONOMER
G12WB-2042	CD630_18970	2200638	2201096	G12WB-2042-MONOMER
G12WB-1135	CD630_10200	1191022	1191708	G12WB-1135-MONOMER
G12WB-454	CD630_03450	421155	421967	G12WB-454-MONOMER
G12WB-3823	CD630_36361	4245371	4245595	G12WB-3823-MONOMER
G12WB-1936	CD630_17890	2071342	2072001	G12WB-1936-MONOMER
G12WB-1547	CD630_14090	1633314	1634570	G12WB-1547-MONOMER
G12WB-2028	CD630_18820	2187411	2188916	G12WB-2028-MONOMER
G12WB-3768	CD630_35810	4180960	4181832	G12WB-3768-MONOMER
G12WB-1871	CD630_17281	2001383	2001577	G12WB-1871-MONOMER
G12WB-3512	CD630_33430	3906771	3907751	G12WB-3512-MONOMER
G12WB-890	CD630_07790	949265	950410	G12WB-890-MONOMER
G12WB-3658	CD630_34780	4066403	4067218	G12WB-3658-MONOMER
G12WB-1800	CD630_16600	1929539	1929856	G12WB-1800-MONOMER
G12WB-433	CD630_03240	391385	392137	G12WB-433-MONOMER
G12WB-2272	CD630_21170	2449604	2450512	G12WB-2272-MONOMER
G12WB-3490	CD630_33230	3888356	3888931	G12WB-3490-MONOMER
G12WB-1718	CD630_15810	1832895	1833377	G12WB-1718-MONOMER
G12WB-1998	CD630_18540	2144675	2144935	G12WB-1998-MONOMER
G12WB-2688	CD630_25330	2925846	2928233	G12WB-2688-MONOMER
G12WB-3414	CD630_32471	3802999	3803136	G12WB-3414-MONOMER
G12WB-1643	CD630_15071	1745086	1745235	G12WB-1643-MONOMER
G12WB-860	CD630_07480	911798	914833	G12WB-860-MONOMER
G12WB-3117	CD630_29530	3429094	3430143	G12WB-3117-MONOMER
G12WB-3321	CD630_31562	3686842	3687057	G12WB-3321-MONOMER
G12WB-1549	CD630_14110	1635501	1636085	G12WB-1549-MONOMER
G12WB-2238	CD630_20860	2408023	2408694	G12WB-2238-MONOMER
G12WB-1149	CD630_10340	1207999	1208973	G12WB-1149-MONOMER
G12WB-3202	CD630_30400	3532397	3533200	G12WB-3202-MONOMER
G12WB-1482	CD630_13470	1563928	1564998	G12WB-1482-MONOMER
G12WB-2652	CD630_24980	2882690	2883979	G12WB-2652-MONOMER
G12WB-1561	CD630_14220	1652211	1653020	G12WB-1561-MONOMER
G12WB-3112	CD630_29480	3425273	3426067	G12WB-3112-MONOMER
G12WB-1377	CD630_12440	1446406	1446825	G12WB-1377-MONOMER
G12WB-3054	CD630_28940	3383691	3384506	G12WB-3054-MONOMER
G12WB-3528	CD630_33590	3922361	3923899	G12WB-3528-MONOMER
G12WB-3088	CD630_29260	3411003	3411614	G12WB-3088-MONOMER
G12WB-1306	CD630_11760	1376750	1377274	G12WB-1306-MONOMER
G12WB-1118	CD630_10030	1172153	1172992	G12WB-1118-MONOMER
G12WB-440	CD630_03310	398605	399129	G12WB-440-MONOMER
G12WB-3063	CD630_29020	3390154	3390414	G12WB-3063-MONOMER
G12WB-1188	CD630_10650	1258272	1258712	G12WB-1188-MONOMER
G12WB-1529	CD630_13920	1612363	1612707	G12WB-1529-MONOMER
G12WB-2011	CD630_18650	2166079	2167701	G12WB-2011-MONOMER
G12WB-3006	CD630_28460	3327825	3328445	G12WB-3006-MONOMER
G12WB-1103	CD630_09880	1152017	1152463	G12WB-1103-MONOMER
G12WB-3498	CD630_33300	3894170	3894526	G12WB-3498-MONOMER
G12WB-873	CD630_07610	932734	934347	G12WB-873-MONOMER
G12WB-2775	CD630_26240	3030985	3031620	G12WB-2775-MONOMER
G12WB-2859	CD630_27060	3128684	3130552	G12WB-2859-MONOMER
G12WB-418	CD630_03120	373980	374345	G12WB-418-MONOMER
G12WB-2253	CD630_21010	2426691	2427479	G12WB-2253-MONOMER
G12WB-974	CD630_08660	1042904	1043884	G12WB-974-MONOMER
G12WB-2677	CD630_25220	2916007	2916357	G12WB-2677-MONOMER
G12WB-1980	CD630_18350	2124648	2125727	G12WB-1980-MONOMER
G12WB-2668	CD630_25140	2901818	2903035	G12WB-2668-MONOMER
G12WB-889	CD630_07780	948832	949251	G12WB-889-MONOMER
G12WB-2586	CD630_24340	2811282	2811884	G12WB-2586-MONOMER
G12WB-840	CD630_07290	892293	892670	G12WB-840-MONOMER
G12WB-3083	CD630_29210	3406652	3408091	G12WB-3083-MONOMER
G12WB-788	CD630_06790	821646	822653	G12WB-788-MONOMER
G12WB-2511	CD630_23600	2729407	2729892	G12WB-2511-MONOMER
G12WB-222	CD630_01180	161043	161600	G12WB-222-MONOMER
G12WB-1132	CD630_10170	1186269	1187996	G12WB-1132-MONOMER
G12WB-242	CD630_01380	184689	185207	G12WB-242-MONOMER
G12WB-340	CD630_02370	298980	300503	G12WB-340-MONOMER
G12WB-2638	CD630_24830	2864141	2865199	G12WB-2638-MONOMER
G12WB-1545	CD630_14070	1630685	1632133	G12WB-1545-MONOMER
G12WB-2377	CD630_22221	2573947	2574057	G12WB-2377-MONOMER
G12WB-342	CD630_02390	300942	301814	G12WB-342-MONOMER
G12WB-3033	CD630_28730	3360414	3362693	G12WB-3033-MONOMER
G12WB-3510	CD630_33420	3905806	3906312	G12WB-3510-MONOMER
G12WB-1078	CD630_09620	1132227	1132487	G12WB-1078-MONOMER
G12WB-2284	CD630_21270	2463409	2464233	G12WB-2284-MONOMER
