complex	name	genes	source
CPLX-33		CLJU_c20430(1) AND CLJU_c23420(1)	iJL965-ME
CPLX-34	precorrin-3B C17-methyltransferase	CLJU_c31860(1)	iJL965-ME
CPLX-35	Nucleoside triphosphate pyrophosphorylase (ctp)	CLJU_c41680(1)	iJL965-ME
CPLX-36	allantoin transport in via proton symport	CLJU_c15350(1)	iJL965-ME
CPLX-37	allantoin transport in via proton symport	CLJU_c15320(1)	iJL965-ME
CPLX-38	glycerol-3-phosphate acyltransferase (C18:0)	CLJU_c12810(2)	iJL965-ME
CPLX-39		CLJU_c05550(1)	iJL965-ME
CPLX-40		CLJU_c05320(1)	iJL965-ME
CPLX-41	purine-nucleoside phosphorylase (Deoxyadenosine)	CLJU_c20750(1)	iJL965-ME
CPLX-42	precorrin-2 C20-methyltransferase	CLJU_c31890(1)	iJL965-ME
CPLX-43	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	CLJU_c42130(1)	iJL965-ME
CPLX-44	L-lysine reversible transport via proton symport	CLJU_c21810(1)	iJL965-ME
CPLX-45	L-lysine reversible transport via proton symport	CLJU_c24360(1)	iJL965-ME
CPLX-46		CLJU_c22090(1)	iJL965-ME
CPLX-47	spermidine transport via ABC system	CLJU_c21730(1) AND CLJU_c21740(1) AND CLJU_c21750(1) AND CLJU_c21760(2)	iJL965-ME
CPLX-48	GTP diphosphokinase	CLJU_c33710(1)	iJL965-ME
CPLX-49	Imidazole-glycerol-3-phosphate synthase	CLJU_c11700(1) AND CLJU_c11730(1)	iJL965-ME
CPLX-50	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	CLJU_c34940(1)	iJL965-ME
CPLX-51	3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)	CLJU_c42160(1)	iJL965-ME
CPLX-52	Threonine Aldolase	CLJU_c26170(1)	iJL965-ME
CPLX-53	Alpha-N-arabinofuranosidase	CLJU_c01240(1)	iJL965-ME
CPLX-54	malate dehydrogenase	CLJU_c05920(1)	iJL965-ME
CPLX-55	UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis)	CLJU_c02350(1)	iJL965-ME
CPLX-56	UDP-N-acetyl-D-glucosamine 2-epimerase (Hydrolysis)	CLJU_c34070(1)	iJL965-ME
CPLX-57	Phosphatidylserine syntase (n-C12:0)	CLJU_c02910(1)	iJL965-ME
CPLX-58	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	CLJU_c02160(1)	iJL965-ME
CPLX-59	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	CLJU_c09330(1)	iJL965-ME
CPLX-60		CLJU_c20430(2) AND CLJU_c20420(2)	iJL965-ME
CPLX-61		CLJU_c20430(2) AND CLJU_c23420(2)	iJL965-ME
CPLX-62		CLJU_c20430(2) AND CLJU_c38920(2)	iJL965-ME
CPLX-63	deoxyribose-phosphate aldolase	CLJU_c18130(1)	iJL965-ME
CPLX-64	hydroxymethylpyrimidine kinase (ATP)	CLJU_c33040(1)	iJL965-ME
CPLX-65		CLJU_c08740(1)	iJL965-ME
CPLX-66	isoleucine transaminase	CLJU_c09370(1)	iJL965-ME
CPLX-67	dihydroxyacetone kinase	CLJU_c24220(1)	iJL965-ME
CPLX-68	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)	CLJU_c42180(1)	iJL965-ME
CPLX-69	uridine kinase (ATP:Uridine)	CLJU_c02840(1)	iJL965-ME
CPLX-70	pyrimidine-nucleoside phosphorylase (cytosine)	CLJU_c18160(1)	iJL965-ME
CPLX-71	sulfate transport via ABC system	CLJU_c38570(1)	iJL965-ME
CPLX-72	4-aminobutyrate transaminase	CLJU_c20470(1)	iJL965-ME
CPLX-73	Potassium ABC transporter	CLJU_c39540(1) AND CLJU_c39550(1) AND CLJU_c39560(1)	iJL965-ME
CPLX-74	phosphogluconate dehydrogenase	CLJU_c11590(1)	iJL965-ME
CPLX-75		CLJU_c21420(1)	iJL965-ME
CPLX-76	murein polymerizing transglycosylase 2 (three linked units)	CLJU_c33940(1)	iJL965-ME
CPLX-77	molybdate transport via ABC system	CLJU_c22150(1) AND CLJU_c22160(1) AND CLJU_c22170(1)	iJL965-ME
CPLX-78	molybdate transport via ABC system	CLJU_c38080(1) AND CLJU_c38090(1) AND CLJU_c38100(1)	iJL965-ME
CPLX-79	molybdate transport via ABC system	CLJU_c17230(1) AND CLJU_c17240(1) AND CLJU_c17250(1)	iJL965-ME
CPLX-80	molybdate transport via ABC system	CLJU_c04890(1) AND CLJU_c26020(1)	iJL965-ME
CPLX-81	molybdate transport via ABC system	CLJU_c04890(1) AND CLJU_c22150(1) AND CLJU_c22160(1) AND CLJU_c22170(1)	iJL965-ME
CPLX-82		CLJU_c37220(1)	iJL965-ME
CPLX-83		CLJU_c17270(1) AND CLJU_c17280(1)	iJL965-ME
CPLX-84		CLJU_c20290(1)	iJL965-ME
CPLX-85	glycine transport in via proton symport	CLJU_c08330(1)	iJL965-ME
CPLX-86	glycine transport in via proton symport	CLJU_c17900(1)	iJL965-ME
CPLX-87	D-gluconate transport via proton symport, reversible	CLJU_c11600(1)	iJL965-ME
CPLX-88	D-gluconate transport via proton symport, reversible	CLJU_c28160(1)	iJL965-ME
CPLX-89	D-gluconate transport via proton symport, reversible	CLJU_c00620(1)	iJL965-ME
CPLX-90		CLJU_c31980(1)	iJL965-ME
FolE_CPLX		CLJU_c06350(10)	iJL965-ME
CPLX-92	porphobilinogen synthase	CLJU_c31960(8)	iJL965-ME
CPLX-93	shikimate dehydrogenase	CLJU_c28750(1)	iJL965-ME
CPLX-94	shikimate dehydrogenase	CLJU_c29120(1)	iJL965-ME
CPLX-95	pyrroline-5-carboxylate reductase	CLJU_c37380(1)	iJL965-ME
CPLX-96	aspartate kinase	CLJU_c32890(1)	iJL965-ME
CPLX-97	aspartate kinase	CLJU_c38320(1)	iJL965-ME
CPLX-98	L-aspartase	CLJU_c04170(1)	iJL965-ME
CPLX-99	L-aspartase	CLJU_c42370(1)	iJL965-ME
CPLX-100	Phosphate acetyltransferase	CLJU_c12770(1)	iJL965-ME
CPLX-101	precorrin-6A reductase	CLJU_c31840(1)	iJL965-ME
CPLX-102		CLJU_c09060(1) AND CLJU_c09070(1)	iJL965-ME
CPLX-103	Aspartate racemase	CLJU_c29440(1)	iJL965-ME
CPLX-104	carbamoyl-phosphate synthase (glutamine-hydrolysing)	CLJU_c25210(1) AND CLJU_c25220(1)	iJL965-ME
CPLX-105	carbamoyl-phosphate synthase (glutamine-hydrolysing)	CLJU_c04400(1) AND CLJU_c04410(1)	iJL965-ME
CPLX-106		CLJU_c11880(1)	iJL965-ME
CPLX-107	alcohol dehydrogenase (butanol)	CLJU_c16520(1)	iJL965-ME
CPLX-108	alcohol dehydrogenase (butanol)	CLJU_c16510(1)	iJL965-ME
CPLX-109	D-ribose transport via ABC system	CLJU_c01260(1) AND CLJU_c01270(2) AND CLJU_c01280(1)	iJL965-ME
CPLX-110	precorrin-5 C1-methyltransferase	CLJU_c31870(1) AND CLJU_c31920(1)	iJL965-ME
CPLX-111	dihydrodipicolinate synthase	CLJU_c34560(4)	iJL965-ME
CPLX-112	dihydrodipicolinate synthase	CLJU_c04300(4)	iJL965-ME
CPLX-113	undecaprenyl-diphosphatase (periplasm)	CLJU_c15920(1)	iJL965-ME
CPLX-114	undecaprenyl-diphosphatase (periplasm)	CLJU_c06220(1)	iJL965-ME
CPLX-115		CLJU_c16120(2) AND CLJU_c16130(2)	iJL965-ME
CPLX-116		CLJU_c20410(1)	iJL965-ME
CPLX-117	adenine phosphoribosyltransferase	CLJU_c33720(2)	iJL965-ME
CPLX-118	2-dehydro-3-deoxy-phosphogluconate aldolase	CLJU_c11630(1)	iJL965-ME
CPLX-119	2-dehydro-3-deoxy-phosphogluconate aldolase	CLJU_c13610(1)	iJL965-ME
CPLX-120	Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)	CLJU_c34680(1)	iJL965-ME
CPLX-121	acetolactate decarboxylase	CLJU_c08380(1)	iJL965-ME
CPLX-122		CLJU_c03180(1)	iJL965-ME
CPLX-123	fructose-1-phosphate kinase	CLJU_c20600(1)	iJL965-ME
CPLX-124	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	CLJU_c41280(1)	iJL965-ME
CPLX-125		CLJU_c04900(2) AND CLJU_c04940(1) AND CLJU_c23520(1)	iJL965-ME
CPLX-126		CLJU_c04900(2) AND CLJU_c23510(1) AND CLJU_c23520(1)	iJL965-ME
CPLX-127		CLJU_c04940(1) AND CLJU_c23520(1) AND CLJU_c23530(2)	iJL965-ME
CPLX-128		CLJU_c23510(1) AND CLJU_c23520(1) AND CLJU_c23530(2)	iJL965-ME
CPLX-129		CLJU_c04900(2) AND CLJU_c04930(1) AND CLJU_c04940(1)	iJL965-ME
CPLX-130		CLJU_c04900(2) AND CLJU_c04930(1) AND CLJU_c23510(1)	iJL965-ME
CPLX-131		CLJU_c04930(1) AND CLJU_c04940(1) AND CLJU_c23530(2)	iJL965-ME
CPLX-132		CLJU_c04930(1) AND CLJU_c23510(1) AND CLJU_c23530(2)	iJL965-ME
CPLX-133	Pyridoxal-5-phosphate synthase	CLJU_c39580(1) AND CLJU_c39590(1)	iJL965-ME
CPLX-134		CLJU_c41770(1)	iJL965-ME
CPLX-135	2-dehydropantoate 2-reductase	CLJU_c17690(1)	iJL965-ME
CPLX-136	D-xylose transport via ABC system	CLJU_c32270(1)	iJL965-ME
CPLX-137	folate reductase	CLJU_c24490(1)	iJL965-ME
CPLX-138		CLJU_c06640(1)	iJL965-ME
CPLX-139	arginine decarboxylase	CLJU_c01380(1)	iJL965-ME
CPLX-140	arginine decarboxylase	CLJU_c34220(1)	iJL965-ME
CPLX-141	spermidine synthase	CLJU_c28200(2)	iJL965-ME
CPLX-142	phosphate transport via ABC system	CLJU_c12420(2)	iJL965-ME
CPLX-143	precorrin-4 C11-methyltransferase	CLJU_c31880(1)	iJL965-ME
CPLX-144	hexokinase (D-glucose:ATP)	CLJU_c20810(1)	iJL965-ME
CPLX-145	diacylglycerol kinase (n-C18:1)	CLJU_c08090(1)	iJL965-ME
CPLX-146	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)	CLJU_c39280(1)	iJL965-ME
CPLX-147	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)	CLJU_c06600(1)	iJL965-ME
CPLX-148	Pyruvate,phosphate dikinase.	CLJU_c08140(1)	iJL965-ME
CPLX-149		CLJU_c24880(1)	iJL965-ME
CPLX-150		CLJU_c39950(1)	iJL965-ME
CPLX-151	UMP kinase	CLJU_c13040(6)	iJL965-ME
CPLX-152	prephenate dehydratase	CLJU_c29130(1)	iJL965-ME
CPLX-153	prephenate dehydratase	CLJU_c25500(1)	iJL965-ME
CPLX-154	cardiolipin synthase (n-C16:1)	CLJU_c29040(1)	iJL965-ME
CPLX-155	cardiolipin synthase (n-C16:1)	CLJU_c08890(1)	iJL965-ME
CPLX-156	adenylate kinase	CLJU_c40830(1)	iJL965-ME
CPLX-157	phosphoglycerate kinase	CLJU_c39140(1)	iJL965-ME
CPLX-158	ADPribose diphosphatase	CLJU_c11240(1)	iJL965-ME
CPLX-159		CLJU_c08560(1)	iJL965-ME
FabH_dim	Acetyl-CoA ACP transacylase	CLJU_c42190(2)	iJL965-ME
CPLX-161	D-lactate dehydrogenase	CLJU_c32190(1)	iJL965-ME
CPLX-162	D-fructose transport via PEP:Pyr PTS	CLJU_c20590(1)	iJL965-ME
CPLX-163	D-fructose transport via PEP:Pyr PTS	CLJU_c26050(1) AND CLJU_c26060(1)	iJL965-ME
CPLX-164	homocitrate synthase	CLJU_c04980(1)	iJL965-ME
CPLX-165	sirohydrochlorin cobaltochelatase	CLJU_c31850(1)	iJL965-ME
CPLX-166	uracil transport in via proton symport	CLJU_c10730(1)	iJL965-ME
CPLX-167	uracil transport in via proton symport	CLJU_c23580(1)	iJL965-ME
CPLX-168	ornithine carbamoyltransferase	CLJU_c28010(1)	iJL965-ME
CPLX-169	ornithine carbamoyltransferase	CLJU_c09280(1)	iJL965-ME
CPLX-170	ornithine carbamoyltransferase	CLJU_c25230(1)	iJL965-ME
CPLX-171	ornithine carbamoyltransferase	CLJU_c42560(3)	iJL965-ME
CPLX-172		CLJU_c35690(1) AND CLJU_c35700(2)	iJL965-ME
CPLX-173	formate-tetrahydrofolate ligase	CLJU_c37650(1)	iJL965-ME
CPLX-174	nitrite transport in via proton symport, reversible	CLJU_c23740(1)	iJL965-ME
HisGZ_CPLX	ATP phosphoribosyltransferase	CLJU_c11670(1) AND CLJU_c11660(1)	iJL965-ME
CPLX-176	L-tryptophan reversible transport via proton symport	CLJU_c29000(1)	iJL965-ME
CPLX-177	S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8)	CLJU_c40300(1)	iJL965-ME
CPLX-178	GMP synthase	CLJU_c37170(2)	iJL965-ME
CPLX-179	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase	CLJU_c10570(1)	iJL965-ME
CPLX-180	acetate kinase	CLJU_c12780(2)	iJL965-ME
CPLX-181	phosphoribosyl-AMP cyclohydrolase	CLJU_c11740(1)	iJL965-ME
CPLX-182		CLJU_c23480(2)	iJL965-ME
CPLX-183	isocitrate dehydrogenase (NAD)	CLJU_c06630(1)	iJL965-ME
CPLX-184		CLJU_c24370(1)	iJL965-ME
CPLX-185		CLJU_c39310(1)	iJL965-ME
CPLX-186		CLJU_c10140(1)	iJL965-ME
CPLX-187	Glycine betaine transport via proton symport, reversible	CLJU_c27340(1)	iJL965-ME
CPLX-188	Glycine betaine transport via proton symport, reversible	CLJU_c27820(1)	iJL965-ME
CPLX-189		CLJU_c27260(1)	iJL965-ME
CPLX-190		CLJU_c07730(1)	iJL965-ME
CPLX-191	adenosylcobinamide-phosphate synthase	CLJU_c32010(1)	iJL965-ME
CPLX-192	Carbamate kinase	CLJU_c28000(1)	iJL965-ME
CPLX-193	Carbamate kinase	CLJU_c42550(1)	iJL965-ME
CPLX-194	Carbamate kinase	CLJU_c09300(1)	iJL965-ME
CPLX-195	Carbamate kinase	CLJU_c15300(1)	iJL965-ME
CPLX-196	Carbamate kinase	CLJU_c23570(1)	iJL965-ME
CPLX-197	Carbamate kinase	CLJU_c23800(1)	iJL965-ME
CPLX-198		CLJU_c01200(1)	iJL965-ME
CPLX-199	Na+/Proline-L symporter	CLJU_c20530(1)	iJL965-ME
CPLX-200	D-mannose transport via PEP:Pyr PTS	CLJU_c02950(1)	iJL965-ME
CPLX-201	dihydrodipicolinate reductase (NADPH)	CLJU_c18050(4)	iJL965-ME
CPLX-202	dihydrodipicolinate reductase (NADPH)	CLJU_c34550(4)	iJL965-ME
CPLX-203	phosphoribosylaminoimidazole synthase	CLJU_c08570(1)	iJL965-ME
CPLX-204	D-xylose transport in via proton symport	CLJU_c18280(1)	iJL965-ME
CPLX-205	phosphoribosylaminoimidazolecarboxamide formyltransferase	CLJU_c08590(1)	iJL965-ME
CPLX-206	phosphoribosylaminoimidazolecarboxamide formyltransferase	CLJU_c22210(1)	iJL965-ME
CPLX-207		CLJU_c37180(4)	iJL965-ME
CPLX-208	phosphate reversible transport via symport	CLJU_c12450(1)	iJL965-ME
CPLX-209		CLJU_c13340(1)	iJL965-ME
CPLX-210		CLJU_c04650(1)	iJL965-ME
CPLX-211	hypoxanthine phosphoribosyltransferase (Hypoxanthine)	CLJU_c33920(1)	iJL965-ME
CPLX-212	hypoxanthine phosphoribosyltransferase (Hypoxanthine)	CLJU_c41540(1)	iJL965-ME
CPLX-213	triose-phosphate isomerase	CLJU_c39130(2)	iJL965-ME
CPLX-214	Maltotriose transport via ABC system	CLJU_c16880(1)	iJL965-ME
CPLX-215	aconitase (half-reaction B, Isocitrate hydro-lyase)	CLJU_c06620(1)	iJL965-ME
CPLX-216	aconitase (half-reaction B, Isocitrate hydro-lyase)	CLJU_c30460(1)	iJL965-ME
CPLX-217	L-arabinose transport via proton symport	CLJU_c01250(1)	iJL965-ME
CPLX-218	phosphoribosylformylglycinamidine synthase	CLJU_c11540(1)	iJL965-ME
CPLX-219		CLJU_c38310(2)	iJL965-ME
CPLX-220	3-phosphoshikimate 1-carboxyvinyltransferase	CLJU_c29150(1)	iJL965-ME
CPLX-221	pyruvate kinase	CLJU_c03260(1)	iJL965-ME
CPLX-222	L-leucine reversible transport via proton symport	CLJU_c17740(1)	iJL965-ME
GlcA_mono	GLYCTt	CLJU_c21610(1)	iJL965-ME
CPLX-224	aspartate carbamoyltransferase	CLJU_c35720(1) AND CLJU_c35730(1)	iJL965-ME
CPLX-225	lacaldehyde reductase (S-propane-1,2-diol forming)	CLJU_c35930(1)	iJL965-ME
CPLX-226	xanthine dehydrogenase	CLJU_c23590(1) AND CLJU_c23600(1) AND CLJU_c23610(1)	iJL965-ME
CPLX-227	xanthine dehydrogenase	CLJU_c23890(1) AND CLJU_c23900(1) AND CLJU_c23910(1)	iJL965-ME
CPLX-228	xanthine dehydrogenase	CLJU_c29920(1) AND CLJU_c29930(1) AND CLJU_c29940(1)	iJL965-ME
CPLX-229	cytidylate kinase (CMP)	CLJU_c21330(1)	iJL965-ME
CPLX-230	formate transport in via proton symport	CLJU_c37490(1)	iJL965-ME
CPLX-231		CLJU_c11160(2)	iJL965-ME
CPLX-232	Phosphatidylglycerol synthase (n-C14:0)	CLJU_c13270(1)	iJL965-ME
CPLX-233	fumarase	CLJU_c40590(1) AND CLJU_c40600(1)	iJL965-ME
CPLX-234	adenosylcobyric acid synthase (glutamine-hydrolysing)	CLJU_c32020(1)	iJL965-ME
CPLX-235	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	CLJU_c11710(1)	iJL965-ME
CPLX-236	diaminopimelate epimerase	CLJU_c10760(1)	iJL965-ME
CPLX-237	succinyl-diaminopimelate desuccinylase	CLJU_c17390(1)	iJL965-ME
CPLX-238	ketol-acid reductoisomerase (2-Acetolactate)	CLJU_c20400(1)	iJL965-ME
CPLX-239	ketol-acid reductoisomerase (2-Acetolactate)	CLJU_c20390(1)	iJL965-ME
CPLX-240	ketol-acid reductoisomerase (2-Acetolactate)	CLJU_c15310(1)	iJL965-ME
CPLX-241	FMN adenylyltransferase	CLJU_c13190(1)	iJL965-ME
CPLX-242		CLJU_c24860(1)	iJL965-ME
CPLX-243	L-threonine deaminase	CLJU_c15090(1)	iJL965-ME
CPLX-244	precorrin-6Y C5,15-methyltransferase (decarboxylating)	CLJU_c31900(1) AND CLJU_c31910(1)	iJL965-ME
CPLX-245		CLJU_c39110(1)	iJL965-ME
CPLX-246	thiamine kinase	CLJU_c01390(1)	iJL965-ME
CPLX-247	taurine transport via ABC system	CLJU_c26510(1) AND CLJU_c26520(1) AND CLJU_c26530(1)	iJL965-ME
CPLX-248		CLJU_c03000(1)	iJL965-ME
CPLX-249	CDP-diacylglycerol synthetase (n-C14:0)	CLJU_c13170(1)	iJL965-ME
CPLX-250		CLJU_c24150(1) AND CLJU_c24160(1) AND CLJU_c24170(1) AND CLJU_c37600(1)	iJL965-ME
CPLX-251		CLJU_c24150(1) AND CLJU_c24160(1) AND CLJU_c37540(1) AND CLJU_c37600(1)	iJL965-ME
CPLX-252		CLJU_c04490(2)	iJL965-ME
CPLX-253	sirohydrochlorin ferrochelatase	CLJU_c31990(1)	iJL965-ME
CPLX-254	1,4-dihydroxy-2-naphthoate octaprenyltransferase	CLJU_c40280(1)	iJL965-ME
CPLX-255	NAPRTase	CLJU_c13430(1)	iJL965-ME
CPLX-256		CLJU_c22800(1) AND CLJU_c22820(1)	iJL965-ME
CPLX-257	riboflavin transport in via proton symport	CLJU_c02690(1)	iJL965-ME
CPLX-258	phosphoribosylaminoimidazole carboxylase	CLJU_c08540(1)	iJL965-ME
CPLX-259		CLJU_c42350(2)	iJL965-ME
CPLX-260		CLJU_c35680(2)	iJL965-ME
CPLX-261_Etf1_CPLX		CLJU_c37610(1) AND CLJU_c37620(1) AND CLJU_c13890(1) AND CLJU_c13880(1)	iJL965-ME
CPLX-261_Etf2_CPLX		CLJU_c37610(1) AND CLJU_c37620(1) AND CLJU_c20340(1) AND CLJU_c20330(1)	iJL965-ME
CPLX-261_Etf3_CPLX		CLJU_c37610(1) AND CLJU_c37620(1) AND CLJU_c39400(1) AND CLJU_c39410(1)	iJL965-ME
CPLX-262	phosphoserine phosphatase (L-serine)	CLJU_c09360(1)	iJL965-ME
CPLX-263	phosphoserine phosphatase (L-serine)	CLJU_c21640(1)	iJL965-ME
CPLX-264	glutamate-5-semialdehyde dehydrogenase	CLJU_c06000(1)	iJL965-ME
CPLX-265	indole-3-glycerol-phosphate synthase	CLJU_c16100(1)	iJL965-ME
ValS_mono		CLJU_c34690(1)	iJL965-ME
CPLX-267	L-ribulokinase (L-ribulose)	CLJU_c01220(1)	iJL965-ME
CPLX-268		CLJU_c21290(1)	iJL965-ME
Ser_RS_dim		CLJU_c00170(2)	iJL965-ME
CPLX-270	rhamnulokinase	CLJU_c42610(1)	iJL965-ME
CPLX-272	dTDP-4-dehydrorhamnose 3,5-epimerase	CLJU_c05350(1)	iJL965-ME
CPLX-273	dTDP-4-dehydrorhamnose 3,5-epimerase	CLJU_c05580(1)	iJL965-ME
RibBA_mono		CLJU_c22070(1)	iJL965-ME
CPLX-275	histidinol-phosphatase	CLJU_c11810(1)	iJL965-ME
CPLX-276	mannose-6-phosphate isomerase	CLJU_c39450(1)	iJL965-ME
CPLX-277		CLJU_c24380(1)	iJL965-ME
CPLX-279	imidazoleglycerol-phosphate dehydratase	CLJU_c11690(1)	iJL965-ME
CPLX-280		CLJU_c24150(1) AND CLJU_c24160(1) AND CLJU_c24170(1) AND CLJU_c24180(1) AND CLJU_c37600(1)	iJL965-ME
CPLX-281		CLJU_c24150(1) AND CLJU_c24160(1) AND CLJU_c24180(1) AND CLJU_c37540(1) AND CLJU_c37600(1)	iJL965-ME
CPLX-282		CLJU_c11680(1)	iJL965-ME
CPLX-283		CLJU_c42600(1)	iJL965-ME
CPLX-284		CLJU_c18240(4)	iJL965-ME
CPLX-285	arabinose reductase	CLJU_c17820(1)	iJL965-ME
CPLX-286	glycerol transport via channel	CLJU_c15570(1)	iJL965-ME
CPLX-287	glycerol transport via channel	CLJU_c11890(1)	iJL965-ME
CPLX-288		CLJU_c40440(1)	iJL965-ME
CPLX-289	4-Hydroxy-L-threonine synthase	CLJU_c40360(1)	iJL965-ME
CPLX-290	4-Hydroxy-L-threonine synthase	CLJU_c33180(1)	iJL965-ME
CPLX-291	D-galactose transport via ABC system	CLJU_c08950(1)	iJL965-ME
CPLX-292	L-serine deaminase	CLJU_c33250(1) AND CLJU_c33260(1)	iJL965-ME
CPLX-293		CLJU_c08600(1)	iJL965-ME
CPLX-294	Adenosyl cobinamide kinase	CLJU_c35520(1)	iJL965-ME
CPLX-295	D-galacturonate transport via proton symport, reversible	CLJU_c03870(1)	iJL965-ME
CPLX-296	1-deoxy-D-xylulose reductoisomerase	CLJU_c13080(1)	iJL965-ME
CPLX-297	Cobinamide adenyltransferase	CLJU_c31820(1)	iJL965-ME
CPLX-298	sodium proton antiporter (H:NA is 2)	CLJU_c08880(1) AND CLJU_c08970(1)	iJL965-ME
CPLX-299	sodium proton antiporter (H:NA is 2)	CLJU_c08970(1) AND CLJU_c40350(1)	iJL965-ME
NADH-DHI-CPLX_FdhA_mono		CLJU_c07030(1) AND CLJU_c07040(1) AND CLJU_c07050(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1) AND CLJU_c20040(1)	iJL965-ME
NADH-DHI-CPLX_FdhAII_mono		CLJU_c07030(1) AND CLJU_c07040(1) AND CLJU_c07050(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1) AND CLJU_c06990(1)	iJL965-ME
NADH-DHI-CPLX_FdhAIII_mono		CLJU_c07030(1) AND CLJU_c07040(1) AND CLJU_c07050(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1) AND CLJU_c08930(1)	iJL965-ME
NADH-DHI-II-CPLX_FdhA_mono		CLJU_c14700(1) AND CLJU_c14710(1) AND CLJU_c14720(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1) AND CLJU_c20040(1)	iJL965-ME
NADH-DHI-II-CPLX_FdhAII_mono		CLJU_c14700(1) AND CLJU_c14710(1) AND CLJU_c14720(1) AND CLJU_c07060(1) AND CLJU_c07070(1) AND CLJU_c07080(1) AND CLJU_c06990(1)	iJL965-ME
