Transcription-Units,Genes of transcription unit,Direction
TU1SOZ-1548,ABAYE_RS13625 // ABAYE_RS13620 // ABAYE_RS13615 // ABAYE_RS13610 // ABAYE_RS13605,-
TU1SOZ-459,ABAYE_RS03970,-
TU1SOZ-358,ABAYE_RS03080,-
TU1SOZ-168,ABAYE_RS01325 // ABAYE_RS01320,+
TU1SOZ-537,ABAYE_RS04560,+
TU1SOZ-1689,ABAYE_RS14905,-
TU1SOZ-391,ABAYE_RS03435 // ABAYE_RS03430,+
TU1SOZ-1266,ABAYE_RS11190,-
TU1SOZ-2552,ABAYE_RS05470,+
TU1SOZ-1854,ABAYE_RS16380,+
TU1SOZ-885,ABAYE_RS07665,-
TU1SOZ-1327,ABAYE_RS11825 // ABAYE_RS11820,-
TU1SOZ-206,ABAYE_RS01640,-
TU1SOZ-2114,ABAYE_RS18555,-
TU1SOZ-1215,ABAYE_RS10690 // ABAYE_RS10685 // ABAYE_RS10680,+
TU1SOZ-1411,ABAYE_RS12545,+
TU1SOZ-661,ABAYE_RS05635,+
TU1SOZ-2439,ABAYE_RS10780,+
TU1SOZ-1866,ABAYE_RS16500,+
TU1SOZ-157,ABAYE_RS01235,-
TU1SOZ-361,ABAYE_RS03115 // ABAYE_RS03110 // ABAYE_RS03105,+
TU1SOZ-2149,ABAYE_RS18940 // ABAYE_RS18935 // ABAYE_RS18930,+
TU1SOZ-1323,ABAYE_RS11780 // ABAYE_RS11775,-
TU1SOZ-1005,ABAYE_RS08685 // ABAYE_RS08680,+
TU1SOZ-2639,ABAYE_RS01735,-
TU1SOZ-1881,ABAYE_RS16595,-
TU1SOZ-1743,ABAYE_RS15380 // ABAYE_RS15375,-
TU1SOZ-2583,ABAYE_RS04510,+
TU1SOZ-623,ABAYE_RS05325 // ABAYE_RS05320,+
TU1SOZ-1647,ABAYE_RS14565,-
TU1SOZ-2434,ABAYE_RS10805,-
TU1SOZ-2065,ABAYE_RS18200 // ABAYE_RS18195 // ABAYE_RS18190 // ABAYE_RS18185 // ABAYE_RS20060,-
TU1SOZ-2635,ABAYE_RS01885,-
TU1SOZ-1314,ABAYE_RS11690,-
TU1SOZ-1538,ABAYE_RS13515 // ABAYE_RS13510,-
TU1SOZ-652,ABAYE_RS05555 // ABAYE_RS05550,+
TU1SOZ-1137,ABAYE_RS09900 // ABAYE_RS09895 // ABAYE_RS09890 // ABAYE_RS09885 // ABAYE_RS09880 // ABAYE_RS09875 // ABAYE_RS09870 // ABAYE_RS09865,-
TU1SOZ-2361,ABAYE_RS13220,+
TU1SOZ-1015,ABAYE_RS08805,-
TU1SOZ-2211,ABAYE_RS19215,-
TU1SOZ-2156,ABAYE_RS18990 // ABAYE_RS18985,-
TU1SOZ-521,ABAYE_RS04445 // ABAYE_RS04440 // ABAYE_RS04435,+
TU1SOZ-1878,ABAYE_RS16575,-
TU1SOZ-2484,ABAYE_RS08410,+
TU1SOZ-100,ABAYE_RS00720 // ABAYE_RS00715,+
TU1SOZ-1590,ABAYE_RS14030,-
TU1SOZ-398,ABAYE_RS03520,-
TU1SOZ-2253,ABAYE_RS17805,-
TU1SOZ-1558,ABAYE_RS13735,+
TU1SOZ-1131,ABAYE_RS09820,+
TU1SOZ-927,ABAYE_RS08000 // ABAYE_RS07995 // ABAYE_RS07990 // ABAYE_RS07985,+
TU1SOZ-5,ABAYE_RS00120,-
TU1SOZ-189,ABAYE_RS01505 // ABAYE_RS01500,+
TU1SOZ-2139,ABAYE_RS18795,-
TU1SOZ-1163,ABAYE_RS10150,+
TU1SOZ-2306,ABAYE_RS19875,+
TU1SOZ-1627,ABAYE_RS14390,-
TU1SOZ-2188,ABAYE_RS19200,-
TU1SOZ-807,ABAYE_RS06945,+
TU1SOZ-146,ABAYE_RS01140 // ABAYE_RS01135 // ABAYE_RS01130 // ABAYE_RS01125,+
TU1SOZ-1901,ABAYE_RS16750,-
TU1SOZ-633,ABAYE_RS05405,-
TU1SOZ-1858,ABAYE_RS16435 // ABAYE_RS19905,-
TU1SOZ-1942,ABAYE_RS17115 // ABAYE_RS17110 // ABAYE_RS17105,-
TU1SOZ-2086,ABAYE_RS18345,-
TU1SOZ-2244,ABAYE_RS19990,-
TU1SOZ-2522,ABAYE_RS06900,-
TU1SOZ-2264,ABAYE_RS16985,+
TU1SOZ-1210,ABAYE_RS10625 // ABAYE_RS10620 // ABAYE_RS10615 // ABAYE_RS10610 // ABAYE_RS10605 // ABAYE_RS10600 // ABAYE_RS10595 // ABAYE_RS10590 // ABAYE_RS10585 // ABAYE_RS10580 // ABAYE_RS10575 // ABAYE_RS10570 // ABAYE_RS10565,-
TU1SOZ-2148,ABAYE_RS18925 // ABAYE_RS18920 // ABAYE_RS18915 // ABAYE_RS18910 // ABAYE_RS18905 // ABAYE_RS18900 // ABAYE_RS18895 // ABAYE_RS18890 // ABAYE_RS18885 // ABAYE_RS18880,-
TU1SOZ-2637,ABAYE_RS01760,+
TU1SOZ-1925,ABAYE_RS16935 // ABAYE_RS16930,-
TU1SOZ-454,ABAYE_RS03920,-
TU1SOZ-2393,ABAYE_RS11680,-
TU1SOZ-1324,ABAYE_RS11805 // ABAYE_RS19720 // ABAYE_RS11790 // ABAYE_RS11785,-
TU1SOZ-693,ABAYE_RS05860,-
TU1SOZ-299,ABAYE_RS02460 // ABAYE_RS02455 // ABAYE_RS02450 // ABAYE_RS02445 // ABAYE_RS02440,+
TU1SOZ-1360,ABAYE_RS12160 // ABAYE_RS12155 // ABAYE_RS12150 // ABAYE_RS12145 // ABAYE_RS12140 // ABAYE_RS12135 // ABAYE_RS12130 // ABAYE_RS12125,-
TU1SOZ-1334,ABAYE_RS11870,-
TU1SOZ-1040,ABAYE_RS09035,+
TU1SOZ-255,ABAYE_RS02095,+
TU1SOZ-600,ABAYE_RS05080,+
TU1SOZ-443,ABAYE_RS03845,+
TU1SOZ-1014,ABAYE_RS08800 // ABAYE_RS08795 // ABAYE_RS08790 // ABAYE_RS08785,+
TU1SOZ-2279,ABAYE_RS16405,-
TU1SOZ-788,ABAYE_RS06765 // ABAYE_RS06760,+
TU1SOZ-585,ABAYE_RS04935,+
TU1SOZ-86,ABAYE_RS00625,+
TU1SOZ-1296,ABAYE_RS11505,+
TU1SOZ-1264,ABAYE_RS11180,-
TU1SOZ-1998,ABAYE_RS17560,+
TU1SOZ-2485,ABAYE_RS08385,+
TU1SOZ-642,ABAYE_RS05460,+
TU1SOZ-1227,ABAYE_RS10830 // ABAYE_RS10825,-
TU1SOZ-837,ABAYE_RS07225,-
TU1SOZ-2433,ABAYE_RS10810,+
TU1SOZ-511,ABAYE_RS04345,+
TU1SOZ-1348,ABAYE_RS12025 // ABAYE_RS12020 // ABAYE_RS12015 // ABAYE_RS12010,-
TU1SOZ-2203,ABAYE_RS00010 // ABAYE_RS00005,+
TU1SOZ-1033,ABAYE_RS08985,-
TU1SOZ-2115,ABAYE_RS18560,-
TU1SOZ-696,ABAYE_RS05910,-
TU1SOZ-2003,ABAYE_RS17620 // ABAYE_RS17615,+
TU1SOZ-878,ABAYE_RS07605,-
TU1SOZ-1600,ABAYE_RS14125,-
TU1SOZ-2098,ABAYE_RS18425,-
TU1SOZ-656,ABAYE_RS05595,+
TU1SOZ-499,ABAYE_RS04245,+
TU1SOZ-1367,ABAYE_RS12240 // ABAYE_RS12235 // ABAYE_RS12230,-
TU1SOZ-65,ABAYE_RS00095,+
TU1SOZ-115,ABAYE_RS00835,-
TU1SOZ-890,ABAYE_RS07705,+
TU1SOZ-303,ABAYE_RS02495,+
TU1SOZ-130,ABAYE_RS19550,+
TU1SOZ-850,ABAYE_RS07365 // ABAYE_RS07360,-
TU1SOZ-2409,ABAYE_RS11345,+
TU1SOZ-2295,ABAYE_RS15585,+
TU1SOZ-2501,ABAYE_RS07775,-
TU1SOZ-546,ABAYE_RS04615,-
TU1SOZ-824,ABAYE_RS07080,+
TU1SOZ-988,ABAYE_RS08540 // ABAYE_RS08535 // ABAYE_RS08530,-
TU1SOZ-1361,ABAYE_RS12165,-
TU1SOZ-2523,ABAYE_RS06855,+
TU1SOZ-1391,ABAYE_RS12400,+
TU1SOZ-1333,ABAYE_RS11860,-
TU1SOZ-1629,ABAYE_RS14405 // ABAYE_RS19855,-
TU1SOZ-517,ABAYE_RS04390,+
TU1SOZ-205,ABAYE_RS01635,-
TU1SOZ-1331,ABAYE_RS11850,-
TU1SOZ-2249,ABAYE_RS17840,+
TU1SOZ-451,ABAYE_RS03900 // ABAYE_RS03895,+
TU1SOZ-665,ABAYE_RS05665 // ABAYE_RS05660 // ABAYE_RS05655,-
TU1SOZ-2286,ABAYE_RS16115,+
TU1SOZ-452,ABAYE_RS03910 // ABAYE_RS03905,+
TU1SOZ-382,ABAYE_RS03305 // ABAYE_RS03300 // ABAYE_RS03295,-
TU1SOZ-1414,ABAYE_RS12560,-
TU1SOZ-594,ABAYE_RS05040 // ABAYE_RS05035 // ABAYE_RS05030 // ABAYE_RS05025,-
TU1SOZ-2672,ABAYE_RS00875,+
TU1SOZ-2363,ABAYE_RS13070,-
TU1SOZ-1549,ABAYE_RS13635 // ABAYE_RS13630,-
TU1SOZ-279,ABAYE_RS02265,+
TU1SOZ-1523,ABAYE_RS13370,+
TU1SOZ-1977,ABAYE_RS17375 // ABAYE_RS17370,-
TU1SOZ-684,ABAYE_RS05805 // ABAYE_RS05800 // ABAYE_RS05795 // ABAYE_RS05790 // ABAYE_RS05785,+
TU1SOZ-1145,ABAYE_RS09995,+
TU1SOZ-2558,ABAYE_RS05270,-
TU1SOZ-249,ABAYE_RS02065,-
TU1SOZ-1692,ABAYE_RS14925,-
TU1SOZ-1772,ABAYE_RS15655,+
TU1SOZ-1047,ABAYE_RS09080,-
TU1SOZ-597,ABAYE_RS05060,-
TU1SOZ-948,ABAYE_RS08175,+
TU1SOZ-725,ABAYE_RS06155,-
TU1SOZ-69,ABAYE_RS19480,-
TU1SOZ-658,ABAYE_RS05610,+
TU1SOZ-943,ABAYE_RS08155,+
TU1SOZ-614,ABAYE_RS05240 // ABAYE_RS05235 // ABAYE_RS05230 // ABAYE_RS05225 // ABAYE_RS05220 // ABAYE_RS05215,+
TU1SOZ-1106,ABAYE_RS09600,-
TU1SOZ-309,ABAYE_RS02530,-
TU1SOZ-1712,ABAYE_RS15080,-
TU1SOZ-293,ABAYE_RS02405,-
TU1SOZ-1945,ABAYE_RS17155 // ABAYE_RS17150,-
TU1SOZ-1522,ABAYE_RS13365,+
TU1SOZ-1295,ABAYE_RS11500,-
TU1SOZ-1488,ABAYE_RS13060,-
TU1SOZ-243,ABAYE_RS02025,+
TU1SOZ-933,ABAYE_RS08030,+
TU1SOZ-123,ABAYE_RS00905,+
TU1SOZ-132,ABAYE_RS01000 // ABAYE_RS00995 // ABAYE_RS00990,-
TU1SOZ-1994,ABAYE_RS17525 // ABAYE_RS17520,+
TU1SOZ-875,ABAYE_RS07585,+
TU1SOZ-332,ABAYE_RS02850,+
TU1SOZ-759,ABAYE_RS06430 // ABAYE_RS06425,-
TU1SOZ-624,ABAYE_RS05335 // ABAYE_RS05330,-
TU1SOZ-264,ABAYE_RS02180,-
TU1SOZ-1357,ABAYE_RS12070,-
TU1SOZ-2105,ABAYE_RS18485,-
TU1SOZ-2543,ABAYE_RS05870,-
TU1SOZ-1340,ABAYE_RS11910 // ABAYE_RS11905,-
TU1SOZ-2681,ABAYE_RS00400,+
TU1SOZ-2218,ABAYE_RS20070,+
TU1SOZ-1037,ABAYE_RS09010,-
TU1SOZ-953,ABAYE_RS08215 // ABAYE_RS08210,-
TU1SOZ-440,ABAYE_RS03830,-
TU1SOZ-1644,ABAYE_RS14550 // ABAYE_RS14545,-
TU1SOZ-2579,ABAYE_RS04665,+
TU1SOZ-719,ABAYE_RS06115,-
TU1SOZ-2426,ABAYE_RS10895,+
TU1SOZ-1428,ABAYE_RS12675,-
TU1SOZ-204,ABAYE_RS01630 // ABAYE_RS01625,+
TU1SOZ-477,ABAYE_RS04110,-
TU1SOZ-1492,ABAYE_RS13100,+
TU1SOZ-492,ABAYE_RS04195,+
TU1SOZ-704,ABAYE_RS05985,+
TU1SOZ-2597,ABAYE_RS03995,-
TU1SOZ-2556,ABAYE_RS05340,+
TU1SOZ-579,ABAYE_RS04860,+
TU1SOZ-1520,ABAYE_RS13355 // ABAYE_RS13350,-
TU1SOZ-199,ABAYE_RS01580 // ABAYE_RS01575,-
TU1SOZ-1963,ABAYE_RS17285,+
TU1SOZ-1601,ABAYE_RS14130,-
TU1SOZ-2031,ABAYE_RS19960,-
TU1SOZ-1380,ABAYE_RS12335,-
TU1SOZ-2069,ABAYE_RS18250,-
TU1SOZ-2293,ABAYE_RS15700,-
TU1SOZ-1201,ABAYE_RS10500,-
TU1SOZ-838,ABAYE_RS07230,-
TU1SOZ-833,ABAYE_RS07185,-
TU1SOZ-1325,ABAYE_RS11810,+
TU1SOZ-2334,ABAYE_RS14120,+
TU1SOZ-109,ABAYE_RS00805,-
TU1SOZ-1751,ABAYE_RS15460 // ABAYE_RS15455 // ABAYE_RS15450 // ABAYE_RS15445,-
TU1SOZ-1002,ABAYE_RS08655,-
TU1SOZ-2150,ABAYE_RS18945,+
TU1SOZ-1188,ABAYE_RS10375,-
TU1SOZ-1747,ABAYE_RS15410 // ABAYE_RS15405,+
TU1SOZ-1879,ABAYE_RS16580,-
TU1SOZ-538,ABAYE_RS04565,+
TU1SOZ-613,ABAYE_RS05210 // ABAYE_RS05205,+
TU1SOZ-281,ABAYE_RS02275,+
TU1SOZ-282,ABAYE_RS02300 // ABAYE_RS02295 // ABAYE_RS02290 // ABAYE_RS02285 // ABAYE_RS02280,+
TU1SOZ-2596,ABAYE_RS04025,-
TU1SOZ-1139,ABAYE_RS09935,-
TU1SOZ-1915,ABAYE_RS16860 // ABAYE_RS16855,-
TU1SOZ-557,ABAYE_RS19600,+
TU1SOZ-455,ABAYE_RS03925,-
TU1SOZ-1011,ABAYE_RS08770 // ABAYE_RS08765 // ABAYE_RS08760,+
TU1SOZ-1182,ABAYE_RS10325,+
TU1SOZ-8,ABAYE_RS00170 // ABAYE_RS00165,-
TU1SOZ-2451,ABAYE_RS09925,+
TU1SOZ-737,ABAYE_RS06235 // ABAYE_RS06230,+
TU1SOZ-1641,ABAYE_RS14495,-
TU1SOZ-867,ABAYE_RS07535 // ABAYE_RS07530,-
TU1SOZ-1956,ABAYE_RS17235,-
TU1SOZ-68,ABAYE_RS00080,-
TU1SOZ-1863,ABAYE_RS16470,+
TU1SOZ-2187,ABAYE_RS19195,+
TU1SOZ-641,ABAYE_RS05455,+
TU1SOZ-2326,ABAYE_RS14340,-
TU1SOZ-2275,ABAYE_RS16665,-
TU1SOZ-898,ABAYE_RS07770,+
TU1SOZ-823,ABAYE_RS07075,-
TU1SOZ-294,ABAYE_RS02410,-
TU1SOZ-1568,ABAYE_RS13825,-
TU1SOZ-856,ABAYE_RS07415,-
TU1SOZ-1107,ABAYE_RS09610,-
TU1SOZ-956,ABAYE_RS08255 // ABAYE_RS08250 // ABAYE_RS08245 // ABAYE_RS08240 // ABAYE_RS08235 // ABAYE_RS08230,+
TU1SOZ-1251,ABAYE_RS11080 // ABAYE_RS11075 // ABAYE_RS11070,+
TU1SOZ-976,ABAYE_RS08415,-
TU1SOZ-967,ABAYE_RS08345,+
TU1SOZ-755,ABAYE_RS06385 // ABAYE_RS06380,+
TU1SOZ-1346,ABAYE_RS12000,+
TU1SOZ-2689,ABAYE_RS00110,+
TU1SOZ-1316,ABAYE_RS11700,+
TU1SOZ-551,ABAYE_RS04650,+
TU1SOZ-2270,ABAYE_RS16735,-
TU1SOZ-1433,ABAYE_RS12700,-
TU1SOZ-1006,ABAYE_RS08730 // ABAYE_RS08725 // ABAYE_RS08720 // ABAYE_RS08715 // ABAYE_RS08710 // ABAYE_RS08705 // ABAYE_RS08700 // ABAYE_RS08695 // ABAYE_RS08690,+
TU1SOZ-2023,ABAYE_RS17765 // ABAYE_RS17760 // ABAYE_RS17755,-
TU1SOZ-494,ABAYE_RS04215 // ABAYE_RS04210 // ABAYE_RS04205,+
TU1SOZ-1936,ABAYE_RS17015,+
TU1SOZ-112,ABAYE_RS00820,+
TU1SOZ-2658,ABAYE_RS01420,-
TU1SOZ-1312,ABAYE_RS11670,+
TU1SOZ-435,ABAYE_RS03800,+
TU1SOZ-233,ABAYE_RS01900 // ABAYE_RS01895,-
TU1SOZ-1230,ABAYE_RS10855,-
TU1SOZ-1190,ABAYE_RS10385,-
TU1SOZ-2300,ABAYE_RS15430,+
TU1SOZ-85,ABAYE_RS00620,+
TU1SOZ-93,ABAYE_RS00680,+
TU1SOZ-866,ABAYE_RS07515 // ABAYE_RS07510 // ABAYE_RS07505 // ABAYE_RS07500 // ABAYE_RS07495,+
TU1SOZ-301,ABAYE_RS02485 // ABAYE_RS02480,-
TU1SOZ-29,ABAYE_RS00290 // ABAYE_RS00285,+
TU1SOZ-1632,ABAYE_RS14445 // ABAYE_RS14440 // ABAYE_RS14435 // ABAYE_RS14430 // ABAYE_RS14425,-
TU1SOZ-2337,ABAYE_RS14100,+
TU1SOZ-2633,ABAYE_RS01980,-
TU1SOZ-545,ABAYE_RS04610,-
TU1SOZ-2229,ABAYE_RS18515,-
TU1SOZ-39,ABAYE_RS00355,-
TU1SOZ-2224,ABAYE_RS18585,+
TU1SOZ-891,ABAYE_RS07710,+
TU1SOZ-428,ABAYE_RS03755,-
TU1SOZ-1821,ABAYE_RS16105,-
TU1SOZ-2508,ABAYE_RS19630,-
TU1SOZ-298,ABAYE_RS02430,+
TU1SOZ-1760,ABAYE_RS15545 // ABAYE_RS15540,-
TU1SOZ-349,ABAYE_RS03000 // ABAYE_RS02995 // ABAYE_RS02990,+
TU1SOZ-1176,ABAYE_RS10280,+
TU1SOZ-2243,ABAYE_RS19995,+
TU1SOZ-67,ABAYE_RS00075,-
TU1SOZ-2209,ABAYE_RS19225,-
TU1SOZ-2053,ABAYE_RS18060 // ABAYE_RS18055,-
TU1SOZ-1370,ABAYE_RS19755,-
TU1SOZ-482,ABAYE_RS04140,+
TU1SOZ-894,ABAYE_RS07730,+
TU1SOZ-1895,ABAYE_RS16710,+
TU1SOZ-1438,ABAYE_RS12735 // ABAYE_RS12730,-
TU1SOZ-2344,ABAYE_RS13925,+
TU1SOZ-1068,ABAYE_RS09270,+
TU1SOZ-1819,ABAYE_RS16095 // ABAYE_RS16090,-
TU1SOZ-729,ABAYE_RS06190,-
TU1SOZ-1440,ABAYE_RS12750,-
TU1SOZ-1180,ABAYE_RS10315,-
TU1SOZ-2419,ABAYE_RS10960,-
TU1SOZ-1789,ABAYE_RS15845 // ABAYE_RS15840,-
TU1SOZ-1739,ABAYE_RS15335,-
TU1SOZ-1972,ABAYE_RS17335,-
TU1SOZ-1701,ABAYE_RS14995,-
TU1SOZ-98,ABAYE_RS00705,-
TU1SOZ-2127,ABAYE_RS18680,-
TU1SOZ-1970,ABAYE_RS17325,-
TU1SOZ-1034,ABAYE_RS08995,-
TU1SOZ-1185,ABAYE_RS10360 // ABAYE_RS10355 // ABAYE_RS10350,+
TU1SOZ-2335,ABAYE_RS14115,-
TU1SOZ-1431,ABAYE_RS12685,-
TU1SOZ-1018,ABAYE_RS08855 // ABAYE_RS08850 // ABAYE_RS08845 // ABAYE_RS08840 // ABAYE_RS08835 // ABAYE_RS08830 // ABAYE_RS08825 // ABAYE_RS08820,+
TU1SOZ-1774,ABAYE_RS15675,+
TU1SOZ-691,ABAYE_RS05840,+
TU1SOZ-1172,ABAYE_RS10230 // ABAYE_RS10225 // ABAYE_RS10220,-
TU1SOZ-2403,ABAYE_RS11465,+
TU1SOZ-1302,ABAYE_RS11555,-
TU1SOZ-1680,ABAYE_RS14785 // ABAYE_RS14780 // ABAYE_RS19475,-
TU1SOZ-2404,ABAYE_RS11460,-
TU1SOZ-2382,ABAYE_RS12090,+
TU1SOZ-2206,ABAYE_RS00015,-
TU1SOZ-2450,ABAYE_RS10000,-
TU1SOZ-1095,ABAYE_RS09520 // ABAYE_RS09515,-
TU1SOZ-1754,ABAYE_RS15480 // ABAYE_RS15475,-
TU1SOZ-1571,ABAYE_RS13845 // ABAYE_RS13840,+
TU1SOZ-2311,ABAYE_RS15110,+
TU1SOZ-1589,ABAYE_RS14025 // ABAYE_RS14020,+
TU1SOZ-2000,ABAYE_RS17590 // ABAYE_RS17585 // ABAYE_RS17580,+
TU1SOZ-2305,ABAYE_RS15360,+
TU1SOZ-2677,ABAYE_RS00735,-
TU1SOZ-893,ABAYE_RS07725,-
TU1SOZ-1996,ABAYE_RS17550 // ABAYE_RS17545 // ABAYE_RS17540,-
TU1SOZ-680,ABAYE_RS05765,+
TU1SOZ-1696,ABAYE_RS14950 // ABAYE_RS14945,+
TU1SOZ-2134,ABAYE_RS18770,-
TU1SOZ-1839,ABAYE_RS16280,-
TU1SOZ-1740,ABAYE_RS15340,-
TU1SOZ-2648,ABAYE_RS01650,-
TU1SOZ-402,ABAYE_RS03550,-
TU1SOZ-2026,ABAYE_RS19940 // ABAYE_RS19935,+
TU1SOZ-2266,ABAYE_RS16865,+
TU1SOZ-2412,ABAYE_RS11200,-
TU1SOZ-1920,ABAYE_RS16900,-
TU1SOZ-1836,ABAYE_RS16260,-
TU1SOZ-1685,ABAYE_RS14860 // ABAYE_RS14855 // ABAYE_RS14850 // ABAYE_RS14845 // ABAYE_RS14840 // ABAYE_RS14835 // ABAYE_RS14830 // ABAYE_RS14825,+
TU1SOZ-1616,ABAYE_RS14310,+
TU1SOZ-1845,ABAYE_RS16335 // ABAYE_RS16330,+
TU1SOZ-1992,ABAYE_RS17505,+
TU1SOZ-533,ABAYE_RS19595,+
TU1SOZ-1584,ABAYE_RS13975 // ABAYE_RS13970,+
TU1SOZ-904,ABAYE_RS07820,+
TU1SOZ-834,ABAYE_RS07205 // ABAYE_RS07200,+
TU1SOZ-302,ABAYE_RS02490,+
TU1SOZ-2384,ABAYE_RS11985,-
TU1SOZ-1676,ABAYE_RS14745,-
TU1SOZ-141,ABAYE_RS01080,-
TU1SOZ-1903,ABAYE_RS16765 // ABAYE_RS16760,-
TU1SOZ-1447,ABAYE_RS12785,+
TU1SOZ-1943,ABAYE_RS17125 // ABAYE_RS17120,-
TU1SOZ-91,ABAYE_RS00665 // ABAYE_RS00660,+
TU1SOZ-811,ABAYE_RS06965,-
TU1SOZ-420,ABAYE_RS03700,+
TU1SOZ-2124,ABAYE_RS18665,-
TU1SOZ-1808,ABAYE_RS16020 // ABAYE_RS16015,-
TU1SOZ-1252,ABAYE_RS11085,-
TU1SOZ-727,ABAYE_RS06170,-
TU1SOZ-2030,ABAYE_RS19955,-
TU1SOZ-1688,ABAYE_RS14885 // ABAYE_RS14880,-
TU1SOZ-730,ABAYE_RS06195,-
TU1SOZ-2250,ABAYE_RS17830,+
TU1SOZ-1374,ABAYE_RS12280,-
TU1SOZ-483,ABAYE_RS04145,+
TU1SOZ-184,ABAYE_RS01460 // ABAYE_RS01455,+
TU1SOZ-21,ABAYE_RS19500,+
TU1SOZ-192,ABAYE_RS01525,+
TU1SOZ-151,ABAYE_RS01185,-
TU1SOZ-11,ABAYE_RS00185,-
TU1SOZ-1948,ABAYE_RS17170,+
TU1SOZ-2369,ABAYE_RS12940,-
TU1SOZ-1693,ABAYE_RS14930,-
TU1SOZ-2327,ABAYE_RS14335,+
TU1SOZ-2044,ABAYE_RS17985,-
TU1SOZ-376,ABAYE_RS03255 // ABAYE_RS03250,-
TU1SOZ-1524,ABAYE_RS13395,-
TU1SOZ-896,ABAYE_RS07750 // ABAYE_RS07745 // ABAYE_RS07740,+
TU1SOZ-257,ABAYE_RS02140 // ABAYE_RS02135,+
TU1SOZ-2048,ABAYE_RS20015,+
TU1SOZ-1160,ABAYE_RS10125,+
TU1SOZ-2205,ABAYE_RS00030,-
TU1SOZ-2645,ABAYE_RS01680,-
TU1SOZ-2155,ABAYE_RS18980,-
TU1SOZ-1010,ABAYE_RS08755,+
TU1SOZ-2625,ABAYE_RS02695,-
TU1SOZ-2670,ABAYE_RS01030,+
TU1SOZ-1207,ABAYE_RS10540 // ABAYE_RS10535,-
TU1SOZ-2594,ABAYE_RS04115,+
TU1SOZ-1652,ABAYE_RS14605,+
TU1SOZ-1990,ABAYE_RS17495 // ABAYE_RS17490,-
TU1SOZ-2530,ABAYE_RS06390,-
TU1SOZ-1074,ABAYE_RS09335 // ABAYE_RS09330,-
TU1SOZ-584,ABAYE_RS04930 // ABAYE_RS04925,+
TU1SOZ-694,ABAYE_RS05900 // ABAYE_RS05895 // ABAYE_RS05890 // ABAYE_RS05885,+
TU1SOZ-406,ABAYE_RS03575,-
TU1SOZ-1750,ABAYE_RS15425,-
TU1SOZ-2166,ABAYE_RS19065,+
TU1SOZ-438,ABAYE_RS03820,-
TU1SOZ-1829,ABAYE_RS16190,-
TU1SOZ-470,ABAYE_RS04040,-
TU1SOZ-561,ABAYE_RS04715,+
TU1SOZ-871,ABAYE_RS07560,+
TU1SOZ-555,ABAYE_RS04685,-
TU1SOZ-541,ABAYE_RS04580,-
TU1SOZ-884,ABAYE_RS07655 // ABAYE_RS07650,-
TU1SOZ-1053,ABAYE_RS09115,+
TU1SOZ-549,ABAYE_RS04640 // ABAYE_RS04635,+
TU1SOZ-1146,ABAYE_RS10015 // ABAYE_RS10010,-
TU1SOZ-901,ABAYE_RS07800 // ABAYE_RS07795 // ABAYE_RS07790,-
