Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Interrupted?,"Gene products (complexes, polypeptides, and RNAs)",replicon
EG10496,b3771,3951500,3953351,EG10496-MONOMER,,DIHYDROXYACIDDEHYDRAT-CPLX,NC_000913.2
EG11025,b1261,1315245,1316439,EG11025-MONOMER,,TRYPSYN,NC_000913.2
EG11026,b1262,1316450,1317809,EG11026-MONOMER,,PRAI-IGPS,NC_000913.2
EG11274,b1265,1321061,1321106,EG11274-MONOMER,,EG11274-MONOMER,NC_000913.2
EG11027,b1263,1317812,1319408,EG11027-MONOMER,,ANTHRANSYN-CPLX,NC_000913.2
EG11024,b1260,1314439,1315246,EG11024-MONOMER,,TRYPSYN,NC_000913.2
EG10080,b1704,1786458,1787505,EG10080-MONOMER,,AROH-CPLX,NC_000913.2
EG11028,b1264,1319407,1320970,EG11028-MONOMER,,ANTHRANSYN-CPLX,NC_000913.2
EG10999,b0003,2800,3733,EG10999-MONOMER,,HOMOSERKIN-CPLX,NC_000913.2
EG11000,b0004,3733,5020,EG11000-MONOMER,,THRESYN-MONOMER,NC_000913.2
EG10193,b2421,2536693,2537605,EG10193-MONOMER,,ACSERLYB-CPLX,NC_000913.2
EG10187,b3607,3779763,3780585,EG10187-MONOMER,,CYSSYNMULTI-CPLX,NC_000913.2
EG11237,b3338,3465181,3467875,EG11237-MONOMER,,EG11237-MONOMER,NC_000913.2
EG10192,b2414,2530430,2531402,EG10192-MONOMER,,CYSSYNMULTI-CPLX,NC_000913.2
EG12033,b2165,2255450,2256389,EG12033-MONOMER,,CPLX0-8233,NC_000913.2
EG10372,b1761,1840394,1841738,EG10372-MONOMER,,GDHA-CPLX,NC_000913.2
G6359,b0655,686061,686970,G6359-MONOMER,,ABC-13-CPLX,NC_000913.2
EG12663,b0652,683752,684478,EG12663-MONOMER,,ABC-13-CPLX,NC_000913.2
EG11576,b0072,79463,80864,EG11576-MONOMER,,3-ISOPROPYLMALISOM-CPLX,NC_000913.2
EG11226,b0074,81957,83529,EG11226-MONOMER,,2-ISOPROPYLMALATESYN-MONOMER,NC_000913.2
G6529,b1022,1085743,1087069,G6529-MONOMER,,CPLX0-7994,NC_000913.2
EG11577,b0073,80866,81958,EG11577-MONOMER,,3-ISOPROPYLMALDEHYDROG-CPLX,NC_000913.2
EG12259,b3532,3688290,3690630,EG12259-MONOMER,,CPLX0-8125,NC_000913.2
EG11280,b0075,83621,83708,EG11280-MONOMER,,EG11280-MONOMER,NC_000913.2
EG11924,b4027,4234284,4234923,EG11924-MONOMER,,EG11924-MONOMER,NC_000913.2
EG10539,b3460,3596577,3597681,EG10539-MONOMER,,ABC-15-CPLX,NC_000913.2
EG10609,b3250,3396896,3398000,EG10609-MONOMER,,EG10609-MONOMER,NC_000913.2
EG11575,b0071,78847,79453,EG11575-MONOMER,,3-ISOPROPYLMALISOM-CPLX,NC_000913.2
G6530,b1023,1087061,1089080,G6530-MONOMER,,G6530-MONOMER,NC_000913.2
EG10540,b3458,3594473,3595583,EG10540-MONOMER,,ABC-304-CPLX,NC_000913.2
EG12260,b3533,3690640,3693259,EG12260-MONOMER,,CPLX0-8125,NC_000913.2
EG10447,b2020,2089120,2090425,EG10447-MONOMER,,HISTDEHYD-CPLX,NC_000913.2
EG11925,b4028,4234919,4235657,EG11925-MONOMER,,EG11925-MONOMER,NC_000913.2
EG10444,b2024,2093148,2093886,EG10444-MONOMER,,PRIBFAICARPISOM-MONOMER,NC_000913.2
G6751,b1440,1509677,1510823,G6751-MONOMER,,ABC-51-CPLX,NC_000913.2
EG10451,b2026,2094637,2095249,EG10451-MONOMER,,HISTCYCLOPRATPPHOS,NC_000913.2
G6528,b1021,1085328,1085742,G6528-MONOMER,,CPLX0-7994,NC_000913.2
EG10448,b2025,2093867,2094644,EG10448-MONOMER,,GLUTAMIDOTRANS-CPLX,NC_000913.2
EG11926,b4029,4235656,4237753,EG11926-MONOMER,,EG11926-MONOMER,NC_000913.2
EG10445,b2022,2091491,2092559,EG10445-MONOMER,,IMIDHISTID-CPLX,NC_000913.2
EG10449,b2019,2088215,2089115,EG10449-MONOMER,,CPLX0-7614,NC_000913.2
EG10446,b2021,2090421,2091492,EG10446-MONOMER,,HISTPHOSTRANS-CPLX,NC_000913.2
EG11269,b2018,2088019,2088070,EG11269-MONOMER,,EG11269-MONOMER,NC_000913.2
EG10450,b2023,2092558,2093149,EG10450-MONOMER,,GLUTAMIDOTRANS-CPLX,NC_000913.2
EG10581,b4013,4212302,4213232,EG10581-MONOMER,,HOMSUCTRAN-CPLX,NC_000913.2
EG10587,b4019,4221850,4225534,EG10587-MONOMER,,HOMOCYSMETB12-MONOMER,NC_000913.2
EG10583,b3008,3150257,3151445,EG10583-MONOMER,,CYSTATHIONINE-BETA-LYASE-CPLX,NC_000913.2
EG10124,b3551,3712083,3714417,EG10124-MONOMER,,EG10124-MONOMER,NC_000913.2
EG10584,b3829,4011075,4013337,EG10584-MONOMER,,HOMOCYSMET-MONOMER,NC_000913.2
EG11271,b2598,2735620,2735668,EG11271-MONOMER,,EG11271-MONOMER,NC_000913.2
EG10079,b0754,784855,785908,EG10079-MONOMER,,AROG-CPLX,NC_000913.2
G6455,b0870,907515,908517,G6455-MONOMER,,LTAA-CPLX,NC_000913.2
EG10091,b3744,3925177,3926170,EG10091-MONOMER,,ASNSYNA-CPLX,NC_000913.2
EG10337,b2168,2259448,2260387,EG10337-MONOMER,,1-PFK,NC_000913.2
EG10069,b4254,4475329,4476334,EG10069-MONOMER,,ORNCARBAMTRANSFERI-CPLX,NC_000913.2
G6903,b1675,1752955,1753165,G6903-MONOMER,,G6903-MONOMER,NC_000913.2
EG10063,b2818,2947263,2948595,EG10063-MONOMER,,N-ACETYLTRANSFER-CPLX,NC_000913.2
EG11628,b0860,899066,899798,EG11628-MONOMER,,ABC-4-CPLX,NC_000913.2
EG11624,b0864,902228,902957,EG11624-MONOMER,,CPLX0-8120 // ABC-4-CPLX,NC_000913.2
EG10135,b0033,30816,34038,EG10135-MONOMER,,CARBPSYN-CPLX,NC_000913.2
EG10064,b3959,4154035,4154812,EG10064-MONOMER,,ACETYLGLUTKIN-CPLX,NC_000913.2
G6188,b0323,339388,340339,G6188-MONOMER,,G6188-MONOMER,NC_000913.2
EG11223,b3960,4154872,4156246,EG11223-MONOMER,,ARGSUCCINLYA-MONOMER,NC_000913.2
EG10068,b3172,3316658,3318002,EG10068-MONOMER,,CPLX0-238,NC_000913.2
EG10065,b3958,4153023,4154028,EG10065-MONOMER,,N-ACETYLGLUTPREDUCT-MONOMER,NC_000913.2
EG11286,b3957,4151718,4152870,EG11286-MONOMER,,ACETYLORNDEACET-CPLX,NC_000913.2
EG10703,b2926,3069480,3070644,EG10703-MONOMER,,PGK,NC_000913.2
EG10134,b0032,29650,30799,EG10134-MONOMER,,CARBPSYN-CPLX,NC_000913.2
EG10576,b3236,3381351,3382290,EG10576-MONOMER,,MALATE-DEHASE,NC_000913.2
EG11625,b0863,901479,902211,EG11625-MONOMER,,CPLX0-8120,NC_000913.2
G7040,b1932,2008623,2009103,G7040-MONOMER,,G7040-MONOMER,NC_000913.2
EG10389,b0809,844963,845686,EG10389-MONOMER,,ABC-12-CPLX,NC_000913.2
EG10367,b1779,1860794,1861790,EG10367-MONOMER,,GAPDH-A-CPLX,NC_000913.2
EG10386,b0811,846480,847227,EG10386-MONOMER,,ABC-12-CPLX,NC_000913.2
EG11685,b3656,3830241,3832560,EG11685-MONOMER,,CPLX0-3901,NC_000913.2
EG10497,b3770,3950506,3951436,EG10497-MONOMER,,BRANCHED-CHAINAMINOTRANSFER-CPLX,NC_000913.2
EG11245,b2930,3073238,3074204,EG11245-MONOMER,,CPLX0-7776,NC_000913.2
G7242,b2379,2495078,2496317,G7242-MONOMER,,CPLX0-7887,NC_000913.2
EG10759,b1702,1782757,1785136,EG10759-MONOMER,,PEPSYNTH-CPLX,NC_000913.2
EG10001,b4053,4263804,4264884,EG10001-MONOMER,,CPLX0-8202,NC_000913.2
EG10688,b3403,3530839,3532462,EG10688-MONOMER,,PEPCARBOXYKIN-MONOMER,NC_000913.2
G7293,b2463,2574119,2576399,G7293-MONOMER,,MALIC-NADP-CPLX,NC_000913.2
EG10107,b3572,3737727,3738981,EG10107-MONOMER,,VALINE-PYRUVATE-AMINOTRANSFER-MONOMER,NC_000913.2
EG10368,b2927,3070693,3071713,EG10368-MONOMER,,ERYTH4PDEHYDROG-CPLX,NC_000913.2
G7184,b2290,2405582,2406800,G7184-MONOMER,,CPLX0-7888,NC_000913.2
EG11699,b0755,786065,786818,EG11699-MONOMER,,PHOSGLYCMUTASE,NC_000913.2
EG10707,b2599,2735766,2736927,EG10707-MONOMER,,CHORISMUTPREPHENDEHYDRAT-CPLX,NC_000913.2
EG10258,b2779,2904664,2905963,EG10258-MONOMER,,CPLX0-2381,NC_000913.2
EG11039,b2600,2736969,2738091,EG11039-MONOMER,,CHORISMUTPREPHENDEHYDROG-CPLX,NC_000913.2
EG10948,b1479,1551995,1553693,EG10948-MONOMER,,MALIC-NAD-CPLX,NC_000913.2
EG11040,b4054,4265136,4266330,EG11040-MONOMER,,TYRB-DIMER,NC_000913.2
EG10702,b4025,4231780,4233430,EG10702-MONOMER,,CPLX0-7877,NC_000913.2
EG10590,b3940,4127857,4130290,EG10590-MONOMER,,ASPKINIIHOMOSERDEHYDROGII-CPLX,NC_000913.2
G7502,b2883,3023787,3025107,G7502-MONOMER,,G7502-MONOMER,NC_000913.2
EG10549,b2838,2975658,2976921,EG10549-MONOMER,,DIAMINOPIMDECARB-CPLX,NC_000913.2
EG10374,b3447,3583103,3584846,EG10374-MONOMER,,CPLX0-7885,NC_000913.2
EG10207,b0166,185122,185947,EG10207-MONOMER,,CPLX0-3181,NC_000913.2
EG12164,b4395,4631819,4632467,EG12164-MONOMER,,PGAM2-MONOMER,NC_000913.2
EG10066,b3359,3486981,3488202,EG10066-MONOMER,,ACETYLORNTRANSAM-CPLX,NC_000913.2
EG10283,b4232,4452633,4453632,EG10283-MONOMER,,F16B-CPLX,NC_000913.2
EG10998,b0002,336,2799,EG10998-MONOMER,,ASPKINIHOMOSERDEHYDROGI-CPLX,NC_000913.2
EG11517,b3925,4112591,4113602,EG11517-MONOMER,,CPLX0-303,NC_000913.2
EG10550,b4024,4229906,4231256,EG10550-MONOMER,,ASPKINIII-CPLX,NC_000913.2
EG11239,b0766,796835,797654,EG11239-MONOMER,,EG11239-MONOMER,NC_000913.2
EG10208,b2472,2589628,2590756,EG10208-MONOMER,,CPLX0-3161,NC_000913.2
EG10205,b2478,2596903,2597782,EG10205-MONOMER,,DIHYDRODIPICSYN-CPLX,NC_000913.2
EG10072,b2310,2425030,2425813,EG10072-MONOMER,,ABC-3-CPLX,NC_000913.2
EG10209,b3809,3992784,3993609,EG10209-MONOMER,,CPLX0-7997,NC_000913.2
EG10088,b3433,3571797,3572901,EG10088-MONOMER,,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,NC_000913.2
EG10945,b4388,4622917,4623886,EG10945-MONOMER,,PSERPHOSPHA-MONOMER,NC_000913.2
EG10946,b0907,956875,957964,EG10946-MONOMER,,PSERTRANSAM-CPLX,NC_000913.2
EG10944,b2913,3055199,3056432,EG10944-MONOMER,,PGLYCDEHYDROG-CPLX,NC_000913.2
EG10768,b0242,259611,260715,EG10768-MONOMER,,GLUTKIN-CPLX,NC_000913.2
EG10769,b0386,404058,404868,EG10769-MONOMER,,PYRROLINECARBREDUCT-CPLX,NC_000913.2
EG10767,b0243,260726,261980,EG10767-MONOMER,,GLUTSEMIALDEHYDROG-CPLX,NC_000913.2
EG10275,b3255,3403457,3403928,EG10275-MONOMER,,BCCP-MONOMER,NC_000913.2
EG50003,b1094,1150837,1151074,EG50003-MONOMER,,OCTANOYL-ACP,NC_000913.2
EG11095,b0404,423560,424142,EG11095-MONOMER,,EG11095-MONOMER,NC_000913.2
G6554,b1057,1117702,1118269,G6554-MONOMER,,G6554-MONOMER,NC_000913.2
EG12059,b2201,2295042,2295666,EG12059-MONOMER,,CPLX-9495 // CPLX-9493,NC_000913.2
EG12688,b1064,1122629,1123277,EG12688-MONOMER,,OX-GLUTAREDOXIN-B,NC_000913.2
EG11887,b2582,2716756,2717176,EG11887-MONOMER,,OX-THIOREDOXIN2-MONOMER,NC_000913.2
G7401,b2673,2798744,2798990,G7401-MONOMER,,G7401-MONOMER,NC_000913.2
EG12181,b1654,1731777,1732125,EG12181-MONOMER,,CPLX0-8239 // CPLX0-7942 // CPLX0-7817,NC_000913.2
EG10417,b0849,889718,889976,EG10417-MONOMER,,GLUTAREDOXIN-MONOMER,NC_000913.2
EG12294,b3610,3782213,3782465,EG12294-MONOMER,,OX-GLUTAREDOXIN-C,NC_000913.2
EG11031,b3781,3963783,3964113,EG11031-MONOMER,,OX-THIOREDOXIN-MONOMER,NC_000913.2
EG11983,b2034,2103088,2104081,EG11983-MONOMER,,EG11983-MONOMER,NC_000913.2
G7662,b3197,3339287,3340274,G7662-MONOMER,,CPLX0-1262,NC_000913.2
EG10973,b2708,2827834,2828800,EG10973-MONOMER,,CPLX0-3929,NC_000913.2
G6106,b0222,243542,244121,G6106-MONOMER,,CPLX0-7660,NC_000913.2
EG11736,b0200,222832,223408,EG11736-MONOMER,,EG11736-MONOMER,NC_000913.2
G7165,b2252,2363039,2363642,G7165-MONOMER,,G7165-MONOMER,NC_000913.2
EG10838,b3619,3792009,3792942,EG10838-MONOMER,,CPLX0-3681,NC_000913.2
EG10518,b1215,1267387,1268242,EG10518-MONOMER,,KDO-8PSYNTH-CPLX,NC_000913.2
G6918,b1695,1775219,1776371,G6918-MONOMER,,G6918-MONOMER,NC_000913.2
G7590,b3052,3193341,3194775,G7590-MONOMER,,CPLX0-3661,NC_000913.2
EG12244,b3518,3665813,3667211,EG12244-MONOMER,,EG12244-MONOMER,NC_000913.2
EG12267,b3546,3706806,3708498,EG12267-MONOMER,,EG12267-MONOMER,NC_000913.2
EG11562,b0041,42402,43173,EG11562-MONOMER,,EG11562-MONOMER,NC_000913.2
EG10519,b0918,970074,970821,EG10519-MONOMER,,CPM-KDOSYNTH-MONOMER,NC_000913.2
EG11563,b0042,43187,44129,EG11563-MONOMER,,EG11563-MONOMER,NC_000913.2
G7170,b2257,2368929,2370582,G7170-MONOMER,,G7170-MONOMER,NC_000913.2
G7167,b2254,2365092,2366061,G7167-MONOMER,,G7167-MONOMER,NC_000913.2
EG12180,b0622,655779,656340,EG12180-MONOMER,,EG12180-MONOMER,NC_000913.2
G0-10439,b4513,727954,728044,G0-10439-MONOMER,,ATPASE-1-CPLX,NC_000913.2
G7737,b3393,3519030,3519471,G7737-MONOMER,,G7737-MONOMER,NC_000913.2
G6421,b0818,852869,853988,G6421-MONOMER,,G6421-MONOMER,NC_000913.2
G7288,b2458,2570510,2571527,G7288-MONOMER,,CPLX0-7912,NC_000913.2
EG12340,b0262,276979,278026,EG12340-MONOMER,,YAGC-MONOMER,NC_000913.2
EG12113,b3391,3517486,3518725,EG12113-MONOMER,,EG12113-MONOMER,NC_000913.2
G6270,b0496,519639,522054,G6270-MONOMER,,ABC-61-CPLX,NC_000913.2
EG10222,b4384,4618905,4619625,EG10222-MONOMER,,DEOD-CPLX,NC_000913.2
G7757,b3440,3577790,3578828,G7757-MONOMER,,G7757-MONOMER,NC_000913.2
G7738,b3394,3519454,3519994,G7738-MONOMER,,G7738-MONOMER,NC_000913.2
G7634,b3136,3279997,3281152,G7634-MONOMER,,G7634-MONOMER,NC_000913.2
EG12234,b3499,3643407,3644250,EG12234-MONOMER,,EG12234-MONOMER,NC_000913.2
EG10936,b0098,108278,110984,EG10936-MONOMER,,CPLX0-8089,NC_000913.2
EG11865,b3901,4091146,4091461,EG11865-MONOMER,,CPLX0-7649,NC_000913.2
EG10937,b3609,3781683,3782151,EG10937-MONOMER,,CPLX0-8046,NC_000913.2
G7855,b4192,4416583,4417648,G7855-MONOMER,,CPLX0-7848,NC_000913.2
EG11260,b3765,3946471,3947992,EG11260-MONOMER,,EG11260-MONOMER,NC_000913.2
G7739,b3395,3519993,3520773,G7739-MONOMER,,G7739-MONOMER,NC_000913.2
G7579,b3032,3174027,3174855,G7579-MONOMER,,G7579-MONOMER,NC_000913.2
G7736,b3392,3518636,3519041,G7736-MONOMER,,G7736-MONOMER,NC_000913.2
G7602,b3083,3232162,3232477,G7602-MONOMER,,CPLX0-8230,NC_000913.2
G6868,b1624,1701291,1702332,G6868-MONOMER,,G6868-MONOMER,NC_000913.2
G7836,b4146,4372651,4373680,G7836-MONOMER,,G7836-MONOMER,NC_000913.2
EG12019,b2137,2224530,2225292,EG12019-MONOMER,,EG12019-MONOMER,NC_000913.2
EG11211,b4155,4380665,4381643,EG11211-MONOMER,,CPLX0-7889,NC_000913.2
G7747,b3413,3542903,3543587,G7747-MONOMER,,G7747-MONOMER,NC_000913.2
G0-17085,b4810,0,174,G0-17085-RNA,,RNA0-413,b4810
G0-9611,b4429,1490142,1490198,G0-9611-ncRNA,,RNA0-165,NC_000913.2
G0-17082,b4807,0,103,G0-17082-RNA,,RNA0-410,b4807
G0-9603,b4420,1268545,1268612,G0-9603-ncRNA,,RNA0-161,NC_000913.2
G0-9941,b4577,77366,77593,G0-9941-ncRNA,,RNA0-241,NC_000913.2
G0-17083,b4808,0,98,G0-17083-RNA,,RNA0-411,b4808
G6847,b1589,1661013,1661631,G6847-MONOMER,,CPLX0-1601,NC_000913.2
G0-9606,b4422,1269080,1269146,G0-9606-ncRNA,,RNA0-162,NC_000913.2
G6670,b1338,1401278,1402589,G6670-MONOMER,,CPLX0-7844,NC_000913.2
G0-17084,b4809,0,61,G0-17084-RNA,,RNA0-412,b4809
EG11762,b3592,3759369,3759978,EG11762-MONOMER,,EG11762-MONOMER,NC_000913.2
G0-9608,b4424,1269615,1269683,G0-9608-ncRNA,,RNA0-163,NC_000913.2
G6848,b1590,1661632,1662487,G6848-MONOMER,,CPLX0-1601,NC_000913.2
G0-17009,b4764,0,101,G0-17009-RNA,,RNA0-403,b4764
G6845,b1587,1656092,1658519,G6845-MONOMER,,CPLX0-1601,NC_000913.2
G0-9581,b4413,16951,17006,G0-9581-ncRNA,,RNA0-141,NC_000913.2
EG12384,b0521,549661,550555,EG12384-MONOMER,,EG12384-MONOMER,NC_000913.2
EG10170,b3806,3989175,3991722,EG10170-MONOMER,,ADENYLATECYC-MONOMER,NC_000913.2
EG10049,b0980,1039839,1041138,EG10049-MONOMER,,CPLX-722,NC_000913.2
EG11210,b4109,4325157,4327386,EG11210-MONOMER,,CPLX0-8536,NC_000913.2
G7237,b2374,2490025,2491276,G7237-MONOMER,,CPLX0-1142,NC_000913.2
G0-10617,b4662,77387,77519,G0-10617-MONOMER,,MONOMER0-2842,NC_000913.2
G6846,b1588,1658579,1661003,G6846-MONOMER,,CPLX0-1601,NC_000913.2
G7851,b4188,4414039,4414315,G7851-MONOMER,,G7851-MONOMER,NC_000913.2
G6669,b1337,1399833,1401279,G6669-MONOMER,,CPLX0-7844,NC_000913.2
EG12314,b0101,111648,111846,EG12314-MONOMER,,EG12314-MONOMER,NC_000913.2
EG10739,b3825,4007192,4008215,EG10739-MONOMER,,EG10739-MONOMER,NC_000913.2
EG11682,b3204,3344599,3345091,EG11682-MONOMER,,MONOMER0-4293,NC_000913.2
G7513,b2900,3041333,3041645,G7513-MONOMER,,G7513-MONOMER,NC_000913.2
EG10255,b2209,2301926,2302415,EG10255-MONOMER,,CPLX0-1441,NC_000913.2
EG11238,b0773,806655,807132,EG11238-MONOMER,,EG11238-MONOMER,NC_000913.2
EG12854,b0742,778820,779612,EG12854-MONOMER,,EG12854-MONOMER,NC_000913.2
EG11835,b3866,4049369,4049879,EG11835-MONOMER,,CPLX0-7853,NC_000913.2
G7702,b3324,3453599,3454415,G7702-MONOMER,,CPLX0-3382,NC_000913.2
G6550,b1045,1105042,1105576,G6550-MONOMER,,CPLX0-7758,NC_000913.2
G6920,b1697,1777640,1778405,G6920-MONOMER,,G6920-MONOMER,NC_000913.2
G6116,b0232,252004,252298,G6116-MONOMER,,G6116-MONOMER,NC_000913.2
EG12024,b2142,2229040,2229736,EG12024-MONOMER,,EG12024-MONOMER,NC_000913.2
G0-10473,b4566,4531818,4532076,G0-10473-MONOMER,,MONOMER0-2695,NC_000913.2
G7929,b4332,4559519,4560698,G7929-MONOMER,,G7929-MONOMER,NC_000913.2
G7823,b4110,4327382,4328261,G7823-MONOMER,,G7823-MONOMER,NC_000913.2
G6572,b1115,1173314,1174388,G6572-MONOMER,,G6572-MONOMER,NC_000913.2
EG12256,b3529,3681652,3683641,EG12256-MONOMER,,CPLX0-8555,NC_000913.2
EG11895,b2013,2082490,2083549,EG11895-MONOMER,,EG11895-MONOMER,NC_000913.2
EG10811,b4244,4469008,4469470,EG10811-MONOMER,,ASPCARBTRANS-CPLX,NC_000913.2
G7729,b3377,3504053,3505358,G7729-MONOMER,,G7729-MONOMER,NC_000913.2
G6209,b0357,378829,379105,G6209-MONOMER,,CPLX0-8235,NC_000913.2
G6443,b0845,885353,886562,G6443-MONOMER,,G6443-MONOMER,NC_000913.2
G6494,b0959,1020360,1020990,G6494-MONOMER,,CPLX0-8312,NC_000913.2
G7709,b3331,3460365,3460953,G7709-MONOMER,,CPLX0-3382,NC_000913.2
EG12094,b0069,75643,77299,EG12094-MONOMER,,EG12094-MONOMER,NC_000913.2
G6282,b0513,539788,541090,G6282-MONOMER,,G6282-MONOMER,NC_000913.2
G7137,b2105,2183545,2183818,G7137-MONOMER,,CPLX0-7619 // CPLX0-7618,NC_000913.2
EG11599,b1532,1618012,1618231,EG11599-MONOMER,,EG11599-MONOMER,NC_000913.2
EG11811,b4187,4412297,4413923,EG11811-MONOMER,,CPLX0-7691,NC_000913.2
G7706,b3328,3459044,3459482,G7706-MONOMER,,CPLX0-3382,NC_000913.2
EG11320,b0413,432225,432675,EG11320-MONOMER,,CPLX0-8061,NC_000913.2
G7108,b2063,2135925,2137509,G7108-MONOMER,,G7108-MONOMER,NC_000913.2
G6178,b0308,322981,323677,G6178-MONOMER,,G6178-MONOMER,NC_000913.2
G7703,b3325,3454398,3456351,G7703-MONOMER,,CPLX0-3382,NC_000913.2
