Transcription-Units,Genes of transcription unit,Direction
TU220H-2737,SGL_RS10140,+
TU220H-2745,SGL_RS09880,-
TU220H-1714,SGL_RS13795,-
TU220H-80,SGL_RS19310,-
TU220H-283,SGL_RS03290 // SGL_RS03285,-
TU220H-2300,SGL_RS18175 // SGL_RS18170 // SGL_RS18165,+
TU220H-380,SGL_RS04015,+
TU220H-1343,SGL_RS11040,+
TU220H-562,SGL_RS05285,+
TU220H-1229,SGL_RS10250,-
TU220H-873,SGL_RS07510,+
TU220H-951,SGL_RS08115,+
TU220H-1060,SGL_RS08965,-
TU220H-2842,SGL_RS06460,-
TU220H-2119,SGL_RS16800 // SGL_RS16795,-
TU220H-180,SGL_RS02555 // SGL_RS02550,-
TU220H-1177,SGL_RS09840 // SGL_RS09835,-
TU220H-2167,SGL_RS17225,+
TU220H-2466,SGL_RS01855,+
TU220H-2030,SGL_RS16175,-
TU220H-2541,SGL_RS16560,-
TU220H-1319,SGL_RS10880 // SGL_RS10875,-
TU220H-1452,SGL_RS11875 // SGL_RS11870 // SGL_RS11865,-
TU220H-2812,SGL_RS07505,-
TU220H-723,SGL_RS06415,-
TU220H-2481,SGL_RS00395,+
TU220H-1991,SGL_RS15875,+
TU220H-348,SGL_RS03790,+
TU220H-2572,SGL_RS15195,-
TU220H-2707,SGL_RS11185,-
TU220H-146,SGL_RS02275,+
TU220H-1285,SGL_RS10595,-
TU220H-2053,SGL_RS16305,-
TU220H-2095,SGL_RS16605,-
TU220H-1527,SGL_RS12440,+
TU220H-406,SGL_RS04200,+
TU220H-2555,SGL_RS15850,+
TU220H-672,SGL_RS06115,+
TU220H-228,SGL_RS02920,+
TU220H-1806,SGL_RS14530,-
TU220H-985,SGL_RS08385,-
TU220H-2211,SGL_RS17535,-
TU220H-2931,SGL_RS02150,+
TU220H-2295,SGL_RS19505,+
TU220H-1377,SGL_RS11270,+
TU220H-2447,SGL_RS01695,+
TU220H-1422,SGL_RS11610,-
TU220H-2205,SGL_RS17495,+
TU220H-79,SGL_RS01315,+
TU220H-1971,SGL_RS15730 // SGL_RS15725,+
TU220H-282,SGL_RS03280,+
TU220H-2069,SGL_RS16440 // SGL_RS16435 // SGL_RS16430 // SGL_RS16425,-
TU220H-595,SGL_RS05530,+
TU220H-761,SGL_RS06645 // SGL_RS06640,+
TU220H-815,SGL_RS07065 // SGL_RS07060 // SGL_RS07055,+
TU220H-2352,SGL_RS00225 // SGL_RS00220 // SGL_RS00215 // SGL_RS00210,-
TU220H-1006,SGL_RS08565,-
TU220H-1329,SGL_RS10945,-
TU220H-1228,SGL_RS10235,+
TU220H-1139,SGL_RS09490 // SGL_RS09485,+
TU220H-613,SGL_RS05655 // SGL_RS05650,-
TU220H-1442,SGL_RS11795,-
TU220H-1059,SGL_RS19340,-
TU220H-936,SGL_RS08020 // SGL_RS08015 // SGL_RS08010,-
TU220H-1176,SGL_RS09830,+
TU220H-553,SGL_RS05230,-
TU220H-1619,SGL_RS13090,-
TU220H-1882,SGL_RS15095,+
TU220H-2670,SGL_RS12340,-
TU220H-1813,SGL_RS14580,+
TU220H-1683,SGL_RS13540,+
TU220H-2876,SGL_RS04375,-
TU220H-1473,SGL_RS12015,+
TU220H-131,SGL_RS02180 // SGL_RS02175 // SGL_RS02170 // SGL_RS02165,-
TU220H-2630,SGL_RS13445,+
TU220H-2696,SGL_RS11480,-
TU220H-709,SGL_RS06335 // SGL_RS06330 // SGL_RS06325,-
TU220H-1961,SGL_RS15665,+
TU220H-2740,SGL_RS10015,+
TU220H-482,SGL_RS04745,+
TU220H-1816,SGL_RS14630,-
TU220H-333,SGL_RS03655 // SGL_RS03650,+
TU220H-1556,SGL_RS12635,+
TU220H-2855,SGL_RS05535,-
TU220H-2411,SGL_RS01420,+
TU220H-1284,SGL_RS10585,-
TU220H-2052,SGL_RS16295,+
TU220H-1791,SGL_RS14405,+
TU220H-2373,SGL_RS00370,-
TU220H-2020,SGL_RS16045 // SGL_RS16040,+
TU220H-1899,SGL_RS15235 // SGL_RS15230,+
TU220H-2726,SGL_RS10260,+
TU220H-1610,SGL_RS13030,+
TU220H-970,SGL_RS08260,+
TU220H-671,SGL_RS06090,+
TU220H-2249,SGL_RS17810,-
TU220H-2255,SGL_RS17840,+
TU220H-1844,SGL_RS14830,+
TU220H-2503,SGL_RS17875,+
TU220H-2824,SGL_RS07185,+
TU220H-2220,SGL_RS17595 // SGL_RS17590 // SGL_RS17585,-
TU220H-2783,SGL_RS18775,+
TU220H-2634,SGL_RS13290,+
TU220H-1122,SGL_RS09375,+
TU220H-78,SGL_RS18560,+
TU220H-281,SGL_RS03275,+
TU220H-1765,SGL_RS14215,+
TU220H-590,SGL_RS05500,-
TU220H-2296,SGL_RS18130,+
TU220H-1108,SGL_RS09285 // SGL_RS09280,-
TU220H-2754,SGL_RS09330,-
TU220H-921,SGL_RS07900,-
TU220H-872,SGL_RS07495,-
TU220H-1582,SGL_RS12825,-
TU220H-1058,SGL_RS08960,-
TU220H-1175,SGL_RS09825,+
TU220H-1636,SGL_RS13210,+
TU220H-169,SGL_RS02450,+
TU220H-752,SGL_RS06585,-
TU220H-1361,SGL_RS18915 // SGL_RS11150 // SGL_RS11145,+
TU220H-2194,SGL_RS17415,+
TU220H-1676,SGL_RS13500,+
TU220H-2924,SGL_RS02380,-
TU220H-1821,SGL_RS14660,+
TU220H-2051,SGL_RS16290,+
TU220H-1318,SGL_RS10870,-
TU220H-539,SGL_RS05125 // SGL_RS05120,+
TU220H-2620,SGL_RS13625,+
TU220H-418,SGL_RS04280,+
TU220H-1126,SGL_RS09400,+
TU220H-2833,SGL_RS06810,-
TU220H-481,SGL_RS04735 // SGL_RS04730,+
TU220H-116,SGL_RS02040 // SGL_RS02035,+
TU220H-2911,SGL_RS02660,-
TU220H-2235,SGL_RS17730 // SGL_RS17725 // SGL_RS17720,+
TU220H-1283,SGL_RS10580,-
TU220H-318,SGL_RS03520 // SGL_RS03515,+
TU220H-1526,SGL_RS12435 // SGL_RS12430,+
TU220H-2435,SGL_RS01620 // SGL_RS01615 // SGL_RS01610,-
TU220H-2358,SGL_RS00290,-
TU220H-2803,SGL_RS07655,-
TU220H-2749,SGL_RS09665,-
TU220H-670,SGL_RS06085,+
TU220H-227,SGL_RS02910,+
TU220H-1895,SGL_RS15190,+
TU220H-2262,SGL_RS17900 // SGL_RS17895,+
TU220H-2661,SGL_RS12505,-
TU220H-2518,SGL_RS17285,-
TU220H-1747,SGL_RS14070 // SGL_RS14065 // SGL_RS14060 // SGL_RS14055,+
TU220H-2133,SGL_RS16940,+
TU220H-2226,SGL_RS17645 // SGL_RS17640,-
TU220H-1811,SGL_RS14570 // SGL_RS14565,+
TU220H-2699,SGL_RS11455,-
TU220H-2592,SGL_RS14495,+
TU220H-2079,SGL_RS16515,+
TU220H-789,SGL_RS06845,+
TU220H-959,SGL_RS08175 // SGL_RS08170,-
TU220H-77,SGL_RS01305,+
TU220H-280,SGL_RS03270,-
TU220H-2771,SGL_RS08560,+
TU220H-814,SGL_RS07050,+
TU220H-1005,SGL_RS08555 // SGL_RS18800,-
TU220H-2865,SGL_RS19185,+
TU220H-1227,SGL_RS10230,+
TU220H-2019,SGL_RS16035 // SGL_RS16030,+
TU220H-612,SGL_RS05645,+
TU220H-871,SGL_RS07490,-
TU220H-1057,SGL_RS08955,-
TU220H-2853,SGL_RS18710,-
TU220H-388,SGL_RS04085,+
TU220H-1651,SGL_RS13335,+
TU220H-1174,SGL_RS09820,+
TU220H-906,SGL_RS07770,+
TU220H-2727,SGL_RS10245,+
TU220H-2050,SGL_RS16285,-
TU220H-737,SGL_RS06495,+
TU220H-524,SGL_RS05020,-
TU220H-187,SGL_RS02610 // SGL_RS02605,-
TU220H-1785,SGL_RS14365,+
TU220H-1621,SGL_RS13105,-
TU220H-362,SGL_RS18680,-
TU220H-2834,SGL_RS06770,+
TU220H-160,SGL_RS02365,+
TU220H-1950,SGL_RS15600,+
TU220H-480,SGL_RS04725 // SGL_RS19335,+
TU220H-2016,SGL_RS16005,+
TU220H-1555,SGL_RS12630,+
TU220H-2535,SGL_RS16765,+
TU220H-1282,SGL_RS10570,-
TU220H-1497,SGL_RS12195 // SGL_RS12190,+
TU220H-2475,SGL_RS00590,-
TU220H-192,SGL_RS02635,-
TU220H-1703,SGL_RS13710,-
TU220H-2182,SGL_RS17325 // SGL_RS17320 // SGL_RS17315,-
TU220H-1609,SGL_RS13025 // SGL_RS13020,+
TU220H-669,SGL_RS06080,+
TU220H-2166,SGL_RS17220,+
TU220H-2378,SGL_RS00410,+
TU220H-1835,SGL_RS14760,+
TU220H-2819,SGL_RS07280,-
TU220H-2779,SGL_RS19455,-
TU220H-1391,SGL_RS11370,+
TU220H-2750,SGL_RS09660,+
TU220H-1561,SGL_RS12675,+
TU220H-1642,SGL_RS13260,+
TU220H-1795,SGL_RS14465 // SGL_RS14460,-
TU220H-572,SGL_RS05355 // SGL_RS05350,+
TU220H-1444,SGL_RS11805,+
TU220H-279,SGL_RS03265,-
TU220H-2893,SGL_RS03495,-
TU220H-2465,SGL_RS01850 // SGL_RS01845,+
TU220H-561,SGL_RS05280,-
TU220H-1226,SGL_RS10200 // SGL_RS10195,-
TU220H-1507,SGL_RS18955,+
TU220H-870,SGL_RS07485,+
TU220H-950,SGL_RS08110,+
TU220H-1056,SGL_RS08950 // SGL_RS08945,-
TU220H-1173,SGL_RS09815,+
TU220H-1093,SGL_RS18835,+
TU220H-2683,SGL_RS11840,+
TU220H-198,SGL_RS02710,+
TU220H-1317,SGL_RS10865,-
TU220H-778,SGL_RS06740,+
TU220H-722,SGL_RS06410 // SGL_RS06405,-
TU220H-1989,SGL_RS15855,-
TU220H-512,SGL_RS04940,+
TU220H-2837,SGL_RS06635,-
TU220H-347,SGL_RS03785 // SGL_RS03780,-
TU220H-479,SGL_RS04720,+
TU220H-2491,SGL_RS18340,-
TU220H-145,SGL_RS02270,+
TU220H-2419,SGL_RS01485,+
TU220H-1841,SGL_RS14815,+
TU220H-2338,SGL_RS00115 // SGL_RS00110 // SGL_RS00105 // SGL_RS00100 // SGL_RS00095,+
TU220H-1936,SGL_RS15520,+
TU220H-2143,SGL_RS17030 // SGL_RS17025 // SGL_RS17020,+
TU220H-1281,SGL_RS10565,-
TU220H-1525,SGL_RS12420,+
TU220H-2154,SGL_RS17125,-
TU220H-405,SGL_RS04195,+
TU220H-668,SGL_RS06075,+
TU220H-1401,SGL_RS11440 // SGL_RS11435,+
TU220H-226,SGL_RS02905 // SGL_RS02900,+
TU220H-1376,SGL_RS11265,+
TU220H-395,SGL_RS04120,+
TU220H-1112,SGL_RS09315 // SGL_RS09310,+
TU220H-1421,SGL_RS11605 // SGL_RS11600 // SGL_RS11595 // SGL_RS11590,-
TU220H-2743,SGL_RS09945,+
TU220H-76,SGL_RS01300,-
TU220H-278,SGL_RS03255,-
TU220H-1554,SGL_RS12625,+
TU220H-2297,SGL_RS18145 // SGL_RS18140 // SGL_RS18135,+
TU220H-2890,SGL_RS03920,-
TU220H-1935,SGL_RS15515 // SGL_RS15510,-
TU220H-760,SGL_RS06630,+
TU220H-2326,SGL_RS00005 // SGL_RS00620,-
TU220H-813,SGL_RS07035,-
TU220H-2351,SGL_RS00205,-
TU220H-2906,SGL_RS02770,-
TU220H-1328,SGL_RS10940,-
TU220H-1004,SGL_RS08545,-
TU220H-1492,SGL_RS12155,-
TU220H-1225,SGL_RS10190,-
TU220H-611,SGL_RS05640,+
TU220H-869,SGL_RS07480 // SGL_RS07475,+
TU220H-2108,SGL_RS16705 // SGL_RS16700,-
TU220H-1055,SGL_RS08940,+
TU220H-935,SGL_RS08005,+
TU220H-1172,SGL_RS09810,-
TU220H-2653,SGL_RS12810,-
TU220H-2565,SGL_RS15330,+
TU220H-1653,SGL_RS13345,-
TU220H-2845,SGL_RS06110,-
TU220H-552,SGL_RS05225,+
TU220H-1881,SGL_RS15085,+
TU220H-2393,SGL_RS00530,+
TU220H-2353,SGL_RS00240,+
TU220H-1472,SGL_RS12010,+
TU220H-130,SGL_RS02140,+
TU220H-1770,SGL_RS14245,-
TU220H-2695,SGL_RS11520,-
TU220H-708,SGL_RS06320 // SGL_RS06315,-
TU220H-1959,SGL_RS15655,-
TU220H-478,SGL_RS04715,+
TU220H-332,SGL_RS03645,+
TU220H-2570,SGL_RS15215,+
TU220H-2048,SGL_RS16275,-
TU220H-1635,SGL_RS13205,+
TU220H-2486,SGL_RS00230,+
TU220H-1280,SGL_RS10560,-
TU220H-2094,SGL_RS16600,-
TU220H-2018,SGL_RS16025 // SGL_RS16020,-
TU220H-1656,SGL_RS13375,-
TU220H-2183,SGL_RS17335,-
TU220H-1608,SGL_RS13015,+
TU220H-667,SGL_RS06070 // SGL_RS06065 // SGL_RS06060 // SGL_RS06055,+
TU220H-979,SGL_RS08350 // SGL_RS08345,-
TU220H-2132,SGL_RS16935,+
TU220H-1733,SGL_RS13930,+
TU220H-769,SGL_RS06690,+
TU220H-2657,SGL_RS12645,-
TU220H-2204,SGL_RS17490,+
TU220H-75,SGL_RS01295,-
TU220H-277,SGL_RS03250,-
TU220H-1761,SGL_RS14175,-
TU220H-1524,SGL_RS12415,+
TU220H-1224,SGL_RS10185,-
TU220H-920,SGL_RS07895 // SGL_RS07890,-
TU220H-369,SGL_RS03955,-
TU220H-868,SGL_RS07470 // SGL_RS07465,+
TU220H-1580,SGL_RS12815,-
TU220H-1054,SGL_RS08935 // SGL_RS08930,+
TU220H-2282,SGL_RS18035,+
TU220H-1438,SGL_RS11765,-
TU220H-1171,SGL_RS09805,-
TU220H-168,SGL_RS02445,+
TU220H-751,SGL_RS06580,-
TU220H-1360,SGL_RS11135,+
TU220H-2047,SGL_RS16270,-
TU220H-2875,SGL_RS04380,+
TU220H-2404,SGL_RS01370,+
TU220H-1316,SGL_RS18905,-
TU220H-2337,SGL_RS00090 // SGL_RS00085 // SGL_RS00080 // SGL_RS00075,+
TU220H-538,SGL_RS05115 // SGL_RS05110,+
TU220H-2669,SGL_RS12370,+
TU220H-1854,SGL_RS14900 // SGL_RS14895,+
TU220H-1620,SGL_RS13100 // SGL_RS13095,-
TU220H-1682,SGL_RS13535,+
TU220H-2885,SGL_RS04030,-
TU220H-417,SGL_RS04275,+
TU220H-477,SGL_RS04710,+
TU220H-2267,SGL_RS17930,+
TU220H-115,SGL_RS02030,+
TU220H-2623,SGL_RS13595,+
TU220H-1279,SGL_RS10550,-
TU220H-317,SGL_RS03510,-
TU220H-2370,SGL_RS00355,+
TU220H-225,SGL_RS02895,-
TU220H-666,SGL_RS06050,+
TU220H-2165,SGL_RS17215,-
TU220H-2245,SGL_RS19500,-
TU220H-2517,SGL_RS17330,+
TU220H-1721,SGL_RS13850,-
TU220H-2711,SGL_RS10835,+
TU220H-1633,SGL_RS13190 // SGL_RS13185 // SGL_RS13180,+
TU220H-1419,SGL_RS11580,+
TU220H-1957,SGL_RS15640,-
TU220H-2902,SGL_RS03080,+
TU220H-74,SGL_RS01290,-
TU220H-788,SGL_RS06840 // SGL_RS06835 // SGL_RS06830 // SGL_RS06825 // SGL_RS06820 // SGL_RS06815,+
TU220H-958,SGL_RS08165 // SGL_RS08160 // SGL_RS08155,-
TU220H-2386,SGL_RS00465,-
TU220H-1338,SGL_RS11005,+
TU220H-276,SGL_RS03245,+
TU220H-1763,SGL_RS14205,-
TU220H-2017,SGL_RS19080,-
TU220H-812,SGL_RS07030,-
TU220H-1003,SGL_RS08540 // SGL_RS08535 // SGL_RS08530,+
TU220H-579,SGL_RS05425,+
TU220H-1223,SGL_RS10180,+
TU220H-610,SGL_RS05635,+
TU220H-1100,SGL_RS09220,+
TU220H-1053,SGL_RS08925,+
TU220H-387,SGL_RS04080,+
TU220H-1170,SGL_RS09800 // SGL_RS09795,+
TU220H-2940,SGL_RS01255,+
TU220H-905,SGL_RS07765 // SGL_RS07760,-
TU220H-205,SGL_RS02750,-
TU220H-736,SGL_RS06490 // SGL_RS06485,+
TU220H-523,SGL_RS05015 // SGL_RS05010,+
TU220H-1086,SGL_RS18830 // SGL_RS09125,-
TU220H-2306,SGL_RS18205,+
TU220H-361,SGL_RS03870,+
TU220H-1680,SGL_RS13520,+
TU220H-1131,SGL_RS09430 // SGL_RS09425 // SGL_RS09420,-
TU220H-159,SGL_RS02360,+
TU220H-476,SGL_RS18705,+
TU220H-1958,SGL_RS15645,-
TU220H-2731,SGL_RS10215,-
TU220H-2706,SGL_RS11200,-
TU220H-1553,SGL_RS12620,-
TU220H-2046,SGL_RS16265 // SGL_RS19110,+
TU220H-2930,SGL_RS02155,-
TU220H-1808,SGL_RS14545,+
TU220H-1278,SGL_RS10545,-
TU220H-1457,SGL_RS11905 // SGL_RS11900,+
TU220H-2200,SGL_RS17465,+
TU220H-2159,SGL_RS17175,+
TU220H-1607,SGL_RS13010 // SGL_RS13005,+
TU220H-665,SGL_RS06045,+
TU220H-2398,SGL_RS00565,+
TU220H-2175,SGL_RS17265,+
TU220H-2254,SGL_RS17835,+
TU220H-1834,SGL_RS14755,-
TU220H-1891,SGL_RS15165,-
TU220H-1390,SGL_RS11365,+
TU220H-1987,SGL_RS15835,+
TU220H-1743,SGL_RS14010,+
TU220H-2736,SGL_RS10155,+
TU220H-1712,SGL_RS13785,-
TU220H-1793,SGL_RS14445 // SGL_RS14440 // SGL_RS14435 // SGL_RS14430 // SGL_RS14425,-
TU220H-2085,SGL_RS16550,+
TU220H-73,SGL_RS01285,-
TU220H-1630,SGL_RS13160,-
TU220H-275,SGL_RS03240,+
TU220H-2464,SGL_RS01840 // SGL_RS01835 // SGL_RS01830,+
TU220H-1692,SGL_RS13635,-
TU220H-379,SGL_RS04010,+
TU220H-560,SGL_RS05275 // SGL_RS05270,-
TU220H-2864,SGL_RS04740,-
TU220H-1222,SGL_RS10175,+
TU220H-2322,SGL_RS18335,+
TU220H-867,SGL_RS07455,+
TU220H-949,SGL_RS08105,-
TU220H-1052,SGL_RS08920,+
TU220H-179,SGL_RS02525 // SGL_RS02520,+
TU220H-1169,SGL_RS09790,+
TU220H-2682,SGL_RS11910,-
TU220H-2045,SGL_RS19280 // SGL_RS16255,+
TU220H-2243,SGL_RS17785,-
TU220H-1481,SGL_RS12080,+
TU220H-1784,SGL_RS14360,-
TU220H-1315,SGL_RS10845 // SGL_RS10840,-
TU220H-2446,SGL_RS01690,+
TU220H-721,SGL_RS18740,-
TU220H-2488,SGL_RS00175,-
TU220H-511,SGL_RS04935,+
TU220H-346,SGL_RS03775 // SGL_RS03770,-
TU220H-2613,SGL_RS19025,-
TU220H-1471,SGL_RS12005,-
TU220H-1667,SGL_RS13435,+
TU220H-475,SGL_RS04705,-
TU220H-144,SGL_RS02265,-
TU220H-1934,SGL_RS15505 // SGL_RS15500,+
TU220H-1277,SGL_RS10540 // SGL_RS18415,+
TU220H-2642,SGL_RS13235,+
TU220H-1523,SGL_RS12410,+
TU220H-2531,SGL_RS16915,-
TU220H-1902,SGL_RS15270,-
TU220H-404,SGL_RS04190,+
TU220H-2554,SGL_RS15935,+
TU220H-1710,SGL_RS13760,-
TU220H-224,SGL_RS02890,-
TU220H-664,SGL_RS06040,+
TU220H-2164,SGL_RS17210,-
TU220H-2086,SGL_RS16555,+
TU220H-1727,SGL_RS13890,-
TU220H-984,SGL_RS08380,-
TU220H-1412,SGL_RS11530 // SGL_RS11525,+
TU220H-1822,SGL_RS19480,+
TU220H-1718,SGL_RS13825 // SGL_RS13820,-
TU220H-1673,SGL_RS13485 // SGL_RS13480,-
TU220H-1986,SGL_RS15830,+
TU220H-1375,SGL_RS11260,+
TU220H-2884,SGL_RS04035,+
TU220H-1499,SGL_RS12205,-
TU220H-72,SGL_RS01280,-
TU220H-811,SGL_RS07025,-
TU220H-759,SGL_RS06625,+
TU220H-1002,SGL_RS08525,+
TU220H-2350,SGL_RS00200,-
TU220H-609,SGL_RS05630,+
TU220H-1138,SGL_RS09480,-
TU220H-866,SGL_RS07450 // SGL_RS07445,+
TU220H-1051,SGL_RS08915,-
TU220H-934,SGL_RS08000 // SGL_RS07995,+
TU220H-2724,SGL_RS10320,+
TU220H-1168,SGL_RS09785,-
TU220H-2044,SGL_RS16250,+
TU220H-2867,SGL_RS04670,-
TU220H-2954,SGL_RS00650,+
TU220H-551,SGL_RS05220 // SGL_RS05215,+
TU220H-1866,SGL_RS14985 // SGL_RS14980,-
TU220H-2758,SGL_RS09225,-
TU220H-1812,SGL_RS14575,+
TU220H-1783,SGL_RS14355,-
TU220H-129,SGL_RS02135 // SGL_RS02130 // SGL_RS02125,+
TU220H-2694,SGL_RS11550,+
TU220H-707,SGL_RS06310 // SGL_RS06305,+
TU220H-474,SGL_RS18700,-
TU220H-331,SGL_RS03640 // SGL_RS03635,+
TU220H-1617,SGL_RS13070,-
TU220H-1552,SGL_RS12615,-
TU220H-2482,SGL_RS00375,+
TU220H-2122,SGL_RS16820 // SGL_RS16815,+
TU220H-1565,SGL_RS12700,+
TU220H-1606,SGL_RS13000,+
TU220H-969,SGL_RS08255,+
TU220H-663,SGL_RS06035,+
TU220H-2502,SGL_RS17880,-
TU220H-1802,SGL_RS14505,-
TU220H-1990,SGL_RS15870 // SGL_RS15865 // SGL_RS15860,-
TU220H-1276,SGL_RS10535,+
TU220H-2128,SGL_RS16900 // SGL_RS16895,-
TU220H-2762,SGL_RS08850,+
TU220H-1914,SGL_RS15365 // SGL_RS15360,+
TU220H-2753,SGL_RS09635,+
TU220H-1640,SGL_RS13230,-
TU220H-1121,SGL_RS09370,+
TU220H-2224,SGL_RS17630 // SGL_RS17625,+
TU220H-71,SGL_RS01275,+
TU220H-589,SGL_RS05495,-
TU220H-1107,SGL_RS09270,-
TU220H-1221,SGL_RS10165,+
TU220H-1488,SGL_RS12135 // SGL_RS12130,+
TU220H-2107,SGL_RS16695,-
