,value
CPH4S,"{'name': '6-carboxy-5,6,7,8-tetrahydropterin synthase', 'gene_reaction_rule': 'TM0038', 'reaction': 'ahdt_c + h2o_c --> acald_c + cph4_c + h_c + pppi_c', 'notes': ''}"
DM_5DRIB,"{'name': ""Sink needed to allow 5'-deoxyribose to leave system"", 'gene_reaction_rule': '', 'reaction': '5drib_c -->', 'notes': ''}"
EDD,"{'name': '', 'gene_reaction_rule': '', 'reaction': '6pgc_c --> 2ddg6p_c + h2o_c', 'notes': ''}"
EX_ca2_e,"{'name': 'Ca(II) Exchange', 'gene_reaction_rule': '', 'reaction': 'ca2_e <=>', 'notes': ''}"
EX_cbl1_e,"{'name': 'Cob(I)alamin exchange', 'gene_reaction_rule': '', 'reaction': 'cbl1_e <=>', 'notes': ''}"
EX_cd2_e,"{'name': 'Cadmium exchange', 'gene_reaction_rule': '', 'reaction': 'cd2_e -->', 'notes': ''}"
EX_cobalt2,"{'name': 'Co(II) exchange', 'gene_reaction_rule': '', 'reaction': 'cobalt2_e <=>', 'notes': ''}"
EX_mn2_e,"{'name': 'Mn(II) Exchange', 'gene_reaction_rule': '', 'reaction': 'mn2_e <=>', 'notes': ''}"
EX_oxa_e,"{'name': '', 'gene_reaction_rule': '', 'reaction': 'oxa_e <=>', 'notes': ''}"
FE2tex,"{'name': 'iron (II) transport via ABC transporter permease', 'gene_reaction_rule': 'TM0079 OR TM0189 OR TM0190', 'reaction': 'fe2_e <=> fe2_p', 'notes': ''}"
FE2tpp,"{'name': 'iron (II) transport in via permease (no H+)', 'gene_reaction_rule': 'TM1738', 'reaction': 'fe2_p --> fe2_c', 'notes': ''}"
FMNRx2,"{'name': 'FMN reductase', 'gene_reaction_rule': '', 'reaction': 'fmn_c + h_c + nadph_c --> fmnh2_c + nadp_c', 'notes': ''}"
GLS,"{'name': '', 'gene_reaction_rule': '(TM0024 or (TM0025) or TM1524)', 'reaction': '', 'notes': ''}"
GLS2,"{'name': '', 'gene_reaction_rule': '(TM0024 or (TM0025) or TM1524)', 'reaction': '', 'notes': ''}"
GRXR,"{'name': 'glutaredoxin reductase', 'gene_reaction_rule': '', 'reaction': 'grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c', 'notes': ''}"
GTHOr,"{'name': 'glutathione oxidoreductase', 'gene_reaction_rule': '', 'reaction': 'gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c', 'notes': ''}"
HYDFDN,"{'name': '', 'gene_reaction_rule': 'TM1426 and TM1425 and TM1424', 'reaction': 'fdxr_42_c + 3.000000 h_c + nadh_c --> fdxo_4_2_c + 2.000000 h2_c + nad_c', 'notes': ''}"
HYDFDi,"{'name': '', 'gene_reaction_rule': 'TM1426 and TM1425 and TM1424', 'reaction': 'fdxr_42_c + 2.000000 h_c --> fdxo_42_c + h2_c', 'notes': ''}"
IMP,"{'name': '', 'gene_reaction_rule': 'TM1415', 'reaction': 'h2o_c + pdip_d_d_c --> dip_d_d_c + pi_c', 'notes': ''}"
IMPCT,"{'name': '', 'gene_reaction_rule': 'TM_RS07195', 'reaction': '', 'notes': ''}"
IMPCT2,"{'name': '', 'gene_reaction_rule': 'TM_RS07195', 'reaction': '', 'notes': ''}"
Kt1,"{'name': '', 'gene_reaction_rule': 'TM1088 and TM1089', 'reaction': 'k_e --> k_c', 'notes': ''}"
LMN2,"{'name': '', 'gene_reaction_rule': '(TM0025)', 'reaction': '', 'notes': ''}"
METS,"{'name': '', 'gene_reaction_rule': '((TM0268 or TM0269) or TM1286)', 'reaction': '', 'notes': ''}"
MI1PP,"{'name': '', 'gene_reaction_rule': 'TM1415', 'reaction': 'h2o_c + mi1p__D_c --> inost_c + pi_c', 'notes': ''}"
MI1PS,"{'name': '', 'gene_reaction_rule': 'TM1419', 'reaction': 'g6p_c --> mi1p__D_c', 'notes': ''}"
MI1PS2,"{'name': '', 'gene_reaction_rule': 'TM1419', 'reaction': 'g6p_c --> mi1p__L_c', 'notes': ''}"
MLTG1,"{'name': '', 'gene_reaction_rule': 'no_gene', 'reaction': '', 'notes': ''}"
MN2t3pp,"{'name': 'manganese (Mn+2) transport out via proton antiport (periplasm)', 'gene_reaction_rule': 'TM0876 or TM0538', 'reaction': 'h_p + mn2_c --> h_c + mn2_p', 'notes': ''}"
MN2tpp,"{'name': 'manganese transport in via permease (no H+)', 'gene_reaction_rule': 'TM1738', 'reaction': 'mn2_p --> mn2_c', 'notes': ''}"
MNLDH2,"{'name': '', 'gene_reaction_rule': 'TM0298', 'reaction': '', 'notes': ''}"
MNtex,"{'name': 'Manganese (Mn+2) transport via diffusion (extracellular to periplasm)', 'gene_reaction_rule': '', 'reaction': 'mn2_e <=> mn2_p', 'notes': ''}"
NADPDH1,"{'name': '', 'gene_reaction_rule': '', 'reaction': 'fad_c + 3 h_c + nadph_c <=> fadh2_c + 2 h_e + nadp_c', 'notes': ''}"
NAD_H2,"{'name': '', 'gene_reaction_rule': 'TM1426 and TM1425 and TM1424', 'reaction': 'h_c + nadh_c <=> h2_c + nad_c', 'notes': ''}"
NAti,"{'name': '', 'gene_reaction_rule': 'no_gene', 'reaction': '', 'notes': ''}"
OXADC,"{'name': '', 'gene_reaction_rule': 'TM1287', 'reaction': 'h_c + oxa_c --> co2_c + for_c', 'notes': ''}"
OXAt,"{'name': '', 'gene_reaction_rule': '', 'reaction': 'h_e + oxa_e --> h_c + oxa_c', 'notes': ''}"
PDIPS,"{'name': '', 'gene_reaction_rule': 'TM_RS07195', 'reaction': '', 'notes': ''}"
PPA2,"{'name': 'inorganic triphosphatase', 'gene_reaction_rule': 'TM1662', 'reaction': 'h2o_c + pppi_c --> h_c + pi_c + ppi_c', 'notes': ''}"
PPANA,"{'name': '', 'gene_reaction_rule': 'TM0174', 'reaction': 'h2o_c + na1_c + ppi_c --> h_c + 2.000000 pi_c + na1_e', 'notes': ''}"
PPA_1,"{'name': '', 'gene_reaction_rule': 'TM0174', 'reaction': 'h2o_c + ppi_c --> 2.000000 pi_c + h_e', 'notes': ''}"
PPNDHr,"{'name': '', 'gene_reaction_rule': 'TM0343', 'reaction': '', 'notes': ''}"
P_DIPS,"{'name': '', 'gene_reaction_rule': 'TM_RS07195', 'reaction': '', 'notes': ''}"
RBFK,"{'name': '', 'gene_reaction_rule': 'TM0379', 'reaction': '', 'notes': ''}"
SUCD1,"{'name': '', 'gene_reaction_rule': '(TM0427 or TM0428)', 'reaction': '', 'notes': ''}"
SUCD3,"{'name': '', 'gene_reaction_rule': '(TM0427 or TM0428)', 'reaction': '', 'notes': ''}"
TM_GL1_RXN,"{'name': '', 'gene_reaction_rule': '', 'reaction': 'dcaACP_c + 2 udpg_c + glyc_c + 2 palmACP_c --> 2 udp_c + 3 ACP_c + TM_GL1_c + 2 h_c', 'notes': ''}"
TM_GL2_RXN,"{'name': '', 'gene_reaction_rule': '', 'reaction': '2 udpg_c + glyc_c + 2 palmACP_c --> 2 udp_c + 2 ACP_c + TM_GL2_c + 2 h_c', 'notes': ''}"
XYLOS1,"{'name': '', 'gene_reaction_rule': '(TM0076)', 'reaction': '', 'notes': ''}"
XYLOS2,"{'name': '', 'gene_reaction_rule': '(TM0076)', 'reaction': '', 'notes': ''}"
XYLOS3,"{'name': '', 'gene_reaction_rule': '(TM0076)', 'reaction': '', 'notes': ''}"
