Reaction,Metabolites,Stoichiometry
S_transfer_to_IscU_mod_2Fe1S(1),TM1372-MONOMER_mod_2fe1s(1),-1.0
S_transfer_to_IscU_mod_2Fe1S(1),TM1692-MONOMER_mod_pydx5p(2),1.0
S_transfer_to_IscU_mod_2Fe1S(1),TM1372-MONOMER_mod_2fe2s(1),1.0
S_transfer_to_IscU_mod_2Fe1S(1),h_c,4.0
I4FE4SR1,h_c,-2.0
I4FE4SR1,TM1372-MONOMER_mod_2fe2s(2),-1.0
I4FE4SR1,fadh2_c,-1.0
I4FE4SR1,TM1372-MONOMER_mod_4fe4s(1),1.0
I4FE4SR1,fad_c,1.0
S_transfer_to_SufBCD_mod_2Fe1S(1),SufBCD_mod_2fe1s(1),-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1),SufSU_mod_pydx5p(1)_mod_SH(1),-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1),SufBCD_mod_2fe2s(1),1.0
S_transfer_to_SufBCD_mod_2Fe1S(1),SufSU_mod_pydx5p(1),1.0
S_transfer_to_SufBCD_mod_2Fe1S(1),h_c,4.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1),SufBCD_mod_2fe2s(1)_mod_2fe1s(1),-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1),SufSU_mod_pydx5p(1)_mod_SH(1),-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1),SufBCD_mod_2fe2s(2),1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1),SufSU_mod_pydx5p(1),1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_2Fe1S(1),h_c,4.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2),SufBCD_mod_2fe2s(1)_mod_fe2(2),-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2),SufSU_mod_pydx5p(1)_mod_SH(1),-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2),SufBCD_mod_2fe2s(1)_mod_2fe1s(1),1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2),SufSU_mod_pydx5p(1),1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2),h_c,4.0
S_transfer_to_SufBCD_mod_fe2(2),SufBCD_mod_fe2(2),-1.0
S_transfer_to_SufBCD_mod_fe2(2),SufSU_mod_pydx5p(1)_mod_SH(1),-1.0
S_transfer_to_SufBCD_mod_fe2(2),SufBCD_mod_2fe1s(1),1.0
S_transfer_to_SufBCD_mod_fe2(2),SufSU_mod_pydx5p(1),1.0
S_transfer_to_SufBCD_mod_fe2(2),h_c,4.0
SufBCD_2fe2s(2)_to_SufBCD_4fe4s(1),SufBCD_mod_2fe2s(2),-1.0
SufBCD_2fe2s(2)_to_SufBCD_4fe4s(1),SufBCD_mod_4fe4s(1),1.0
SufBCD_mod_2Fe2S(1)_atp_mediated_FE_loading,SufBCD_mod_2fe2s(1),-1.0
SufBCD_mod_2Fe2S(1)_atp_mediated_FE_loading,atp_c,-1.0
SufBCD_mod_2Fe2S(1)_atp_mediated_FE_loading,fe2_c,-1.0
SufBCD_mod_2Fe2S(1)_atp_mediated_FE_loading,SufBCD_mod_2fe2s(1)_mod_fe2(1),1.0
SufBCD_mod_2Fe2S(1)_atp_mediated_FE_loading,adp_c,1.0
SufBCD_mod_2Fe2S(1)_atp_mediated_FE_loading,pi_c,1.0
SufBCD_mod_2Fe2S(1)_mod_fe2(1)_atp_mediated_FE_loading,SufBCD_mod_2fe2s(1)_mod_fe2(1),-1.0
SufBCD_mod_2Fe2S(1)_mod_fe2(1)_atp_mediated_FE_loading,atp_c,-1.0
SufBCD_mod_2Fe2S(1)_mod_fe2(1)_atp_mediated_FE_loading,fe2_c,-1.0
SufBCD_mod_2Fe2S(1)_mod_fe2(1)_atp_mediated_FE_loading,SufBCD_mod_2fe2s(1)_mod_fe2(2),1.0
SufBCD_mod_2Fe2S(1)_mod_fe2(1)_atp_mediated_FE_loading,adp_c,1.0
SufBCD_mod_2Fe2S(1)_mod_fe2(1)_atp_mediated_FE_loading,pi_c,1.0
SufBCD_mod_fe2(1)_atp_mediated_FE_loading,SufBCD_mod_fe2(1),-1.0
SufBCD_mod_fe2(1)_atp_mediated_FE_loading,atp_c,-1.0
SufBCD_mod_fe2(1)_atp_mediated_FE_loading,fe2_c,-1.0
SufBCD_mod_fe2(1)_atp_mediated_FE_loading,SufBCD_mod_fe2(2),1.0
SufBCD_mod_fe2(1)_atp_mediated_FE_loading,adp_c,1.0
SufBCD_mod_fe2(1)_atp_mediated_FE_loading,pi_c,1.0
SufBCDatp_mediated_FE_loading,SufBCD,-1.0
SufBCDatp_mediated_FE_loading,atp_c,-1.0
SufBCDatp_mediated_FE_loading,fe2_c,-1.0
SufBCDatp_mediated_FE_loading,SufBCD_mod_fe2(1),1.0
SufBCDatp_mediated_FE_loading,adp_c,1.0
SufBCDatp_mediated_FE_loading,pi_c,1.0
4Fe4S_to_SufA_by_SufBCD,SufBCD_mod_4fe4s(1),-1.0
4Fe4S_to_SufA_by_SufBCD,SufA,-1.0
4Fe4S_to_SufA_by_SufBCD,SufBCD,1.0
4Fe4S_to_SufA_by_SufBCD,SufA_mod_4fe4s(1),1.0
2Fe2S_to_SufA_by_SufBCD,SufBCD_mod_2fe2s(1),-1.0
2Fe2S_to_SufA_by_SufBCD,SufA,-1.0
2Fe2S_to_SufA_by_SufBCD,SufBCD,1.0
2Fe2S_to_SufA_by_SufBCD,SufA_mod_2fe2s(1),1.0
