Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS06055-MONOMER	USA300HOU_RS06055	orotate phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS11730-MONOMER	USA300HOU_RS11730	P-loop NTPase	CCI-CYTOSOL-GP
USA300HOU_RS09825-MONOMER	USA300HOU_RS09825	YtxH domain-containing protein	
USA300HOU_RS10295-MONOMER	USA300HOU_RS10295	DUF3267 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08860-MONOMER	USA300HOU_RS08860	ribosome biogenesis GTP-binding protein YihA/YsxC	
USA300HOU_RS02620-MONOMER	USA300HOU_RS02620	ATP-dependent zinc metalloprotease FtsH	CCI-PM-BAC-POS-GP
USA300HOU_RS11460-MONOMER	USA300HOU_RS11460	helix-turn-helix transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS11330-MONOMER	USA300HOU_RS11330	YwpF-like family protein	CCI-CYTOSOL-GP
USA300HOU_RS08015-MONOMER	USA300HOU_RS08015	NUDIX hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS03715-MONOMER	USA300HOU_RS03715	GTP-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS07095-MONOMER	USA300HOU_RS07095	aspartate kinase	CCI-CYTOSOL-GP
USA300HOU_RS04590-MONOMER	USA300HOU_RS04590	DUF3055 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS00655-MONOMER	USA300HOU_RS00655	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01855-MONOMER	USA300HOU_RS01855	DUF3169 family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03220-MONOMER	USA300HOU_RS03220	hypothetical protein	
USA300HOU_RS03510-MONOMER	USA300HOU_RS03510	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS13825-MONOMER	USA300HOU_RS13825	methylated-DNA--[protein]-cysteine S-methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02625-MONOMER	USA300HOU_RS02625	Hsp33 family molecular chaperone HslO	CCI-CYTOSOL-GP
USA300HOU_RS09130-MONOMER	USA300HOU_RS09130	glycerophosphoryl diester phosphodiesterase	CCI-CYTOSOL-GP
USA300HOU_RS05435-MONOMER	USA300HOU_RS05435	DNA-dependent RNA polymerase auxiliary subunit epsilon family protein	CCI-CYTOSOL-GP
USA300HOU_RS04485-MONOMER	USA300HOU_RS04485	phage capsid protein	CCI-CYTOSOL-GP
USA300HOU_RS14390-MONOMER	USA300HOU_RS14390	accessory Sec system glycosyltransferase GtfA	
USA300HOU_RS07300-MONOMER	USA300HOU_RS07300	BrxA/BrxB family bacilliredoxin	CCI-CYTOSOL-GP
USA300HOU_RS12500-MONOMER	USA300HOU_RS12500	formate dehydrogenase subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS01500-MONOMER	USA300HOU_RS01500	type VII secretion protein EsaB	
USA300HOU_RS02630-MONOMER	USA300HOU_RS02630	cysteine synthase A	CCI-CYTOSOL-GP
USA300HOU_RS05000-MONOMER	USA300HOU_RS05000	magnesium transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS08530-MONOMER	USA300HOU_RS08530	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10515-MONOMER	USA300HOU_RS10515	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	CCI-CYTOSOL-GP
USA300HOU_RS11735-MONOMER	USA300HOU_RS11735	multidrug efflux MFS transporter LmrS	CCI-PM-BAC-POS-GP
CPLX2KSB-59	USA300HOU_RS01865 // USA300HOU_RS01860	ABC transporter	
USA300HOU_RS06405-MONOMER	USA300HOU_RS06405	tRNA pseudouridine(55) synthase TruB	CCI-CYTOSOL-GP
USA300HOU_RS06785-MONOMER	USA300HOU_RS06785	catalase	CCI-CYTOSOL-GP
USA300HOU_RS05220-MONOMER	USA300HOU_RS05220	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	CCI-CYTOSOL-GP
USA300HOU_RS06515-MONOMER	USA300HOU_RS06515	RicAFT regulatory complex protein RicA family protein	
USA300HOU_RS09455-MONOMER	USA300HOU_RS09455	transaldolase	
USA300HOU_RS05440-MONOMER	USA300HOU_RS05440	hypothetical protein	
USA300HOU_RS15455-MONOMER	USA300HOU_RS15455	Ig-like domain-containing protein	
USA300HOU_RS12885-MONOMER	USA300HOU_RS12885	pyridoxamine 5'-phosphate oxidase family protein	
USA300HOU_RS07885-MONOMER	USA300HOU_RS07885	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS13830-MONOMER	USA300HOU_RS13830	ATP-dependent Clp protease ATP-binding subunit ClpL	CCI-CYTOSOL-GP
USA300HOU_RS12055-MONOMER	USA300HOU_RS12055	30S ribosomal protein S13	CCI-CYTOSOL-GP
USA300HOU_RS09875-MONOMER	USA300HOU_RS09875	response regulator transcription factor	CCI-CYTOSOL-GP
USA300HOU_RS04350-MONOMER	USA300HOU_RS04350	organic hydroperoxide resistance protein	
USA300HOU_RS09110-MONOMER	USA300HOU_RS09110	septation ring formation regulator EzrA	CCI-PM-BAC-POS-GP
USA300HOU_RS14395-MONOMER	USA300HOU_RS14395	accessory Sec system translocase SecA2	CCI-CYTOSOL-GP
USA300HOU_RS10780-MONOMER	USA300HOU_RS10780	AAA family ATPase	CCI-CYTOSOL-GP
USA300HOU_RS02635-MONOMER	USA300HOU_RS02635	dihydropteroate synthase	CCI-CYTOSOL-GP
USA300HOU_RS02065-MONOMER	USA300HOU_RS02065	IMP dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS11740-MONOMER	USA300HOU_RS11740	multidrug efflux transporter SepA	CCI-PM-BAC-POS-GP
USA300HOU_RS08305-MONOMER	USA300HOU_RS08305	metal ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01655-MONOMER	USA300HOU_RS01655	winged helix-turn-helix transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS06790-MONOMER	USA300HOU_RS06790	50S ribosomal protein L33	CCI-CYTOSOL-GP
USA300HOU_RS13360-MONOMER	USA300HOU_RS13360	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10235-MONOMER	USA300HOU_RS10235	hypothetical protein	
USA300HOU_RS08780-MONOMER	USA300HOU_RS08780	DUF4930 family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05905-MONOMER	USA300HOU_RS05905	YjjG family noncanonical pyrimidine nucleotidase	
USA300HOU_RS04130-MONOMER	USA300HOU_RS04130	tetratricopeptide repeat protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04445-MONOMER	USA300HOU_RS04445	helix-turn-helix domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS13835-MONOMER	USA300HOU_RS13835	FeoB-associated Cys-rich membrane protein	
USA300HOU_RS05735-MONOMER	USA300HOU_RS05735	excinuclease ABC subunit UvrC	CCI-CYTOSOL-GP
USA300HOU_RS02640-MONOMER	USA300HOU_RS02640	dihydroneopterin aldolase	CCI-CYTOSOL-GP
USA300HOU_RS05445-MONOMER	USA300HOU_RS05445	peptide deformylase	CCI-CYTOSOL-GP
USA300HOU_RS14400-MONOMER	USA300HOU_RS14400	accessory Sec system protein Asp3	
USA300HOU_RS12505-MONOMER	USA300HOU_RS12505	LCP family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01505-MONOMER	USA300HOU_RS01505	type VII secretion protein EssB	
USA300HOU_RS09570-MONOMER	USA300HOU_RS09570	hypothetical protein	
USA300HOU_RS02360-MONOMER	USA300HOU_RS02360	YibE/F family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04045-MONOMER	USA300HOU_RS04045	YigZ family protein	CCI-CYTOSOL-GP
USA300HOU_RS11745-MONOMER	USA300HOU_RS11745	MFS transporter	CCI-PM-BAC-POS-GP
CPLX2KSB-58	USA300HOU_RS13375 // USA300HOU_RS13365 // USA300HOU_RS13370 // USA300HOU_RS13355 // USA300HOU_RS13360	ABC transporter	
USA300HOU_RS07765-MONOMER	USA300HOU_RS07765	terminase large subunit	CCI-CYTOSOL-GP
USA300HOU_RS00140-MONOMER	USA300HOU_RS00140	IS6-like element IS257 family transposase	CCI-CYTOSOL-GP
USA300HOU_RS05450-MONOMER	USA300HOU_RS05450	YkyA family protein	
USA300HOU_RS07100-MONOMER	USA300HOU_RS07100	aspartate-semialdehyde dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS04830-MONOMER	USA300HOU_RS04830	acetyltransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS12645-MONOMER	USA300HOU_RS12645	MOSC domain-containing protein	
USA300HOU_RS08625-MONOMER	USA300HOU_RS08625	tetratricopeptide repeat protein	CCI-CYTOSOL-GP
USA300HOU_RS02645-MONOMER	USA300HOU_RS02645	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	CCI-CYTOSOL-GP
USA300HOU_RS12205-MONOMER	USA300HOU_RS12205	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02210-MONOMER	USA300HOU_RS02210	tandem-type lipoprotein Lpl4	
USA300HOU_RS11750-MONOMER	USA300HOU_RS11750	hemolysin III family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12890-MONOMER	USA300HOU_RS12890	DUF4889 domain-containing protein	
USA300HOU_RS04135-MONOMER	USA300HOU_RS04135	thioredoxin-disulfide reductase	CCI-CYTOSOL-GP
USA300HOU_RS13840-MONOMER	USA300HOU_RS13840	ferrous iron transport protein B	CCI-PM-BAC-POS-GP
USA300HOU_RS00420-MONOMER	USA300HOU_RS00420	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS09135-MONOMER	USA300HOU_RS09135	OsmC family protein	
USA300HOU_RS10930-MONOMER	USA300HOU_RS10930	co-chaperone GroES	CCI-CYTOSOL-GP
USA300HOU_RS14405-MONOMER	USA300HOU_RS14405	accessory Sec system protein Asp2	CCI-CYTOSOL-GP
USA300HOU_RS07305-MONOMER	USA300HOU_RS07305	virulence factor	CCI-CYTOSOL-GP
USA300HOU_RS06060-MONOMER	USA300HOU_RS06060	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00660-MONOMER	USA300HOU_RS00660	MFS transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS02650-MONOMER	USA300HOU_RS02650	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS08535-MONOMER	USA300HOU_RS08535	staphylococcal enterotoxin type 26	CCI-EXTRACELLULAR-GP
USA300HOU_RS07870-MONOMER	USA300HOU_RS07870	DNA polymerase	
USA300HOU_RS10160-MONOMER	USA300HOU_RS10160	YfhH family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS06795-MONOMER	USA300HOU_RS06795	30S ribosomal protein S14	CCI-CYTOSOL-GP
USA300HOU_RS13365-MONOMER	USA300HOU_RS13365	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS05455-MONOMER	USA300HOU_RS05455	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS04835-MONOMER	USA300HOU_RS04835	ATP-dependent chaperone ClpB	CCI-CYTOSOL-GP
USA300HOU_RS09020-MONOMER	USA300HOU_RS09020	acetyl-CoA carboxylase, carboxyltransferase subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS08855-MONOMER	USA300HOU_RS08855	glutamyl-tRNA reductase	CCI-CYTOSOL-GP
USA300HOU_RS11755-MONOMER	USA300HOU_RS11755	UDPGP type 1 family protein	CCI-CYTOSOL-GP
USA300HOU_RS06280-MONOMER	USA300HOU_RS06280	FemA/FemB family glycyltransferase FmhC	CCI-CYTOSOL-GP
USA300HOU_RS00910-MONOMER	USA300HOU_RS00910	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03225-MONOMER	USA300HOU_RS03225	DUF1934 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS13845-MONOMER	USA300HOU_RS13845	ferrous iron transport protein A	CCI-CYTOSOL-GP
USA300HOU_RS02275-MONOMER	USA300HOU_RS02275	NADH dehydrogenase subunit 5	CCI-PM-BAC-POS-GP
USA300HOU_RS10300-MONOMER	USA300HOU_RS10300	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	CCI-CYTOSOL-GP
USA300HOU_RS08020-MONOMER	USA300HOU_RS08020	aldo/keto reductase	CCI-CYTOSOL-GP
USA300HOU_RS07310-MONOMER	USA300HOU_RS07310	NifU N-terminal domain-containing protein	
USA300HOU_RS09725-MONOMER	USA300HOU_RS09725	hypothetical protein	
USA300HOU_RS11090-MONOMER	USA300HOU_RS11090	3-isopropylmalate dehydratase large subunit	CCI-CYTOSOL-GP
USA300HOU_RS02655-MONOMER	USA300HOU_RS02655	lysine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS04645-MONOMER	USA300HOU_RS04645	YuzD family protein	CCI-CYTOSOL-GP
USA300HOU_RS10830-MONOMER	USA300HOU_RS10830	hypothetical protein	CCI-PM-BAC-POS-GP
CPLX2KSB-57	USA300HOU_RS13260 // USA300HOU_RS13255 // USA300HOU_RS13265 // USA300HOU_RS13270	ABC transporter	
USA300HOU_RS10470-MONOMER	USA300HOU_RS10470	membrane protein	
USA300HOU_RS00120-MONOMER	USA300HOU_RS00120	MBL fold metallo-hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS06520-MONOMER	USA300HOU_RS06520	energy coupling factor transporter S component ThiW	CCI-PM-BAC-POS-GP
USA300HOU_RS03720-MONOMER	USA300HOU_RS03720	aldo/keto reductase family oxidoreductase	
USA300HOU_RS10935-MONOMER	USA300HOU_RS10935	CPBP family intramembrane metalloprotease MroQ	CCI-PM-BAC-POS-GP
USA300HOU_RS10240-MONOMER	USA300HOU_RS10240	type I methionyl aminopeptidase	CCI-CYTOSOL-GP
USA300HOU_RS06135-MONOMER	USA300HOU_RS06135	ribosome small subunit-dependent GTPase A	CCI-CYTOSOL-GP
USA300HOU_RS00665-MONOMER	USA300HOU_RS00665	(S)-acetoin forming diacetyl reductase	CCI-CYTOSOL-GP
USA300HOU_RS08610-MONOMER	USA300HOU_RS08610	IreB family regulatory phosphoprotein	
USA300HOU_RS12210-MONOMER	USA300HOU_RS12210	GRP family sugar transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS07820-MONOMER	USA300HOU_RS07820	hypothetical protein	
USA300HOU_RS11760-MONOMER	USA300HOU_RS11760	metal-dependent hydrolase	CCI-PM-BAC-POS-GP
USA300HOU_RS12895-MONOMER	USA300HOU_RS12895	cation:dicarboxylase symporter family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS13850-MONOMER	USA300HOU_RS13850	fatty acid efflux MMPL transporter FarE	CCI-PM-BAC-POS-GP
USA300HOU_RS05460-MONOMER	USA300HOU_RS05460	alpha-ketoacid dehydrogenase subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS03065-MONOMER	USA300HOU_RS03065	threonine/serine exporter ThrE family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09115-MONOMER	USA300HOU_RS09115	GAF domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS00670-MONOMER	USA300HOU_RS00670	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11465-MONOMER	USA300HOU_RS11465	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02730-MONOMER	USA300HOU_RS02730	pyridoxal 5'-phosphate synthase lyase subunit PdxS	CCI-CYTOSOL-GP
USA300HOU_RS09910-MONOMER	USA300HOU_RS09910	glucosamine-6-phosphate isomerase	CCI-CYTOSOL-GP
USA300HOU_RS13370-MONOMER	USA300HOU_RS13370	ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS11765-MONOMER	USA300HOU_RS11765	hypothetical protein	
USA300HOU_RS04840-MONOMER	USA300HOU_RS04840	LysR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS07725-MONOMER	USA300HOU_RS07725	tail protein	
USA300HOU_RS02035-MONOMER	USA300HOU_RS02035	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS10380-MONOMER	USA300HOU_RS10380	DUF2179 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05005-MONOMER	USA300HOU_RS05005	monovalent cation:proton antiporter family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00915-MONOMER	USA300HOU_RS00915	ABC transporter substrate-binding protein	
USA300HOU_RS06285-MONOMER	USA300HOU_RS06285	DNA-processing protein DprA	CCI-PM-BAC-POS-GP
USA300HOU_RS03230-MONOMER	USA300HOU_RS03230	arginine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS05465-MONOMER	USA300HOU_RS05465	2-oxo acid dehydrogenase subunit E2	CCI-CYTOSOL-GP
USA300HOU_RS13855-MONOMER	USA300HOU_RS13855	fatty acid efflux pump transcriptional regulator FarR	CCI-CYTOSOL-GP
USA300HOU_RS05740-MONOMER	USA300HOU_RS05740	succinate dehydrogenase cytochrome b558 subunit	CCI-PM-BAC-POS-GP
USA300HOU_RS02735-MONOMER	USA300HOU_RS02735	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	CCI-CYTOSOL-GP
USA300HOU_RS10855-MONOMER	USA300HOU_RS10855	type II toxin-antitoxin system PemK/MazF family toxin	
USA300HOU_RS04355-MONOMER	USA300HOU_RS04355	type I 3-dehydroquinate dehydratase	CCI-CYTOSOL-GP
USA300HOU_RS08540-MONOMER	USA300HOU_RS08540	Fic family protein	CCI-CYTOSOL-GP
USA300HOU_RS08255-MONOMER	USA300HOU_RS08255	MTH1187 family thiamine-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS07315-MONOMER	USA300HOU_RS07315	zinc-finger domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS00380-MONOMER	USA300HOU_RS00380	ATP-binding cassette domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08395-MONOMER	USA300HOU_RS08395	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00680-MONOMER	USA300HOU_RS00680	sugar transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS09280-MONOMER	USA300HOU_RS09280	MBL fold metallo-hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS05130-MONOMER	USA300HOU_RS05130	YxeA family protein	CCI-PM-BAC-POS-GP
CPLX2KSB-56	USA300HOU_RS13150 // USA300HOU_RS13155	ABC transporter	
USA300HOU_RS05470-MONOMER	USA300HOU_RS05470	dihydrolipoyl dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS06800-MONOMER	USA300HOU_RS06800	GMP reductase	CCI-CYTOSOL-GP
USA300HOU_RS05225-MONOMER	USA300HOU_RS05225	acyltransferase family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10190-MONOMER	USA300HOU_RS10190	acyl-CoA thioesterase	CCI-CYTOSOL-GP
USA300HOU_RS06575-MONOMER	USA300HOU_RS06575	GTPase HflX	CCI-CYTOSOL-GP
USA300HOU_RS09460-MONOMER	USA300HOU_RS09460	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11780-MONOMER	USA300HOU_RS11780	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS12215-MONOMER	USA300HOU_RS12215	hypothetical protein	
USA300HOU_RS08435-MONOMER	USA300HOU_RS08435	heat-inducible transcriptional repressor HrcA	CCI-CYTOSOL-GP
