id	me_id	name	formula	compartment	type
dsbgox_p	DSBG-MONOMER_mod_Oxidized(1)				REPLACE
dsbgrd_p	DSBG-MONOMER				REPLACE
egmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_egme(1)				REPLACE
epmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_epme(1)				REPLACE
fldox_c	EG10318-MONOMER_mod_Oxidized(1)				REPLACE
fldrd_c	EG10318-MONOMER				REPLACE
flxr_c	EG10318-MONOMER				REPLACE
flxso_c	EG10318-MONOMER_mod_Oxidized(1)				REPLACE
fmettrna_c					REMOVE
glntrna_c					REMOVE
glutrna_c					REMOVE
glytrna_c					REMOVE
gmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_gme(1)				REPLACE
grxox_c	GLUTAREDOXIN-MONOMER_mod_Oxidized(1)				REPLACE
grxrd_c	GLUTAREDOXIN-MONOMER				REPLACE
hdeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)				REPLACE
hexACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_hex(1)				REPLACE
hgmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_hgme(1)				REPLACE
histrna_c					REMOVE
hpmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_hpme(1)				REPLACE
iletrna_c					REMOVE
iscs_c	G7325-MONOMER_mod_pydx5p(2)				REPLACE
iscssh_c					CURATE
iscu__2fe2s2_c					CURATE
iscu__2fe2s_c					CURATE
iscu__4fe4s_c					CURATE
iscu_c	G7324-MONOMER				REPLACE
leutrna_c					REMOVE
lipopb_c					REMOVE
lpp_p	EG10544-MONOMER				REPLACE
lystrna_c					REMOVE
malACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)				REPLACE
mettrna_c					REMOVE
moadamp_c	MONOMER0-4125_mod_amp(1)				REPLACE
moadcoo_c	MONOMER0-4125_mod_coo(1)				REPLACE
moadcosh_c	MONOMER0-4125_mod_cosh(1)				REPLACE
myrsACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)				REPLACE
ocACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)				REPLACE
ocdcaACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)				REPLACE
octapb_c					REMOVE
octeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)				REPLACE
ogmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_ogme(1)				REPLACE
opmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_opme(1)				REPLACE
palmACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)				REPLACE
phetrna_c					REMOVE
pimACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_pim(1)				REPLACE
pmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_pme(1)				REPLACE
protrna_c					REMOVE
sectrna_c					REMOVE
sertrna[sec]_c					REMOVE
sertrna_c					REMOVE
sufbcd__2fe2s2_c					CURATE
sufbcd__2fe2s_c					CURATE
sufbcd__4fe4s_c					CURATE
sufbcd_c	CPLX0-1341				REPLACE
sufse_c	CPLX0-246_CPLX0-1342_mod_pydx5p(1)				REPLACE
sufsesh_c					CURATE
t3c11vaceACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)				REPLACE
t3c5ddeceACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)				REPLACE
t3c7mrseACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)				REPLACE
t3c9palmeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)				REPLACE
tddec2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)				REPLACE
tdeACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)				REPLACE
tdec2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)				REPLACE
thex2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)				REPLACE
thrtrna_c					REMOVE
tmrs2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)				REPLACE
toct2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_toct2e(1)				REPLACE
toctd2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_toctd2e(1)				REPLACE
tpalm2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)				REPLACE
trdox_c	OX-THIOREDOXIN-MONOMER_mod_Oxidized(1)				REPLACE
trdrd_c	OX-THIOREDOXIN-MONOMER				REPLACE
trnaala_c					REMOVE
trnaarg_c					REMOVE
trnaasn_c					REMOVE
trnaasp_c					REMOVE
trnacys_c					REMOVE
trnagln_c					REMOVE
trnaglu_c					REMOVE
trnagly_c					REMOVE
trnahis_c					REMOVE
trnaile_c					REMOVE
trnaleu_c					REMOVE
trnalys_c					REMOVE
trnamet_c					REMOVE
trnaphe_c					REMOVE
trnapro_c					REMOVE
trnasecys_c					REMOVE
trnaser_c					REMOVE
trnathr_c					REMOVE
trnatrp_c					REMOVE
trnatyr_c					REMOVE
trnaval_c					REMOVE
trptrna_c					REMOVE
tyrtrna_c					REMOVE
valtrna_c					REMOVE
wco_c					REMOVE
