Transcription-Units	Genes of transcription unit	Direction
TU1R65-5263	STM4185	+
TU1R65-4124	STM1895 // STM1894	-
TU1R65-4489	STM2665 // STM2664 // STM2663	+
TU1R65-5631	STM3246	+
TU1R65-3375	STM0516 // STM0515	+
TU1R65-4857	STM3376	+
TU1R65-3740	STM1224	-
TU1R65-5247	STM4155	+
TU1R65-4108	STM1869A	-
TU1R65-4473	STM2628	+
TU1R65-5615	STM3442	+
TU1R65-3359	STM0493	-
TU1R65-5980	PSLT073	+
TU1R65-4841	STM3349	+
TU1R65-3724	STM1191 // STM1190	+
TU1R65-5231	STM4128 // STM4127	+
TU1R65-4092	STM1847	-
TU1R65-4457	STM2596 // STM2595 // STM2594 // STM2593 // STM2592	-
TU1R65-5599	STM3552	+
TU1R65-3343	STM0470 // STM0469	+
TU1R65-5964	STM0171	-
TU1R65-4825	STM3324	+
TU1R65-3708	STM1160 // STM1159	-
TU1R65-5215	STM4098	-
TU1R65-4076	STM1820	-
TU1R65-4441	STM2560	+
TU1R65-5583	STM3663	-
TU1R65-3327	STM0443 // STM0442 // STM0441 // STM0440 // STM0439	-
TU1R65-5948	STM0367	-
TU1R65-4809	STM3291	-
TU1R65-3692	STM1131 // STM1130	+
TU1R65-5199	STM4071	-
TU1R65-4060	STM1795	+
TU1R65-4425	STM2534	+
TU1R65-4422	STM2530 // STM2529 // STM2528 // STM2527	-
TU1R65-5564	STM3825	-
TU1R65-3308	STM0403	-
TU1R65-5929	STM0491	+
TU1R65-4790	STM3245	-
TU1R65-3673	STM1096	-
TU1R65-5180	STM4032	-
TU1R65-4041	STM1752	-
TU1R65-4406	STM2503	-
TU1R65-5548	STM3998	-
TU1R65-3292	STM0381	+
TU1R65-5913	STM0615	+
TU1R65-4774	STM3219	+
TU1R65-3657	STM1070	-
TU1R65-5164	STM3997 // STM3996	+
TU1R65-4025	STM1714	-
TU1R65-4390	STM2475	-
TU1R65-5532	STM4172	-
TU1R65-3276	STM0345 // STM0344	+
TU1R65-5897	STM0833	+
TU1R65-4758	STM3186	+
TU1R65-3641	STM1046 // STM1045	+
TU1R65-5148	STM3968	+
TU1R65-4009	STM1691	+
TU1R65-4374	STM2435 // STM2434	-
TU1R65-5516	STM4328	-
TU1R65-3260	STM0315 // STM0314	+
TU1R65-5881	STM0939	+
TU1R65-4742	STM3159 // STM3158	-
TU1R65-3628	STM1023	+
TU1R65-5132	STM3938 // STM3937 // STM3936 // STM3935	-
TU1R65-3993	STM1660	+
TU1R65-5500	STM4437	-
TU1R65-3244	STM0293 // STM0292	+
TU1R65-5865	STM1134	-
TU1R65-4726	STM3131 // STM3130	-
TU1R65-3612	STM0999	-
TU1R65-5116	STM3889	+
TU1R65-3977	STM1638	+
TU1R65-5484	STM4585	+
TU1R65-4345	STM2374	+
TU1R65-3228	STM0259	+
TU1R65-5849	STM1319	+
TU1R65-4710	STM3098	-
TU1R65-3596	STM0975	-
TU1R65-5078	STM3804 // STM3803	-
TU1R65-5100	STM3857 // STM3856 // STM3855 // STM3854 // STM3853	-
TU1R65-3961	STM1603	+
TU1R65-5468	STM4573 // STM4572 // STM4571	-
TU1R65-4329	STM2348	-
TU1R65-3212	STM0236	+
TU1R65-5833	STM1476	+
TU1R65-4694	STM3065	-
TU1R65-3580	STM0947	-
TU1R65-5062	STM3778	+
TU1R65-5084	STM3820 // STM3819 // STM3818 // STM3817 // STM3816 // STM3815 // STM3814 // STM3813 // STM3812	-
TU1R65-3945	STM1580 // STM1579 // STM1578 // STM1577	+
TU1R65-5452	STM4545	-
TU1R65-4313	STM2314	+
TU1R65-3196	STM0208	+
TU1R65-5817	STM1611	-
TU1R65-4678	STM3036	+
TU1R65-3564	STM0919 // STM0918 // STM0917	+
TU1R65-5046	STM3750 // STM3749	-
TU1R65-3929	STM1554	-
TU1R65-5436	STM4519	+
TU1R65-4297	STM2272	-
TU1R65-3180	STM0177	-
TU1R65-4662	STM3012 // STM3011	+
TU1R65-5804	STM1675	+
TU1R65-3548	STM0892	-
TU1R65-5030	STM3719 // STM3718 // STM3717 // STM3716	-
TU1R65-3913	STM1523	-
TU1R65-5420	STM4493 // STM4492 // STM4491	-
TU1R65-4281	STM2233	-
TU1R65-3164	STM0142	-
TU1R65-4646	STM2986	+
TU1R65-5788	STM1768	-
TU1R65-3532	STM0856 // STM0855	+
TU1R65-5014	STM3685	+
TU1R65-3897	STM1494 // STM1493 // STM1492 // STM1491	-
TU1R65-5404	STM4461	-
TU1R65-4265	STM2209 // STM2208	-
TU1R65-3148	STM0108 // STM0107 // STM0106	-
TU1R65-4630	STM2962 // STM2961 // STM2960 // STM2959	-
TU1R65-5772	STM1856	+
TU1R65-3516	STM0823	-
TU1R65-4998	STM3650	+
TU1R65-3881	STM1470	-
TU1R65-5388	STM4432 // STM4431	+
TU1R65-4249	STM2180	+
TU1R65-3132	STM0080	+
TU1R65-4614	STM2923 // STM2922 // STM2921	+
TU1R65-5756	STM1986	+
TU1R65-3500	STM0783 // STM0782 // STM0781	+
TU1R65-4982	STM3624 // STM3623 // STM3622	+
TU1R65-3865	STM1440	+
TU1R65-5372	STM4401	-
TU1R65-4233	STM2154	-
TU1R65-3116	STM0043	-
TU1R65-4598	STM2867	-
TU1R65-5740	STM2207	+
TU1R65-3484	STM0750 // STM0749 // STM0748	+
TU1R65-4966	STM3596	+
TU1R65-3849	STM1416 // STM1415 // STM1414	+
TU1R65-5356	STM4368 // STM4367	+
TU1R65-4217	STM2115 // STM2114 // STM2113 // STM2112 // STM2111 // STM2110 // STM2109 // STM2108 // STM2107 // STM2106 // STM2105 // STM2104 // STM2103	-
TU1R65-3100	STM0015	+
TU1R65-4582	STM2831	-
TU1R65-5724	STM2391	+
TU1R65-3468	STM0716	+
TU1R65-4950	STM3572	+
TU1R65-3833	STM1375	+
TU1R65-5340	STM4334	+
TU1R65-4201	STM2061	-
TU1R65-3084	PSLT103 // PSLT102 // PSLT101 // PSLT100 // PSLT099 // PSLT098	+
TU1R65-4566	STM2808 // STM2807 // STM2806 // STM2805	+
TU1R65-5708	STM2507	-
TU1R65-3452	STM0692	-
TU1R65-4934	STM3539	-
TU1R65-3817	STM1346	-
TU1R65-5324	STM4304 // STM4303	-
TU1R65-4185	STM2004	+
TU1R65-3068	PSLT061	+
TU1R65-4550	STM2773	+
TU1R65-5692	STM2734	+
TU1R65-3436	STM0664 // STM0663 // STM0662	-
TU1R65-4918	STM3511	+
TU1R65-3801	STM1320	-
TU1R65-5308	STM4280 // STM4279 // STM4278 // STM4277	+
TU1R65-4169	STM1971 // STM1970	+
TU1R65-3052	PSLT037	-
TU1R65-4534	STM2745 // STM2744	+
TU1R65-5676	STM2906	-
TU1R65-3420	STM0629	+
TU1R65-4902	STM3481	-
TU1R65-3785	STM1289	-
TU1R65-5292	STM4248	+
TU1R65-4153	STM1947	-
TU1R65-3036	PSLT010	-
TU1R65-4518	STM2713 // STM2712 // STM2711	-
TU1R65-5660	STM3024	+
TU1R65-3404	STM0588 // STM0587 // STM0586	+
TU1R65-4886	STM3448	-
TU1R65-3769	STM1268	-
TU1R65-5276	STM4218 // STM4217 // STM4216	-
TU1R65-4137	STM1918 // STM1917 // STM1916 // STM1915	-
TU1R65-4502	STM2683	+
TU1R65-5644	STM3168	-
TU1R65-3388	STM0551 // STM0550	-
TU1R65-4870	STM3397	-
TU1R65-3753	STM1245	+
TU1R65-5260	STM4180	+
TU1R65-4121	STM1889	-
TU1R65-4486	STM2659	-
TU1R65-5628	STM3268	-
TU1R65-3372	STM0512 // STM0511 // STM0510	+
TU1R65-4854	STM3373 // STM3372 // STM3371	-
TU1R65-3737	STM1217	+
TU1R65-5244	STM4151	+
TU1R65-4105	STM1865	-
TU1R65-4470	STM2622	-
TU1R65-5612	STM3465	-
TU1R65-3356	STM0488	+
TU1R65-5977	PSLT109	-
TU1R65-4838	STM3346	-
TU1R65-3721	STM1186	+
TU1R65-5228	STM4120	-
TU1R65-4089	STM1840	-
TU1R65-4454	STM2589	-
TU1R65-5596	STM3581	-
TU1R65-3340	STM0460 // STM0459	+
TU1R65-5961	STM0212	+
TU1R65-4822	STM3316 // STM3315 // STM3314	+
TU1R65-3705	STM1154	-
TU1R65-5212	STM4094	-
TU1R65-4073	STM1817	-
TU1R65-4438	STM2556	+
TU1R65-5580	STM3680	-
TU1R65-3324	STM0436A	-
TU1R65-5945	STM0378	-
TU1R65-4806	STM3285 // STM3284	-
TU1R65-3689	STM1127	-
TU1R65-5196	STM4067 // STM4066 // STM4065	+
TU1R65-4057	STM1789 // STM1788 // STM1787 // STM1786	+
TU1R65-5193	STM4062	+
TU1R65-4054	STM1781	+
TU1R65-4419	STM2524 // STM2523	-
TU1R65-5561	STM3852	+
TU1R65-3305	STM0400	+
TU1R65-5926	STM0537	+
TU1R65-4787	STM3239 // STM3238	-
TU1R65-3670	STM1093	-
TU1R65-5177	STM4025 // STM4024	+
TU1R65-4038	STM1740 // STM1739	+
TU1R65-4403	STM2498 // STM2497	-
TU1R65-5545	STM4033	+
TU1R65-3289	STM0373	+
TU1R65-5910	STM0644	+
TU1R65-4771	STM3216	-
TU1R65-3654	STM1065 // STM1064 // STM1063 // STM1062 // STM1061	+
TU1R65-5161	STM3992	+
TU1R65-4022	STM1710	-
TU1R65-4387	STM2471	-
TU1R65-5529	STM4219	+
TU1R65-3273	STM0340	-
TU1R65-5894	STM0842	+
TU1R65-4755	STM3178 // STM3177	+
TU1R65-5145	STM3963	+
TU1R65-4006	STM1686	-
TU1R65-4371	STM2429	+
TU1R65-5513	STM4350	+
TU1R65-3257	STM0310	+
TU1R65-5878	STM0952	+
TU1R65-4739	STM3154	-
TU1R65-3625	STM1020	+
TU1R65-5129	STM3929 // STM3928 // STM3927 // STM3926 // STM3925 // STM3924 // STM3923 // STM3922 // STM3921 // STM3920 // STM3919 // STM3918	+
TU1R65-3990	STM1657	-
TU1R65-5497	STM4468	+
TU1R65-4358	STM2402	-
TU1R65-3241	STM0283 // STM0282 // STM0281 // STM0280	+
TU1R65-5862	STM1185	-
TU1R65-4723	STM3125	-
TU1R65-3609	STM0995	+
TU1R65-5113	STM3884 // STM3883 // STM3882 // STM3881	+
TU1R65-3974	STM1628 // STM1627	-
TU1R65-5481	STM4597	-
TU1R65-4342	STM2370	-
TU1R65-3225	STM0255	+
TU1R65-5846	STM1328	-
TU1R65-4707	STM3091	+
TU1R65-3593	STM0970	-
TU1R65-5075	STM3799	-
TU1R65-5097	STM3846	+
TU1R65-3958	STM1599	-
TU1R65-5465	STM4565	-
TU1R65-4326	STM2344	-
TU1R65-3209	STM0233	+
TU1R65-5830	STM1514	-
TU1R65-4691	STM3061	+
TU1R65-3577	STM0942 // STM0941	+
TU1R65-5059	STM3774	+
TU1R65-3942	STM1573	+
TU1R65-5449	STM4541	-
TU1R65-4310	STM2311	-
TU1R65-3193	STM0201 // STM0200 // STM0199 // STM0198 // STM0197 // STM0196	+
TU1R65-5814	STM1630	-
TU1R65-4675	STM3032	-
TU1R65-3561	STM0911	+
TU1R65-5043	STM3746 // STM3745	-
TU1R65-3926	STM1549	-
TU1R65-5433	STM4516	-
TU1R65-4294	STM2268	-
TU1R65-3177	STM0167	-
TU1R65-4659	STM3008	+
TU1R65-5801	STM1680	+
TU1R65-3545	STM0886 // STM0885 // STM0884	+
TU1R65-5027	STM3709 // STM3708	-
TU1R65-3910	STM1513	+
TU1R65-5417	STM4488	+
TU1R65-4278	STM2229	+
TU1R65-3161	STM0136	+
TU1R65-4643	STM2983	-
TU1R65-5785	STM1771	+
TU1R65-3529	STM0851 // STM0850 // STM0849 // STM0848 // STM0847	+
TU1R65-5011	STM3682	-
TU1R65-3894	STM1488	+
TU1R65-5401	STM4457	-
TU1R65-4262	STM2201	-
TU1R65-3145	STM0103 // STM0102 // STM0101	-
TU1R65-4627	STM2955	-
TU1R65-5769	STM1867	+
TU1R65-3513	STM0819 // STM0818 // STM0817	-
TU1R65-4995	STM3646	+
TU1R65-3878	STM1466	-
TU1R65-5385	STM4428	-
TU1R65-4246	STM2172	-
TU1R65-3129	STM0074 // STM0073 // STM0072 // STM0071 // STM0070	-
TU1R65-4611	STM2905 // STM2904	+
TU1R65-5753	STM2009	-
TU1R65-3497	STM0778	-
TU1R65-4979	STM3614	-
TU1R65-3862	STM1436	-
TU1R65-5369	STM4398	+
TU1R65-4230	STM2151 // STM2150 // STM2149	-
TU1R65-3113	STM0039	+
TU1R65-4595	STM2864 // STM2863 // STM2862 // STM2861	+
TU1R65-5737	STM2244	+
TU1R65-3481	STM0743	+
TU1R65-4963	STM3592	+
TU1R65-3846	STM1405 // STM1404 // STM1403	+
TU1R65-5353	STM4362	+
TU1R65-4214	STM2097 // STM2096 // STM2095 // STM2094 // STM2093 // STM2092 // STM2091 // STM2090 // STM2089	-
TU1R65-3097	STM0012	+
TU1R65-4579	STM2828	-
TU1R65-5721	STM2400	-
TU1R65-3465	STM0713 // STM0712 // STM0711	+
TU1R65-4947	STM3568	-
TU1R65-3830	STM1366 // STM1365	+
TU1R65-5337	STM4331	+
TU1R65-4198	STM2058 // STM2057 // STM2056 // STM2055 // STM2054 // STM2053 // STM2052 // STM2051 // STM2050 // STM2049 // STM2048 // STM2047 // STM2046 // STM2045 // STM2044 // STM2043 // STM2042 // STM2041 // STM2040 // STM2039	+
TU1R65-3081	PSLT088	+
TU1R65-4563	STM2796	-
TU1R65-5705	STM2553	+
TU1R65-3449	STM0689	-
TU1R65-4931	STM3532 // STM3531	+
TU1R65-3814	STM1343	+
TU1R65-5321	STM4300	-
TU1R65-4182	STM2001	+
TU1R65-3065	PSLT055 // PSLT054	-
TU1R65-4547	STM2770	-
TU1R65-5689	STM2762	-
TU1R65-3433	STM0658 // STM0657 // STM0656 // STM0655	+
TU1R65-4915	STM3507 // STM3506 // STM3505	+
TU1R65-3798	STM1311	+
TU1R65-5305	STM4274 // STM4273	-
TU1R65-4166	STM1966 // STM1965	+
TU1R65-3049	PSLT032 // PSLT031 // PSLT030 // PSLT029 // PSLT028 // PSLT027	+
TU1R65-4531	STM2740	+
TU1R65-5673	STM2909	+
TU1R65-3417	STM0624 // STM0623 // STM0622 // STM0621 // STM0620 // STM0619 // STM0618	-
TU1R65-4899	STM3475 // STM3474	+
TU1R65-3782	STM1286	+
TU1R65-5289	STM4243	+
TU1R65-4150	STM1941	-
TU1R65-3033	PSLT007	+
TU1R65-4515	STM2704 // STM2703	+
TU1R65-5657	STM3048	+
TU1R65-3401	STM0580 // STM0579	-
TU1R65-4883	STM3445	-
TU1R65-3766	STM1265	+
TU1R65-5273	STM4206 // STM4205 // STM4204	-
TU1R65-4134	STM1911	-
TU1R65-4499	STM2679	+
TU1R65-5641	STM3196	+
TU1R65-3385	STM0543	+
TU1R65-4867	STM3392	+
TU1R65-3750	STM1242	-
TU1R65-5257	STM4177	+
TU1R65-4118	STM1886 // STM1885 // STM1884	-
TU1R65-4483	STM2656	-
TU1R65-5625	STM3271	+
TU1R65-3369	STM0506	-
TU1R65-4851	STM3368	-
TU1R65-3734	STM1212	+
TU1R65-5241	STM4146	+
TU1R65-4102	STM1861	+
TU1R65-4467	STM2619 // STM2618 // STM2617	-
TU1R65-5609	STM3493	+
TU1R65-3353	STM0483	+
TU1R65-5974	STM0031	-
TU1R65-4835	STM3342 // STM3341	-
TU1R65-3718	STM1179 // STM1178 // STM1177 // STM1176 // STM1175 // STM1174	+
TU1R65-5225	STM4117	-
TU1R65-4086	STM1836	-
TU1R65-4451	STM2585	+
TU1R65-5593	STM3603	+
TU1R65-3337	STM0454	+
TU1R65-5958	STM0263	-
TU1R65-4819	STM3307	-
TU1R65-3702	STM1151 // STM1150	+
TU1R65-5209	STM4090	-
TU1R65-4070	STM1811	-
TU1R65-4435	STM2552 // STM2551	-
TU1R65-5577	STM3696	-
TU1R65-3321	STM0432 // STM0431	+
TU1R65-5942	STM0386	-
TU1R65-4803	STM3281	-
TU1R65-3686	STM1124	-
TU1R65-3683	STM1121 // STM1120	+
TU1R65-5190	STM4059 // STM4058	-
TU1R65-4051	STM1777 // STM1776 // STM1775 // STM1774 // STM1773 // STM1772	-
TU1R65-4416	STM2518	-
TU1R65-5558	STM3897	-
TU1R65-3302	STM0397	+
TU1R65-5923	STM0563	-
TU1R65-4784	STM3233	+
TU1R65-3667	STM1087	-
TU1R65-5174	STM4015 // STM4014 // STM4013 // STM4012 // STM4011	-
TU1R65-4035	STM1735	+
TU1R65-4400	STM2493	-
TU1R65-5542	STM4040	+
TU1R65-3286	STM0362 // STM0361 // STM0360	+
TU1R65-5907	STM0710	-
TU1R65-4768	STM3206	-
TU1R65-3651	STM1057	+
TU1R65-5158	STM3988	+
TU1R65-4019	STM1705	+
TU1R65-4384	STM2460 // STM2459 // STM2458 // STM2457 // STM2456 // STM2455 // STM2454	-
TU1R65-5526	STM4241	-
TU1R65-3270	STM0333 // STM0332 // STM0331 // STM0330 // STM0329	+
TU1R65-5891	STM0862	-
TU1R65-4752	STM3174	-
TU1R65-3638	STM1040 // STM1039 // STM1038 // STM1037 // STM1036	+
TU1R65-5142	STM3958	+
TU1R65-4003	STM1676	-
TU1R65-4368	STM2422	-
TU1R65-5510	STM4380	+
TU1R65-3254	STM0307	-
TU1R65-5875	STM1044	-
TU1R65-4736	STM3151	-
TU1R65-3622	STM1017 // STM1016 // STM1015 // STM1014	+
TU1R65-5126	STM3915	+
TU1R65-3987	STM1652	+
TU1R65-5494	STM4485	+
TU1R65-4355	STM2394	+
TU1R65-3238	STM0276	+
TU1R65-5859	STM1213	-
TU1R65-4720	STM3120 // STM3119 // STM3118 // STM3117	-
TU1R65-3606	STM0989	+
TU1R65-5110	STM3876	-
TU1R65-3971	STM1623	-
TU1R65-5478	STM4594 // STM4593 // STM4592 // STM4591	-
TU1R65-4339	STM2365	-
TU1R65-3222	STM0252	+
TU1R65-5843	STM1355	+
TU1R65-4704	STM3086	-
TU1R65-3590	STM0966 // STM0965 // STM0964	+
TU1R65-5072	STM3796B // STM3797A	+
TU1R65-5094	STM3843	+
TU1R65-3955	STM1596	-
TU1R65-5462	STM4561	+
TU1R65-4323	STM2338 // STM2337	+
TU1R65-3206	STM0224 // STM0223 // STM0222 // STM0221	+
TU1R65-5827	STM1517	+
TU1R65-4688	STM3055 // STM3054	-
TU1R65-3574	STM0935 // STM0934 // STM0933	-
TU1R65-5056	STM3770 // STM3769 // STM3768 // STM3767	-
TU1R65-3939	STM1570 // STM1569 // STM1568	-
TU1R65-5446	STM4533	+
TU1R65-4307	STM2303 // STM2302 // STM2301 // STM2300 // STM2299 // STM2298 // STM2297	+
TU1R65-3190	STM0191	+
TU1R65-5811	STM1642	+
TU1R65-4672	STM3028 // STM3027 // STM3026	-
TU1R65-3558	STM0908 // STM0907 // STM0906	+
TU1R65-5040	STM3737	+
TU1R65-3923	STM1546 // STM1545	-
TU1R65-5430	STM4511	-
TU1R65-4291	STM2264	-
TU1R65-3174	STM0160	+
TU1R65-4656	STM3005	+
TU1R65-5798	STM1711	+
TU1R65-3542	STM0876	+
TU1R65-5024	STM3703	-
TU1R65-3907	STM1510	-
TU1R65-5414	STM4481	-
TU1R65-4275	STM2224	+
TU1R65-3158	STM0133	+
TU1R65-4640	STM2979	+
TU1R65-5782	STM1797	-
TU1R65-3526	STM0841	-
TU1R65-5008	STM3666	-
TU1R65-3891	STM1485	-
TU1R65-5398	STM4450	+
TU1R65-4259	STM2198 // STM2197	+
TU1R65-3142	STM0098 // STM0097	-
TU1R65-4624	STM2951	-
TU1R65-5766	STM1883	+
TU1R65-3510	STM0813 // STM0812 // STM0811	-
TU1R65-4992	STM3641	-
TU1R65-3875	STM1461	-
TU1R65-5382	STM4423	+
TU1R65-4243	STM2168	-
TU1R65-3126	STM0067 // STM0066	+
TU1R65-4608	STM2899 // STM2898 // STM2897 // STM2896 // STM2895 // STM2894	-
TU1R65-5750	STM2119	+
TU1R65-3494	STM0772	-
TU1R65-4976	STM3610	-
TU1R65-3859	STM1432	-
TU1R65-5366	STM4394 // STM4393 // STM4392 // STM4391	+
TU1R65-4227	STM2139	-
TU1R65-3110	STM0035	+
TU1R65-4592	STM2855	+
TU1R65-5734	STM2262	+
TU1R65-3478	STM0731	+
TU1R65-4960	STM3587	-
TU1R65-3843	STM1392 // STM1391	-
TU1R65-5350	STM4356	+
TU1R65-4211	STM2081	-
TU1R65-3094	STM0008	+
TU1R65-4576	STM2825 // STM2824 // STM2823 // STM2822 // STM2821	-
TU1R65-5718	STM2405	-
TU1R65-3462	STM0707	-
TU1R65-4944	STM3565	+
TU1R65-3827	STM1362	-
TU1R65-5334	STM4324 // STM4323 // STM4322	-
TU1R65-4195	STM2036	-
TU1R65-3078	PSLT082 // PSLT081 // PSLT080 // PSLT079 // PSLT078 // PSLT077	+
TU1R65-4560	STM2788 // STM2787 // STM2786	+
TU1R65-5702	STM2610	+
TU1R65-3446	STM0685	+
TU1R65-4928	STM3528 // STM3527	-
TU1R65-3811	STM1338 // STM1337	+
TU1R65-5318	STM4296 // STM4295 // STM4294	-
TU1R65-4179	STM1996	-
TU1R65-3062	PSLT050	-
TU1R65-4544	STM2764	-
TU1R65-5686	STM2777	-
TU1R65-3430	STM0651 // STM0650 // STM0649	+
TU1R65-4912	STM3502	-
TU1R65-3795	STM1308	+
TU1R65-5302	STM4268	+
TU1R65-4163	STM1959	-
TU1R65-3046	PSLT023	-
TU1R65-4528	STM2733	-
TU1R65-5670	STM2920	-
TU1R65-3414	STM0613 // STM0612 // STM0611 // STM0610	+
TU1R65-4896	STM3471 // STM3470 // STM3469 // STM3468	-
TU1R65-3779	STM1283 // STM1282	-
TU1R65-5286	STM4237	+
TU1R65-4147	STM1938	-
TU1R65-3030	PSLT002	+
TU1R65-4512	STM2699 // STM2698 // STM2697 // STM2696 // STM2695	-
TU1R65-5654	STM3076	-
TU1R65-3398	STM0572	-
