complex_id,name,genes,mod,replace
CPLX_CGLYabcpp-0,L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm),B488_RS01620() AND B488_RS01630() AND B488_RS01615() AND B488_RS05120(),,
CPLX_CLIPAabctex-0,Cold lipid A transport via ABC system (periplasm to extracellular),B488_RS01200() AND B488_RS06325() AND B488_RS01195(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,B488_RS04790() AND B488_RS04785() AND B488_RS04780(),,
CPLX_COLIPAPabctex-0,Core oligosaccharide lipid A diphosphate transport via ABC system (periplasm to extracellular),B488_RS01200() AND B488_RS03350() AND B488_RS06330() AND B488_RS06325() AND B488_RS01195(),,
CPLX_DOXRBCNtpp-0,Doxorubicin transport via TolC system,B488_RS02740() AND B488_RS06515(),,
CPLX_DOXRBCNtpp-1,Doxorubicin transport via TolC system,B488_RS06525() AND B488_RS04830(),,
CPLX_O16A4COLIPAabctex-0,O16 antigen (x4) core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),B488_RS06325() AND B488_RS06330() AND B488_RS06335(),,
CPLX_S2FE2SR-0,SUF [2Fe-2S] regeneration,B488_RS04170() AND B488_RS01225() AND B488_RS04175() AND B488_RS04165(),,
CPLX_UAGAAT-0,UDP-N-acetylglucosamine acyltransferase,B488_RS00250() AND B488_RS04905(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),B488_RS05590() AND B488_RS05125() AND B488_RS05250(),,
CPLX_FEex-0,Iron transporter,B488_RS02190() AND B488_RS05425(),,
B488_RS05225-MONOMER,,,k(1) AND mg2(1),
B488_RS03240-MONOMER,,,k(1) AND mg2(1),
B488_RS00275-MONOMER,,,mg2(1),
B488_RS04585-MONOMER,,,cobalt2(1) AND zn2(1),
B488_RS04585-MONOMER,,,mn2(1) AND zn2(1),
B488_RS04585-MONOMER,,,ni2(1) AND zn2(1),
B488_RS02250-MONOMER,,,mg2(1),
CPLX27KH-13,,,mg2(1) AND fe2(1),
B488_RS00680-MONOMER,,,mg2(1),
B488_RS03840-MONOMER,,,mg2(1),
B488_RS04950-MONOMER,,,mg2(1),
B488_RS05475-MONOMER,,,pydx5p(1),
CPLX27KH-5,,,pheme(1) AND hemeO(1) AND cu2(1),
B488_RS03860-MONOMER,,,mg2(1),
B488_RS04960-MONOMER,,,mg2(1),
B488_RS03325-MONOMER,,,mg2(1),
B488_RS06680-MONOMER,,,Oxidized(1),
B488_RS05485-MONOMER,,,zn2(1),
B488_RS03870-MONOMER,,,mg2(1),
B488_RS04620-MONOMER,,,mg2(1),
B488_RS03335-MONOMER,,,mg2(2),
B488_RS00315-MONOMER,,,pydx5p(1),
B488_RS04625-MONOMER,,,mg2(1),
B488_RS00740-MONOMER,,,fmn(1),
B488_RS03345-MONOMER,,,mg2(1),
B488_RS03345-MONOMER,,,mn2(1),
B488_RS03350-MONOMER,,,mn2(1),
B488_RS00750-MONOMER,,,pydx5p(1),
B488_RS03355-MONOMER,,,mg2(1),
B488_RS03910-MONOMER,,,mg2(1),
B488_RS03915-MONOMER,,,mg2(1),
B488_RS05775-MONOMER,,,fmn(1),
B488_RS05775-MONOMER,,,mg2(1),
B488_RS00345-MONOMER,,,mg2(1),
B488_RS04645-MONOMER,,,mg2(1),
B488_RS00780-MONOMER,,,4fe4s(1),
B488_RS01380-MONOMER,,,zn2(1),
B488_RS05965-MONOMER,,,Oxidized(1),
B488_RS00355-MONOMER,,,mg2(1),
B488_RS00805-MONOMER,,,k(4) AND mg2(1),
B488_RS00805-MONOMER,,,k(4) AND mn2(1),
B488_RS00805-MONOMER,,,k(4) AND cobalt2(1),
B488_RS00805-MONOMER,,,k(4) AND zn2(1),
B488_RS00805-MONOMER,,,k(4) AND cd2(1),
B488_RS00805-MONOMER,,,k(4) AND ni2(1),
B488_RS00805-MONOMER,,,k(4) AND ca2(1),
B488_RS00805-MONOMER,,,nh4(4) AND mg2(1),
B488_RS00805-MONOMER,,,nh4(4) AND mn2(1),
B488_RS00805-MONOMER,,,nh4(4) AND cobalt2(1),
B488_RS00805-MONOMER,,,nh4(4) AND zn2(1),
B488_RS00805-MONOMER,,,nh4(4) AND cd2(1),
B488_RS00805-MONOMER,,,nh4(4) AND ni2(1),
B488_RS00805-MONOMER,,,nh4(4) AND ca2(1),
B488_RS00805-MONOMER,,,tl(4) AND mg2(1),
B488_RS00805-MONOMER,,,tl(4) AND mn2(1),
B488_RS00805-MONOMER,,,tl(4) AND cobalt2(1),
B488_RS00805-MONOMER,,,tl(4) AND zn2(1),
B488_RS00805-MONOMER,,,tl(4) AND cd2(1),
B488_RS00805-MONOMER,,,tl(4) AND ni2(1),
B488_RS00805-MONOMER,,,tl(4) AND ca2(1),
B488_RS00805-MONOMER,,,cs(4) AND mg2(1),
B488_RS00805-MONOMER,,,cs(4) AND mn2(1),
B488_RS00805-MONOMER,,,cs(4) AND cobalt2(1),
B488_RS00805-MONOMER,,,cs(4) AND zn2(1),
B488_RS00805-MONOMER,,,cs(4) AND cd2(1),
B488_RS00805-MONOMER,,,cs(4) AND ni2(1),
B488_RS00805-MONOMER,,,cs(4) AND ca2(1),
B488_RS00805-MONOMER,,,LI(4) AND mg2(1),
B488_RS00805-MONOMER,,,LI(4) AND mn2(1),
B488_RS00805-MONOMER,,,LI(4) AND cobalt2(1),
B488_RS00805-MONOMER,,,LI(4) AND zn2(1),
B488_RS00805-MONOMER,,,LI(4) AND cd2(1),
B488_RS00805-MONOMER,,,LI(4) AND ni2(1),
B488_RS00805-MONOMER,,,LI(4) AND ca2(1),
B488_RS00805-MONOMER,,,na1(4) AND mg2(1),
B488_RS00805-MONOMER,,,na1(4) AND mn2(1),
B488_RS00805-MONOMER,,,na1(4) AND cobalt2(1),
B488_RS00805-MONOMER,,,na1(4) AND zn2(1),
B488_RS00805-MONOMER,,,na1(4) AND cd2(1),
B488_RS00805-MONOMER,,,na1(4) AND ni2(1),
B488_RS00805-MONOMER,,,na1(4) AND ca2(1),
B488_RS03960-MONOMER,,,mn2(1),
B488_RS03960-MONOMER,,,mg2(1),
B488_RS05510-MONOMER,,,cobalt2(1) AND nad(1),
B488_RS03430-MONOMER,,,mg2(1),
B488_RS05515-MONOMER,,,mg2(1),
B488_RS05515-MONOMER,,,mn2(1),
B488_RS05515-MONOMER,,,cobalt2(1),
B488_RS05515-MONOMER,,,fe2(1),
B488_RS05515-MONOMER,,,ca2(1),
B488_RS05515-MONOMER,,,k(1),
B488_RS00835-MONOMER,,,mg2(5),
B488_RS01450-MONOMER,,,fe3(1),
B488_RS05810-MONOMER,,,mg2(1),
B488_RS03445-MONOMER,,,k(1) AND mg2(1),
B488_RS05815-MONOMER,,,mg2(1),
B488_RS06745-MONOMER,,,mg2(3),
B488_RS04025-MONOMER,,,mn2(1),
B488_RS00870-MONOMER,,,mg2(1),
B488_RS02860-MONOMER,,,fad(1),
B488_RS00885-MONOMER,,,mg2(1),
CPLX27KH-8,,,mg2(1),
B488_RS02870-MONOMER,,,fad(1),
B488_RS01495-MONOMER,,,fmn(1),
B488_RS04045-MONOMER,,,acetyl(1),
B488_RS02875-MONOMER,,,pydx5p(2),
B488_RS02930-MONOMER,,,mg2(1),
B488_RS06005-MONOMER,,,zn2(1),
B488_RS04420-MONOMER,,,mg2(1),
B488_RS04120-MONOMER,,,mg2(1),
B488_RS06445-MONOMER,,,4fe4s(1) AND 2fe2s(1),
B488_RS00110-MONOMER,,,mg2(1),
B488_RS02105-MONOMER,,,mg2(1),
B488_RS00955-MONOMER,,,hco3(1),
B488_RS05065-MONOMER,,,zn2(1),
B488_RS03560-MONOMER,,,fad(1),
B488_RS00420-MONOMER,,,mg2(1),
B488_RS06455-MONOMER,,,mg2(1),
B488_RS06460-MONOMER,,,pydx5p(1),
B488_RS04440-MONOMER,,,zn2(6),
B488_RS05610-MONOMER,,,mg2(1),
B488_RS04795-MONOMER,,,mg2(4),
B488_RS05315-MONOMER,,,zn2(1),
B488_RS01550-MONOMER,,,zn2(1),
B488_RS05860-MONOMER,,,zn2(4),
B488_RS01560-MONOMER,,,mg2(1),
B488_RS06480-MONOMER,,,mg2(1) AND k(1),
B488_RS02140-MONOMER,,,fe2(2),
B488_RS06025-MONOMER,,,mg2(1) AND pi(1),
B488_RS06025-MONOMER,,,mn2(1) AND pi(1),
B488_RS04810-MONOMER,,,mn2(1),
B488_RS06485-MONOMER,,,fe2(1),
B488_RS01035-MONOMER,,,pydx5p(1),
B488_RS03650-MONOMER,,,dpm(1),
B488_RS00485-MONOMER,,,pydx5p(1),
B488_RS01075-MONOMER,,,fad(1),
B488_RS05345-MONOMER,,,mg2(4),
B488_RS04840-MONOMER,,,mg2(1),
B488_RS01870-MONOMER,,,mn2(1),
B488_RS00185-MONOMER,,,zn2(1) AND cobalt2(1),
B488_RS03080-MONOMER,,,mg2(1),
B488_RS02175-MONOMER,,,ni2(1),
B488_RS05885-MONOMER,,,mg2(1),
B488_RS04850-MONOMER,,,nad(1),
B488_RS01100-MONOMER,,,mg2(1),
B488_RS01100-MONOMER,,,ca2(1),
B488_RS05150-MONOMER,,,nh4(1) AND mg2(1),
B488_RS01105-MONOMER,,,mg2(1),
B488_RS01115-MONOMER,,,zn2(2),
B488_RS03100-MONOMER,,,mg2(1),
B488_RS03105-MONOMER,,,mg2(2),
B488_RS02560-MONOMER,,,Oxidized(1),
B488_RS03115-MONOMER,,,mg2(1) AND zn2(1),
B488_RS01610-MONOMER,,,nad(1),
B488_RS05375-MONOMER,,,4fe4s(2),
B488_RS01135-MONOMER,,,mg2(1),
B488_RS02570-MONOMER,,,mg2(1),
B488_RS01895-MONOMER,,,mg2(1),
B488_RS04870-MONOMER,,,mg2(1),
B488_RS00220-MONOMER,,,mg2(1),
B488_RS00550-MONOMER,,,mg2(1),
B488_RS03145-MONOMER,,,zn2(1),
B488_RS01160-MONOMER,,,mg2(1),
B488_RS00225-MONOMER,,,mg2(1) AND k(1),
B488_RS02200-MONOMER,,,zn2(4),
B488_RS05695-MONOMER,,,mg2(1),
B488_RS06600-MONOMER,,,mg2(1),
B488_RS06600-MONOMER,,,mn2(1),
B488_RS05405-MONOMER,,,mg2(1),
B488_RS03170-MONOMER,,,zn2(2),
B488_RS04890-MONOMER,,,mg2(1),
B488_RS00600-MONOMER,,,4fe4s(1),
B488_RS01930-MONOMER,,,mg2(1),
B488_RS02640-MONOMER,,,zn2(1),
B488_RS01205-MONOMER,,,zn2(1),
B488_RS05710-MONOMER,,,mg2(1),
B488_RS04905-MONOMER,,,pan4p(1),
B488_RS04905-MONOMER,,,pan4p(1) AND ac(1),
B488_RS04905-MONOMER,,,pan4p(1) AND mal(1),
B488_RS04905-MONOMER,,,pan4p(1) AND but2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND act(1),
B488_RS04905-MONOMER,,,pan4p(1) AND but(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ha(1),
B488_RS04905-MONOMER,,,pan4p(1) AND egme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND ogme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND gme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND hgme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND thex2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ohex(1),
B488_RS04905-MONOMER,,,pan4p(1) AND hex(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hhex(1),
B488_RS04905-MONOMER,,,pan4p(1) AND pim(1),
B488_RS04905-MONOMER,,,pan4p(1) AND epme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND opme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND pme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND hpme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND toct2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ooct(1),
B488_RS04905-MONOMER,,,pan4p(1) AND oc(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hoct(1),
B488_RS04905-MONOMER,,,pan4p(1) AND tdec2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND cdec3e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3odec(1),
B488_RS04905-MONOMER,,,pan4p(1) AND dca(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hdec(1),
B488_RS04905-MONOMER,,,pan4p(1) AND t3c5ddece(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ocddec5e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND tddec2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND cddec5e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3oddec(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hcddec5e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND ddca(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hddec(1),
B488_RS04905-MONOMER,,,pan4p(1) AND t3c7mrse(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ocmrs7e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND tde(1),
B488_RS04905-MONOMER,,,pan4p(1) AND tmrs2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3omrs(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hcmrs7e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND myrs(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hmrs(1),
B488_RS04905-MONOMER,,,pan4p(1) AND t3c9palme(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ocpalm9e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND hde(1),
B488_RS04905-MONOMER,,,pan4p(1) AND tpalm2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3opalm(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hcpalm9e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND palm(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hpalm(1),
B488_RS04905-MONOMER,,,pan4p(1) AND t3c11vace(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ocvac11e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND toctd2e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND octe(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3ooctd(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hcvac11e(1),
B488_RS04905-MONOMER,,,pan4p(1) AND ocdca(1),
B488_RS04905-MONOMER,,,pan4p(1) AND 3hocta(1),
B488_RS00620-MONOMER,,,zn2(2),
B488_RS01655-MONOMER,,,mn2(1) AND mg2(1),
B488_RS06625-MONOMER,,,mg2(1),
B488_RS01945-MONOMER,,,mg2(1),
B488_RS01215-MONOMER,,,mg2(1),
B488_RS01215-MONOMER,,,mn2(1),
B488_RS01215-MONOMER,,,ca2(1),
B488_RS03225-MONOMER,,,4fe4s(1),
B488_RS00635-MONOMER,,,mg2(1) AND k(1),
B488_RS00635-MONOMER,,,mn2(1) AND k(1),
B488_RS06630-MONOMER,,,mg2(1),
B488_RS06630-MONOMER,,,ca2(1),
B488_RS06630-MONOMER,,,mn2(1),
B488_RS01950-MONOMER,,,mg2(1) AND k(1),
B488_RS01950-MONOMER,,,mg2(1) AND nh4(1),
B488_RS01950-MONOMER,,,mn2(1) AND k(1),
B488_RS01950-MONOMER,,,mn2(1) AND nh4(1),
B488_RS01110-MONOMER,,,fmnh2(1),
B488_RS01110-MONOMER,,,fadh2(1),
B488_RS03365-MONOMER,,,23bpg(1),
B488_RS03260-MONOMER,,,mg2(1),
B488_RS03295-MONOMER,,,mg2(1),
B488_RS05665-MONOMER,,,pydx5p(1),
B488_RS00375-MONOMER,,,zn2(2),
B488_RS05935-MONOMER,,,thmpp(1) AND mn2(1) AND mg2(1),
B488_RS04185-MONOMER,,,pydx5p(2),
B488_08000-MONOMER,,,zn2(2),
CPLX_ACCOAC-0,,,btn(1),
CPLX_AKGDH-0,,,mg2(1) AND lipoyl(1),
CPLX_ANS-0,,,mg2(1),
CPLX_ANS-0,,,cobalt2(1),
CPLX_ANS-0,,,fe2(1),
CPLX_CHORS-0,,,mg2(1),
CPLX_CHORS-0,,,mn2(1),
CPLX_CHORS-0,,,cobalt2(1),
CPLX_CHORS-0,,,cd2(1),
CPLX_CHORS-0,,,zn2(1),
CPLX_DHDPRy-0,,,pheme(1) AND hemed(1),
CPLX_GALUi-0,,,pydx5p(1),
