	cobrame/ecolime fluxes	coralme fluxes
transcription_TU00369_from_RpoD_mono	2.1326930536359452e-11	2.0678871752872943e-11
transcription_TU0_7701_from_RpoD_mono	0.0	0.0
transcription_TU0_13539_from_RpoD_mono	1.4238198829333182e-06	1.378175737075943e-06
transcription_TU441_from_RpoD_mono	0.0	0.0
transcription_TU0_1004_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_6550_from_RpoD_mono	0.0	0.0
transcription_TU00499_from_RpoD_mono	0.0	0.0
transcription_TU0_12822_from_RPOS_MONOMER	9.851800325198851e-12	9.454778374927783e-12
transcription_TU0_12822_from_RpoD_mono	0.0	0.0
transcription_TU00090_from_RpoD_mono	3.185908445772934e-09	3.097584808467309e-09
transcription_TU0_13885_from_RpoD_mono	1.5827321351974944e-11	1.5346378508197018e-11
transcription_TU0_4782_with_TERM0322_from_RpoD_mono	0.0	0.0
transcription_TU0_3425_from_RPOE_MONOMER	0.0	0.0
transcription_TU00161_from_RpoD_mono	0.0	0.0
transcription_TU0_14499_from_RpoD_mono	0.0	0.0
transcription_TU0_7722_with_TERM0_1145_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_13008_from_RpoD_mono	0.0	0.0
transcription_TU00430_with_TERM0_1045_from_RPOH_MONOMER	2.1824263419141203e-11	2.0946239000367274e-11
transcription_TU0_14255_with_RPLT_T2_from_RpoD_mono	7.63163534351784e-07	7.456435519924485e-07
transcription_TU00295_from_RpoD_mono	9.479197303409298e-09	9.34100725138949e-09
transcription_TU0_6551_from_RpoD_mono	0.0	0.0
transcription_TU0_14606_from_RpoD_mono	0.0	0.0
transcription_TU442_from_RpoD_mono	1.4678166155830083e-10	1.4232217598057278e-10
transcription_TU0_4783_from_RpoD_mono	3.517877749827884e-09	3.4618551908439022e-09
transcription_TU00370_from_RpoD_mono	0.0	0.0
transcription_TU00178_from_RpoD_mono	3.20377868295627e-07	3.118592398221721e-07
transcription_TU00500_from_RpoD_mono	9.366824426577681e-08	9.15998069045708e-08
transcription_TU0_13078_from_RpoD_mono	1.3304395680180349e-08	1.2948583962262322e-08
transcription_TU0_14323_from_RpoD_mono	0.0	0.0
transcription_TU0_5061_from_RpoD_mono	0.0	0.0
transcription_TU0_1021_from_RpoD_mono	0.0	0.0
transcription_TU0_13947_from_RpoD_mono	3.162801352285729e-13	3.012865137351076e-13
transcription_TU358_from_RpoD_mono	0.0	0.0
transcription_TU0_12823_from_RpoD_mono	0.0	0.0
transcription_TU00162_from_RpoD_mono	0.0	0.0
transcription_TU0_8346_from_RpoD_mono	0.0	0.0
transcription_TU0_13998_from_RpoD_mono	0.0	0.0
transcription_TU0_4786_with_TERM0322_from_RpoD_mono	0.0	0.0
transcription_TU0_6552_from_RpoD_mono	6.22668580289555e-08	6.053230227582164e-08
transcription_TU0_13770_from_RpoD_mono	4.841065618971291e-06	4.717087001046315e-06
transcription_TU0_8601_from_RpoD_mono	0.0	0.0
transcription_TU0_8472_from_RpoD_mono	1.0883192957432005e-07	1.0565679027507377e-07
transcription_TU0_14689_from_RpoD_mono	0.0	0.0
transcription_TU0_14689_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_13009_from_RpoD_mono	5.5113676885320884e-12	5.290159977750991e-12
transcription_TU443_from_RpoD_mono	2.879381977861981e-08	2.79187876725678e-08
transcription_TU0_14054_from_RpoD_mono	0.0	0.0
transcription_TU00025_from_RPOS_MONOMER	0.0	0.0
transcription_TU00025_from_RpoD_mono	0.0	0.0
transcription_TU00179_from_RpoD_mono	3.360101238319279e-09	3.267416006918125e-09
transcription_TU0_14139_from_RpoD_mono	0.0	0.0
transcription_TU00501_from_RpoD_mono	1.0794165483256291e-05	1.164452175281304e-05
transcription_TU0_13079_from_RpoD_mono	7.2852378769678524e-09	7.062836225633468e-09
transcription_TU0_13410_from_RpoD_mono	0.0	0.0
transcription_TU0_12810_from_RpoD_mono	4.8215192049149934e-11	4.674485361072899e-11
transcription_TU0_14257_from_RpoD_mono	1.0666436279461692e-08	1.0395986336674189e-08
transcription_TU00092_from_RpoD_mono	0.0	0.0
transcription_TU0_14608_from_RpoD_mono	0.0	0.0
transcription_TU0_4802_from_RpoD_mono	0.0	0.0
transcription_TU0_4802_with_TERM0563_from_RpoD_mono	0.0	0.0
transcription_TU0_1022_from_RpoD_mono	0.0	0.0
transcription_TU0_6553_from_RpoD_mono	0.0	0.0
transcription_TU788_from_RPOS_MONOMER	0.0	0.0
transcription_TU788_from_RpoD_mono	0.0	0.0
transcription_TU00163_from_RpoD_mono	0.0	0.0
transcription_TU0_13240_from_RpoD_mono	4.056153370701375e-06	3.959513493464188e-06
transcription_TU0_8693_from_RpoD_mono	0.0	0.0
transcription_TU0_8533_from_RpoD_mono	0.0	0.0
transcription_TU00246_from_RpoD_mono	0.0	0.0
transcription_TU0_13303_from_RpoD_mono	0.0	0.0
transcription_TU0_14501_from_RpoD_mono	0.0	0.0
transcription_TU461_from_RpoD_mono	0.0	0.0
transcription_TU0_8473_from_RpoD_mono	0.0	0.0
transcription_TU0_13010_from_RpoD_mono	1.6743182340529238e-07	1.623115219809819e-07
transcription_TU00502_from_RpoD_mono	0.0	0.0
transcription_TU0_13080_from_RpoD_mono	1.6237447311426372e-08	1.577697789942827e-08
transcription_TU0_13650_from_RpoD_mono	2.7556838442660442e-12	7.649401766664009e-12
transcription_TU0_13887_from_RpoD_mono	4.915023011767125e-08	4.765670819318069e-08
transcription_TU0_14055_from_RpoD_mono	0.0	0.0
transcription_TU00298_from_RpoD_mono	0.0	0.0
transcription_TU00093_from_RpoD_mono	0.0	0.0
transcription_TU00026_from_RpoD_mono	0.0	0.0
transcription_TU0_13786_from_RpoD_mono	0.0	0.0
transcription_TU0_6554_from_RpoD_mono	2.341069279323037e-11	2.269931498542573e-11
transcription_TU0_14140_from_RpoD_mono	0.0	0.0
transcription_TU361_from_RpoD_mono	1.0037551620961372e-07	9.71409912882349e-08
transcription_TU0_13411_from_RpoD_mono	0.0	0.0
transcription_TU00372_from_RpoD_mono	0.0	0.0
transcription_TU00164_from_RpoD_mono	0.0	0.0
transcription_TU0_4823_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_14692_with_TERM0_1093_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_14692_with_TERM0_1093_from_RpoD_mono	0.0	0.0
transcription_TU0_14486_from_RpoD_mono	1.4039238307481162e-05	1.3628707804925536e-05
transcription_TU0_14609_from_RpoD_mono	4.580381511219152e-12	4.4411980283919266e-12
transcription_TU0_7745_from_RpoD_mono	0.0	0.0
transcription_TU0_8534_from_RpoD_mono	0.0	0.0
transcription_TU0_5101_from_RpoD_mono	9.755791794257557e-08	6.319541136460426e-08
transcription_TU00247_from_RpoD_mono	0.0	0.0
transcription_TU462_from_RpoD_mono	0.0	0.0
transcription_TU0_13846_from_RpoD_mono	0.0	0.0
transcription_TU0_14393_from_RpoD_mono	0.0	0.0
transcription_TU0_6556_from_RpoD_mono	0.0	0.0
transcription_TU00503_from_RpoD_mono	1.3901530241532396e-05	1.347878122703472e-05
transcription_TU0_14126_from_RpoD_mono	0.0	0.0
transcription_TU0_8474_with_RPSOT1_from_RpoD_mono	7.738076223572072e-07	7.56018087042803e-07
transcription_TU00094_from_RpoD_mono	3.4971634493147167e-10	3.3788917161849357e-10
transcription_TU0_13304_from_RpoD_mono	0.0	0.0
transcription_TU0_4881_from_RpoD_mono	0.0	0.0
transcription_TU0_4881_with_TERM0382_from_RpoD_mono	0.0	0.0
transcription_TU0_14056_from_RpoD_mono	7.642032299984996e-13	7.363774870396716e-13
transcription_TU0_14_from_RpoD_mono	0.0	0.0
transcription_TU00027_from_RpoD_mono	0.0	0.0
transcription_TU00165_from_RpoD_mono	0.0	0.0
transcription_TU0_12947_from_RpoD_mono	0.0	0.0
transcription_TU0_13651_from_RpoD_mono	0.0	0.0
transcription_TU0_5121_from_RPOE_MONOMER	0.0	0.0
transcription_TU0_12812_from_RpoD_mono	8.383394467325909e-07	8.127018434630509e-07
transcription_TU00373_from_RpoD_mono	4.743760842297562e-07	4.593771359005488e-07
transcription_TU0_13355_from_RpoD_mono	0.0	0.0
transcription_TU0_14693_with_TERM0_1094_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_14693_with_TERM0_1094_from_RpoD_mono	0.0	0.0
transcription_TU0_6557_from_RpoD_mono	0.0	0.0
transcription_TU0_1061_from_RpoD_mono	0.0	0.0
transcription_TU0_14487_from_RpoD_mono	3.970144490200044e-05	3.8640641515611496e-05
transcription_TU482_with_TERM161_from_RpoD_mono	0.0	0.0
transcription_TU0_12827_from_RpoD_mono	7.619032767766664e-12	7.277084651404076e-12
transcription_TU00504_from_RpoD_mono	3.2789105706414217e-06	3.1955690616109664e-06
transcription_TU00182_from_RpoD_mono	0.0	0.0
transcription_TU00248_from_RpoD_mono	0.0	0.0
transcription_TU0_1461_from_RpoD_mono	0.0	0.0
transcription_TU0_5162_from_RpoD_mono	0.0	0.0
transcription_TU0_14394_with_TERM0_1039_from_RpoD_mono	0.0	0.0
transcription_TU0_13774_from_RpoD_mono	0.0	0.0
transcription_TU363_from_RpoD_mono	0.0	0.0
transcription_TU00166_from_RpoD_mono	0.0	0.0
transcription_TU00434_with_TERM72_from_RpoD_mono	0.0	0.0
transcription_TU00300_from_RpoD_mono	0.0	0.0
transcription_TU0_14694_from_RpoD_mono	0.0	0.0
transcription_TU0_3561_from_RpoD_mono	2.6971804269069945e-05	2.6232219832004616e-05
transcription_TU00374_from_RpoD_mono	0.0	0.0
transcription_TU0_5163_from_RpoD_mono	0.0	0.0
transcription_TU483_from_RpoD_mono	0.0	0.0
transcription_TU0_13652_from_RpoD_mono	2.937649488329796e-10	2.8483834989990237e-10
transcription_TU00505_from_RpoD_mono	1.2304659269223212e-05	1.1955132960599858e-05
transcription_TU00183_from_RpoD_mono	0.0	0.0
transcription_TU0_1062_from_RpoD_mono	0.0	0.0
transcription_TU0_13083_from_RpoD_mono	2.5612717912973332e-14	2.4248682115230416e-14
transcription_TU0_13243_from_RpoD_mono	0.0	0.0
transcription_TU0_4904_from_RPOH_MONOMER	0.0	0.0
transcription_TU0_8353_from_RPOH_MONOMER	0.0	0.0
transcription_TU0_3581_from_RPON_MONOMER	0.0	0.0
transcription_TU0_14395_with_TERM0_1039_from_RpoD_mono	0.0	0.0
transcription_TU0_6562_with_PROS_TERMINATOR_from_RpoD_mono	1.1704261810598585e-08	1.1367034179505442e-08
transcription_TU00167_with_TERM0261_from_RpoD_mono	0.0	0.0
transcription_TU0_14263_from_RpoD_mono	0.0	0.0
transcription_TU0_14506_from_RpoD_mono	0.0	0.0
transcription_TU0_5182_from_RpoD_mono	1.1285829832191573e-08	1.0760193749349215e-08
transcription_TU0_8476_with_METYT2_from_RpoD_mono	0.0	0.0
transcription_TU0_8476_with_METYT1_from_RpoD_mono	0.0	0.0
transcription_TU0_14696_with_TERM0_1095_from_RpoD_mono	0.0	0.0
transcription_TU0_13013_from_RpoD_mono	0.0	0.0
transcription_TU00435_with_TERM72_from_RpoD_mono	0.0	0.0
transcription_TU00301_from_RpoD_mono	0.0	0.0
transcription_TU00029_from_RPON_MONOMER	0.0	0.0
transcription_TU0_8764_from_RpoD_mono	0.0	0.0
transcription_TU0_13713_from_RpoD_mono	0.0	0.0
transcription_TU0_13848_from_RpoD_mono	1.3700107864553623e-10	1.3283804392227872e-10
transcription_TU484_from_RpoD_mono	9.028663865753258e-08	8.608154999479372e-08
transcription_TU0_12951_from_RpoD_mono	1.1253374431341164e-13	1.084362282070408e-13
transcription_TU0_4905_from_RPOS_MONOMER	4.700150871797482e-07	4.358773542735473e-07
transcription_TU0_4905_from_RpoD_mono	0.0	0.0
transcription_TU0_3602_from_RPON_MONOMER	0.0	0.0
transcription_TU00375_from_RpoD_mono	0.0	0.0
transcription_TU0_8681_from_RpoD_mono	0.0	0.0
transcription_TU00506_from_RpoD_mono	5.545297688624203e-06	5.432932759227549e-06
transcription_TU00184_from_RpoD_mono	0.0	0.0
transcription_TU00097_from_RPOS_MONOMER	0.0	0.0
transcription_TU00097_from_RpoD_mono	0.0	0.0
transcription_TU0_5183_from_RpoD_mono	0.0	0.0
transcription_TU0_14489_from_RpoD_mono	0.0	0.0
transcription_TU0_14489_from_RPOH_MONOMER	0.0	0.0
transcription_TU0_12830_from_RpoD_mono	4.1155387637302126e-11	3.9908044014345066e-11
transcription_TU0_1601_from_RpoD_mono	0.0	0.0
transcription_TU00168_from_RPOS_MONOMER	0.0	0.0
transcription_TU00168_from_RpoD_mono	0.0	0.0
transcription_TU0_8699_from_RpoD_mono	2.125961923351462e-09	2.091278015128722e-09
transcription_TU0_4906_from_RpoD_mono	0.0	0.0
transcription_TU0_14509_with_TERM0_1033_from_RpoD_mono	0.0	0.0
transcription_TU0_8477_from_RpoD_mono	1.5039518789842055e-09	1.4576730871009703e-09
transcription_TU0_13014_from_RpoD_mono	0.0	0.0
transcription_TU00436_with_TERM72_from_RpoD_mono	0.0	0.0
transcription_TU0_13172_from_RpoD_mono	0.0	0.0
transcription_TU00302_from_RpoD_mono	0.0	0.0
transcription_TU00030_with_TERM0621_from_RpoD_mono	0.0	0.0
transcription_TU00507_from_RpoD_mono	1.0106922858580747e-05	9.852576518926054e-06
transcription_TU00185_from_RpoD_mono	2.655365870796218e-07	2.5717382727496736e-07
transcription_TU0_8765_from_RpoD_mono	0.0	0.0
transcription_TU0_13714_from_RpoD_mono	0.0	0.0
transcription_TU00098_from_RpoD_mono	0.0	0.0
transcription_TU0_13488_with_TERM0_1097_from_RpoD_mono	0.0	0.0
transcription_TU00377_with_TERM65_from_RpoD_mono	0.0	0.0
transcription_TU0_1603_from_RpoD_mono	0.0	0.0
transcription_TU0_4907_from_RpoD_mono	0.0	0.0
transcription_TU369_with_TERM102_from_RpoD_mono	0.0	0.0
transcription_TU369_with_TERM102_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_14328_from_RpoD_mono	1.3883926798399577e-07	2.808922894450507e-07
transcription_TU00169_from_RpoD_mono	0.0	0.0
transcription_TU0_5186_from_RpoD_mono	0.0	0.0
transcription_TU0_12831_from_RpoD_mono	9.012784445435278e-07	8.736176200678129e-07
transcription_TU0_6569_with_TERM0_1108_from_RpoD_mono	0.0	0.0
transcription_TU0_13777_from_RpoD_mono	4.704763718867533e-08	4.547393742662676e-08
transcription_TU0_14510_from_RpoD_mono	0.0	0.0
transcription_TU0_13173_from_RpoD_mono	0.0	0.0
transcription_TU0_8478_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_3623_from_RPON_MONOMER	0.0	0.0
transcription_TU0_13474_from_RpoD_mono	0.0	0.0
transcription_TU00508_from_RpoD_mono	0.0	0.0
transcription_TU00437_with_TERM72_from_RpoD_mono	0.0	0.0
transcription_TU00031_from_RpoD_mono	0.0	0.0
transcription_TU0_5201_from_RpoD_mono	0.0	0.0
transcription_TU0_13715_from_RpoD_mono	1.25765107679632e-08	1.219434990074904e-08
transcription_TU4_from_RpoD_mono	0.0	0.0
transcription_TU0_14269_from_RpoD_mono	0.0	0.0
transcription_TU00378_with_TERM65_from_RpoD_mono	0.0	0.0
transcription_TU00170_with_TERM0_1033_from_RpoD_mono	0.0	0.0
transcription_TU0_14699_with_TERM141_from_RpoD_mono	0.0	0.0
transcription_TU0_4927_from_RpoD_mono	0.0	0.0
transcription_TU0_6581_from_RpoD_mono	0.0	0.0
transcription_TU794_from_RpoD_mono	0.0	0.0
transcription_TU0_1106_from_RpoD_mono	0.0	0.0
transcription_TU0_14491_from_RPOH_MONOMER	0.0	0.0
transcription_TU00252_from_RpoD_mono	0.0	0.0
transcription_TU0_5202_from_RpoD_mono	0.0	0.0
transcription_TU0_14399_with_TERM0_1041_from_RpoD_mono	0.0	0.0
transcription_TU00509_from_RpoD_mono	3.1820937315285573e-06	3.1005201762184105e-06
transcription_TU0_13087_from_RpoD_mono	3.5968037500565043e-10	3.4872711539120795e-10
transcription_TU0_14511_from_RpoD_mono	0.0	0.0
transcription_TU00100_from_RpoD_mono	0.0	0.0
transcription_TU0_7805_from_RpoD_mono	0.0	0.0
transcription_TU0_13016_from_RpoD_mono	1.00872524450324e-10	9.779311697030948e-11
transcription_TU00438_with_TERM72_from_RPOH_MONOMER	0.0	0.0
transcription_TU0_4928_from_RpoD_mono	0.0	0.0
transcription_TU401_with_TERM121_from_RpoD_mono	0.0	0.0
transcription_TU00032_with_TERM0_1119_from_RpoD_mono	0.0	0.0
transcription_TU00032_from_RpoD_mono	0.0	0.0
transcription_TU0_14701_from_RpoD_mono	0.0	0.0
transcription_TU0_13792_from_RpoD_mono	0.0	0.0
transcription_TU0_8767_from_RpoD_mono	0.0	0.0
transcription_TU0_5221_from_RpoD_mono	0.0	0.0
transcription_TU0_13417_from_RpoD_mono	2.341069279323037e-11	2.269931498542573e-11
transcription_TU00379_with_TERM65_from_RpoD_mono	0.0	0.0
transcription_TU0_8611_from_RpoD_mono	3.2415563123647362e-12	3.1064600317685904e-12
transcription_TU0_14272_from_RpoD_mono	0.0	0.0
transcription_TU795_from_RpoD_mono	0.0	0.0
transcription_TU795_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_1122_from_RpoD_mono	0.0	0.0
transcription_TU0_14492_from_RpoD_mono	0.0	0.0
transcription_TU0_4929_from_RpoD_mono	1.046905014025328e-08	1.0170361661973545e-08
transcription_TU0_13175_from_RpoD_mono	0.0	0.0
transcription_TU0_12833_from_RpoD_mono	4.1912933326970896e-14	4.009522882010824e-14
transcription_TU0_36402_from_RpoD_mono	0.0	0.0
transcription_TU0_7806_from_EG11355_MONOMER	0.0	0.0
transcription_TU00510_from_RpoD_mono	1.500364329770356e-05	1.4567282394552103e-05
transcription_TU00188_from_RpoD_mono	0.0	0.0
transcription_TU0_13088_from_RpoD_mono	7.342102155186747e-08	7.11899861092321e-08
transcription_TU0_8360_from_RpoD_mono	0.0	0.0
transcription_TU00101_from_RpoD_mono	2.4272575300124944e-08	2.3806581255749318e-08
transcription_TU0_5261_from_RpoD_mono	0.0	0.0
transcription_TU0_14402_from_RpoD_mono	0.0	0.0
transcription_TU0_6583_from_RpoD_mono	0.0	0.0
transcription_TU0_14512_from_RpoD_mono	0.0	0.0
transcription_TU0_8480_from_RpoD_mono	2.1465846237900166e-11	2.079570288870335e-11
transcription_TU0_14702_from_RpoD_mono	0.0	0.0
transcription_TU0_1741_from_RpoD_mono	1.2538463866861585e-07	1.2128209429069822e-07
transcription_TU0_13549_from_RpoD_mono	0.0	0.0
transcription_TU00172_from_RPON_MONOMER	0.0	0.0
transcription_TU00439_from_RpoD_mono	0.0	0.0
transcription_TU00305_from_RpoD_mono	0.0	0.0
transcription_TU0_14004_from_RpoD_mono	1.9968308905007882e-08	1.92827520213808e-08
transcription_TU0_13656_from_RpoD_mono	0.0	0.0
transcription_TU00380_with_TERM65_from_RpoD_mono	0.0	0.0
transcription_TU0_7821_from_RpoD_mono	0.0	0.0
transcription_TU0_12887_from_RpoD_mono	0.0	0.0
transcription_TU0_5321_from_RpoD_mono	1.5888475476187717e-07	1.5405631757707322e-07
transcription_TU0_8361_from_RpoD_mono	6.584327078112887e-11	6.38424995079049e-11
transcription_TU00511_from_RpoD_mono	0.0	0.0
transcription_TU796_from_RpoD_mono	0.0	0.0
transcription_TU0_1123_from_RpoD_mono	0.0	0.0
transcription_TU00103_from_RPOS_MONOMER	7.263439751466382e-08	7.52492909778248e-08
transcription_TU0_1742_from_RpoD_mono	0.0	0.0
transcription_TU0_14273_from_RpoD_mono	0.0	0.0
transcription_TU00254_from_RpoD_mono	0.0	0.0
transcription_TU0_4961_with_TERM0441_from_RpoD_mono	0.0	0.0
transcription_TU0_14704_from_RpoD_mono	0.0	0.0
transcription_TU0_14614_from_RpoD_mono	7.738299706312457e-07	7.560395383291227e-07
transcription_TU0_14403_from_RpoD_mono	0.0	0.0
transcription_TU00173_with_TERM0781_from_RpoD_mono	0.0	0.0
transcription_TU0_13780_from_RpoD_mono	0.0	0.0
transcription_TU0_14513_from_RpoD_mono	0.0	0.0
transcription_TU0_5322_from_RpoD_mono	0.0	0.0
transcription_TU0_8704_from_RpoD_mono	0.0	0.0
transcription_TU0_7822_from_RpoD_mono	2.327928782422298e-09	2.257190300285461e-09
transcription_TU0_13018_from_RpoD_mono	2.4228959270854138e-12	2.32977326777901e-12
transcription_TU00440_from_RpoD_mono	0.0	0.0
transcription_TU0_8362_from_RpoD_mono	0.0	0.0
transcription_TU0_14064_from_RpoD_mono	0.0	0.0
transcription_TU00306_from_RpoD_mono	0.0	0.0
transcription_TU0_13794_from_RpoD_mono	0.0	0.0
transcription_TU0_13310_from_RpoD_mono	0.0	0.0
transcription_TU0_14150_from_RpoD_mono	0.0	0.0
transcription_TU0_13719_from_RpoD_mono	0.0	0.0
transcription_TU0_1282_with_TERM73_from_RpoD_mono	0.0	0.0
transcription_TU0_1282_with_TERM3_from_RpoD_mono	5.12253446171303e-14	4.84972793937369e-14
transcription_TU00381_with_TERM65_from_RpoD_mono	0.0	0.0
transcription_TU00512_from_RpoD_mono	6.396276460279933e-06	6.2065369915831845e-06
transcription_TU0_14005_from_RpoD_mono	0.0	0.0
transcription_TU00104_from_RpoD_mono	6.364885196390527e-08	6.447026784656804e-08
transcription_TU0_13657_from_RpoD_mono	9.957075412191886e-13	4.2829980121936995e-12
transcription_TU0_5341_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_1141_from_RpoD_mono	2.5590525241335256e-07	2.3076878501845402e-07
transcription_TU0_14714_from_RpoD_mono	0.0	0.0
transcription_TU00255_from_RpoD_mono	0.0	0.0
transcription_TU0_5_from_RpoD_mono	0.0	0.0
transcription_TU0_14404_from_RpoD_mono	1.0218465222571945e-07	9.89757815469247e-08
transcription_TU0_6623_from_RpoD_mono	0.0	0.0
transcription_TU0_3641_from_RPON_MONOMER	0.0	0.0
transcription_TU0_14134_from_RpoD_mono	0.0	0.0
transcription_TU00442_from_RpoD_mono	0.0	0.0
transcription_TU0_14615_from_RpoD_mono	0.0	0.0
transcription_TU00035_from_RpoD_mono	0.0	0.0
transcription_TU0_5402_with_TERM0582_from_RpoD_mono	0.0	0.0
transcription_TU0_5402_with_TERM0583_from_RpoD_mono	0.0	0.0
transcription_TU5_from_RpoD_mono	0.0	0.0
transcription_TU00513_from_RpoD_mono	3.2912318958645277e-06	3.220137098064856e-06
transcription_TU0_14151_from_RpoD_mono	1.4179527861289282e-10	1.3629130422463398e-10
transcription_TU00191_from_RpoD_mono	0.0	0.0
transcription_TU0_13956_from_RpoD_mono	0.0	0.0
transcription_TU00105_from_RPOS_MONOMER	0.0	0.0
transcription_TU00382_with_TERM65_from_RpoD_mono	0.0	0.0
transcription_TU0_7842_with_TERM_RPST_from_RpoD_mono	0.0	0.0
transcription_TU0_14715_from_RpoD_mono	0.0	0.0
transcription_TU0_13658_from_RpoD_mono	0.0	0.0
transcription_TU0_6625_from_RpoD_mono	0.0	0.0
transcription_TU801_from_RpoD_mono	0.0	0.0
transcription_TU0_1142_from_RpoD_mono	0.0	0.0
transcription_TU00256_with_TERM0161_from_RpoD_mono	2.843904557545579e-09	2.754598367729121e-09
transcription_TU00443_with_TERM0902_from_RPOS_MONOMER	0.0	0.0
transcription_TU00443_with_TERM0902_from_RpoD_mono	0.0	0.0
transcription_TU00036_with_TERM0223_from_RpoD_mono	0.0	0.0
transcription_TU00036_with_TERM0222_from_RpoD_mono	0.0	0.0
transcription_TU0_8484_from_RpoD_mono	0.0	0.0
transcription_TU0_13179_from_RpoD_mono	1.697643273610025e-10	1.6522651446735648e-10
transcription_TU0_36412_from_RPOS_MONOMER	0.0	0.0
transcription_TU0_7844_with_TERM_RPST_from_RpoD_mono	7.738299706312457e-07	7.560395383291227e-07
transcription_TU00514_from_RpoD_mono	7.203863802292705e-06	6.988570249157986e-06
transcription_TU00192_with_GLYA_TERMINATOR_from_RpoD_mono	4.665734689062667e-08	4.5156898242109174e-08
transcription_TU0_13093_from_RpoD_mono	1.2683721837841472e-08	1.2321847405690105e-08
transcription_TU00106_from_RpoD_mono	0.0	0.0
transcription_TU00308_from_RpoD_mono	0.0	0.0
transcription_TU0_5481_from_RpoD_mono	0.0	0.0
transcription_TU0_13610_from_RpoD_mono	0.0	0.0
transcription_TU0_6626_from_RpoD_mono	0.0	0.0
