	cobrame/ecolime fluxes	coralme fluxes
EX_mg2_e	-0.0150106262211831	-0.0145876253014549
EX_mincyc_e	0.0	0.0
EX_minohp_e	0.0	0.0
EX_mmet_e	0.0	0.0
EX_mn2_e	-4.987811983460424e-05	-4.809533153949913e-05
EX_mnl_e	0.0	0.0
EX_mobd_e	0.0	0.0
EX_mso3_e	0.0	0.0
EX_n2o_e	0.0	0.0
EX_na1_e	0.0	0.0
EX_nac_e	0.0	0.0
EX_nh4_e	-9.124460514668217	-8.961166573654921
EX_ni2_e	0.0	0.0
EX_nmn_e	0.0	0.0
EX_no_e	0.0	0.0
EX_no2_e	0.0	0.0
EX_no3_e	0.0	0.0
EX_novbcn_e	0.0	0.0
EX_o16a4colipa_e	0.0	0.0
EX_o2_e	-16.731395900170465	-16.627436348653873
EX_o2s_e	0.0	0.0
EX_ocdca_e	0.0	0.0
EX_ocdcea_e	0.0	0.0
EX_octa_e	0.0	0.0
EX_orn_e	0.0	0.0
EX_orot_e	0.0	0.0
EX_pacald_e	0.0	0.0
EX_peamn_e	0.0	0.0
EX_phe__L_e	0.0	0.0
EX_pheme_e	0.0	0.0
EX_pi_e	-0.8171413626295565	-0.7989145030714654
EX_pnto__R_e	0.0	0.0
EX_ppa_e	0.0	0.0
EX_ppal_e	0.0	0.0
EX_pppn_e	0.0	0.0
EX_ppt_e	0.0	0.0
EX_pro__L_e	0.0	0.0
EX_progly_e	0.0	0.0
EX_psclys_e	0.0	0.0
EX_pser__L_e	0.0	0.0
EX_ptrc_e	0.0	0.0
EX_pydam_e	0.0	0.0
EX_pydx_e	0.0	0.0
EX_pydxn_e	0.0	0.0
EX_pyr_e	0.0	0.0
EX_quin_e	0.0	0.0
EX_r5p_e	0.0	0.0
EX_rfamp_e	0.0	0.0
EX_rib__D_e	0.0	0.0
EX_rmn_e	0.0	0.0
EX_sbt__D_e	0.0	0.0
EX_sel_e	0.0	0.0
EX_ser__D_e	0.0	0.0
EX_ser__L_e	0.0	0.0
EX_skm_e	0.0	0.0
EX_slnt_e	0.0	0.0
EX_so2_e	0.0	0.0
EX_so3_e	0.0	0.0
EX_so4_e	-0.1832651240636188	-0.1807278581558328
EX_spmd_e	0.0	0.0
EX_succ_e	0.0	0.0
EX_sucr_e	0.0	0.0
EX_sulfac_e	0.0	0.0
EX_tartr__D_e	0.0	0.0
EX_tartr__L_e	0.0	0.0
EX_taur_e	0.0	0.0
EX_tcynt_e	0.0	0.0
EX_thm_e	0.0	0.0
EX_thr__L_e	0.0	0.0
EX_thrp_e	0.0	0.0
EX_thym_e	0.0	0.0
EX_thymd_e	0.0	0.0
EX_tma_e	0.0	0.0
EX_tmao_e	0.0	0.0
EX_tre_e	0.0	0.0
EX_trp__L_e	0.0	0.0
EX_tsul_e	0.0	0.0
EX_ttdca_e	0.0	0.0
EX_ttdcea_e	0.0	0.0
EX_ttrcyc_e	0.0	0.0
EX_tungs_e	0.0	0.0
EX_tym_e	0.0	0.0
EX_tyr__L_e	0.0	0.0
EX_tyrp_e	0.0	0.0
EX_uacgam_e	0.0	0.0
EX_udpacgal_e	0.0	0.0
EX_udpg_e	0.0	0.0
EX_udpgal_e	0.0	0.0
EX_udpglcur_e	0.0	0.0
EX_ump_e	0.0	0.0
EX_ura_e	0.0	0.0
EX_urea_e	0.0	0.0
EX_uri_e	0.0	0.0
EX_val__L_e	0.0	0.0
EX_xan_e	0.0	0.0
EX_xmp_e	0.0	0.0
EX_xtsn_e	0.0	0.0
EX_xyl__D_e	0.0	0.0
EX_xylu__L_e	0.0	0.0
EX_zn2_e	-7.164551763084564e-05	-6.917732621632909e-05
SK_li_c	-1.3684874648979862e-09	-1.3073262828109746e-09
translation_b0002	0.0	0.0
translation_b0003	3.407863741911666e-05	3.302180133354859e-05
translation_b0004	7.913131936864118e-08	7.667732354777308e-08
translation_b0007	0.0	0.0
translation_b0008	0.0	0.0
translation_b0009	0.0	0.0
translation_b0014	1.5987448090191999e-09	1.4752194045941946e-09
translation_b0015	3.1974896180383998e-09	2.9504388091883893e-09
translation_b0019	0.0	0.0
translation_b0023	8.231239920996712e-05	8.005466648750905e-05
translation_b0025	2.688441694287226e-07	2.582384255839641e-07
translation_b0026	9.722639982104016e-07	9.424776473252964e-07
translation_b0027	1.0729824143537738e-08	1.0355007862596755e-08
translation_b0029	1.8936607194868833e-08	1.8272038467820425e-08
translation_b0030	0.0	0.0
translation_b0031	7.98177422848243e-06	7.696001393259445e-06
translation_b0032	0.0	0.0
translation_b0033	0.0	0.0
translation_b0036	0.0	0.0
translation_b0037	0.0	0.0
translation_b0038	0.0	0.0
translation_b0040	0.0	0.0
translation_b0047	0.0	0.0
translation_b0048	2.443025655701403e-07	2.395367300829133e-07
translation_b0049	0.0	0.0
translation_b0051	5.862449305256332e-10	5.60158525069179e-10
translation_b0052	1.295633712302085e-06	1.2296776039410752e-06
translation_b0053	3.730841357040885e-06	3.561239867886512e-06
translation_b0058	4.1945104048964286e-10	4.009394198393505e-10
translation_b0061	0.0	0.0
translation_b0062	0.0	0.0
translation_b0063	0.0	0.0
translation_b0066	0.0	0.0
translation_b0067	0.0	0.0
translation_b0068	0.0	0.0
translation_b0070	0.0	0.0
translation_b0071	3.5741442566359254e-07	3.459764806584896e-07
translation_b0072	3.5741442566359254e-07	3.459764806584896e-07
translation_b0073	1.5120098802969935e-07	1.463622673132929e-07
translation_b0074	9.374795314738673e-08	9.074783939862037e-08
translation_b0077	5.3262717642202826e-06	5.155083048619995e-06
translation_b0078	5.3262717642202826e-06	5.155083048619995e-06
translation_b0082	0.0	0.0
translation_b0084	5.6386773795752287e-08	5.4424965461316985e-08
translation_b0085	2.534149944866074e-06	2.4459818134430003e-06
translation_b0086	7.714936814988526e-07	7.446518774294976e-07
translation_b0087	3.344684327525367e-09	3.2283160881655053e-09
translation_b0088	7.72022453341425e-06	7.4516225224493155e-06
translation_b0090	8.256774190651495e-07	7.969504546861541e-07
translation_b0091	3.4498742990212832e-06	3.3298462907317944e-06
translation_b0092	0.0	0.0
translation_b0096	7.124260537781509e-07	6.876393302987503e-07
translation_b0098	2.3600049150240296e-05	3.799502101887227e-05
translation_b0099	8.088333225925503e-09	7.806923979285717e-09
translation_b0103	5.128656535100882e-09	4.949666619400128e-09
translation_b0104	0.0	0.0
translation_b0109	8.91742809555762e-05	8.60544610881129e-05
translation_b0110	0.0	0.0
translation_b0112	0.0	0.0
translation_b0114	1.554599580897912e-05	1.5430977347757263e-05
translation_b0115	1.554599580897912e-05	1.5430977347757263e-05
translation_b0116	8.44854527138752e-06	8.402311998180025e-06
translation_b0118	0.0	0.0
translation_b0120	0.0	0.0
translation_b0121	0.0	0.0
translation_b0123	0.0	0.0
translation_b0124	0.0	0.0
translation_b0125	0.0	1.514843612239534e-09
translation_b0126	0.0	0.0
translation_b0131	7.419187151937736e-09	7.1602578058595195e-09
translation_b0133	4.74567785325927e-09	4.580053878816009e-09
translation_b0134	7.722721803069659e-09	7.453199109348345e-09
translation_b0142	7.003757667081763e-09	6.7600829675251594e-09
translation_b0149	0.0	0.0
translation_b0150	0.0	0.0
translation_b0151	0.0	0.0
translation_b0152	0.0	0.0
translation_b0153	0.0	0.0
translation_b0154	3.8472116335934134e-10	3.6794485434845614e-10
translation_b0155	0.0	0.0
translation_b0156	2.283324983487613e-09	2.201992058256283e-09
translation_b0158	0.0	0.0
translation_b0159	1.0479373403477068e-09	1.0011369659197104e-09
translation_b0160	0.0	0.0
translation_b0166	2.345230064100046e-07	2.261263388836734e-07
translation_b0168	8.104375516273235e-10	7.70547775923221e-10
translation_b0169	8.231239920996712e-05	8.005466648750905e-05
translation_b0170	1.6621778751885893e-05	1.6074206018449197e-05
translation_b0171	0.0	0.0
translation_b0172	4.377704179742678e-09	4.225738194589553e-09
translation_b0173	9.586911071186364e-05	9.250464250415273e-05
translation_b0174	4.872158042391022e-10	4.702645945655871e-10
translation_b0175	4.7385067890715636e-08	4.573297295036548e-08
translation_b0177	3.730841357040885e-06	3.561239867886512e-06
translation_b0179	9.035584219539547e-06	8.721218221360732e-06
translation_b0180	1.430780194935736e-11	1.3567626627608599e-11
translation_b0181	5.37550758428295e-06	5.188482952959551e-06
translation_b0182	2.065338118500198e-07	1.993480885650216e-07
translation_b0185	1.089235392429431e-06	1.0513380583016244e-06
translation_b0186	0.0	0.0
translation_b0188	4.45828441777215e-12	4.24555860931286e-12
translation_b0194	1.2449839204677903e-06	1.2036197633307975e-06
translation_b0197	0.0	0.0
translation_b0198	0.0	0.0
translation_b0199	0.0	0.0
translation_b0200	0.0	0.0
translation_b0207	0.0	0.0
translation_b0212	0.0	0.0
translation_b0221	3.710415826847852e-06	3.5813128606488103e-06
translation_b0222	0.0	0.0
translation_b0237	0.0	0.0
translation_b0238	2.933599942092765e-06	2.813539741731185e-06
translation_b0241	0.0	0.0
translation_b0242	1.565214352403835e-05	1.5132106507001362e-05
translation_b0243	5.019263332394432e-05	4.852500056355415e-05
translation_b0260	0.0	0.0
translation_b0261	0.0	0.0
translation_b0273	0.0	0.0
translation_b0306	0.0	0.0
translation_b0307	0.0	0.0
translation_b0308	0.0	0.0
translation_b0311	0.0	0.0
translation_b0312	0.0	0.0
translation_b0314	0.0	0.0
translation_b0323	0.0	0.0
translation_b0331	0.0	0.0
translation_b0333	0.0	0.0
translation_b0334	0.0	0.0
translation_b0336	0.0	0.0
translation_b0337	0.0	0.0
translation_b0339	4.449996750711629e-06	4.275856081633255e-06
translation_b0340	0.0	0.0
translation_b0341	0.0	0.0
translation_b0343	0.0	0.0
translation_b0344	0.0	0.0
translation_b0347	0.0	0.0
translation_b0348	0.0	0.0
translation_b0349	0.0	0.0
translation_b0350	0.0	0.0
translation_b0351	7.666304884238006e-10	7.313423390695937e-10
translation_b0352	0.0	0.0
translation_b0353	0.0	0.0
translation_b0355	0.0	0.0
translation_b0356	0.0	0.0
translation_b0365	0.0	0.0
translation_b0366	0.0	0.0
translation_b0367	0.0	0.0
translation_b0368	0.0	0.0
translation_b0369	2.1128100271056062e-10	2.0206779655716958e-10
translation_b0381	1.6239513033872346e-07	1.5674507982644868e-07
translation_b0383	0.0	0.0
translation_b0386	7.254040667664016e-05	7.01302769302042e-05
translation_b0388	0.0	0.0
translation_b0394	0.0	0.0
translation_b0401	0.0	0.0
translation_b0403	0.0	0.0
translation_b0404	0.0	0.0
translation_b0405	3.4480478576876326e-10	3.2893335492693754e-10
translation_b0406	2.06882871461258e-09	1.973600129561625e-09
translation_b0408	1.476835181635031e-05	2.974280763163918e-05
translation_b0409	1.476835181635031e-05	2.974280763163918e-05
translation_b0411	0.0	0.0
translation_b0414	6.507823866130351e-06	6.266291229439074e-06
translation_b0415	1.0960383861532131e-08	1.0553598049918192e-08
translation_b0416	1.4134649294088891e-09	1.3509605980401002e-09
translation_b0417	6.383743989301512e-07	5.889924382985815e-07
translation_b0418	3.58691879370432e-08	3.461619856432987e-08
translation_b0420	5.045944859040336e-05	4.864201082364077e-05
translation_b0421	3.819845320494157e-09	3.686692776419857e-09
translation_b0423	1.2259728389052164e-09	1.1689029328998491e-09
translation_b0425	3.788494574951657e-09	3.656276260084522e-09
translation_b0428	2.0999057238816288e-11	2.0142522654686632e-11
translation_b0429	2.581877135526391e-06	2.520804569095356e-06
translation_b0430	2.581877135526391e-06	2.520804569095356e-06
translation_b0431	2.581877135526391e-06	2.520804569095356e-06
translation_b0432	2.581877135526391e-06	2.520804569095356e-06
translation_b0433	0.0	0.0
translation_b0436	8.231239920996712e-05	8.005466648750905e-05
translation_b0444	2.241231107496965e-06	2.138066807025097e-06
translation_b0446	0.0	0.0
translation_b0451	0.0	0.0
translation_b0452	3.539285901581614e-06	3.4161355485208647e-06
translation_b0459	0.0	0.0
translation_b0462	0.0	0.0
translation_b0463	0.0	0.0
translation_b0469	0.0	0.0
translation_b0474	0.0001812101181168	0.0001751007705607
translation_b0475	1.1970229686195467e-11	1.1481973685480844e-11
translation_b0477	0.0	0.0
translation_b0480	0.0	0.0
translation_b0484	0.0	0.0
translation_b0485	0.0	0.0
translation_b0494	0.0	0.0
translation_b0505	0.0	0.0
translation_b0507	0.0	0.0
translation_b0508	0.0	0.0
translation_b0509	0.0	0.0
translation_b0511	0.0	0.0
translation_b0512	0.0	0.0
translation_b0514	0.0	0.0
translation_b0516	0.0	0.0
translation_b0517	0.0	0.0
translation_b0521	0.0	0.0
translation_b0522	5.56943389021095e-06	5.346291312262659e-06
translation_b0523	5.451822130572445e-05	5.233391735542584e-05
translation_b0524	3.049441463494033e-09	2.943345312291535e-09
translation_b0526	1.5997556589148933e-07	1.5434845258699465e-07
translation_b0529	9.990569159392586e-06	9.600859159327242e-06
translation_b0572	0.0	0.0
translation_b0573	0.0	0.0
translation_b0574	0.0	0.0
translation_b0575	0.0	0.0
translation_b0576	0.0	0.0
translation_b0583	0.0	0.0
translation_b0584	0.0	0.0
translation_b0585	0.0	0.0
translation_b0586	0.0	0.0
translation_b0588	0.0	0.0
translation_b0589	0.0	0.0
translation_b0590	0.0	0.0
translation_b0591	0.0	0.0
translation_b0592	0.0	0.0
translation_b0593	0.0	0.0
translation_b0594	0.0	0.0
translation_b0595	0.0	0.0
translation_b0596	0.0	0.0
translation_b0604	0.0	0.0
translation_b0612	0.0	0.0
translation_b0613	0.0	0.0
translation_b0615	0.0	0.0
translation_b0616	0.0	0.0
translation_b0617	0.0	0.0
translation_b0621	0.0	0.0
translation_b0622	0.0	0.0
translation_b0627	0.0	0.0
translation_b0628	1.4038155558252089e-11	6.901797538187423e-12
translation_b0630	3.5095451384402226e-12	0.0
translation_b0632	0.0	0.0
translation_b0635	0.0	0.0
translation_b0636	5.862449305256325e-10	5.601585250691784e-10
translation_b0638	0.0	0.0
translation_b0639	1.7809745824844204e-05	1.7186660353748562e-05
translation_b0642	1.6432820151343874e-06	1.5906938486604555e-06
translation_b0650	0.0	0.0
translation_b0651	0.0	0.0
translation_b0652	0.0	0.0
translation_b0653	0.0	0.0
translation_b0654	0.0	0.0
translation_b0655	0.0	0.0
translation_b0657	1.0729824143537738e-08	1.0355007862596755e-08
translation_b0661	2.577237692561468e-10	2.4669241817135056e-10
translation_b0662	0.0	0.0
translation_b0674	1.113594287115474e-06	1.076907846256323e-06
translation_b0677	0.0	0.0
translation_b0678	0.0	0.0
translation_b0679	0.0	0.0
translation_b0680	7.111968387654069e-07	6.898966540992466e-07
translation_b0684	5.4488468731106496e-12	5.135225514789193e-12
translation_b0688	0.0	0.0
translation_b0692	0.0	0.0
translation_b0693	0.0	0.0
translation_b0696	0.0	0.0
translation_b0697	0.0	0.0
translation_b0698	0.0	0.0
translation_b4513	0.0	0.0
translation_b0709	0.0	0.0
translation_b0720	1.4970413755141232e-05	1.5090593024769197e-05
translation_b0721	1.34320301838697e-05	1.3656229347303831e-05
translation_b0722	1.34320301838697e-05	1.3656229347303831e-05
translation_b0723	1.34320301838697e-05	1.3656229347303831e-05
translation_b0724	1.34320301838697e-05	1.3656229347303831e-05
translation_b0726	4.053284201387759e-06	4.120939945808353e-06
translation_b0727	8.106568402775517e-06	8.241879891616707e-06
translation_b0728	2.115816092512978e-05	2.1624141853526316e-05
translation_b0729	2.115816092512978e-05	2.1624141853526316e-05
translation_b0731	0.0	0.0
translation_b0732	0.0	0.0
translation_b0733	0.0	0.0
translation_b0734	0.0	0.0
translation_b0736	0.0	0.0
translation_b0750	8.91742809555762e-05	8.60544610881129e-05
translation_b0751	0.0	0.0
translation_b0752	0.0	0.0
translation_b0754	0.0	0.0
translation_b0755	0.0	0.0
translation_b0756	0.0	0.0
translation_b0757	0.0	0.0
translation_b0758	0.0	0.0
translation_b0759	0.0	0.0
translation_b0763	0.0	0.0
translation_b0764	0.0	0.0
translation_b0765	0.0	0.0
translation_b0766	0.0	0.0
translation_b0767	3.618371084097258e-05	3.700801380230769e-05
translation_b0774	3.951285999626918e-12	3.746878107750803e-12
translation_b0775	4.600332955833181e-12	4.362348572642779e-12
translation_b0776	4.353089592284604e-12	4.127895600558676e-12
translation_b0777	4.889927487632672e-12	4.636959194555435e-12
translation_b0778	6.548867328546413e-12	6.2100813826718454e-12
translation_b0781	0.0	0.0
translation_b0783	0.0	0.0
translation_b0784	0.0	0.0
translation_b0785	0.0	0.0
translation_b0789	0.0	0.0
translation_b0805	0.0	0.0
translation_b0807	2.9312246526281626e-10	2.800792625345892e-10
translation_b0809	0.0	0.0
translation_b0810	0.0	0.0
translation_b0811	0.0	0.0
translation_b0813	0.0	0.0
translation_b0822	0.0	0.0
translation_b0825	0.0	0.0
translation_b0826	0.0	0.0
translation_b0827	0.0	0.0
translation_b0828	0.0	0.0
translation_b0829	0.0	0.0
translation_b0830	0.0	0.0
translation_b0831	0.0	0.0
translation_b0832	0.0	0.0
translation_b0837	0.0	0.0
translation_b0839	0.0	0.0
translation_b0841	2.4762210116365295e-07	2.390068343350721e-07
translation_b0842	0.0	0.0
translation_b0849	0.0	0.0
translation_b0854	0.0	0.0
translation_b0855	0.0	0.0
translation_b0856	0.0	0.0
translation_b0857	0.0	0.0
translation_b0859	2.9312246526281626e-10	2.800792625345892e-10
translation_b0860	0.0	0.0
translation_b0861	0.0	0.0
translation_b0862	0.0	0.0
translation_b0863	0.0	0.0
translation_b0864	0.0	0.0
translation_b0870	0.0	0.0
translation_b0871	0.0	0.0
translation_b0875	0.0	0.0
translation_b0884	7.136944799159025e-08	6.889195567402706e-08
translation_b0886	0.0	0.0
translation_b0887	0.0	0.0
translation_b0888	1.4151903777790282e-06	1.3710851324989348e-06
translation_b0891	7.749317436999485e-07	7.478616789653219e-07
translation_b0893	1.7271794786633298e-06	1.6705749367431986e-06
translation_b0894	0.0	0.0
translation_b0895	0.0	0.0
translation_b0896	0.0	0.0
translation_b0902	2.7244282875024247e-12	2.5676172489425226e-12
translation_b0903	0.0	0.0
translation_b0904	0.0	0.0
translation_b0907	2.2959261600922214e-07	2.21624382365264e-07
translation_b0908	5.680659401674168e-05	5.503945412905943e-05
translation_b0910	1.0676957309384729e-05	1.0285956309946747e-05
translation_b0911	8.231239920996712e-05	8.005466648750905e-05
translation_b0914	3.825925040264955e-08	3.69256255823504e-08
translation_b0915	2.362910814171618e-09	2.2807004336742253e-09
translation_b0918	7.80980404707123e-06	7.538085386142892e-06
translation_b0928	3.776087649255774e-06	3.652073356317845e-06
translation_b0929	0.0	0.0
translation_b0930	1.349169216763377e-06	1.3047219550878652e-06
translation_b0931	0.0	0.0
translation_b0932	0.0	0.0
translation_b0933	0.0	0.0
translation_b0934	0.0	0.0
translation_b0935	0.0	0.0
translation_b0936	0.0	0.0
translation_b0937	0.0	0.0
