Reaction	Metabolites	Stoichiometry
4Fe4S_to_IscA_by_IscU	IscU	1.0
4Fe4S_to_IscA_by_IscU	adp_c	1.0
4Fe4S_to_IscA_by_IscU	pi_c	1.0

4Fe4S_to_IscA_by_SufBCD	CPLX0-1341_mod_4fe4s(1)	-1.0
4Fe4S_to_IscA_by_SufBCD	IscA_tetra	-1.0
4Fe4S_to_IscA_by_SufBCD	CPLX0-1341	1.0
4Fe4S_to_IscA_by_SufBCD	IscA_tetra_mod_4fe4s(1)	1.0

4Fe4S_to_SufA_by_IscU	CPLX0-7824	-1.0
4Fe4S_to_SufA_by_IscU	IscU_mod_4fe4s(1)	-1.0
4Fe4S_to_SufA_by_IscU	atp_c	-1.0
4Fe4S_to_SufA_by_IscU	CPLX0-7824_mod_4fe4s(1)	1.0
4Fe4S_to_SufA_by_IscU	IscU	1.0
4Fe4S_to_SufA_by_IscU	adp_c	1.0
4Fe4S_to_SufA_by_IscU	pi_c	1.0

2Fe2S_to_ErpA_by_IscA	CPLX-7524	-1.0
2Fe2S_to_ErpA_by_IscA	IscA_tetra_mod_2fe2s(1)	-1.0
2Fe2S_to_ErpA_by_IscA	CPLX-7524_mod_2fe2s(1)	1.0
2Fe2S_to_ErpA_by_IscA	IscA_tetra	1.0

2Fe2S_to_ErpA_by_IscU	CPLX-7524	-1.0
2Fe2S_to_ErpA_by_IscU	IscU_mod_2fe2s(1)	-1.0
2Fe2S_to_ErpA_by_IscU	atp_c	-1.0
2Fe2S_to_ErpA_by_IscU	CPLX-7524_mod_2fe2s(1)	1.0
2Fe2S_to_ErpA_by_IscU	IscU	1.0
2Fe2S_to_ErpA_by_IscU	adp_c	1.0
2Fe2S_to_ErpA_by_IscU	pi_c	1.0

2Fe2S_to_ErpA_by_SufA	CPLX-7524	-1.0
2Fe2S_to_ErpA_by_SufA	CPLX0-7824_mod_2fe2s(1)	-1.0
2Fe2S_to_ErpA_by_SufA	CPLX-7524_mod_2fe2s(1)	1.0
2Fe2S_to_ErpA_by_SufA	CPLX0-7824	1.0

2Fe2S_to_IscA_by_IscU	IscA_tetra	-1.0
2Fe2S_to_IscA_by_IscU	IscU_mod_2fe2s(1)	-1.0
2Fe2S_to_IscA_by_IscU	atp_c	-1.0
2Fe2S_to_IscA_by_IscU	IscA_tetra_mod_2fe2s(1)	1.0
2Fe2S_to_IscA_by_IscU	IscU	1.0
2Fe2S_to_IscA_by_IscU	adp_c	1.0
2Fe2S_to_IscA_by_IscU	pi_c	1.0

2Fe2S_to_IscA_by_SufBCD	CPLX0-1341_mod_2fe2s(1)	-1.0
2Fe2S_to_IscA_by_SufBCD	IscA_tetra	-1.0
2Fe2S_to_IscA_by_SufBCD	CPLX0-1341	1.0
2Fe2S_to_IscA_by_SufBCD	IscA_tetra_mod_2fe2s(1)	1.0

2Fe2S_to_SufA_by_IscU	CPLX0-7824	-1.0
2Fe2S_to_SufA_by_IscU	IscU_mod_2fe2s(1)	-1.0
2Fe2S_to_SufA_by_IscU	atp_c	-1.0
2Fe2S_to_SufA_by_IscU	CPLX0-7824_mod_2fe2s(1)	1.0
2Fe2S_to_SufA_by_IscU	IscU	1.0
2Fe2S_to_SufA_by_IscU	adp_c	1.0
2Fe2S_to_SufA_by_IscU	pi_c	1.0
