Gene Name,Left-End-Position,Right-End-Position,Product,Accession-1,replicon
SYNPCC7942_2595,2677377,2678808,SYNPCC7942_2595-MONOMER,SYNPCC7942_RS13220,NC_007604.1
SYNPCC7942_0601,0,261,SYNPCC7942_0601-MONOMER,SYNPCC7942_RS03085,SYNPCC7942_RS03085
SYNPCC7942_1540,0,711,SYNPCC7942_1540-MONOMER,SYNPCC7942_1540,SYNPCC7942_1540
SYNPCC7942_2546,2626236,2626956,SYNPCC7942_2546-MONOMER,SYNPCC7942_RS12935,NC_007604.1
SYNPCC7942_0557,539413,539605,SYNPCC7942_0557-MONOMER,SYNPCC7942_RS02835,NC_007604.1
SYNPCC7942_1492,1543937,1544507,SYNPCC7942_1492-MONOMER,SYNPCC7942_RS07625,NC_007604.1
SYNPCC7942_2489,0,276,SYNPCC7942_2489-MONOMER,SYNPCC7942_2489,SYNPCC7942_2489
SYNPCC7942_0524,508794,509202,SYNPCC7942_0524-MONOMER,SYNPCC7942_RS02665,NC_007604.1
SYNPCC7942_1444,0,294,SYNPCC7942_1444-MONOMER,SYNPCC7942_RS07390,SYNPCC7942_RS07390
SYNPCC7942_2459,2538621,2539710,SYNPCC7942_2459-MONOMER,SYNPCC7942_RS12500,NC_007604.1
SYNPCC7942_0495,482980,483517,SYNPCC7942_0495-MONOMER,SYNPCC7942_RS02520,NC_007604.1
SYNPCC7942_1397,1446190,1447519,SYNPCC7942_1397-MONOMER,SYNPCC7942_RS07150,NC_007604.1
SYNPCC7942_2407,2480125,2480938,SYNPCC7942_2407-MONOMER,SYNPCC7942_RS12235,NC_007604.1
SYNPCC7942_0444,434356,435040,SYNPCC7942_0444-MONOMER,SYNPCC7942_RS02270,NC_007604.1
SYNPCC7942_1353,1385354,1386080,SYNPCC7942_1353-MONOMER,SYNPCC7942_RS06915,NC_007604.1
SYNPCC7942_2370,2438231,2438441,SYNPCC7942_2370-MONOMER,SYNPCC7942_RS12045,NC_007604.1
SYNPCC7942_0415,405167,406145,SYNPCC7942_0415-MONOMER,SYNPCC7942_RS02120,NC_007604.1
SYNPCC7942_1306,1333521,1334082,SYNPCC7942_1306-MONOMER,SYNPCC7942_RS06680,NC_007604.1
SYNPCC7942_2311,2379601,2380381,SYNPCC7942_2311-MONOMER,SYNPCC7942_RS11750,NC_007604.1
SYNPCC7942_0382,375455,375722,SYNPCC7942_0382-MONOMER,SYNPCC7942_RS01950,NC_007604.1
SYNPCC7942_1260,1283243,1284071,SYNPCC7942_1260-MONOMER,SYNPCC7942_RS06455,NC_007604.1
SYNPCC7942_2275,0,285,SYNPCC7942_2275-MONOMER,SYNPCC7942_2275,SYNPCC7942_2275
SYNPCC7942_0347,0,165,SYNPCC7942_0347-MONOMER,SYNPCC7942_0347,SYNPCC7942_0347
SYNPCC7942_1196,1224297,1224534,SYNPCC7942_1196-MONOMER,SYNPCC7942_RS06125,NC_007604.1
SYNPCC7942_2200,2280585,2281077,SYNPCC7942_2200-MONOMER,SYNPCC7942_RS11175,NC_007604.1
SYNPCC7942_0293,289756,290095,SYNPCC7942_0293-MONOMER,SYNPCC7942_RS01495,NC_007604.1
SYNPCC7942_1157,1186080,1189266,SYNPCC7942_1157-MONOMER,SYNPCC7942_RS05930,NC_007604.1
SYNPCC7942_2169,2251159,2251438,SYNPCC7942_2169-MONOMER,SYNPCC7942_RS11025,NC_007604.1
SYNPCC7942_0237,232564,233143,SYNPCC7942_0237-MONOMER,SYNPCC7942_RS01205,NC_007604.1
SYNPCC7942_1128,1147348,1148437,SYNPCC7942_1128-MONOMER,SYNPCC7942_RS05775,NC_007604.1
SYNPCC7942_2141,2226030,2226495,SYNPCC7942_2141-MONOMER,SYNPCC7942_RS10870,NC_007604.1
SYNPCC7942_0207,0,171,SYNPCC7942_0207-MONOMER,SYNPCC7942_0207,SYNPCC7942_0207
SYNPCC7942_1081,1093130,1093832,SYNPCC7942_1081-MONOMER,SYNPCC7942_RS05550,NC_007604.1
SYNPCC7942_2088,2168001,2168316,SYNPCC7942_2088-MONOMER,SYNPCC7942_RS10585,NC_007604.1
SYNPCC7942_0167,166694,166925,SYNPCC7942_0167-MONOMER,SYNPCC7942_RS00850,NC_007604.1
SYNPCC7942_1041,0,273,SYNPCC7942_1041-MONOMER,SYNPCC7942_1041,SYNPCC7942_1041
SYNPCC7942_2036,2105521,2106526,SYNPCC7942_2036-MONOMER,SYNPCC7942_RS10330,NC_007604.1
SYNPCC7942_0134,134744,136052,SYNPCC7942_0134-MONOMER,SYNPCC7942_RS00680,NC_007604.1
SYNPCC7942_0999,0,300,SYNPCC7942_0999-MONOMER,SYNPCC7942_0999,SYNPCC7942_0999
SYNPCC7942_2003,2072149,2072806,SYNPCC7942_2003-MONOMER,SYNPCC7942_RS10160,NC_007604.1
SYNPCC7942_0092,90582,90930,SYNPCC7942_0092-MONOMER,SYNPCC7942_RS00465,NC_007604.1
SYNPCC7942_0955,963271,963790,SYNPCC7942_0955-MONOMER,SYNPCC7942_RS04910,NC_007604.1
SYNPCC7942_1951,2024827,2025190,SYNPCC7942_1951-MONOMER,SYNPCC7942_RS09900,NC_007604.1
SYNPCC7942_0052,54511,55030,SYNPCC7942_0052-MONOMER,SYNPCC7942_RS00260,NC_007604.1
SYNPCC7942_0907,0,213,SYNPCC7942_0907-MONOMER,SYNPCC7942_0907,SYNPCC7942_0907
SYNPCC7942_1909,1985141,1985738,SYNPCC7942_1909-MONOMER,SYNPCC7942_RS09680,NC_007604.1
SYNPCC7942_0013,12320,13028,SYNPCC7942_0013-MONOMER,SYNPCC7942_RS00065,NC_007604.1
SYNPCC7942_0869,871261,871852,SYNPCC7942_0869-MONOMER,SYNPCC7942_RS04480,NC_007604.1
SYNPCC7942_1866,1936388,1936799,SYNPCC7942_1866-MONOMER,SYNPCC7942_RS09470,NC_007604.1
SYNPCC7942_0837,832178,832811,SYNPCC7942_0837-MONOMER,SYNPCC7942_RS04330,NC_007604.1
SYNPCC7942_1822,0,213,SYNPCC7942_1822-MONOMER,SYNPCC7942_1822,SYNPCC7942_1822
SYNPCC7942_0803,796506,797289,SYNPCC7942_0803-MONOMER,SYNPCC7942_RS04155,NC_007604.1
SYNPCC7942_1781,1847467,1847743,SYNPCC7942_1781-MONOMER,SYNPCC7942_RS09050,NC_007604.1
SYNPCC7942_0767,0,435,SYNPCC7942_0767-MONOMER,SYNPCC7942_0767,SYNPCC7942_0767
SYNPCC7942_1754,0,153,SYNPCC7942_1754-MONOMER,SYNPCC7942_1754,SYNPCC7942_1754
SYNPCC7942_0744,738158,739610,SYNPCC7942_0744-MONOMER,SYNPCC7942_RS03855,NC_007604.1
SYNPCC7942_1702,0,138,SYNPCC7942_1702-MONOMER,SYNPCC7942_1702,SYNPCC7942_1702
SYNPCC7942_0718,713677,714331,SYNPCC7942_0718-MONOMER,SYNPCC7942_RS03700,NC_007604.1
SYNPCC7942_1663,1733400,1733667,SYNPCC7942_1663-MONOMER,SYNPCC7942_RS13630,NC_007604.1
SYNPCC7942_B2652,0,252,SYNPCC7942_B2652-MONOMER,SYNPCC7942_RS13470,SYNPCC7942_RS13470
SYNPCC7942_0682,675945,676905,SYNPCC7942_0682-MONOMER,SYNPCC7942_RS03495,NC_007604.1
SYNPCC7942_1629,1698070,1698712,SYNPCC7942_1629-MONOMER,SYNPCC7942_RS08310,NC_007604.1
SYNPCC7942_B2626,0,825,SYNPCC7942_B2626-MONOMER,SYNPCC7942_RS13640,SYNPCC7942_RS13640
SYNPCC7942_0643,636761,636965,SYNPCC7942_0643-MONOMER,SYNPCC7942_RS03300,NC_007604.1
SYNPCC7942_1580,1644010,1644436,SYNPCC7942_1580-MONOMER,SYNPCC7942_RS08070,NC_007604.1
SYNPCC7942_2591,2674604,2675273,SYNPCC7942_2591-MONOMER,SYNPCC7942_RS13195,NC_007604.1
SYNPCC7942_0593,580421,581174,SYNPCC7942_0593-MONOMER,SYNPCC7942_RS13615,NC_007604.1
SYNPCC7942_1537,0,210,SYNPCC7942_1537-MONOMER,SYNPCC7942_RS07855,SYNPCC7942_RS07855
SYNPCC7942_2533,2613997,2614378,SYNPCC7942_2533-MONOMER,SYNPCC7942_RS12860,NC_007604.1
SYNPCC7942_0550,532653,533037,SYNPCC7942_0550-MONOMER,SYNPCC7942_RS02800,NC_007604.1
SYNPCC7942_1482,1532604,1534170,SYNPCC7942_1482-MONOMER,SYNPCC7942_RS07575,NC_007604.1
SYNPCC7942_2486,0,1581,SYNPCC7942_2486-MONOMER,SYNPCC7942_2486,SYNPCC7942_2486
SYNPCC7942_0521,506834,507422,SYNPCC7942_0521-MONOMER,SYNPCC7942_RS02645,NC_007604.1
SYNPCC7942_1436,1490758,1491178,SYNPCC7942_1436-MONOMER,SYNPCC7942_RS07345,NC_007604.1
SYNPCC7942_2447,2524093,2524315,SYNPCC7942_2447-MONOMER,SYNPCC7942_RS12435,NC_007604.1
SYNPCC7942_0491,0,138,SYNPCC7942_0491-MONOMER,SYNPCC7942_RS02500,SYNPCC7942_RS02500
SYNPCC7942_1387,1432852,1433680,SYNPCC7942_1387-MONOMER,SYNPCC7942_RS07100,NC_007604.1
SYNPCC7942_2403,2477463,2477748,SYNPCC7942_2403-MONOMER,SYNPCC7942_RS12210,NC_007604.1
SYNPCC7942_0436,426844,427150,SYNPCC7942_0436-MONOMER,SYNPCC7942_RS02230,NC_007604.1
SYNPCC7942_1348,1381031,1381331,SYNPCC7942_1348-MONOMER,SYNPCC7942_RS06890,NC_007604.1
SYNPCC7942_2364,2430161,2430767,SYNPCC7942_2364-MONOMER,SYNPCC7942_RS12010,NC_007604.1
SYNPCC7942_0410,401749,402022,SYNPCC7942_0410-MONOMER,SYNPCC7942_RS02090,NC_007604.1
SYNPCC7942_1302,1330249,1330726,SYNPCC7942_1302-MONOMER,SYNPCC7942_RS06660,NC_007604.1
SYNPCC7942_2301,2370541,2370814,SYNPCC7942_2301-MONOMER,SYNPCC7942_RS11695,NC_007604.1
SYNPCC7942_0379,373379,373763,SYNPCC7942_0379-MONOMER,SYNPCC7942_RS01930,NC_007604.1
SYNPCC7942_1248,1272550,1273123,SYNPCC7942_1248-MONOMER,SYNPCC7942_RS06395,NC_007604.1
SYNPCC7942_2267,2335845,2336103,SYNPCC7942_2267-MONOMER,SYNPCC7942_RS11520,NC_007604.1
SYNPCC7942_0340,335070,335652,SYNPCC7942_0340-MONOMER,SYNPCC7942_RS01735,NC_007604.1
SYNPCC7942_1187,1216356,1217532,SYNPCC7942_1187-MONOMER,SYNPCC7942_RS06080,NC_007604.1
SYNPCC7942_2194,2272633,2272978,SYNPCC7942_2194-MONOMER,SYNPCC7942_RS11145,NC_007604.1
SYNPCC7942_0286,281479,281842,SYNPCC7942_0286-MONOMER,SYNPCC7942_RS01455,NC_007604.1
SYNPCC7942_1154,1181135,1182443,SYNPCC7942_1154-MONOMER,SYNPCC7942_RS05915,NC_007604.1
SYNPCC7942_2165,2246988,2247369,SYNPCC7942_2165-MONOMER,SYNPCC7942_RS11005,NC_007604.1
SYNPCC7942_0230,226262,227309,SYNPCC7942_0230-MONOMER,SYNPCC7942_RS01170,NC_007604.1
SYNPCC7942_1117,1134380,1135043,SYNPCC7942_1117-MONOMER,SYNPCC7942_RS05725,NC_007604.1
SYNPCC7942_2135,2214772,2215456,SYNPCC7942_2135-MONOMER,SYNPCC7942_RS10830,NC_007604.1
SYNPCC7942_0200,201351,201888,SYNPCC7942_0200-MONOMER,SYNPCC7942_RS01015,NC_007604.1
SYNPCC7942_1075,1085644,1086433,SYNPCC7942_1075-MONOMER,SYNPCC7942_RS05515,NC_007604.1
SYNPCC7942_2075,2153765,2154017,SYNPCC7942_2075-MONOMER,SYNPCC7942_RS10520,NC_007604.1
SYNPCC7942_0163,163760,164510,SYNPCC7942_0163-MONOMER,SYNPCC7942_RS00825,NC_007604.1
SYNPCC7942_1036,1050753,1051257,SYNPCC7942_1036-MONOMER,SYNPCC7942_RS05320,NC_007604.1
SYNPCC7942_2033,2102329,2103022,SYNPCC7942_2033-MONOMER,SYNPCC7942_RS10315,NC_007604.1
SYNPCC7942_0130,128821,129409,SYNPCC7942_0130-MONOMER,SYNPCC7942_RS00660,NC_007604.1
SYNPCC7942_0993,1001765,1003118,SYNPCC7942_0993-MONOMER,SYNPCC7942_RS05100,NC_007604.1
SYNPCC7942_1993,2063553,2064174,SYNPCC7942_1993-MONOMER,SYNPCC7942_RS10105,NC_007604.1
SYNPCC7942_0084,81216,81918,SYNPCC7942_0084-MONOMER,SYNPCC7942_RS00415,NC_007604.1
SYNPCC7942_0945,952792,953806,SYNPCC7942_0945-MONOMER,SYNPCC7942_RS04860,NC_007604.1
SYNPCC7942_1948,2023693,2023939,SYNPCC7942_1948-MONOMER,SYNPCC7942_RS09885,NC_007604.1
SYNPCC7942_0043,41130,41496,SYNPCC7942_0043-MONOMER,SYNPCC7942_RS00215,NC_007604.1
SYNPCC7942_0904,914612,915158,SYNPCC7942_0904-MONOMER,SYNPCC7942_RS04660,NC_007604.1
SYNPCC7942_1903,1976982,1978113,SYNPCC7942_1903-MONOMER,SYNPCC7942_RS09650,NC_007604.1
SYNPCC7942_0008,8535,8946,SYNPCC7942_0008-MONOMER,SYNPCC7942_RS00040,NC_007604.1
SYNPCC7942_0866,868539,869121,SYNPCC7942_0866-MONOMER,SYNPCC7942_RS04465,NC_007604.1
SYNPCC7942_1846,1911977,1913807,SYNPCC7942_1846-MONOMER,SYNPCC7942_RS09365,NC_007604.1
SYNPCC7942_0833,827111,828182,SYNPCC7942_0833-MONOMER,SYNPCC7942_RS04310,NC_007604.1
SYNPCC7942_1819,1892387,1892930,SYNPCC7942_1819-MONOMER,SYNPCC7942_RS09235,NC_007604.1
SYNPCC7942_0796,791174,791720,SYNPCC7942_0796-MONOMER,SYNPCC7942_RS04120,NC_007604.1
SYNPCC7942_1776,1840741,1840999,SYNPCC7942_1776-MONOMER,SYNPCC7942_RS09025,NC_007604.1
SYNPCC7942_0761,754778,755507,SYNPCC7942_0761-MONOMER,SYNPCC7942_RS03940,NC_007604.1
SYNPCC7942_1748,1818989,1819751,SYNPCC7942_1748-MONOMER,SYNPCC7942_RS08895,NC_007604.1
SYNPCC7942_0739,733547,733880,SYNPCC7942_0739-MONOMER,SYNPCC7942_RS03830,NC_007604.1
SYNPCC7942_1695,1762638,1763637,SYNPCC7942_1695-MONOMER,SYNPCC7942_RS08630,NC_007604.1
SYNPCC7942_0709,700510,700840,SYNPCC7942_0709-MONOMER,SYNPCC7942_RS03635,NC_007604.1
SYNPCC7942_1657,1728452,1728674,SYNPCC7942_1657-MONOMER,SYNPCC7942_RS08450,NC_007604.1
SYNPCC7942_B2648,0,267,SYNPCC7942_B2648-MONOMER,SYNPCC7942_RS13350,SYNPCC7942_RS13350
SYNPCC7942_0671,666155,666653,SYNPCC7942_0671-MONOMER,SYNPCC7942_RS03435,NC_007604.1
SYNPCC7942_1626,1695067,1695550,SYNPCC7942_1626-MONOMER,SYNPCC7942_RS08295,NC_007604.1
SYNPCC7942_B2617,0,546,SYNPCC7942_B2617-MONOMER,SYNPCC7942_RS13395,SYNPCC7942_RS13395
SYNPCC7942_0627,620461,621226,SYNPCC7942_0627-MONOMER,SYNPCC7942_RS03220,NC_007604.1
SYNPCC7942_1565,1622969,1623410,SYNPCC7942_1565-MONOMER,SYNPCC7942_RS07995,NC_007604.1
SYNPCC7942_2583,2668298,2668931,SYNPCC7942_2583-MONOMER,SYNPCC7942_RS13155,NC_007604.1
SYNPCC7942_0581,562633,562981,SYNPCC7942_0581-MONOMER,SYNPCC7942_RS02955,NC_007604.1
SYNPCC7942_1526,1585286,1586078,SYNPCC7942_1526-MONOMER,SYNPCC7942_RS07800,NC_007604.1
SYNPCC7942_2528,2609740,2610427,SYNPCC7942_2528-MONOMER,SYNPCC7942_RS12835,NC_007604.1
SYNPCC7942_0547,530056,530566,SYNPCC7942_0547-MONOMER,SYNPCC7942_RS02785,NC_007604.1
SYNPCC7942_1476,1527716,1528031,SYNPCC7942_1476-MONOMER,SYNPCC7942_RS07545,NC_007604.1
SYNPCC7942_2483,2563679,2565080,SYNPCC7942_2483-MONOMER,SYNPCC7942_RS12610,NC_007604.1
SYNPCC7942_0518,504392,505556,SYNPCC7942_0518-MONOMER,SYNPCC7942_RS02630,NC_007604.1
SYNPCC7942_1429,1482856,1483267,SYNPCC7942_1429-MONOMER,SYNPCC7942_RS07310,NC_007604.1
SYNPCC7942_2432,2506120,2506729,SYNPCC7942_2432-MONOMER,SYNPCC7942_RS12355,NC_007604.1
SYNPCC7942_0476,0,411,SYNPCC7942_0476-MONOMER,SYNPCC7942_0476,SYNPCC7942_0476
SYNPCC7942_1378,1419925,1421161,SYNPCC7942_1378-MONOMER,SYNPCC7942_RS07050,NC_007604.1
SYNPCC7942_2399,2472922,2474101,SYNPCC7942_2399-MONOMER,SYNPCC7942_RS12190,NC_007604.1
SYNPCC7942_0433,423631,424840,SYNPCC7942_0433-MONOMER,SYNPCC7942_RS02210,NC_007604.1
SYNPCC7942_1338,1372862,1373645,SYNPCC7942_1338-MONOMER,SYNPCC7942_RS06840,NC_007604.1
SYNPCC7942_2355,2421778,2422102,SYNPCC7942_2355-MONOMER,SYNPCC7942_RS11965,NC_007604.1
SYNPCC7942_0403,397397,397577,SYNPCC7942_0403-MONOMER,SYNPCC7942_RS02055,NC_007604.1
SYNPCC7942_1288,1311027,1311534,SYNPCC7942_1288-MONOMER,SYNPCC7942_RS06595,NC_007604.1
SYNPCC7942_2294,2364151,2364988,SYNPCC7942_2294-MONOMER,SYNPCC7942_RS11660,NC_007604.1
SYNPCC7942_0373,366737,368024,SYNPCC7942_0373-MONOMER,SYNPCC7942_RS01900,NC_007604.1
SYNPCC7942_1234,1254738,1255242,SYNPCC7942_1234-MONOMER,SYNPCC7942_RS06325,NC_007604.1
SYNPCC7942_2257,0,168,SYNPCC7942_2257-MONOMER,SYNPCC7942_2257,SYNPCC7942_2257
SYNPCC7942_0329,326103,327357,SYNPCC7942_0329-MONOMER,SYNPCC7942_RS01675,NC_007604.1
SYNPCC7942_1173,1207865,1209134,SYNPCC7942_1173-MONOMER,SYNPCC7942_RS06015,NC_007604.1
SYNPCC7942_2187,2265697,2266102,SYNPCC7942_2187-MONOMER,SYNPCC7942_RS11115,NC_007604.1
SYNPCC7942_0269,264975,265857,SYNPCC7942_0269-MONOMER,SYNPCC7942_RS01370,NC_007604.1
SYNPCC7942_1147,1171570,1172278,SYNPCC7942_1147-MONOMER,SYNPCC7942_RS05875,NC_007604.1
SYNPCC7942_2161,2243879,2244536,SYNPCC7942_2161-MONOMER,SYNPCC7942_RS10980,NC_007604.1
SYNPCC7942_0225,224059,224263,SYNPCC7942_0225-MONOMER,SYNPCC7942_RS01145,NC_007604.1
SYNPCC7942_1106,1123677,1124148,SYNPCC7942_1106-MONOMER,SYNPCC7942_RS05670,NC_007604.1
SYNPCC7942_2126,2206399,2206804,SYNPCC7942_2126-MONOMER,SYNPCC7942_RS10780,NC_007604.1
SYNPCC7942_0193,192246,192471,SYNPCC7942_0193-MONOMER,SYNPCC7942_RS00980,NC_007604.1
SYNPCC7942_1069,1080998,1081550,SYNPCC7942_1069-MONOMER,SYNPCC7942_RS05485,NC_007604.1
SYNPCC7942_2061,2138193,2138463,SYNPCC7942_2061-MONOMER,SYNPCC7942_RS10455,NC_007604.1
SYNPCC7942_0157,159041,159560,SYNPCC7942_0157-MONOMER,SYNPCC7942_RS00795,NC_007604.1
SYNPCC7942_1031,0,342,SYNPCC7942_1031-MONOMER,SYNPCC7942_1031,SYNPCC7942_1031
SYNPCC7942_2023,2091759,2092221,SYNPCC7942_2023-MONOMER,SYNPCC7942_RS10265,NC_007604.1
SYNPCC7942_0121,120012,121239,SYNPCC7942_0121-MONOMER,SYNPCC7942_RS00610,NC_007604.1
SYNPCC7942_0985,993653,995036,SYNPCC7942_0985-MONOMER,SYNPCC7942_RS05060,NC_007604.1
SYNPCC7942_1987,2057818,2058133,SYNPCC7942_1987-MONOMER,SYNPCC7942_RS10075,NC_007604.1
SYNPCC7942_0072,71306,71960,SYNPCC7942_0072-MONOMER,SYNPCC7942_RS00355,NC_007604.1
SYNPCC7942_0934,940994,942056,SYNPCC7942_0934-MONOMER,SYNPCC7942_RS04805,NC_007604.1
SYNPCC7942_1941,2014680,2015577,SYNPCC7942_1941-MONOMER,SYNPCC7942_RS09850,NC_007604.1
SYNPCC7942_0035,34356,35115,SYNPCC7942_0035-MONOMER,SYNPCC7942_RS00175,NC_007604.1
SYNPCC7942_0899,908497,909295,SYNPCC7942_0899-MONOMER,SYNPCC7942_RS04635,NC_007604.1
SYNPCC7942_1891,1964411,1964972,SYNPCC7942_1891-MONOMER,SYNPCC7942_RS09590,NC_007604.1
SYNPCC7942_0005,6110,7706,SYNPCC7942_0005-MONOMER,SYNPCC7942_RS00025,NC_007604.1
SYNPCC7942_0863,866026,867208,SYNPCC7942_0863-MONOMER,SYNPCC7942_RS04450,NC_007604.1
SYNPCC7942_1840,1906919,1907426,SYNPCC7942_1840-MONOMER,SYNPCC7942_RS09335,NC_007604.1
SYNPCC7942_0826,820692,821628,SYNPCC7942_0826-MONOMER,SYNPCC7942_RS04270,NC_007604.1
SYNPCC7942_1804,1873842,1874406,SYNPCC7942_1804-MONOMER,SYNPCC7942_RS09165,NC_007604.1
SYNPCC7942_0789,784843,785167,SYNPCC7942_0789-MONOMER,SYNPCC7942_RS04085,NC_007604.1
SYNPCC7942_1769,1836407,1836794,SYNPCC7942_1769-MONOMER,SYNPCC7942_RS08990,NC_007604.1
SYNPCC7942_0758,0,423,SYNPCC7942_0758-MONOMER,SYNPCC7942_0758,SYNPCC7942_0758
SYNPCC7942_1732,1803167,1803578,SYNPCC7942_1732-MONOMER,SYNPCC7942_RS08815,NC_007604.1
SYNPCC7942_0734,729176,731051,SYNPCC7942_0734-MONOMER,SYNPCC7942_RS03795,NC_007604.1
SYNPCC7942_1683,1751062,1751308,SYNPCC7942_1683-MONOMER,SYNPCC7942_RS08575,NC_007604.1
SYNPCC7942_1676,1744815,1745469,SYNPCC7942_1676-MONOMER,SYNPCC7942_RS08540,NC_007604.1
SYNPCC7942_0702,693256,694045,SYNPCC7942_0702-MONOMER,SYNPCC7942_RS03600,NC_007604.1
SYNPCC7942_1647,1715265,1716186,SYNPCC7942_1647-MONOMER,SYNPCC7942_RS08400,NC_007604.1
SYNPCC7942_B2640,0,432,SYNPCC7942_B2640-MONOMER,SYNPCC7942_RS13535,SYNPCC7942_RS13535
SYNPCC7942_0665,662231,662978,SYNPCC7942_0665-MONOMER,SYNPCC7942_RS03405,NC_007604.1
SYNPCC7942_1613,1682041,1682617,SYNPCC7942_1613-MONOMER,SYNPCC7942_RS08230,NC_007604.1
SYNPCC7942_2611,2692992,2693700,SYNPCC7942_2611-MONOMER,SYNPCC7942_RS13300,NC_007604.1
SYNPCC7942_0619,609170,609788,SYNPCC7942_0619-MONOMER,SYNPCC7942_RS03175,NC_007604.1
SYNPCC7942_1560,0,159,SYNPCC7942_1560-MONOMER,SYNPCC7942_1560,SYNPCC7942_1560
SYNPCC7942_2572,2652059,2652377,SYNPCC7942_2572-MONOMER,SYNPCC7942_RS13070,NC_007604.1
SYNPCC7942_0574,555611,556442,SYNPCC7942_0574-MONOMER,SYNPCC7942_RS02925,NC_007604.1
SYNPCC7942_1506,1556096,1556525,SYNPCC7942_1506-MONOMER,SYNPCC7942_RS07695,NC_007604.1
SYNPCC7942_2517,2597030,2597729,SYNPCC7942_2517-MONOMER,SYNPCC7942_RS12780,NC_007604.1
SYNPCC7942_0543,526249,526813,SYNPCC7942_0543-MONOMER,SYNPCC7942_RS02765,NC_007604.1
SYNPCC7942_1470,0,294,SYNPCC7942_1470-MONOMER,SYNPCC7942_1470,SYNPCC7942_1470
SYNPCC7942_2477,2558587,2559484,SYNPCC7942_2477-MONOMER,SYNPCC7942_RS12585,NC_007604.1
SYNPCC7942_0509,495459,495933,SYNPCC7942_0509-MONOMER,SYNPCC7942_RS02585,NC_007604.1
SYNPCC7942_1413,1464940,1465696,SYNPCC7942_1413-MONOMER,SYNPCC7942_RS07230,NC_007604.1
SYNPCC7942_2422,2493977,2494844,SYNPCC7942_2422-MONOMER,SYNPCC7942_RS12305,NC_007604.1
SYNPCC7942_0470,457231,457744,SYNPCC7942_0470-MONOMER,SYNPCC7942_RS02400,NC_007604.1
SYNPCC7942_1370,1407962,1408202,SYNPCC7942_1370-MONOMER,SYNPCC7942_RS07010,NC_007604.1
SYNPCC7942_2392,2466044,2467505,SYNPCC7942_2392-MONOMER,SYNPCC7942_RS12155,NC_007604.1
SYNPCC7942_0425,415063,415441,SYNPCC7942_0425-MONOMER,SYNPCC7942_RS02170,NC_007604.1
SYNPCC7942_1330,1362507,1363164,SYNPCC7942_1330-MONOMER,SYNPCC7942_RS06800,NC_007604.1
SYNPCC7942_2342,2410476,2410977,SYNPCC7942_2342-MONOMER,SYNPCC7942_RS11900,NC_007604.1
SYNPCC7942_0395,388493,389618,SYNPCC7942_0395-MONOMER,SYNPCC7942_RS02015,NC_007604.1
SYNPCC7942_1279,1301795,1302047,SYNPCC7942_1279-MONOMER,SYNPCC7942_RS06550,NC_007604.1
SYNPCC7942_2287,2357145,2358120,SYNPCC7942_2287-MONOMER,SYNPCC7942_RS11625,NC_007604.1
SYNPCC7942_0363,355508,355793,SYNPCC7942_0363-MONOMER,SYNPCC7942_RS01850,NC_007604.1
SYNPCC7942_1212,1235829,1236090,SYNPCC7942_1212-MONOMER,SYNPCC7942_RS06205,NC_007604.1
