Transcription-Units,Genes of transcription unit,Direction
TU490-4718,SYNPCC7942_2057,+
TU490-3601,SYNPCC7942_0205,+
TU490-5084,SYNPCC7942_2365,+
TU490-3969,SYNPCC7942_0819 // SYNPCC7942_0818,+
TU490-4334,SYNPCC7942_1428,+
TU490-4702,SYNPCC7942_2031,-
TU490-3585,SYNPCC7942_0170,+
TU490-5068,SYNPCC7942_2533,+
TU490-3953,SYNPCC7942_0792,-
TU490-4318,SYNPCC7942_1404 // SYNPCC7942_1403,-
TU490-4686,SYNPCC7942_2003,+
TU490-3569,SYNPCC7942_0137,+
TU490-5052,SYNPCC7942_2612,+
TU490-3937,SYNPCC7942_0771,-
TU490-5474,SYNPCC7942_2314 // SYNPCC7942_2313,-
TU490-4302,SYNPCC7942_1378,-
TU490-4670,SYNPCC7942_1982 // SYNPCC7942_1981,-
TU490-5036,SYNPCC7942_2589,+
TU490-3921,SYNPCC7942_0741 // SYNPCC7942_0740 // SYNPCC7942_0739,+
TU490-5404,SYNPCC7942_0090,+
TU490-4654,SYNPCC7942_1956,+
TU490-5020,SYNPCC7942_2563,+
TU490-3905,SYNPCC7942_0715,+
TU490-5388,SYNPCC7942_0188,+
TU490-4273,SYNPCC7942_1335 // SYNPCC7942_1334 // SYNPCC7942_1333 // SYNPCC7942_1332 // SYNPCC7942_1331,+
TU490-4638,SYNPCC7942_1936 // SYNPCC7942_1935,-
TU490-5007,SYNPCC7942_2539,-
TU490-3889,SYNPCC7942_0692,-
TU490-5372,SYNPCC7942_0302,-
TU490-4257,SYNPCC7942_1311,-
TU490-4622,SYNPCC7942_1911 // SYNPCC7942_1910 // SYNPCC7942_1909,-
TU490-4991,SYNPCC7942_2509 // SYNPCC7942_2508,+
TU490-3873,SYNPCC7942_0662,+
TU490-5356,SYNPCC7942_0423,-
TU490-4241,SYNPCC7942_1286,+
TU490-4606,SYNPCC7942_1879 // SYNPCC7942_1878 // SYNPCC7942_1877,-
TU490-4975,SYNPCC7942_2476,+
TU490-3857,SYNPCC7942_0640,+
TU490-5340,SYNPCC7942_0543,-
TU490-4225,SYNPCC7942_1256,+
TU490-4590,SYNPCC7942_1848 // SYNPCC7942_1847,-
TU490-4959,SYNPCC7942_2456 // SYNPCC7942_2455,+
TU490-3841,SYNPCC7942_0616,+
TU490-5324,SYNPCC7942_0651,+
TU490-4209,SYNPCC7942_1227,-
TU490-4574,SYNPCC7942_1818,-
TU490-4943,SYNPCC7942_2437,-
TU490-3825,SYNPCC7942_0591 // SYNPCC7942_0590,+
TU490-5308,SYNPCC7942_0826,+
TU490-4193,SYNPCC7942_1197,-
TU490-4558,SYNPCC7942_1799,+
TU490-4927,SYNPCC7942_2413 // SYNPCC7942_2412,-
TU490-3809,SYNPCC7942_0569 // SYNPCC7942_0568 // SYNPCC7942_0567,-
TU490-3559,SYNPCC7942_0124,-
TU490-5292,SYNPCC7942_0951,+
TU490-4177,SYNPCC7942_1170,-
TU490-4542,SYNPCC7942_1776,+
TU490-4911,SYNPCC7942_2391,+
TU490-3793,SYNPCC7942_0542,+
TU490-3543,SYNPCC7942_0101,+
TU490-5276,SYNPCC7942_1028,-
TU490-4161,SYNPCC7942_R0044,-
TU490-4526,SYNPCC7942_1750 // SYNPCC7942_1749 // SYNPCC7942_1748 // SYNPCC7942_1747,-
TU490-4895,SYNPCC7942_2364 // SYNPCC7942_2363,-
TU490-3777,SYNPCC7942_0517,-
TU490-3527,SYNPCC7942_0077,+
TU490-5260,SYNPCC7942_1137,-
TU490-4145,SYNPCC7942_1124 // SYNPCC7942_1123,+
TU490-4510,SYNPCC7942_1721,-
TU490-4879,SYNPCC7942_2335,-
TU490-3761,SYNPCC7942_0480,+
TU490-3511,SYNPCC7942_0044,+
TU490-5244,SYNPCC7942_1254,+
TU490-4129,SYNPCC7942_1099 // SYNPCC7942_1098,-
TU490-4494,SYNPCC7942_1696,-
TU490-4863,SYNPCC7942_2308,+
TU490-3745,SYNPCC7942_0455,+
TU490-3495,SYNPCC7942_0011,-
TU490-5228,SYNPCC7942_1391,+
TU490-4113,SYNPCC7942_1070 // SYNPCC7942_1069,-
TU490-4478,SYNPCC7942_1665 // SYNPCC7942_1664,+
TU490-4844,SYNPCC7942_R0011,+
TU490-3726,SYNPCC7942_0418,+
TU490-1546,SYNPCC7942_B2639 // SYNPCC7942_B2638,+
TU490-5209,SYNPCC7942_R0053,+
TU490-4094,SYNPCC7942_1036,+
TU490-4459,SYNPCC7942_1637,-
TU490-4828,SYNPCC7942_2247 // SYNPCC7942_2246,+
TU490-3710,SYNPCC7942_0387 // SYNPCC7942_0386,+
TU490-1530,SYNPCC7942_B2662,-
TU490-5193,SYNPCC7942_1582,-
TU490-4078,SYNPCC7942_0999,-
TU490-4443,SYNPCC7942_1613,+
TU490-4812,SYNPCC7942_2211,-
TU490-3694,SYNPCC7942_0363 // SYNPCC7942_0362,+
TU490-5177,SYNPCC7942_1698,+
TU490-4062,SYNPCC7942_0968,+
TU490-4427,SYNPCC7942_1575 // SYNPCC7942_1574,+
TU490-4796,SYNPCC7942_2184,+
TU490-3678,SYNPCC7942_0337 // SYNPCC7942_0336,+
TU490-5161,SYNPCC7942_1842,+
TU490-4046,SYNPCC7942_0941,-
TU490-4411,SYNPCC7942_1551,+
TU490-4779,SYNPCC7942_2159,+
TU490-3662,SYNPCC7942_0312 // SYNPCC7942_0311 // SYNPCC7942_0310,-
TU490-5145,SYNPCC7942_1987,+
TU490-4030,SYNPCC7942_0912,+
TU490-4395,SYNPCC7942_1527,+
TU490-4763,SYNPCC7942_2136 // SYNPCC7942_2135,-
TU490-3646,SYNPCC7942_0284,+
TU490-5129,SYNPCC7942_2110,-
TU490-4014,SYNPCC7942_0890,+
TU490-4379,SYNPCC7942_1506,-
TU490-4747,SYNPCC7942_2108,+
TU490-3630,SYNPCC7942_0253 // SYNPCC7942_0252,-
TU490-5113,SYNPCC7942_2171,-
TU490-3998,SYNPCC7942_0864,+
TU490-4363,SYNPCC7942_1474 // SYNPCC7942_1473 // SYNPCC7942_1472 // SYNPCC7942_1471 // SYNPCC7942_1470 // SYNPCC7942_1469 // SYNPCC7942_1468,-
TU490-4731,SYNPCC7942_2077,+
TU490-3614,SYNPCC7942_0224 // SYNPCC7942_0223,-
TU490-5097,SYNPCC7942_2317,-
TU490-3982,SYNPCC7942_0840 // SYNPCC7942_0839 // SYNPCC7942_0838,-
TU490-4347,SYNPCC7942_1446,-
TU490-4715,SYNPCC7942_2052 // SYNPCC7942_2051,-
TU490-3598,SYNPCC7942_0197 // SYNPCC7942_0196,-
TU490-5081,SYNPCC7942_2405,-
TU490-3966,SYNPCC7942_0815 // SYNPCC7942_0814 // SYNPCC7942_0813 // SYNPCC7942_0812,+
TU490-4331,SYNPCC7942_1424 // SYNPCC7942_1423,+
TU490-4699,SYNPCC7942_2028 // SYNPCC7942_2027 // SYNPCC7942_2026 // SYNPCC7942_2025,+
TU490-3582,SYNPCC7942_R0028,+
TU490-5065,SYNPCC7942_2549,-
TU490-3950,SYNPCC7942_0789,-
TU490-5487,SYNPCC7942_0004,+
TU490-4315,SYNPCC7942_1395 // SYNPCC7942_1394,+
TU490-4683,SYNPCC7942_2000,-
TU490-5049,SYNPCC7942_2610,-
TU490-3934,SYNPCC7942_0767,+
TU490-5471,SYNPCC7942_2106 // SYNPCC7942_2105 // SYNPCC7942_2104,-
TU490-4299,SYNPCC7942_1374,-
TU490-4667,SYNPCC7942_1974,-
TU490-5033,SYNPCC7942_2582 // SYNPCC7942_2581,+
TU490-3918,SYNPCC7942_0734 // SYNPCC7942_0733 // SYNPCC7942_0732,+
TU490-5401,SYNPCC7942_0115,-
TU490-4286,SYNPCC7942_1357 // SYNPCC7942_1356 // SYNPCC7942_1355,-
TU490-4651,SYNPCC7942_1952 // SYNPCC7942_R0002,+
TU490-5017,SYNPCC7942_2551,-
TU490-3902,SYNPCC7942_0713,-
TU490-5385,SYNPCC7942_0209,-
TU490-4270,SYNPCC7942_1327,+
TU490-4635,SYNPCC7942_1928 // SYNPCC7942_1927,+
TU490-5004,SYNPCC7942_2531,+
TU490-3886,SYNPCC7942_0687 // SYNPCC7942_0686,+
TU490-5369,SYNPCC7942_0353,+
TU490-4254,SYNPCC7942_1306,-
TU490-4619,SYNPCC7942_1906 // SYNPCC7942_1905,-
TU490-4988,SYNPCC7942_2503,-
TU490-3870,SYNPCC7942_0658,-
TU490-5353,SYNPCC7942_0451,+
TU490-4238,SYNPCC7942_1277 // SYNPCC7942_1276 // SYNPCC7942_1275 // SYNPCC7942_1274,-
TU490-4603,SYNPCC7942_1874,-
TU490-4972,SYNPCC7942_2473,+
TU490-3854,SYNPCC7942_0637,-
TU490-5337,SYNPCC7942_0563,-
TU490-4222,SYNPCC7942_1250 // SYNPCC7942_1249,-
TU490-4587,SYNPCC7942_1841,-
TU490-4956,SYNPCC7942_2450,-
TU490-3838,SYNPCC7942_0612,-
TU490-5321,SYNPCC7942_0675,-
TU490-4206,SYNPCC7942_1224 // SYNPCC7942_1223,-
TU490-4571,SYNPCC7942_1813,-
TU490-4940,SYNPCC7942_2431 // SYNPCC7942_2430 // SYNPCC7942_2429 // SYNPCC7942_2428,-
TU490-3822,SYNPCC7942_R0006 // SYNPCC7942_R0005,+
TU490-5305,SYNPCC7942_0845,+
TU490-4190,SYNPCC7942_1194,+
TU490-4555,SYNPCC7942_1796 // SYNPCC7942_1795,-
TU490-4924,SYNPCC7942_2409,-
TU490-3806,SYNPCC7942_0562,+
TU490-3556,SYNPCC7942_0121 // SYNPCC7942_0120,-
TU490-5289,SYNPCC7942_0970,+
TU490-4174,SYNPCC7942_1163 // SYNPCC7942_1162 // SYNPCC7942_1161,+
TU490-4539,SYNPCC7942_1773 // SYNPCC7942_1772,+
TU490-4908,SYNPCC7942_2388,-
TU490-3790,SYNPCC7942_0537,+
TU490-3540,SYNPCC7942_0096,-
TU490-5273,SYNPCC7942_1039,-
TU490-4158,SYNPCC7942_1142,+
TU490-4523,SYNPCC7942_1744,+
TU490-4892,SYNPCC7942_2359 // SYNPCC7942_2358,+
TU490-3774,SYNPCC7942_0511 // SYNPCC7942_0510,-
TU490-3524,SYNPCC7942_0073 // SYNPCC7942_0072,-
TU490-5257,SYNPCC7942_1149,-
TU490-4142,SYNPCC7942_1120,-
TU490-4507,SYNPCC7942_1716 // SYNPCC7942_1715,-
TU490-4876,SYNPCC7942_2331,+
TU490-3758,SYNPCC7942_0473,+
TU490-3508,SYNPCC7942_0040,+
TU490-5241,SYNPCC7942_1273,+
TU490-4126,SYNPCC7942_1089,+
TU490-4491,SYNPCC7942_1693,-
TU490-4860,SYNPCC7942_2304,+
TU490-3742,SYNPCC7942_0448 // SYNPCC7942_0447 // SYNPCC7942_0446,-
TU490-3492,SYNPCC7942_0005,-
TU490-5225,SYNPCC7942_1397,+
TU490-4110,SYNPCC7942_1063 // SYNPCC7942_1062 // SYNPCC7942_1061,+
TU490-4475,SYNPCC7942_1661,+
TU490-4472,SYNPCC7942_1656,-
TU490-4841,SYNPCC7942_2272 // SYNPCC7942_2271 // SYNPCC7942_2270 // SYNPCC7942_2269 // SYNPCC7942_2268,-
TU490-3723,SYNPCC7942_0413 // SYNPCC7942_0412 // SYNPCC7942_0411,-
TU490-1543,SYNPCC7942_B2634,-
TU490-5206,SYNPCC7942_1519,-
TU490-4091,SYNPCC7942_1024 // SYNPCC7942_1023 // SYNPCC7942_1022,-
TU490-4456,SYNPCC7942_1634,-
TU490-4825,SYNPCC7942_2243 // SYNPCC7942_2242,-
TU490-3707,SYNPCC7942_0383 // SYNPCC7942_0382,-
TU490-1527,SYNPCC7942_B2659 // SYNPCC7942_B2648,+
TU490-5190,SYNPCC7942_1601,-
TU490-4075,SYNPCC7942_0994 // SYNPCC7942_0993,-
TU490-4440,SYNPCC7942_1608,+
TU490-4809,SYNPCC7942_2203,-
TU490-3691,SYNPCC7942_0356,-
TU490-5174,SYNPCC7942_1720,+
TU490-4059,SYNPCC7942_0963 // SYNPCC7942_0962,-
TU490-4424,SYNPCC7942_1571,+
TU490-4793,SYNPCC7942_2181,-
TU490-3675,SYNPCC7942_0332 // SYNPCC7942_0331 // SYNPCC7942_0330 // SYNPCC7942_0329,+
TU490-5158,SYNPCC7942_1850,-
TU490-4043,SYNPCC7942_0938,+
TU490-4408,SYNPCC7942_1548,-
TU490-4776,SYNPCC7942_2156,-
TU490-3659,SYNPCC7942_0305,+
TU490-5142,SYNPCC7942_2017,+
TU490-4027,SYNPCC7942_0908,+
TU490-4392,SYNPCC7942_1524,+
TU490-4760,SYNPCC7942_2130 // SYNPCC7942_2129,+
TU490-3643,SYNPCC7942_0279 // SYNPCC7942_0278,+
TU490-5126,SYNPCC7942_2125,+
TU490-4011,SYNPCC7942_0886,-
TU490-4376,SYNPCC7942_1503 // SYNPCC7942_1502,+
TU490-4744,SYNPCC7942_2102 // SYNPCC7942_2101 // SYNPCC7942_2100 // SYNPCC7942_2099 // SYNPCC7942_2098,+
TU490-3627,SYNPCC7942_0243,-
TU490-5110,SYNPCC7942_2192,+
TU490-3995,SYNPCC7942_0860 // SYNPCC7942_0859 // SYNPCC7942_0858,+
