complex_id,name,genes,mod,replace
G12WB-1182-MONOMER,,,pan4p(1) AND tdec2e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND cdec3e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3odec(1),
G12WB-1182-MONOMER,,,pan4p(1) AND dca(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hdec(1),
G12WB-1182-MONOMER,,,pan4p(1) AND t3c5ddece(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3ocddec5e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND tddec2e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND cddec5e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3oddec(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hcddec5e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND ddca(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hddec(1),
G12WB-1182-MONOMER,,,pan4p(1) AND t3c7mrse(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3ocmrs7e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND tde(1),
G12WB-1182-MONOMER,,,pan4p(1) AND tmrs2e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3omrs(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hcmrs7e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND myrs(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hmrs(1),
G12WB-1182-MONOMER,,,pan4p(1) AND t3c9palme(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3ocpalm9e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND hde(1),
G12WB-1182-MONOMER,,,pan4p(1) AND tpalm2e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3opalm(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hcpalm9e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND palm(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hpalm(1),
G12WB-1182-MONOMER,,,pan4p(1) AND t3c11vace(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3ocvac11e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND toctd2e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND octe(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3ooctd(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hcvac11e(1),
G12WB-1182-MONOMER,,,pan4p(1) AND ocdca(1),
G12WB-1182-MONOMER,,,pan4p(1) AND 3hocta(1),
G12WB-2117-MONOMER,,,mg2(2),
G12WB-1168-MONOMER,,,mg2(1),
G12WB-1740-MONOMER,,,mg2(1),
G12WB-1120-MONOMER,,,mn2(1),
G12WB-1120-MONOMER,,,mg2(1),
G12WB-409-MONOMER,,,zn2(1),
G12WB-2274-MONOMER,,,k(1) AND mg2(1),
G12WB-944-MONOMER,,,mn2(1),
G12WB-944-MONOMER,,,mg2(1),
G12WB-2903-MONOMER,,,mg2(1),
G12WB-2903-MONOMER,,,mn2(1),
G12WB-3721-MONOMER,,,zn2(2),
G12WB-2522-MONOMER,,,4fe4s(1),
G12WB-3678-MONOMER,,,mg2(1),
G12WB-118-MONOMER,,,acetyl(1),
G12WB-2769-MONOMER,,,zn2(2),
G12WB-3350-MONOMER,,,pydx5p(1),
G12WB-3336-MONOMER,,,mg2(4),
G12WB-2315-MONOMER,,,pydx5p(1),
G12WB-100-MONOMER,,,mn2(1),
G12WB-2127-MONOMER,,,4fe4s(1),
G12WB-3646-MONOMER,,,mg2(1),
G12WB-3646-MONOMER,,,mn2(1),
G12WB-3568-MONOMER,,,mg2(1) AND k(1),
G12WB-3568-MONOMER,,,mn2(1) AND k(1),
G12WB-403-MONOMER,,,4fe4s(1) AND 2fe2s(1),
G12WB-2679-MONOMER,,,mg2(1),
G12WB-2649-MONOMER,,,pydx5p(1),
G12WB-1336-MONOMER,,,mg2(1),
G12WB-1336-MONOMER,,,mn2(1),
G12WB-2898-MONOMER,,,mg2(4),
G12WB-1478-MONOMER,,,mn2(1),
G12WB-1434-MONOMER,,,zn2(1),
G12WB-3672-MONOMER,,,nh4(1) AND mg2(1),
G12WB-1649-MONOMER,,,mg2(1) AND k(1),
G12WB-1649-MONOMER,,,mg2(1) AND nh4(1),
G12WB-1649-MONOMER,,,mn2(1) AND k(1),
G12WB-1649-MONOMER,,,mn2(1) AND nh4(1),
G12WB-1932-MONOMER,,,mg2(1),
G12WB-2939-MONOMER,,,mg2(1),
G12WB-3789-MONOMER,,,4fe4s(1),
G12WB-1840-MONOMER,,,mg2(1),
G12WB-1475-MONOMER,,,fe2(1) AND zn2(1),
G12WB-1824-MONOMER,,,ca2(1),
G12WB-3699-MONOMER,,,mg2(1),
G12WB-2834-MONOMER,,,thmpp(1),
G12WB-2804-MONOMER,,,k(1) AND mg2(1),
G12WB-1416-MONOMER,,,zn2(4),
G12WB-105-MONOMER,,,zn2(1),
G12WB-1978-MONOMER,,,cobalt2(1) AND nad(1),
G12WB-1589-MONOMER,,,mg2(1),
G12WB-2292-MONOMER,,,mg2(1),
G12WB-3475-MONOMER,,,mg2(1),
G12WB-327-MONOMER,,,mg2(1),
G12WB-1287-MONOMER,,,fad(1),
G12WB-3226-MONOMER,,,mg2(1),
G12WB-3696-MONOMER,,,mg2(1),
G12WB-1413-MONOMER,,,pydx5p(2),
G12WB-2423-MONOMER,,,mg2(1),
G12WB-2743-MONOMER,,,fmn(1),
G12WB-2743-MONOMER,,,mg2(1),
G12WB-1107-MONOMER,,,mg2(1) AND mn2(1),
G12WB-1586-MONOMER,,,zn2(1),
G12WB-2962-MONOMER,,,zn2(6),
G12WB-99-MONOMER,,,mg2(1),
G12WB-99-MONOMER,,,mn2(1),
G12WB-99-MONOMER,,,cobalt2(1),
G12WB-3783-MONOMER,,,zn2(1) AND cbl1(1),
G12WB-871-MONOMER,,,glycyl(1),
G12WB-1770-MONOMER,,,mn2(1),
G12WB-1148-MONOMER,,,nad(1),
G12WB-1381-MONOMER,,,mg2(2),
G12WB-1119-MONOMER,,,4fe4s(1),
G12WB-2740-MONOMER,,,mg2(1) AND k(1),
G12WB-3017-MONOMER,,,mg2(1),
G12WB-693-MONOMER,,,mg2(1),
G12WB-2668-MONOMER,,,pydx5p(1),
G12WB-3337-MONOMER,,,mn2(1),
G12WB-103-MONOMER,,,mg2(1) AND zn2(1),
G12WB-1354-MONOMER,,,mn2(1),
G12WB-2287-MONOMER,,,mn2(1),
G12WB-2287-MONOMER,,,cobalt2(1),
G12WB-2287-MONOMER,,,mg2(1),
G12WB-1879-MONOMER,,,mn2(1),
G12WB-2520-MONOMER,,,mg2(1),
G12WB-18-MONOMER,,,mg2(1),
G12WB-1207-MONOMER,,,mg2(1),
G12WB-1735-MONOMER,,,fe2(2),
G12WB-1719-MONOMER,,,mn2(1),
G12WB-1703-MONOMER,,,mg2(1),
G12WB-1688-MONOMER,,,pydx5p(1),
G12WB-3569-MONOMER,,,mg2(1),
G12WB-2694-MONOMER,,,zn2(2),
G12WB-1969-MONOMER,,,pydx5p(1),
G12WB-999-MONOMER,,,mn2(2),
G12WB-3792-MONOMER,,,mg2(1) AND cl(1),
G12WB-3423-MONOMER,,,mg2(1),
G12WB-2532-MONOMER,,,pydx5p(1),
G12WB-2867-MONOMER,,,nad(1),
G12WB-2474-MONOMER,,,thmpp(1) AND mn2(1) AND mg2(1),
G12WB-821-MONOMER,,,mg2(1),
G12WB-1732-MONOMER,,,pydx5p(1),
G12WB-1650-MONOMER,,,mg2(1),
G12WB-234-MONOMER,,,k(4) AND mg2(1),
G12WB-234-MONOMER,,,k(4) AND mn2(1),
G12WB-234-MONOMER,,,k(4) AND cobalt2(1),
G12WB-234-MONOMER,,,k(4) AND zn2(1),
G12WB-234-MONOMER,,,k(4) AND cd2(1),
G12WB-234-MONOMER,,,k(4) AND ni2(1),
G12WB-234-MONOMER,,,k(4) AND ca2(1),
G12WB-234-MONOMER,,,nh4(4) AND mg2(1),
G12WB-234-MONOMER,,,nh4(4) AND mn2(1),
G12WB-234-MONOMER,,,nh4(4) AND cobalt2(1),
G12WB-234-MONOMER,,,nh4(4) AND zn2(1),
G12WB-234-MONOMER,,,nh4(4) AND cd2(1),
G12WB-234-MONOMER,,,nh4(4) AND ni2(1),
G12WB-234-MONOMER,,,nh4(4) AND ca2(1),
G12WB-234-MONOMER,,,tl(4) AND mg2(1),
G12WB-234-MONOMER,,,tl(4) AND mn2(1),
G12WB-234-MONOMER,,,tl(4) AND cobalt2(1),
G12WB-234-MONOMER,,,tl(4) AND zn2(1),
G12WB-234-MONOMER,,,tl(4) AND cd2(1),
G12WB-234-MONOMER,,,tl(4) AND ni2(1),
G12WB-234-MONOMER,,,tl(4) AND ca2(1),
G12WB-234-MONOMER,,,cs(4) AND mg2(1),
G12WB-234-MONOMER,,,cs(4) AND mn2(1),
G12WB-234-MONOMER,,,cs(4) AND cobalt2(1),
G12WB-234-MONOMER,,,cs(4) AND zn2(1),
G12WB-234-MONOMER,,,cs(4) AND cd2(1),
G12WB-234-MONOMER,,,cs(4) AND ni2(1),
G12WB-234-MONOMER,,,cs(4) AND ca2(1),
G12WB-234-MONOMER,,,LI(4) AND mg2(1),
G12WB-234-MONOMER,,,LI(4) AND mn2(1),
G12WB-234-MONOMER,,,LI(4) AND cobalt2(1),
G12WB-234-MONOMER,,,LI(4) AND zn2(1),
G12WB-234-MONOMER,,,LI(4) AND cd2(1),
G12WB-234-MONOMER,,,LI(4) AND ni2(1),
G12WB-234-MONOMER,,,LI(4) AND ca2(1),
G12WB-234-MONOMER,,,na1(4) AND mg2(1),
G12WB-234-MONOMER,,,na1(4) AND mn2(1),
G12WB-234-MONOMER,,,na1(4) AND cobalt2(1),
G12WB-234-MONOMER,,,na1(4) AND zn2(1),
G12WB-234-MONOMER,,,na1(4) AND cd2(1),
G12WB-234-MONOMER,,,na1(4) AND ni2(1),
G12WB-234-MONOMER,,,na1(4) AND ca2(1),
G12WB-996-MONOMER,,,pydx5p(1),
G12WB-1305-MONOMER,,,mg2(1),
G12WB-323-MONOMER,,,mg2(1),
G12WB-2761-MONOMER,,,mg2(1),
G12WB-1713-MONOMER,,,ca2(1),
G12WB-1125-MONOMER,,,zn2(1),
G12WB-3598-MONOMER,,,dpm(1),
G12WB-1964-MONOMER,,,mn2(1),
